"Channel Name","Channel Id","Channel Url"
"Ayushman Pandita","UCyWN-BnWSKeHEnNOYvvpNnA","https://www.youtube.com/channel/UCyWN-BnWSKeHEnNOYvvpNnA"
"B Wealthy","UCthN3CTgZY0WIE9A5u1Qcew","https://www.youtube.com/channel/UCthN3CTgZY0WIE9A5u1Qcew"
"Cooper Academy","UCmHm0w-JJfC2Ll1Of_WObAQ","https://www.youtube.com/channel/UCmHm0w-JJfC2Ll1Of_WObAQ"
"Dan Lok","UCs_6DXZROU29pLvgQdCx4Ww","https://www.youtube.com/channel/UCs_6DXZROU29pLvgQdCx4Ww"
"GaryVee","UCctXZhXmG-kf3tlIXgVZUlw","https://www.youtube.com/channel/UCctXZhXmG-kf3tlIXgVZUlw"
"Invest Mindset","UCnSHHfS-nwoZXQkU6xi4L9Q","https://www.youtube.com/channel/UCnSHHfS-nwoZXQkU6xi4L9Q"
"Money Secrets","UCP0Q3AOfhGE8HuKOfPTEQkg","https://www.youtube.com/channel/UCP0Q3AOfhGE8HuKOfPTEQkg"
"Nordic Business Forum","UCWrZPSVPrW3Cva4VvdhwwGQ","https://www.youtube.com/channel/UCWrZPSVPrW3Cva4VvdhwwGQ"
"Pushkar Raj Thakur","UCEAAzv2OBqxsSczKJ2QZyGQ","https://www.youtube.com/channel/UCEAAzv2OBqxsSczKJ2QZyGQ"
"The Plain Bagel","UCFCEuCsyWP0YkP3CZ3Mr01Q","https://www.youtube.com/channel/UCFCEuCsyWP0YkP3CZ3Mr01Q"
"The Retail Investor","UCgqFqdggu2jwyNTCPYF3kMw","https://www.youtube.com/channel/UCgqFqdggu2jwyNTCPYF3kMw"
"The Swedish Investor","UCAeAB8ABXGoGMbXuYPmiu2A","https://www.youtube.com/channel/UCAeAB8ABXGoGMbXuYPmiu2A"
"Think School","UCKZozRVHRYsYHGEyNKuhhdA","https://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA"
"Alex Hormozi","UCUyDOdBWhC1MCxEjC46d-zw","https://www.youtube.com/channel/UCUyDOdBWhC1MCxEjC46d-zw"
