"Channel Name","Channel Id","Channel Url"
"Apollonia Ponti","UCYqdbnuvx-jJZByotoNW-5Q","https://www.youtube.com/channel/UCYqdbnuvx-jJZByotoNW-5Q"
"Artistic Motivation","UCBdQ5xCH5LOpwsW4uiAg7nQ","https://www.youtube.com/channel/UCBdQ5xCH5LOpwsW4uiAg7nQ"
"Based Zeus","UC1PkRYud11ogYDqgdqd23Zw","https://www.youtube.com/channel/UC1PkRYud11ogYDqgdqd23Zw"
"Bloke Box","UC_979egE6f8bM2ghSE-07Lw","https://www.youtube.com/channel/UC_979egE6f8bM2ghSE-07Lw"
"Bobby Rio","UCPqGoVb55XeRrliyql_cmlQ","https://www.youtube.com/channel/UCPqGoVb55XeRrliyql_cmlQ"
"Charisma on Command","UCU_W0oE_ock8bWKjALiGs8Q","https://www.youtube.com/channel/UCU_W0oE_ock8bWKjALiGs8Q"
"Dan Bacon","UCpjFHKuH-BQELT8lj85vmRw","https://www.youtube.com/channel/UCpjFHKuH-BQELT8lj85vmRw"
"Develop Attraction","UCCgGlPGDME05HjA2nV30qhw","https://www.youtube.com/channel/UCCgGlPGDME05HjA2nV30qhw"
"Dre Drexler","UCHdPuKshPHyRHE3rz75rXdw","https://www.youtube.com/channel/UCHdPuKshPHyRHE3rz75rXdw"
"FarFromAverage","UC6Iaz96RkYE-MOjnq5NPgqw","https://www.youtube.com/channel/UC6Iaz96RkYE-MOjnq5NPgqw"
"FarFromWeak","UCCpZ1Y4WjNlbFlnQy7nkE_g","https://www.youtube.com/channel/UCCpZ1Y4WjNlbFlnQy7nkE_g"
"Gyan Guru","UCI4GhwjBXXVu8ZZG0UXM-0A","https://www.youtube.com/channel/UCI4GhwjBXXVu8ZZG0UXM-0A"
"High Value Men","UCOAPfo-XOISy3_WcrNPncfA","https://www.youtube.com/channel/UCOAPfo-XOISy3_WcrNPncfA"
"Hum Jeetenge","UCKFnBiPHyBRYJanS1d_w26w","https://www.youtube.com/channel/UCKFnBiPHyBRYJanS1d_w26w"
"Impulsive Gems","UCsg1KFjouSfJbhFLU-xC7gQ","https://www.youtube.com/channel/UCsg1KFjouSfJbhFLU-xC7gQ"
"Iron Man Lifestyle","UCf07eBo_ZzNmhVeTRyJDJ3g","https://www.youtube.com/channel/UCf07eBo_ZzNmhVeTRyJDJ3g"
"Learning Attitude","UCJBvfLrfeHWlhT4ojU_q4_Q","https://www.youtube.com/channel/UCJBvfLrfeHWlhT4ojU_q4_Q"
"Love Gems","UC7YdGIpoxaFRZP_D1LZCV0A","https://www.youtube.com/channel/UC7YdGIpoxaFRZP_D1LZCV0A"
"Loveintercity","UCk-dY1b9T7kfVfcTP-ZjXSQ","https://www.youtube.com/channel/UCk-dY1b9T7kfVfcTP-ZjXSQ"
"MantelligenceDating","UCfMX1py0agQyBcOKjt2VSzA","https://www.youtube.com/channel/UCfMX1py0agQyBcOKjt2VSzA"
"Marni Your Personal Wing Girl","UCCgrWW6fsUVdRD7xI52xhnQ","https://www.youtube.com/channel/UCCgrWW6fsUVdRD7xI52xhnQ"
"Matthew hussey","UC9HGzFGt7BLmWDqooUbWGBg","https://www.youtube.com/channel/UC9HGzFGt7BLmWDqooUbWGBg"
"Neeraj Joshi Talks","UCngM-6qYzIgEiDHhZizr4uQ","https://www.youtube.com/channel/UCngM-6qYzIgEiDHhZizr4uQ"
"Sarthak Goel","UCcLf37Mq1sIeaHTppLtkd6g","https://www.youtube.com/channel/UCcLf37Mq1sIeaHTppLtkd6g"
"School of attraction","UCaZJ1Cw-GTdVQs6UUBER-eA","https://www.youtube.com/channel/UCaZJ1Cw-GTdVQs6UUBER-eA"
"Skill of attraction","UCkJUXVbPuJzHYpJr5UBDt3w","https://www.youtube.com/channel/UCkJUXVbPuJzHYpJr5UBDt3w"
"The Attraction Switch","UCk4f3Z0avULW16C5-Gl7MpQ","https://www.youtube.com/channel/UCk4f3Z0avULW16C5-Gl7MpQ"
"The Better Men Project","UCYT-aXiAB-s9xf6cFcXCnNg","https://www.youtube.com/channel/UCYT-aXiAB-s9xf6cFcXCnNg"
"The Gentlemen's Game","UCTEWf5sHzhILGFwY7jspcnQ","https://www.youtube.com/channel/UCTEWf5sHzhILGFwY7jspcnQ"
"Tripp Advice","UCjTMOi3cpslA7JUmPdfD6MQ","https://www.youtube.com/channel/UCjTMOi3cpslA7JUmPdfD6MQ"
