"Channel Name","Channel Id","Channel Url"
"Academy of Ideas","UCiRiQGCHGjDLT9FQXFW0I3A","https://www.youtube.com/channel/UCiRiQGCHGjDLT9FQXFW0I3A"
"After Skool","UC1KmNKYC1l0stjctkGswl6g","https://www.youtube.com/channel/UC1KmNKYC1l0stjctkGswl6g"
"Andrew Kirby","UC8JNIm02zw8h_3NBrP_zsZA","https://www.youtube.com/channel/UC8JNIm02zw8h_3NBrP_zsZA"
"Be Ghent","UCNSeoYREsWB8zdlhZxl_XaA","https://www.youtube.com/channel/UCNSeoYREsWB8zdlhZxl_XaA"
"BehindTheScience","UC9ecQ72p226Rbsm-leyxE8A","https://www.youtube.com/channel/UC9ecQ72p226Rbsm-leyxE8A"
"CGP Grey","UC2C_jShtL725hvbm1arSV9w","https://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w"
"CIVIL BEINGS","UCl_Yw_2UdAkrxj_-rgi3pqw","https://www.youtube.com/channel/UCl_Yw_2UdAkrxj_-rgi3pqw"
"Cave313","UCYrAQrkEucoU42zgU4utauA","https://www.youtube.com/channel/UCYrAQrkEucoU42zgU4utauA"
"ColdFusion","UC4QZ_LsYcvcq7qOsOhpAX4A","https://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A"
"Dharmagya","UC60jXxNKYO2t1IdhKyGZGdQ","https://www.youtube.com/channel/UC60jXxNKYO2t1IdhKyGZGdQ"
"Dose of Truth","UCNdW82WWvjQEF5tUWVXvdKg","https://www.youtube.com/channel/UCNdW82WWvjQEF5tUWVXvdKg"
"Dr. Tracey Marks","UCL2QpphEeZFYwk6-WXD6hpA","https://www.youtube.com/channel/UCL2QpphEeZFYwk6-WXD6hpA"
"Garen Phillips","UCSupFapDqdOT-nxuvnOLSgw","https://www.youtube.com/channel/UCSupFapDqdOT-nxuvnOLSgw"
"Gyan Manthan","UCnyALzPGNSzlO0B-ltIZoCg","https://www.youtube.com/channel/UCnyALzPGNSzlO0B-ltIZoCg"
"Gyanopnishad","UCWqHaEETp6smwQF0ez7q9IQ","https://www.youtube.com/channel/UCWqHaEETp6smwQF0ez7q9IQ"
"Happiness is my Intention","UCWdnZ4Whvgo_1mKJSl48emA","https://www.youtube.com/channel/UCWdnZ4Whvgo_1mKJSl48emA"
