"Channel Name","Channel Id","Channel Url"
"2000 Books","UCYh_c_1u-E7_MowIWhqt5rg","https://www.youtube.com/channel/UCYh_c_1u-E7_MowIWhqt5rg"
"Alux.com","UCNjPtOCvMrKY5eLwr_-7eUg","https://www.youtube.com/channel/UCNjPtOCvMrKY5eLwr_-7eUg"
"Art of Verbal War","UCgLtypfhc147PXZuA5nfRbg","https://www.youtube.com/channel/UCgLtypfhc147PXZuA5nfRbg"
"Benjamin  Personal Power","UClJ9U8h9VM3s9M8amUi42lw","https://www.youtube.com/channel/UClJ9U8h9VM3s9M8amUi42lw"
"Better Chapter","UCm9VBJnCWbtqWeg5EzXH-PA","https://www.youtube.com/channel/UCm9VBJnCWbtqWeg5EzXH-PA"
"Better Than Yesterday","UCpExuV8qJMfCaSQNL1YG6bQ","https://www.youtube.com/channel/UCpExuV8qJMfCaSQNL1YG6bQ"
"Big Think","UCvQECJukTDE2i6aCoMnS-Vg","https://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg"
"Chaos & Order","UC7c5NhNnE--8-dnKurCUsXw","https://www.youtube.com/channel/UC7c5NhNnE--8-dnKurCUsXw"
"Conor Neill","UCcZhBlipmIFlfZjt-Ji4Udg","https://www.youtube.com/channel/UCcZhBlipmIFlfZjt-Ji4Udg"
"Einzelgänger","UCybBViio_TH_uiFFDJuz5tg","https://www.youtube.com/channel/UCybBViio_TH_uiFFDJuz5tg"
"Essential Truth","UCFkDAsyfvgxqNyue4F4HHww","https://www.youtube.com/channel/UCFkDAsyfvgxqNyue4F4HHww"
"Evan Carmichael","UCKmkpoEqg1sOMGEiIysP8Tw","https://www.youtube.com/channel/UCKmkpoEqg1sOMGEiIysP8Tw"
"Freedom in Thought","UCd6Za0CXVldhY8fK8eYoIuw","https://www.youtube.com/channel/UCd6Za0CXVldhY8fK8eYoIuw"
"Gaur Gopal Das","UCz22l7kbce-uFJAoaZqxD1A","https://www.youtube.com/channel/UCz22l7kbce-uFJAoaZqxD1A"
"Gravity Transformation - Fat Loss Experts","UC0CRYvGlWGlsGxBNgvkUbAg","https://www.youtube.com/channel/UC0CRYvGlWGlsGxBNgvkUbAg"
"Motiversity","UCAPByrKU5-R1emswVlyH_-g","https://www.youtube.com/channel/UCAPByrKU5-R1emswVlyH_-g"
"Order of Man","UCuf5XsjvLduPMyPnw6WQ8Uw","https://www.youtube.com/channel/UCuf5XsjvLduPMyPnw6WQ8Uw"
"Practical Psychology","UCir93b_ftqInEaDpsWYbo_g","https://www.youtube.com/channel/UCir93b_ftqInEaDpsWYbo_g"
"Psychology in Hindi","UC1xvRxqTWRyuZyVO1QZKI2Q","https://www.youtube.com/channel/UC1xvRxqTWRyuZyVO1QZKI2Q"
"Puneet Biseria","UCyzf9_LUFN-2Xr30z8hyW1A","https://www.youtube.com/channel/UCyzf9_LUFN-2Xr30z8hyW1A"
"Pursuit of Wonder","UC-tLyAaPbRZiYrOJxAGB7dQ","https://www.youtube.com/channel/UC-tLyAaPbRZiYrOJxAGB7dQ"
"SUCCESS CHASERS","UCfCAy6CkaliVqbwqKT2VSYw","https://www.youtube.com/channel/UCfCAy6CkaliVqbwqKT2VSYw"
"Seeken","UCfhbydY40P2Lli9HuBz8cdA","https://www.youtube.com/channel/UCfhbydY40P2Lli9HuBz8cdA"
"Simon Sinek","UCPmfPl-BsCd3wmE8i45LAoA","https://www.youtube.com/channel/UCPmfPl-BsCd3wmE8i45LAoA"
"SmarterEveryDay","UC6107grRI4m0o2-emgoDnAA","https://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA"
"Team Fearless","UCf9_s9ii6BZ-klpgmtIi3WQ","https://www.youtube.com/channel/UCf9_s9ii6BZ-klpgmtIi3WQ"
"The Psychology Classes","UCDegI9rmfJtV6Orlnm1WzkQ","https://www.youtube.com/channel/UCDegI9rmfJtV6Orlnm1WzkQ"
"Thomas Frank","UCG-KntY7aVnIGXYEBQvmBAQ","https://www.youtube.com/channel/UCG-KntY7aVnIGXYEBQvmBAQ"
"Tom Bilyeu","UCnYMOamNKLGVlJgRUbamveA","https://www.youtube.com/channel/UCnYMOamNKLGVlJgRUbamveA"
"TopThink","UCMlGmHokrQRp-RaNO7aq4Uw","https://www.youtube.com/channel/UCMlGmHokrQRp-RaNO7aq4Uw"
"Two Cents","UCL8w_A8p8P1HWI3k6PR5Z6w","https://www.youtube.com/channel/UCL8w_A8p8P1HWI3k6PR5Z6w"
"Typhoon of Ideas","UCcQGV9eQl0OvsnmWqO6DXRw","https://www.youtube.com/channel/UCcQGV9eQl0OvsnmWqO6DXRw"
