"Channel Name","Channel Id","Channel Url"
"Academind","UCSJbGtTlrDami-tDGPUV9-w","https://www.youtube.com/channel/UCSJbGtTlrDami-tDGPUV9-w"
"Apna College","UCBwmMxybNva6P_5VmxjzwqA","https://www.youtube.com/channel/UCBwmMxybNva6P_5VmxjzwqA"
"ArjanCodes","UCVhQ2NnY5Rskt6UjCUkJ_DA","https://www.youtube.com/channel/UCVhQ2NnY5Rskt6UjCUkJ_DA"
"Back To Back SWE","UCmJz2DV1a3yfgrR7GqRtUUA","https://www.youtube.com/channel/UCmJz2DV1a3yfgrR7GqRtUUA"
"Byte By Byte","UCWSYAntBbdd2SLYUqPIxo0w","https://www.youtube.com/channel/UCWSYAntBbdd2SLYUqPIxo0w"
"Coder Foundry","UCTGgxc_jIz2z9mpfInuPHWQ","https://www.youtube.com/channel/UCTGgxc_jIz2z9mpfInuPHWQ"
"Corey Schafer","UCCezIgC97PvUuR4_gbFUs5g","https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g"
"CrashCourse","UCX6b17PVsYBQ0ip5gyeme-Q","https://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q"
"CryptoKnight","UC8lIGbogm1jbSnD4HyNbooA","https://www.youtube.com/channel/UC8lIGbogm1jbSnD4HyNbooA"
"Cyberspatial","UC9EX_PSbngZP8pkPWSUpPzw","https://www.youtube.com/channel/UC9EX_PSbngZP8pkPWSUpPzw"
"Edureka!","UCkw4JCwteGrDHIsyIIKo4tQ","https://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ"
"Fireship","UCsBjURrPoezykLs9EqgamOA","https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA"
"freeCodeCamp.org","UC8butISFwT-Wl7EV0hUK0BQ","https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ"
"John Watson Rooney","UC8tgRQ7DOzAbn9L7zDL8mLg","https://www.youtube.com/channel/UC8tgRQ7DOzAbn9L7zDL8mLg"
"Keep On Coding","UCsLo154Krjwhoz8W00N8ItA","https://www.youtube.com/channel/UCsLo154Krjwhoz8W00N8ItA"
"Kurzgesagt – In a Nutshell","UCsXVk37bltHxD1rDPwtNM8Q","https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q"
"Learn Coding","UCV7cZwHMX_0vk8DSYrS7GCg","https://www.youtube.com/channel/UCV7cZwHMX_0vk8DSYrS7GCg"
"LearnCode.academy","UCVTlvUkGslCV_h-nSAId8Sw","https://www.youtube.com/channel/UCVTlvUkGslCV_h-nSAId8Sw"
"Manish Sharma","UCQYO2p7JMcCp-9xIZxGP2Sg","https://www.youtube.com/channel/UCQYO2p7JMcCp-9xIZxGP2Sg"
"NDC Conferences","UCTdw38Cw6jcm0atBPA39a0Q","https://www.youtube.com/channel/UCTdw38Cw6jcm0atBPA39a0Q"
"Naresh i Technologies","UC4o8Fdpv3g_AjgShAeivqpA","https://www.youtube.com/channel/UC4o8Fdpv3g_AjgShAeivqpA"
"Neil Patel","UCl-Zrl0QhF66lu1aGXaTbfw","https://www.youtube.com/channel/UCl-Zrl0QhF66lu1aGXaTbfw"
"Pragmatic engineer","UCPbwhExawYrn9xxI21TFfyw","https://www.youtube.com/channel/UCPbwhExawYrn9xxI21TFfyw"
"Programming Hero","UCStj-ORBZ7TGK1FwtGAUgbQ","https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ"
"ProgrammingKnowledge","UCs6nmQViDpUw0nuIx9c_WvA","https://www.youtube.com/channel/UCs6nmQViDpUw0nuIx9c_WvA"
"Real Python","UCI0vQvr9aFn27yR6Ej6n5UA","https://www.youtube.com/channel/UCI0vQvr9aFn27yR6Ej6n5UA"
"Tech With Tim","UC4JX40jDee_tINbkjycV4Sg","https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg"
"Thenewboston","UCJbPGzawDH1njbqV-D5HqKw","https://www.youtube.com/channel/UCJbPGzawDH1njbqV-D5HqKw"
"Traversy Media","UC29ju8bIPH5as8OGnQzwJyA","https://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA"
"Y Combinator","UCcefcZRL2oaA_uBNeo5UOWg","https://www.youtube.com/channel/UCcefcZRL2oaA_uBNeo5UOWg"
