"Title","video_url","Published_date","Views"
"Making Money From Marketing Is Easier Than You Think","https://www.youtube.com/watch?v=J3CIqrsR02U","2023-06-01",21774
"HOW TO DO WHAT YOU LOVE (and get wealthy too)","https://www.youtube.com/watch?v=qLM5G7N3l3I","2023-05-31",42226
"My BIGGEST Regret In Business","https://www.youtube.com/watch?v=rbA-QbzG-Xk","2023-05-31",27379
"The Order Might Surprise You","https://www.youtube.com/watch?v=U312khBBAlk","2023-05-31",23225
"Separate Information From Source","https://www.youtube.com/watch?v=3E7Q1IKRdM0","2023-05-30",24568
"Saying No Is the Hardest Skill","https://www.youtube.com/watch?v=0BuMT_LvUYQ","2023-05-30",24324
"Jealousy vs. Envy","https://www.youtube.com/watch?v=xkbZobNWQ3Y","2023-05-30",16289
"Stop Blaming and Start Doing","https://www.youtube.com/watch?v=XdxPayOgCzY","2023-05-30",17326
"The Point Is to Keep Playing the Game","https://www.youtube.com/watch?v=eMll4tejTfA","2023-05-29",29689
"You CAN Be Successful With Bad Habits","https://www.youtube.com/watch?v=5S2_1iYCqsU","2023-05-29",13294
"The Chick-Fil-A Model","https://www.youtube.com/watch?v=CwnLTGiQ5wY","2023-05-29",28577
"This One Shift Will CHANGE Your Content","https://www.youtube.com/watch?v=9ZEKVGOjd4Q","2023-05-29",37992
"Working Hard Is Controversial","https://www.youtube.com/watch?v=HhHurAM6fy4","2023-05-28",42913
"What I Learned From The TOP YOUTUBERS","https://www.youtube.com/watch?v=jvEli6nPZ9s","2023-05-28",71105
"No Need to Learn Everything Yourself in Business","https://www.youtube.com/watch?v=_jPFXqtf2Ks","2023-05-28",24441
"I Almost Spent $5.6M on This","https://www.youtube.com/watch?v=_0aTig6hQuA","2023-05-27",43651
"You Are the People Who Value You the Most","https://www.youtube.com/watch?v=iIWsXIgmscQ","2023-05-27",44694
"How I Learned to Always Feel Gratitude","https://www.youtube.com/watch?v=hOz9g1oF5Ns","2023-05-26",41096
"My Process For Making Huge Decisions","https://www.youtube.com/watch?v=xo8hE-zgCBM","2023-05-26",21460
"A Life Lesson I Wish I Knew Earlier","https://www.youtube.com/watch?v=qdmcewVnlx8","2023-05-25",33804
"How to Make $1 Million if You're Broke","https://www.youtube.com/watch?v=HHKdfZdAc1o","2023-05-25",83698
"One of the Single Greatest Things That I Ever Did","https://www.youtube.com/watch?v=9KV-irhA7o0","2023-05-25",51809
"I Solved Three $100,000,000 Business Problems","https://www.youtube.com/watch?v=KQuyQpFANpA","2023-05-24",97879
"How to Get Hired at a Great Company","https://www.youtube.com/watch?v=20bYHPrgCG0","2023-05-23",20578
"Monetize Free Offers","https://www.youtube.com/watch?v=qXO-6exkRHo","2023-05-23",7693
"Mistakes I Kept Repeating","https://www.youtube.com/watch?v=OrWrxyJWN7I","2023-05-22",46104
"My Equation for Output","https://www.youtube.com/watch?v=qmFCwJt8jWU","2023-05-22",22992
"Should You Take the Extra Time to Work More?","https://www.youtube.com/watch?v=DRdzD6Nc0lo","2023-05-22",45088
"“How Can I Get My Wife to Have an Entrepreneurial Mindset”","https://www.youtube.com/watch?v=NcewqE66-PI","2023-05-22",20545
"Hiring Your First Employee","https://www.youtube.com/watch?v=PNUYU2SQWoY","2023-05-21",35900
"Brick and Mortar Chains and Their Perks","https://www.youtube.com/watch?v=bIRJixvCjq0","2023-05-21",26573
"Did Money Change Me?","https://www.youtube.com/watch?v=FMyKnGtV0XQ","2023-05-20",28559
"Why Data-Driven Marketing Is So Effective","https://www.youtube.com/watch?v=mcTsChzxjGA","2023-05-20",31819
"Amazing Products Don’t Need Marketing","https://www.youtube.com/watch?v=YNuxkpuCnNc","2023-05-19",31573
"Don’t Create a Fictitious Version of Yourself","https://www.youtube.com/watch?v=M5bWcVDVrKM","2023-05-19",38181
"Pricing as a Service-Based Business","https://www.youtube.com/watch?v=Wp2XWW_IJRM","2023-05-18",45284
"Gain Status by Giving More to Others","https://www.youtube.com/watch?v=wnMHx-PQnJ0","2023-05-18",25107
"You’re Winning as Long as You’re Playing","https://www.youtube.com/watch?v=yvChJNcrmIU","2023-05-18",49409
"How to Build a LEGIT Online Course (2023)","https://www.youtube.com/watch?v=oTQPxPFROck","2023-05-17",102017
"Best Alternative to Agency Models in 2023","https://www.youtube.com/watch?v=24FLNFGleck","2023-05-16",36450
"How to Tame Frustration","https://www.youtube.com/watch?v=fi4zwLa7DAk","2023-05-16",48795
"How You Become Extraordinary","https://www.youtube.com/watch?v=E4bj7Kbq_RA","2023-05-15",49134
"Most Disciplined People Are Not That Disciplined","https://www.youtube.com/watch?v=XI4UGSfa67s","2023-05-15",86847
"“How Do You Communicate So Clearly?”","https://www.youtube.com/watch?v=du_p8EnTaHY","2023-05-14",72449
"Why You Should Read 1 Book 5 Times","https://www.youtube.com/watch?v=8Bn0WguwQOo","2023-05-14",33062
"The Alex Hormozi Diet (REVEALED)","https://www.youtube.com/watch?v=fxyhIXZ6Yog","2023-05-14",226689
"Getting Rid of Bad Thoughts","https://www.youtube.com/watch?v=XMN03uKxM0A","2023-05-13",56676
"This Is My Gym Bag","https://www.youtube.com/watch?v=igVQ3nNP9j4","2023-05-13",135780
"Do Bad Habits Stop You From Success","https://www.youtube.com/watch?v=Kihufk1QpDU","2023-05-12",40130
"Gym Training Advice for Young People","https://www.youtube.com/watch?v=yMQhD7wENYg","2023-05-11",105023
"Why I Chose To Disappoint My Dad","https://www.youtube.com/watch?v=uMrC5prXPB8","2023-05-11",38189
"I Played World of Warcraft for 1 Week Straight","https://www.youtube.com/watch?v=e-4NSm5l9Fs","2023-05-11",153915
"How to go ALL IN on your side hustle...","https://www.youtube.com/watch?v=SYkwtqFoRcM","2023-05-10",128923
"“I Was Faced With My Own Mortality”","https://www.youtube.com/watch?v=cQI8eUecvgw","2023-05-09",17974
"Why No One Can Control You if You Need Nothing","https://www.youtube.com/watch?v=enGDt8zc8iA","2023-05-09",27354
"What We Drive Towards When Investing in Companies","https://www.youtube.com/watch?v=aY7g5SioVQo","2023-05-08",15797
"Don’t Do Something New but Better","https://www.youtube.com/watch?v=c4SBL164Zwo","2023-05-08",27208
"This Is What My $100M Company Actually Does","https://www.youtube.com/watch?v=FtQNw8XpmzY","2023-05-07",24875
"Why Mortality Is a Big Part of My Decision Making","https://www.youtube.com/watch?v=UA-eH7K5Mww","2023-05-07",15210
"Why Most Things Aren’t Worth Doing","https://www.youtube.com/watch?v=tcraJLK949U","2023-05-06",50575
"The Benefits of Deep Work","https://www.youtube.com/watch?v=WymdgxrMz04","2023-05-06",25354
"A Very Different Way of Going Narrower","https://www.youtube.com/watch?v=9z62w0HAJlM","2023-05-05",29495
"Stop Waiting for the Perfect Conditions","https://www.youtube.com/watch?v=Cbt--J8vfTo","2023-05-05",24175
"All the Lessons That Poverty Has to Teach You","https://www.youtube.com/watch?v=BPC3Tb9Za_w","2023-05-04",25782
"Why You Should Go Up Market","https://www.youtube.com/watch?v=1n27RBbkm98","2023-05-04",34517
"Use This One Word to Close Any Deal","https://www.youtube.com/watch?v=zVgzM5KN8Uw","2023-05-03",33937
"How I Set Goals That ACTUALLY MAKE MONEY","https://www.youtube.com/watch?v=zBZHWrvjD8Y","2023-05-03",159372
"Most People Equate Suffering With Success","https://www.youtube.com/watch?v=9z5dfMM5gfE","2023-05-02",35485
"“If It’s Worth Doing, It’s Worth Doing Well”","https://www.youtube.com/watch?v=F6EyP2ePEnk","2023-05-01",44995
"People Should Be Gasping at Your Prices","https://www.youtube.com/watch?v=dCXxA2QOANs","2023-04-30",52842
"Avoid Too Many Calls to Action","https://www.youtube.com/watch?v=86En45s8jQk","2023-04-30",63195
"“I Don’t Wanna Be Rescued”","https://www.youtube.com/watch?v=1FP6jMVuA7I","2023-04-29",45823
"Education Is What Needs to Be Passed Down","https://www.youtube.com/watch?v=uWTXPDkpdM4","2023-04-29",44353
"I'm Broke, What Should I Sell?","https://www.youtube.com/watch?v=LVM89ik-7Kw","2023-04-26",273109
"How Kylie Jenner Changed My Life","https://www.youtube.com/watch?v=rsbD2Ggunkk","2023-04-26",36560
"Why Loyalty Is a Choice","https://www.youtube.com/watch?v=WnIc3KKUsgs","2023-04-26",59013
"My $100M CEO Daily Routine","https://www.youtube.com/watch?v=QfMjHfcRzgY","2023-04-25",107720
"Question All Your Beliefs","https://www.youtube.com/watch?v=PcGe9QNYxVM","2023-04-25",59066
"That Time I Got Sunscreen in My Eyes","https://www.youtube.com/watch?v=OiVWk_KeLsY","2023-04-25",85688
"She Didn’t Leave Me at My Lowest","https://www.youtube.com/watch?v=6Go7Fn_PLfY","2023-04-25",49967
"Enter a Season of No","https://www.youtube.com/watch?v=lOoPd4Y44nk","2023-04-24",39260
"Buying a Business With 50K","https://www.youtube.com/watch?v=RRaQyzJAIM0","2023-04-24",106141
"Use Your Emotions or They'll Use You","https://www.youtube.com/watch?v=pW7-y76AlJA","2023-04-24",22965
"She Believed In Me","https://www.youtube.com/watch?v=FhdRisuixVI","2023-04-24",89351
"Pain as Motivation","https://www.youtube.com/watch?v=o9uNLZAy018","2023-04-23",67273
"How To Make a Legit Business in Education","https://www.youtube.com/watch?v=cdz6yifPIpQ","2023-04-23",63270
"Learn to Use What You Have","https://www.youtube.com/watch?v=Seq2Srj0aRg","2023-04-23",39793
"This Is Hard","https://www.youtube.com/watch?v=X2JCKgZAQZg","2023-04-23",19601
"Pain Over Pleasure","https://www.youtube.com/watch?v=bNk501oUej0","2023-04-22",28645
"Learn New Skills Easily","https://www.youtube.com/watch?v=Xxd6TjkEFaA","2023-04-22",69950
"Reacting to Hasan Minhaj's Interview","https://www.youtube.com/watch?v=g05daNlr_zs","2023-04-20",82639
"A Truth That Wealthy People Know","https://www.youtube.com/watch?v=kpbEHLNHqKU","2023-04-20",126751
"Learn to Reframe Your Reality","https://www.youtube.com/watch?v=y--CvmPIUfg","2023-04-20",39251
"Learning From the Investor Frame","https://www.youtube.com/watch?v=SOSMN6JJ6yA","2023-04-20",29825
"Never Ask How You Can Provide Value","https://www.youtube.com/watch?v=6i2tDwA9VkQ","2023-04-19",84758
"One of the Best Hacks if You’re on a Diet","https://www.youtube.com/watch?v=M4RUYV8Ca3Y","2023-04-18",57549
"Just Say No","https://www.youtube.com/watch?v=lzP72wSYhRM","2023-04-18",35467
"Sell Without Selling","https://www.youtube.com/watch?v=Fs8Wo0nXFT4","2023-04-18",48791
"Why Old Friends Keep You Poor","https://www.youtube.com/watch?v=2wPOipkXmQs","2023-04-18",90561
"Here's Copywriting Solved","https://www.youtube.com/watch?v=rqo2iPLwH9E","2023-04-17",59278
