"Title","video_url","Published_date","Views"
"Write video CAPTIONS with this tool and EARN IN LAKHS #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=2R3OvlrbCQc","2023-01-31",632826
"This Museum has the strangest products!  | #shorts Ayushman Pandita","https://www.youtube.com/watch?v=VTBggD9BhXc","2023-01-26",12066
"Know about India's 1st Content Creation Hackathon #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=0HpI9lj4HiI","2023-01-25",10723
"Make ₹5000 everyday by TEACHING new LANGUAGES online #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=i0oROlNt_Go","2023-01-23",70485
"Find all AI tools from here | #shorts Ayushman Pandita","https://www.youtube.com/watch?v=KL_5vcfcSgM","2023-01-22",50874
"3 Ways to earn in thousands while travelling on your next trip #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=kV8zsSFARwM","2023-01-19",16293
"Earn in lakhs by DESIGNING MOBILE COVERS for famous brands #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=gueSh1bqbSo","2023-01-18",306746
"ETF vs Mutual fund - Which one should you choose? #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=fruB0FO7gSc","2023-01-17",7601
"Watch this if you're struggling to decide what to talk about in your videos #shorts","https://www.youtube.com/watch?v=kMik98Z4es8","2023-01-16",6983
"2 Ways to Make Money in content creation #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=6VZm-FFeoQ0","2023-01-15",18247
"Passive Income Ideas to EARN in CRORES | EARN MONEY ONLINE #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=sGAcUnpofZE","2023-01-14",52698
"3 Best Ways to Make Money Online in India | TIPS FOR STUDENTS #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=kUUruPXD3pU","2023-01-13",382796
"3 Most productive ways to spend your day #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=zSix2Uz2kAk","2023-01-12",10072
"Get your opportunity in this Content Hackathon | EARN REWARDS WORTH LAKHS #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=uoHfxM3qa5Y","2023-01-11",6927
"Use these 3 ALTERNATE CAB APPS instead of ola and Uber #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=jZYXDsO-BkY","2023-01-10",8243
"3 Step guide on how to become a SOFTWARE ENGINEER #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=3xSkQkIH4xs","2023-01-09",7743
"Will I be investing in Mama Earth's IPO? | FINANCE TIPS #shorts | Ayushman Pandita","https://www.youtube.com/watch?v=1BsHMx_fFyU","2023-01-08",10456
