"Title","video_url","Published_date","Views"
"BWHL: Unlocking Mutual Fund Secrets #emergencyfunds #taxharvesting #mutualfunds","https://www.youtube.com/watch?v=tgwmRIQFSEY","2023-05-28",13916
"ChatGPT ने बनाया 1 to 5 करोड़ के लिए Portfolio,  Do you have these mutual funds? हैं ये फंड आपके पास","https://www.youtube.com/watch?v=QCPyRgzzSvc","2023-05-26",18363
"Online Gaming - how your winnings will be taxed? #dream11 #onlinegaming #taxation #tds","https://www.youtube.com/watch?v=b0TQslPcoj8","2023-05-23",607
"B Wealthy Help LIVE: Mutual Fund Q&A Session - Get Expert Answers to Your Investment Queries","https://www.youtube.com/watch?v=PNn5nRwJuao","2023-05-21",5667
"Unlock Your Financial Freedom With This Ancient Vedic Formula.Earn, Save & be wealthy/अमीर कैसे बनें","https://www.youtube.com/watch?v=zRq0FYUotek","2023-05-19",13419
"BWHL: Sectors that offer attractive opportunities for investors ! LIVE Q&A session on #stockmarket","https://www.youtube.com/watch?v=HLwphprOXog","2023-05-14",5559
"1 year of IPO-Will LIC revive investors' confidence? #licstock #licshareprice #investment #bwealthy","https://www.youtube.com/watch?v=j8mvSt9AUzs","2023-05-09",5251
"Gold mutual funds offer 19% in one year. Can you still invest and make money? #gold #goldmf","https://www.youtube.com/watch?v=AkjlO9WB7cM","2023-05-08",5247
"New Mutual Fund category with charges linked to performance in pipeline! #mutualfunds #TER #sebi","https://www.youtube.com/watch?v=XsQf9dqL71M","2023-05-04",5221
"शेयर निवेशक की सबसे बड़ी गलती/Biggest mistake of retail stock investors:5 Hidden Phases of Investing","https://www.youtube.com/watch?v=R1LzIrKDBbk","2023-04-22",9826
"Salaried individuals should not delay selecting preferred tax regime. #oldtaxregime #newtaxregime","https://www.youtube.com/watch?v=JQ3oXjLQxns","2023-04-20",9008
"Unlock Your Potential: Register Now for Our Investor Education Session in Jaipur #bwealthy #jaipur","https://www.youtube.com/watch?v=8HvgKMzTdHg","2023-04-18",3733
"Wedding Expenses Management: How to save money? कम खर्च में करें शादी और बचत पर कमाएं रिटर्न","https://www.youtube.com/watch?v=iy5At9fFgZ0","2023-04-14",7179
"How to save: 5 tips to avoid unnecessary spending/ फिजूलखर्ची पर करना है कंट्रोल, तो ये आदतें अपनाएं","https://www.youtube.com/watch?v=0hDorGpAH4o","2023-04-01",11096
"Savings insurance plan: Buy guaranteed return Policy for now?गारंटीड रिटर्न पॉलिसी में 31मार्च तक","https://www.youtube.com/watch?v=frq022osQdE","2023-03-28",5816
"LTCG Indexation benefit on debt funds gone. Should you make fresh investment?#debtfunds #LTCG #निवेश","https://www.youtube.com/watch?v=zivuLzbObDg","2023-03-25",7391
"Best way to value a Share/company for investment- Know how Abhishek Singh,DSP Investment managers do","https://www.youtube.com/watch?v=6LJIJ_sXgR8","2023-03-17",60518
"Best ELSS of 2023 list- know how to find best elss for investment/कैसे पाएं बेस्ट ELSS MF #bwealthy","https://www.youtube.com/watch?v=bB0Hg1GThKk","2023-03-10",9890
"Share pump and dump scam में 4 youtube चैनल/SEBI finds stocks manipulation via 4 youtube channels","https://www.youtube.com/watch?v=843uRAYMKnU","2023-03-03",5646
"Know your fund manager: Mahendra Jajoo CIO fixed income, Mirae Assets investment managers","https://www.youtube.com/watch?v=XPIkEQp83R4","2023-02-25",56084
"Love वाला money management/ How to manage Personal Finance and love #valentineday #loveandmoney","https://www.youtube.com/watch?v=k1zvvnUbjRI","2023-02-17",13122
"Best Mutual funds of the year/Worst Mutual Funds/सबसे अच्छे और बुरे म्यूचुअल फंड #bestmutualfunds","https://www.youtube.com/watch?v=ibtYZ-9_znE","2023-02-04",31785
"PPFAS के रौनक ओंकार से जानिए निवेश और जीवन की फिलासॉफी/Know Raunak Onkar's life & investment mantras","https://www.youtube.com/watch?v=1rX7Y13H1s4","2023-01-27",68461
"How to invest in unlisted stocks? निवेश का एक और रास्ता- unlisted shares में निवेश","https://www.youtube.com/watch?v=ha9L59n2BWM","2023-01-21",7658
"Meet Vineet Sambre fund manager of DSP mutual fund/कैसे चुनते हैं मिड कैप और स्मॉल कैप कंपनी के शेयर","https://www.youtube.com/watch?v=nJzb5ii1DqM","2023-01-13",57380
"10 Financial rules to manage money/ 10 वित्तीय फार्मूले जो बदल देंगे आपकी जिंदगी","https://www.youtube.com/watch?v=QtjrKLWqOQg","2023-01-06",82622
"B WEALTHY HELP LIVE: LIVE Q&A on #mutualfund  #insurance #investment","https://www.youtube.com/watch?v=GxgCl_pMyqY","2023-01-04",19721
