"Title","video_url","Published_date","Views"
"Rickards Warns Of A 40% Crash After A ‘Severe Recession’","https://www.youtube.com/watch?v=ynWvXiMoN4w","2023-05-26",6325
"Harry Dent Predicts A 92% Crash Coming June 2023","https://www.youtube.com/watch?v=RH4vpH_cWWw","2023-05-11",18382
"1929 Like Depression By 2025 | Simon Hunt","https://www.youtube.com/watch?v=YJFQALw3rGc","2023-05-03",7153
"How Paul Tudor Jones Made Over 100% Yearly Returns (1985-1989)","https://www.youtube.com/watch?v=nPJxs-p0zDQ","2023-04-28",2781
"Jeremy Grantham Alerts Of A 50% Market Crash Starting May 1 2023","https://www.youtube.com/watch?v=pkbZdztUzTw","2023-04-11",243648
"How George Soros Achieved A 35% Return Per Year (5 Strategies)","https://www.youtube.com/watch?v=_rya8T92UJ8","2023-03-17",6481
"Stocks Michael Burry Is Buying & Selling As The Market Falls","https://www.youtube.com/watch?v=vO159-e0YTE","2023-02-01",13305
"Charlie Munger: How To Invest In 2023","https://www.youtube.com/watch?v=V60GSBNyKNI","2023-01-20",8520
"Warren Buffett: 9 Investing Tips For 2023","https://www.youtube.com/watch?v=-NIs_Vv6bR8","2023-01-13",10841
"5 Stocks Bill Gates Is Buying As The Stock Market Falls","https://www.youtube.com/watch?v=2e3VvPHm4VI","2023-01-03",206858
"How To Invest In Stocks For Beginners In 2023","https://www.youtube.com/watch?v=aod3cyUEu4k","2022-12-26",286423
"Jim Simons: How To Achieve a 66% Return Per Year (7 Strategies)","https://www.youtube.com/watch?v=cm7kkHtZiJA","2022-11-17",298485
"Saudi Arabia Want To Join BRICS. Is This The Next Global Force?","https://www.youtube.com/watch?v=RyH0RF9nVG4","2022-10-21",23974
"Michael Burry Calls For A Collapse In These Particular Stocks","https://www.youtube.com/watch?v=s5BQtSaaIik","2022-10-09",28263
"Should You Buy Gold | Warren Buffett Vs Ray Dalio On Gold","https://www.youtube.com/watch?v=Ob1Z9R19Mjg","2022-08-24",31236
"5 Experts Talk China’s Economic Crisis","https://www.youtube.com/watch?v=t0jRd9VJ0Jo","2022-08-15",17793
"Why The IMF Is Warning of Upcoming Recessions","https://www.youtube.com/watch?v=QCm6C3p33lU","2022-07-20",7669
"The FED Failed In 2018 & Now We’re Paying The Price w/ Peter Grandich","https://www.youtube.com/watch?v=dssfEKLkADo","2022-07-17",4958
"The Market Melt Up Will Turn To A GLOBAL BUST In 2023 | David Hunter","https://www.youtube.com/watch?v=jGS8o9Ye-H8","2022-07-01",30529
"How Michael Burry Is Preparing For The Market Crash 2.0","https://www.youtube.com/watch?v=HEOpY5jN4FI","2022-06-29",23013
"Why We Bought Alibaba Stock: A Deep Dive Into Baba w/ Investing With Tom","https://www.youtube.com/watch?v=m_t8iNER2-A","2022-06-13",8638
"Sven Carlin Teaches His Strategy On How To Invest, Stock Crashes & How To Get Rich","https://www.youtube.com/watch?v=6m881zKRRtI","2022-06-08",5360
"Plain Bagel Interview On How To Invest, Market Crashes, Inflation & More","https://www.youtube.com/watch?v=JG3lqtRSAxk","2022-06-04",6523
"Jeremy Grantham: We’re In The 3rd Great Investment Bubble Of My Career","https://www.youtube.com/watch?v=3f6gdcBnqWE","2022-06-02",18213
"Charlie Mungers 10 Principles To Get High Investing Returns","https://www.youtube.com/watch?v=6IaIE-nOIK8","2022-05-26",9185
"Cathie Wood Is Investing Heavily Into This Particular Stock. Here’s why","https://www.youtube.com/watch?v=J4T1j9nd8as","2022-05-19",10087
"Why Michael Burry Thinks 2022 Is Similar To 1929 & 2000","https://www.youtube.com/watch?v=hbqcjgpXsno","2022-05-14",39867
"Why Buffett & Munger Think This Asset Will Likely Crash To $0","https://www.youtube.com/watch?v=Yy_pxgJjbxk","2022-05-07",12014
"Benjamin Graham: How To Beat The Market Every Year (6 Investing Ideas)","https://www.youtube.com/watch?v=Ii1dzWAhdls","2022-05-01",64199
"Will We Actually See A 2022 Recession With The Yield Curve Inversion?","https://www.youtube.com/watch?v=2sOjr-UWx-w","2022-04-20",18432
"Warren Buffett Trolls Charlie Munger On His Costco Obsession","https://www.youtube.com/watch?v=oSdkBze29cs","2022-04-12",14708
"Warren Buffett Is Buying These 2 Stocks Like Crazy. Here’s why","https://www.youtube.com/watch?v=-PwqJRfMqE8","2022-04-01",64522
"A Look Inside Bill Gates Portfolio","https://www.youtube.com/watch?v=DeSwWPm7ysk","2022-02-24",30408
