"Title","video_url","Published_date","Views"
"Unleashing Your Inner Influence","https://www.youtube.com/watch?v=17GKEfLDzzg","2023-05-30",2781
"7 Best Tech Sectors To Invest in 2023","https://www.youtube.com/watch?v=jDFI3LLgPtc","2023-05-29",3910
"Simplify Your Way to Success","https://www.youtube.com/watch?v=tis_0ysfdqU","2023-05-27",5143
"How You Will Dominate Your Industry","https://www.youtube.com/watch?v=kGoFBGGJP2w","2023-05-25",6378
"The One Thing You Need To Change NOW","https://www.youtube.com/watch?v=JZZ6DE-PICw","2023-05-23",2978
"How To Sell More High Ticket Products and Services With Post Event Follow Up","https://www.youtube.com/watch?v=6BvRLxpo07k","2023-05-21",4128
"This person is holding you back","https://www.youtube.com/watch?v=byHDl5d5XLw","2023-05-20",4281
"You Only Have To Get It Right Once","https://www.youtube.com/watch?v=hBFiRH30K7w","2023-05-18",5227
"Do Less Of THIS","https://www.youtube.com/watch?v=QdW3lMKtoH8","2023-05-16",3065
"How startups are dealing with the hardest fundraising climate","https://www.youtube.com/watch?v=eUueLjL5P9s","2023-05-15",4449
"Never Do THIS With Money","https://www.youtube.com/watch?v=IgMQt_NepU4","2023-05-13",9527
"The 4 Stages Of Life - In Which One Are You?","https://www.youtube.com/watch?v=0ekGcOyZT1E","2023-05-11",5044
"The Hidden Benefit Of Martial Arts","https://www.youtube.com/watch?v=HpakH4bwJ6o","2023-05-09",5560
"Could You Be The Problem?","https://www.youtube.com/watch?v=_f-1fRJnHUA","2023-05-06",5810
"Once You Reach This Level You Only Have ONE Problem","https://www.youtube.com/watch?v=aSt_ixreqiE","2023-05-04",7017
"Where Focus Goes, Energy Flows","https://www.youtube.com/watch?v=5E5nHS3H_Sg","2023-05-02",8645
"How One Founder Wasted More Than 10 Year Of His Life - Billion Dollar Startup","https://www.youtube.com/watch?v=QBhmtrd4MwA","2023-05-01",8254
"How Much Capital Do You Want To Raise? - Billion Dollar Startup","https://www.youtube.com/watch?v=ZlCpVMLXjv0","2023-04-17",8177
"Where To Invest Money In Tech: Investment Pro","https://www.youtube.com/watch?v=i_8A1na7UN8","2023-04-13",6711
"NECK PAIN AND TENSION GONE! 7 Minute Daily Stretches For Neck Tightness And Pain","https://www.youtube.com/watch?v=2kx5XKgHcAw","2023-04-10",12190
"So You Want To Get Your Startup Funded? How To Pitch Like A Pro","https://www.youtube.com/watch?v=OwahsNc-LI4","2023-04-06",8663
"The Next Salesforce of Shopify? - With Serge Kassardijan CEO of StayTuned","https://www.youtube.com/watch?v=rC_s2uiuQGI","2023-04-03",5041
"The Risks and Rewards of Startup Investing","https://www.youtube.com/watch?v=9l746XwyT6c","2023-03-30",5655
"Is The Customer Always Right?","https://www.youtube.com/watch?v=-s7c4w13DgQ","2023-03-23",8258
"From Public Health to Tech Entrepreneur: How Amanda Greenberg Is Revolutionizing Collaboration","https://www.youtube.com/watch?v=snulPMhSNUk","2023-03-20",6214
"What Are 5 Ways To Improve Website Traffic?","https://www.youtube.com/watch?v=w8FjYpA7X48","2023-03-16",7913
"Why Do Many Venture Capitalists Tend To Invest In Tech Startups?","https://www.youtube.com/watch?v=-2gtA0mSTAI","2023-03-13",5702
"CEO of 1800-GOT-JUNK? Shares How To Grow a Business To Hundreds of Millions","https://www.youtube.com/watch?v=nYo1otLyRHQ","2023-03-09",8877
"How The CEO of Vertify.com Matt Klepac Revolutionizes The Way Revenue Teams Work","https://www.youtube.com/watch?v=cKE1R91KES0","2023-03-06",5423
"Unlocking The Secrets To Unstoppable Business Growth","https://www.youtube.com/watch?v=zIRgtJN_3wY","2023-03-02",15099
"What The Ultra Rich Invest In That Poor And Middle Class Do Not","https://www.youtube.com/watch?v=Szx-XaqCRIY","2023-02-27",20338
