"Title","video_url","Published_date","Views"
"3 Mistakes That'll Never Get You Financial Freedom","https://www.youtube.com/watch?v=J1GuLZANMbg","2023-05-31",23223
"Don't Invest in Stock Before Watching THIS!","https://www.youtube.com/watch?v=i98e7P9h06c","2023-05-21",13181
"Index Funds vs Mutual Funds | Common Sense Investing in India","https://www.youtube.com/watch?v=kjX4ChBkocg","2023-05-12",68539
"Rich Dad: Increase Your Financial IQ | पैसो का खेल समझो","https://www.youtube.com/watch?v=qKfJu_mwY_8","2023-05-05",177678
"Financial Freedom | 5 RULES For Early Financial Independence","https://www.youtube.com/watch?v=GAWIFDoaLDI","2023-04-15",410048
"Can You Be a Billionaire? Rs.1000 CRORES in Your Life?","https://www.youtube.com/watch?v=UO8Ogdt5Zac","2023-04-09",105057
"IMPORTANT ADVICE FOR LONG-TERM INVESTING","https://www.youtube.com/watch?v=InPYpu9ZI9U","2023-04-01",41060
"Millionaire Success Habits | Method of Rich People","https://www.youtube.com/watch?v=wtY_BZ3IiEI","2023-04-01",114375
"How to Invest in 20s - With Magic of Compounding","https://www.youtube.com/watch?v=OEwa73WJkzY","2023-01-22",337096
"INFLATION in Most Simple Language","https://www.youtube.com/watch?v=h_6p8NsTjOc","2023-01-14",25899
"Recession is Coming? How to Get Rich from Market Crash?","https://www.youtube.com/watch?v=YUjdP24keWU","2022-12-31",110684
"Warren Buffett - 4 Lesson from Greatest Investor","https://www.youtube.com/watch?v=N02zz6xese0","2022-12-27",29054
"Psychology of Trading & Investing (Fooled by Randomness Summary)","https://www.youtube.com/watch?v=y5gdPn9zjdw","2022-12-13",83021
"LONG TERM INVESTING के लिए STOCKS PICK KARIYE! | Investment Strategy for Beginners","https://www.youtube.com/watch?v=oiUmDE42Tdw","2022-12-04",133295
"Why Rich Are Getting Richer Book Summary - (From Author of Rich Dad Poor Dad)","https://www.youtube.com/watch?v=0TWQ3g6TJMs","2022-11-30",145945
"Real Power of Compounding (From Rs.10k to Rs.1,024 Crores)","https://www.youtube.com/watch?v=bnBMu1v9vbE","2022-11-27",122753
"Financial Freedom Secrets Only Rich Know (Millionaire Next Door)","https://www.youtube.com/watch?v=tblYhTMFVVM","2022-11-26",30247
"The Simple Path to Wealth and Financial Freedom (अमीर बनने का आसान तरीका)","https://www.youtube.com/watch?v=9QAAovjrU4M","2022-11-25",120216
"कम Risk, ज़्यादा Profit Strategy from Stock Market","https://www.youtube.com/watch?v=fy235YT5VF8","2022-11-23",25673
"INVEST LIKE WARREN BUFFETT","https://www.youtube.com/watch?v=eZXKvr3zvb4","2022-11-18",37592
"Discount on iPhone? (Opportunity Cost Explained)","https://www.youtube.com/watch?v=w_M4iOxqSbo","2022-11-14",22813
"Life Lesson on Not Losing Anymore","https://www.youtube.com/watch?v=lmeZa9z-mvc","2022-11-05",37453
"7 Strategies for WEALTH & HAPPINESS (हिन्दी) - JIM ROHN Book Summary","https://www.youtube.com/watch?v=CawbO1X7gJQ","2022-10-14",144881
"5 RULES OF RICH PEOPLE - Secrets of Millionaire Mind","https://www.youtube.com/watch?v=NQDiZLEI7T0","2022-10-04",142964
"SIP vs LUMPSUM क्या ज्यादा बहतर है? Power of COMPOUNDING Using SIP or LUMPSUM","https://www.youtube.com/watch?v=em298akNR1Q","2022-09-25",1144108
"Incredible Story of Rakesh Jhunjhunwala (5000 to 50,000 CRORES)","https://www.youtube.com/watch?v=a07D_FP4O64","2022-09-13",94292
"Amazing Case Study of Mohnish Pabrai - From 1 to 1400 Crore","https://www.youtube.com/watch?v=dFFHG-bnL1E","2022-09-02",442384
"How to Buy First Stock? (Stocks for Beginners)","https://www.youtube.com/watch?v=k3oHh5_HpzQ","2022-08-20",98587
"Warren Buffett - 4 Lesson from Greatest Investor","https://www.youtube.com/watch?v=9S7PbKVqXqs","2022-08-12",144667
