"Title","video_url","Published_date","Views"
"Why EVERYONE Is Poor","https://www.youtube.com/watch?v=RQr1O-OaZBc","2021-10-22",4082
"Why Most People Never Strike It Rich","https://www.youtube.com/watch?v=XHVtbeKqDwc","2021-10-21",2238
"How To Become Wealthy","https://www.youtube.com/watch?v=jqmwzcQdlvM","2021-10-20",2671
"98.2% Of Millionaires Avoided THIS To Gain Wealth | Money Secrets","https://www.youtube.com/watch?v=QnPDMaDCqMg","2021-09-25",3645
"99.9% Of POOR People Can't Stop Doing THIS...","https://www.youtube.com/watch?v=IB6Osnn6bOM","2020-11-05",5259
"THIS Could Make You RICH...","https://www.youtube.com/watch?v=U5tjf32qDXw","2020-11-01",4627
"THE SECRET TO SUCCESS IN LIFE","https://www.youtube.com/watch?v=clRAytNsIfQ","2020-10-17",5109
"RICH PEOPLE Don't Want You To Know This...","https://www.youtube.com/watch?v=ndTiRtbN74o","2020-10-13",5638
"All POOR People MUST See This... | The MONEY Matrix","https://www.youtube.com/watch?v=MFPeLzAUgD4","2020-09-15",8010
"Rich People REALLY ARE Different | These Are Their Secrets","https://www.youtube.com/watch?v=SIkYM30Akhw","2020-04-02",8167
"How To ATTRACT MONEY Without Doing ANYTHING | 2020","https://www.youtube.com/watch?v=HqB8RnR0HzE","2020-03-27",6233
"How The 2020 Market Crash Can MAKE YOU RICH","https://www.youtube.com/watch?v=jZHb1S601hw","2020-03-25",3624
"7 Signs You're DESTINED To Become RICH...","https://www.youtube.com/watch?v=VsZjNmcORvc","2020-03-24",7350
"4 MISTAKES That Will KEEP You Poor FOREVER","https://www.youtube.com/watch?v=-tlMwiVuRzg","2020-03-13",4290
"How To Make A SIX FIGURE Income | The Truth About Money","https://www.youtube.com/watch?v=hrgZRrzZ4L4","2020-02-16",9624
"1 MISTAKE Rich People NEVER Make | The Millionaire Mindset","https://www.youtube.com/watch?v=bGgv-WuPHcw","2019-11-16",4807
"Why 99.9% Of PEOPLE Stay Poor FOREVER...","https://www.youtube.com/watch?v=gsOs-QWlmYs","2019-10-31",5793
"NEVER Ever Do THIS... | If You Want To Be RICH","https://www.youtube.com/watch?v=z5cjvasWGK8","2019-08-04",8312
"Do THIS And Be Poor FOREVER...","https://www.youtube.com/watch?v=YktdV1pDIu0","2019-08-01",6044
"How To Make MONEY Chase YOU...","https://www.youtube.com/watch?v=CPScXMFR5K8","2019-07-27",11566
"How To GET Rich QUICKLY | Millionaire Secrets","https://www.youtube.com/watch?v=wHdl3g7wHBw","2019-07-24",6293
"THIS Will Keep You Poor FOREVER...","https://www.youtube.com/watch?v=6xh1Ua41qVs","2019-07-21",5922
"3 UNFAIR Advantages RICH People Have","https://www.youtube.com/watch?v=xWR_Rbgf4nQ","2019-07-17",4238
"99.9% of Rich People GOT RICH Doing THIS... | Passive Income Secrets","https://www.youtube.com/watch?v=lmB077Oddp4","2019-07-12",13259
"How To Get RICH While You're Young","https://www.youtube.com/watch?v=ygeWKMHF800","2019-07-10",14369
"The BIGGEST Mistake POOR People Make","https://www.youtube.com/watch?v=yx7RGkZg4-w","2019-07-09",5556
"The RICH Don't Want You Knowing This...","https://www.youtube.com/watch?v=m6hOgMfYy_A","2019-03-19",5990
"How To Get Exactly What You Want","https://www.youtube.com/watch?v=KOK1A_DdltE","2018-08-08",18034
"Why 99.9% Of People FAIL At Life | How To Achieve Success","https://www.youtube.com/watch?v=zYqj5r029d0","2018-07-09",13426
"How To Make Money While You SLEEP","https://www.youtube.com/watch?v=rpeVZBgf9NA","2018-07-03",24974
"Things POOR People Do To LOOK RICH","https://www.youtube.com/watch?v=3-qsl_Z-nDE","2018-06-21",16666
"He Quit His $100,000 Per Year Job After Learning THIS...","https://www.youtube.com/watch?v=O-bRuD1I4nQ","2018-06-19",13662
"HOW TO BECOME RICH | THE WOLF PRINCIPLE","https://www.youtube.com/watch?v=c09x_dPD824","2018-06-18",15979
"How To Go From Rags To Riches FAST | The 3 Levels Of Wealth | Rich Vs Poor","https://www.youtube.com/watch?v=lYZdXFJNXrM","2018-06-12",32477
"How To REALLY Get Rich | The Golden Shovel Principle","https://www.youtube.com/watch?v=xK76XmsePnA","2018-06-07",12790
"How To Become A Millionaire | The Sinking Ship Principle","https://www.youtube.com/watch?v=M7vU5EDdszc","2018-05-26",13692
"How To Make Money With Your Eyes Closed | The Need Principle","https://www.youtube.com/watch?v=DvXjYRQoI9E","2018-05-20",11909
"Why Lottery Winners Go Broke | The Secret Of The Poor","https://www.youtube.com/watch?v=C8QcSB7z8Kc","2018-05-18",12267
"The Secret 99.9% Of The Poor Wish They Knew | Rich People Vs Poor People","https://www.youtube.com/watch?v=7yUVyEjXG88","2018-05-17",14015
"The Rich Do THIS To Get Richer","https://www.youtube.com/watch?v=FoPeceBIwJs","2018-05-12",13476
"Why The Poor Stay Poor | The Golden Fleece Principle","https://www.youtube.com/watch?v=MbGv-GEdQdk","2018-05-10",23315
"This Is How To Get Rich... | The Sleep Earning Principle","https://www.youtube.com/watch?v=PDdg2uhrPmY","2018-05-08",16780
"How To Find YOUR Treasure | How To Start An Online Business","https://www.youtube.com/watch?v=dGg6_SJyS_g","2018-05-07",21060
