"Title","video_url","Published_date","Views"
"Thijs Launspach – What We Get Wrong About Stress","https://www.youtube.com/watch?v=5fD8pk4TUP0","2023-05-16",130
"Pep Rosenfeld – Leadership Lessons From 20 Years of Business Events","https://www.youtube.com/watch?v=4wzqLetTeh0","2023-05-16",98
"Ritu G. Mehrish – Leader’s Block – The Opposite of Potential","https://www.youtube.com/watch?v=RvLriwygejI","2023-05-10",107
"Tobias Sturesson – How to Overcome Your Company’s Greatest Culture Challenges","https://www.youtube.com/watch?v=WcxG2Nob1lM","2023-05-10",266
"Rebecca Henderson -  How to Make Sustainability a Catalyst for Growth & Innovation","https://www.youtube.com/watch?v=Ph9shlbTDLU","2023-05-08",0
"Sara Blakely - On Thinking-Time","https://www.youtube.com/watch?v=TRcqdcrApvY","2023-04-08",1160
"Yuval Noah Harari - We should develop ourselves as much as we are developing AI","https://www.youtube.com/watch?v=5Eb2FzGJtZ8","2023-04-06",1444
"Yuval Noah Harari - What will humans still be doing in 2050?","https://www.youtube.com/watch?v=L2QpXDkKNcs","2023-04-05",1119
"Sara Blakely On Instagram","https://www.youtube.com/watch?v=fj4IfoA2kXU","2023-04-03",650
"Yuval Noah Harari - If humans don't adapt, they will go extinct","https://www.youtube.com/watch?v=ah4v0zW3WFg","2023-04-02",1840
"Seth Godin - Solving a Problem People Don't Think They Have","https://www.youtube.com/watch?v=U8_l9tGH_eE","2023-03-31",377
"Sara Blakely On Influencer Marketing","https://www.youtube.com/watch?v=Dv0FQSTv7hA","2023-03-30",550
"Seth Godin - Your Customers Are Not Goldfishes","https://www.youtube.com/watch?v=5TeOvLf1ofk","2023-03-29",1220
"Sara Blakely - How Spanx Got Into Neiman Marcus","https://www.youtube.com/watch?v=WvB20ilTFgA","2023-03-28",2158
"Robyn Bolton - Your Success is Killing Innovation - Business Forum Group Speaker Contest 2023","https://www.youtube.com/watch?v=WL9qrhnO7UY","2023-03-16",136
"Rob Janssen - Nothing Is What Is Seems - Business Forum Group Speaker Contest 2023","https://www.youtube.com/watch?v=vEUdxk0Aew0","2023-03-16",76
