"Title","video_url","Published_date","Views"
"India Vix Masterclass | Learn Advance Option Trading in Stock Market","https://www.youtube.com/watch?v=vK_3eSmG7X0","2023-05-31",59904
"Get 1000+ Free Courses from this Website","https://www.youtube.com/watch?v=5IYRrg_v0MM","2023-05-31",88250
"You Can’t Buy Rolex Even After Having Money! 💰","https://www.youtube.com/watch?v=0dGS00rgRtQ","2023-05-30",165994
"3 Leg Strategy | Debit Spread | Option Trading | Earn Regular Profits from Stock Market","https://www.youtube.com/watch?v=QqvZuYdrGOU","2023-05-30",83873
"Formula to Buy Your Dream Car","https://www.youtube.com/watch?v=5GRBUjb5ie4","2023-05-29",120371
"Intraday Trading with Data Reading | Learn Stock Market","https://www.youtube.com/watch?v=4qACsGl7N3k","2023-05-28",112726
"Gamma Blast Expiry Jackpot Strategy | Option Buying in Stock Market","https://www.youtube.com/watch?v=HzVEPVuG1ZA","2023-05-27",136706
"Formula to Buy Your Dream Home 🏡","https://www.youtube.com/watch?v=QETsXyqRqn0","2023-05-27",155168
"Parkinson's Law","https://www.youtube.com/watch?v=WIU2n2BViGU","2023-05-26",90519
"Iron Condor Strategy with Profitable Adjustments | Learn Trading in Share Market","https://www.youtube.com/watch?v=1jiVUtvOLmk","2023-05-26",73856
"अगर ये किया तो Income Tax Department से Notice पक्का आयेगा!","https://www.youtube.com/watch?v=iMf0GpOCZw8","2023-05-25",188448
"Iron Fly Strategy with Adjustments | Stock Market Trading","https://www.youtube.com/watch?v=1P2q17kSyxI","2023-05-25",87610
"India🇮🇳 Vs China 🇨🇳 Schools","https://www.youtube.com/watch?v=ckn1650zLpM","2023-05-24",9850
"Delta Neutral Strategy for Option Trading | Stock Market से लगातार पैसा बनाना है तो ये सीखों","https://www.youtube.com/watch?v=VYNEvDhcV1k","2023-05-23",102417
"Stock Market से पैसे कमाने के लिएJwellery Shop ही लूट ली","https://www.youtube.com/watch?v=sAdj7rTxBw4","2023-05-23",78466
"Why Tata Doesn’t Make Bikes?","https://www.youtube.com/watch?v=LNneXfaIxv8","2023-05-22",16500
"Beware of Latest Social Media Scams | Email Phishing, Instagram, Facebook, Telegram Scams","https://www.youtube.com/watch?v=2_mDQJ3-0ps","2023-05-21",78864
"₹2000 Notes Ban? Seriously 😏","https://www.youtube.com/watch?v=gwwgDT1wINs","2023-05-21",72240
"No Ban on ₹2000 Notes | Why RBI Withdraw Currency Circulation?","https://www.youtube.com/watch?v=281zL_UMiyw","2023-05-20",126445
"Free की मूँगफली 🤣 | कमाल की Business Strategy","https://www.youtube.com/watch?v=RVuckJU4T14","2023-05-20",111503
"No More Ban on “The Kerala Story”","https://www.youtube.com/watch?v=gtXhwyd-uyQ","2023-05-19",112563
"Options Trading Basics Explained | Share Market for Beginners","https://www.youtube.com/watch?v=yjyPdd7TQu0","2023-05-19",153675
"Top 5 Books For Stock Market","https://www.youtube.com/watch?v=Fr-USZhHTE8","2023-05-19",150221
"Price Action Free Masterclass | Learn Stock Market Trading","https://www.youtube.com/watch?v=vlpO_SNW2SI","2023-05-18",167586
"Assam Police Initiative on Over Weight Police Force including IAS","https://www.youtube.com/watch?v=WNEW97pGX3Q","2023-05-17",162444
"Chart Patterns for Trading | Learn Stock Market","https://www.youtube.com/watch?v=hudt_seQsAc","2023-05-16",157758
"When are you Ready for the Marriage? | Rules for Wedding","https://www.youtube.com/watch?v=tbbA6ASavlw","2023-05-15",99693
"Candlestick Patterns Learning Video | Stock Market Training","https://www.youtube.com/watch?v=WJP-VhMr4nU","2023-05-15",159654
"Sensex 100 to 60,000 | Returns from Stock Market","https://www.youtube.com/watch?v=d7-khpSCdxk","2023-05-13",167312
"Learn Chart Reading | Multi Time Frame Chart Analysis for Trading | Stock Market Technical Analysis","https://www.youtube.com/watch?v=Ak5ZWRHg1B0","2023-05-13",354391
"Option Chain + Price Action Trading Strategy | Learn Stock Market","https://www.youtube.com/watch?v=6aFcpGA0AqY","2023-05-12",143120
"Learn Crypto Trading | How to Trade in Bitcoin & Crypto Derivatives Tutorial","https://www.youtube.com/watch?v=bum9yg4gMyw","2023-05-11",80827
"How Rich Are You? |  आप कितने % लोगो से ऊपर हो Check with Your Salary/ Income or Wealth","https://www.youtube.com/watch?v=NFE64bvoXo0","2023-05-10",93176
"Remember this! Whenever You Sell Your Car or Bike!","https://www.youtube.com/watch?v=96wdZ0hIl5Y","2023-05-10",65949
"Which Stocks to Buy? | How to Select Best Stocks for Investment & Trading?","https://www.youtube.com/watch?v=BzWKsmMr4hk","2023-05-09",68079
"Stock Market Crash Course Book by Pushkar Raj Thakur","https://www.youtube.com/watch?v=aWangOKHrBM","2023-05-09",176093
"अरे एक दिन पूरा तो होने देते आप लोग 🔥🤩 Stock Market Book  | Learn Share Market","https://www.youtube.com/watch?v=pKGjGwPyhzk","2023-05-09",54592
"Investing in Share Market Using Market Mood Index Indicator","https://www.youtube.com/watch?v=r2ACX-QQqIk","2023-05-08",106531
"10 EMA Trading Strategy | Make Money in Stock Market with Anant Ladha","https://www.youtube.com/watch?v=2dnl5TggSJw","2023-05-07",332801
"Instant Earning Apps to Make Money Online","https://www.youtube.com/watch?v=x8W7EpD3Ndc","2023-05-06",504815
"Free Tools for YouTube Views Growth","https://www.youtube.com/watch?v=AGINsZnfxPo","2023-05-06",93331
"Expiry Special Strategy to Trade in Stock Market by CA Nitin Murarka","https://www.youtube.com/watch?v=D5iF_o1Nfc8","2023-05-05",130979
"Virat Vs Gambhir | Who is Right?","https://www.youtube.com/watch?v=HrSZLIDxJaY","2023-05-04",281637
"Go First Airlines Bankruptcy | इन Stocks पर रखो नज़र | Share Market","https://www.youtube.com/watch?v=eSttemeGrus","2023-05-03",85214
"Virat Kohli Vs Gautam Gambhir |  Reason of Fight in IPL CRICKET MATCH","https://www.youtube.com/watch?v=0DP8MSupZU8","2023-05-03",377677
"Earn using Chat GPT & AI Tools | How to Make Money Online?","https://www.youtube.com/watch?v=PmO2YMKoXnc","2023-05-02",456961
"Learn to Earn Money in Stock Market 📈","https://www.youtube.com/watch?v=4DWkc0Q3064","2023-05-01",87818
"My Portfolio Revealed | Mutual Fund SIP Investments | Money in Stock Market","https://www.youtube.com/watch?v=ewnac6e2hmw","2023-04-30",255181
"Youtube Will Pay You To Watch Videos?","https://www.youtube.com/watch?v=_yNluVs7ek0","2023-04-29",206122
"Nifty 30,000 Next Target | Nifty Price Prediction | Share Market Investment","https://www.youtube.com/watch?v=Jh5qXC7rfns","2023-04-29",90760
"Why U.S. Banks are Failing? Reasons for Mass Lay-offs!","https://www.youtube.com/watch?v=UiuhfwAxw9A","2023-04-28",151540
"Crypto Documentary | Bitcoin - Ethereum Blockchain - NFT - Tokens - WEB 3","https://www.youtube.com/watch?v=I1qaigXYXL8","2023-04-27",210618
"How to Check Cibil Score? |  Increase Your Cibil Score","https://www.youtube.com/watch?v=spuNHvILkik","2023-04-26",73711
"Mankind Pharma IPO Review & Details | Stock Market Investment","https://www.youtube.com/watch?v=5rhGv0uRnbo","2023-04-25",209543
"Marry Now Pay Later 😅","https://www.youtube.com/watch?v=oMBt1tE-5iQ","2023-04-24",376276
"Pair Trading in Options | Make Money like Hedge Funds in Share Market","https://www.youtube.com/watch?v=IqbVfLLZgyk","2023-04-23",106899
"Get 31%-41% Discount on New Car Purchase","https://www.youtube.com/watch?v=jcs9hdWN734","2023-04-21",104942
"31%-42% Off on New Car | Legal & Illegal Ways to Save Money & Get Discount on Car Purchase","https://www.youtube.com/watch?v=RbSqZVoJMj8","2023-04-20",353571
"Use ChatGPT to earn money from YouTube & Instagram","https://www.youtube.com/watch?v=KRdjHpyR7Do","2023-04-20",124863
"Dream11 Dark Reality","https://www.youtube.com/watch?v=QV5qJX49jto","2023-04-19",759607
"Why Govt. Will Not Ban Tobacco?","https://www.youtube.com/watch?v=NXW1RLBDwd0","2023-04-18",226653
"Earn 1 Crore on Dream 11 Dark Reality? | How to Win Mega💰? | Fantasy Sports Case Study","https://www.youtube.com/watch?v=ZTS-gJZ9wmA","2023-04-18",1522831
"Non Directional Option Trading Strategy | Iron Condor with a Twist | Share Market","https://www.youtube.com/watch?v=eO8hhNaHQ_s","2023-04-17",158751
"13% Returns on Investment | Xtra Plus Interest Income Explained","https://www.youtube.com/watch?v=gYVr-pPopLM","2023-04-17",167408
"Credit Card Use करते हो तो Credit  Utilisation Ratio को समझ लो | Cibil Score","https://www.youtube.com/watch?v=qYJNoJ-qcIA","2023-04-16",84482
"Market की Range निकालना सीखों! | Option Trading in Share Market","https://www.youtube.com/watch?v=i7JW2mIR88E","2023-04-15",177714
"Get 18-28% Discount on New Mobile Phones & Electronics","https://www.youtube.com/watch?v=_32cG3SRCE0","2023-04-14",241580
