"Title","video_url","Published_date","Views"
"How Credit Unions Compare to Banks - The Risk of Failure","https://www.youtube.com/watch?v=_kjbWuzm9-g","2023-05-26",104915
"Hindenburg Research Goes After Carl Icahn","https://www.youtube.com/watch?v=sj5fuYHxsUE","2023-05-05",201759
"Another US Bank Has Failed - Now What?","https://www.youtube.com/watch?v=7IQjUYzS-kI","2023-05-01",397188
"Investment Analyst Explains: Boiler Room","https://www.youtube.com/watch?v=0EumYORswPo","2023-04-28",67422
"Let's Talk De-Dollarization - Why the Dollar Isn't Going Anywhere Anytime Soon","https://www.youtube.com/watch?v=EO4k0fDC3eQ","2023-04-21",274264
"How Big Banks Stack Up to Silicon Valley Bank - Are Big Unrealized Losses a Risk?","https://www.youtube.com/watch?v=ZPlrkr1qaE0","2023-04-07",164895
"A Day in the Life of a 29-Year-Old Billionaire Trader","https://www.youtube.com/watch?v=V2F3vcL_914","2023-04-01",171958
"Tips for Becoming an Investment Analyst","https://www.youtube.com/watch?v=qVwfYszXHvw","2023-03-24",104029
"The End of Credit Suisse","https://www.youtube.com/watch?v=saGnpgIlP0o","2023-03-21",503197
"Important Update to Silicon Valley Bank Failure","https://www.youtube.com/watch?v=QFvTXm4_vaQ","2023-03-13",112114
"Two US Banks Just Failed - What Happened, and What Now?","https://www.youtube.com/watch?v=WowVQ4rhbt8","2023-03-11",1372636
"The US Debt Situation Explained","https://www.youtube.com/watch?v=bAlF39Y_Lvw","2023-03-03",612052
"Investment Analyst Explains Wall Street (The Movie)","https://www.youtube.com/watch?v=kGVKsUMo-Q8","2023-02-17",108273
"The Problem With Masterworks","https://www.youtube.com/watch?v=6ojOkPmm8lw","2023-02-10",696141
"The Adani Group Scandal Explained","https://www.youtube.com/watch?v=KyeFTgjfb30","2023-02-01",430609
"These Videos Aged Like Fine Wine - Why I'm Not Taking Credit","https://www.youtube.com/watch?v=sst5KtjPrPQ","2023-01-27",356056
"2022 Finance Rewind - The Crazy Year Behind Us","https://www.youtube.com/watch?v=E32v_bsasS8","2022-12-31",121310
"Investing During Recessions - How Should Investors Prepare?","https://www.youtube.com/watch?v=HtHH3i0izSQ","2022-12-16",250397
"Investment Analyst Reacts to Investing TikToks (Part 4)","https://www.youtube.com/watch?v=DTL2rNhbw3Q","2022-12-02",476530
"The Problem With Finance YouTube Thumbnails","https://www.youtube.com/watch?v=-a4CKVRvgoY","2022-11-18",168192
"Live Birthday Q&A Stream # 2","https://www.youtube.com/watch?v=BL_L4hHBTLc","2022-11-18",28440
"The FTX Situation - Promoters Should Have Known Better","https://www.youtube.com/watch?v=AkEKgvHLNT8","2022-11-11",414067
"The Passive Income Scam","https://www.youtube.com/watch?v=AqZbO8Ojhmw","2022-11-04",1013823
"Investment Analyst Explains Margin Call","https://www.youtube.com/watch?v=H7xCo0CJ02A","2022-10-21",509207
"Credit Suisse - 2022's Latest 'Lehman Brothers Moment'","https://www.youtube.com/watch?v=sDSOOtWAF0k","2022-10-07",330178
