"Title","video_url","Published_date","Views"
"Warren Buffet's Investment Checklist","https://www.youtube.com/watch?v=cJRa8h2uBrI","2021-06-15",295
"Why Amazon Stock Is A PRIME Investment","https://www.youtube.com/watch?v=-4gqvmcm3Ao","2021-06-14",149
"Is Phil Town Legit? I Have Doubts...","https://www.youtube.com/watch?v=3vXWctD_-AI","2021-06-10",579
"#1 Industry To Invest In RIGHT NOW!","https://www.youtube.com/watch?v=m3HP3LOUwl8","2021-06-08",210
"Is Facebook Stock A Buy Right Now?!","https://www.youtube.com/watch?v=hKIPU1vJYTU","2021-05-31",220
"Why Investing In Crypto Is ABSOLUTELY STUPID","https://www.youtube.com/watch?v=h_nP3vECaG4","2021-05-26",342
"Pabrai Thinks Shinoken Stock WILL DOUBLE!","https://www.youtube.com/watch?v=jo-pM2gUBj0","2021-05-24",427
"How I Saved My First $100,000 in 2 Years | Worth It?","https://www.youtube.com/watch?v=KE9mhZDPhpw","2021-05-21",162
"WARNING: STOCK MARKET CRASH COMING | WHAT I'M DOING","https://www.youtube.com/watch?v=PZg5aQwXgdg","2021-05-19",264
"BABA STOCK Is Now My BIGGEST Position | 2 Reasons","https://www.youtube.com/watch?v=elzoompqGcI","2021-05-17",2046
"MY STOCK PORTFOLIO! | Gains & Losses Included!","https://www.youtube.com/watch?v=6FRISh2tqj4","2021-05-14",246
"I Just LOADED UP on Shinoken Stock | Should You?","https://www.youtube.com/watch?v=T80kPU5euoA","2021-05-12",376
"Why It’s HARD To Be A GREAT Investor","https://www.youtube.com/watch?v=qnP4F3nS1UY","2021-05-06",120
"3 Ways to Find DEEPLY Undervalued Stocks","https://www.youtube.com/watch?v=FIdGHQisax4","2021-05-03",180
"Why Most People Won't Be Rich | But How YOU CAN","https://www.youtube.com/watch?v=Toa-3njxXfc","2021-04-30",286
"How to Value A Stock | My Intrinsic Value Calculator","https://www.youtube.com/watch?v=AzWdP7FxPp8","2021-04-28",225
"How Stocks & Compounding Make YOU Crazy Rich","https://www.youtube.com/watch?v=4x-g0yDQO9c","2021-04-26",254
"What is Value Investing? | Is Value Investing Dead?","https://www.youtube.com/watch?v=kftunOtFouQ","2021-04-22",155
"MTH Stock Valuation | Is MTH Stock Deeply Undervalued?","https://www.youtube.com/watch?v=NuulOt25PwI","2021-04-20",275
"Alibaba Stock Valuation | Is Alibaba Stock a Buy?","https://www.youtube.com/watch?v=Fr2I_ZNOO7U","2021-04-17",742
"CHANNEL UPDATE | LIFE UPDATE","https://www.youtube.com/watch?v=2iGNpnhNV9I","2021-04-15",671
