"Title","video_url","Published_date","Views"
"How Benjamin Graham Made His First $1,000,000","https://www.youtube.com/watch?v=NvMqkOxmasI","2023-04-29",53201
"Why You Can Beat the Investment Professionals (a Wall Street story)","https://www.youtube.com/watch?v=86zK1_1QK88","2023-04-14",59531
"Why Some Stocks are Cheap & Others Expensive","https://www.youtube.com/watch?v=6R415oYu7kc","2023-03-20",51161
"RICHER, WISER, HAPPIER (BY WILLIAM GREEN)","https://www.youtube.com/watch?v=Xsp0_IupS0U","2023-01-30",103279
"Value Investing Explained in 5 Levels of Difficulty","https://www.youtube.com/watch?v=HKB2H7IM6NY","2022-12-19",136929
"Warren Buffett: 12 Mistakes Every Investor Makes","https://www.youtube.com/watch?v=nUucyfWpL0A","2022-10-29",401272
"The Story of the Great Bear of Wall Street","https://www.youtube.com/watch?v=ZdgSoIebQKI","2022-10-22",198532
"THE AUTOMATIC MILLIONAIRE SUMMARY (BY DAVID BACH)","https://www.youtube.com/watch?v=QLo0GQmCaIw","2022-10-01",109671
"Warren Buffett: How to Identify Superior Stocks (Moats)","https://www.youtube.com/watch?v=FkmWzdztCqE","2022-07-29",79189
"Bitcoin: A Long-Term Buy?","https://www.youtube.com/watch?v=l7cc-nLKaqc","2022-06-24",122130
"Improve Your Finances by 3495% | Atomic Habits by James Clear","https://www.youtube.com/watch?v=G64nE2FDADc","2022-06-08",596030
"Diversification: Many Investors Miss an Important Point","https://www.youtube.com/watch?v=jg_MflByI3Y","2022-05-20",72700
"INVESTING FOR GROWTH (BY TERRY SMITH)","https://www.youtube.com/watch?v=16OTs9Tql7Y","2022-05-14",142724
"Warren Buffett: There are Still Opportunities in the Market","https://www.youtube.com/watch?v=A7XhL7J47jU","2022-05-06",56872
"How I Find My Stocks: Step-By-Step Method","https://www.youtube.com/watch?v=09MQaNsU_7E","2022-04-01",374675
"Financial Statements Made Simple (For Investors)","https://www.youtube.com/watch?v=uEjKr_Z92mA","2022-04-01",152692
"The Intelligent Investor’s Road to $1,000,000","https://www.youtube.com/watch?v=5Vxjyz9DZ6k","2022-02-02",3611239
"The Hierarchy of Productivity: Getting Things Done","https://www.youtube.com/watch?v=T0yiFFSH8mg","2021-11-13",123755
"Warren Buffett: How Many Stocks Should You Own?","https://www.youtube.com/watch?v=FmJndR4aonU","2021-11-08",318766
"Charlie Munger Roasting People for 5 Minutes Straight","https://www.youtube.com/watch?v=-ic6BRnziNk","2021-10-31",565950
"WHEN GENIUS FAILED (BY ROGER LOWENSTEIN)","https://www.youtube.com/watch?v=qVSNzW2964g","2021-10-24",182063
"Would You Pass the Warren Buffett Test?","https://www.youtube.com/watch?v=dP4r0RQ3_74","2021-10-16",74683
"Warren Buffett: Be Cheap to Get Rich?","https://www.youtube.com/watch?v=uwvjgVCOxTA","2021-10-09",361179
"FREE CAPITAL: HOW 12 PRIVATE INVESTORS MADE MILLIONS IN THE STOCK MARKET","https://www.youtube.com/watch?v=RITtJlyT6gU","2021-10-02",269380
"Charlie Munger: Mental Models for the Rest of Your Life (PART 7)","https://www.youtube.com/watch?v=FIwAM1Ozxrk","2021-09-01",57417
"Charlie Munger: Mental Models for the Rest of Your Life (PART 6)","https://www.youtube.com/watch?v=DMi1ei1pzzs","2021-08-26",50638
"Charlie Munger: Mental Models for the Rest of Your Life (PART 5)","https://www.youtube.com/watch?v=InCSo-A033Q","2021-08-15",60768
"Charlie Munger: Mental Models for the Rest of Your Life (PART 4)","https://www.youtube.com/watch?v=QuhxBuhv_co","2021-08-05",79343
"Charlie Munger: Mental Models for the Rest of Your Life (PART 3)","https://www.youtube.com/watch?v=p8VK5iajWyw","2021-07-10",101167
"Charlie Munger: Mental Models for the Rest of Your Life (PART 2)","https://www.youtube.com/watch?v=cgfuEEnsuAc","2021-07-03",149432
"Charlie Munger: Mental Models for the Rest of Your Life","https://www.youtube.com/watch?v=ywyQ_eNNCJU","2021-06-26",413544
"Warren Buffett: How to Make Money During Inflation","https://www.youtube.com/watch?v=tlwyV3DYPHY","2021-05-29",669076
"Warren Buffett: The 3 Times When You Should Sell a Stock","https://www.youtube.com/watch?v=uh5MgS9_roA","2021-05-22",739394
"The $25B Day Trader that Even Warren Buffett Acknowledges","https://www.youtube.com/watch?v=Q2u0dKRA1cA","2021-05-15",872235
"Key Takeaways from Berkshire Hathaway’s Annual Meeting (2021)","https://www.youtube.com/watch?v=P_NH6MyAyN8","2021-05-05",136282
"THE BUFFETT PARTNERSHIP LETTERS (BY WARREN BUFFETT)","https://www.youtube.com/watch?v=UHEO65cWAqw","2021-05-01",68987
"How Charlie Munger Made His First $1,000,000","https://www.youtube.com/watch?v=yq1xlVKM9sU","2021-03-21",728890
"What if You Invested With the World’s Richest for 20 Years?","https://www.youtube.com/watch?v=CspT5_OlGik","2021-03-08",63936
"THE PSYCHOLOGY OF MONEY (BY MORGAN HOUSEL)","https://www.youtube.com/watch?v=TJDcGv9OH4Q","2021-02-26",3385973
"Beware the Stock Tip “Gurus”","https://www.youtube.com/watch?v=eBAnnvs2OB0","2021-02-11",39367
"The 7 Greatest Books for Investing & Money (RANKED!)","https://www.youtube.com/watch?v=NPnjrIstlA4","2021-02-06",246129
"How Warren Buffett Made His First $1,000,000","https://www.youtube.com/watch?v=M5i_YYAXsAM","2020-12-13",1695459
"Buffett’s 2017 Advice to Ambitious Investors (AGELESS)","https://www.youtube.com/watch?v=UJDYyVO7BBc","2020-11-25",57814
"Seth Klarman: The $30 Billion Value Investor","https://www.youtube.com/watch?v=DjYOIdvdKSE","2020-11-08",97706
"Did You Miss This 2018 Warren Buffett Investing Advice ..?","https://www.youtube.com/watch?v=Zub2_kwwseo","2020-10-31",61944
"TIMELESS Investment Advice from Warren Buffett in 2019","https://www.youtube.com/watch?v=ujtoMoVx38A","2020-10-24",59310
"Warren Buffett’s Smartest Money Advice in 2020","https://www.youtube.com/watch?v=ZSZI_A6fAVA","2020-10-17",205729
"THE EDUCATION OF A VALUE INVESTOR (BY GUY SPIER)","https://www.youtube.com/watch?v=WztghDsm2Ak","2020-10-10",106869
"Warren Buffett’s 25 Most Important Investments Ever (RANKED!)","https://www.youtube.com/watch?v=jMuX_-hE7SQ","2020-10-02",1109183
"THE WEALTH OF NATIONS | PART 2 (BY ADAM SMITH)","https://www.youtube.com/watch?v=423Hu1I5wa8","2020-08-09",77328
"THE WEALTH OF NATIONS SUMMARY (BY ADAM SMITH)","https://www.youtube.com/watch?v=Dl2XMz7LgQU","2020-07-27",217986
"HOW AN ECONOMY GROWS AND WHY IT CRASHES (BY PETER SCHIFF)","https://www.youtube.com/watch?v=2kJxqIO5sxQ","2020-07-02",81348
"THE WARREN BUFFETT PORTFOLIO (1980 - PRESENT)","https://www.youtube.com/watch?v=-G6eWerOwn8","2020-06-17",116038
"THE YEAR OF LESS (BY CAIT FLANDERS)","https://www.youtube.com/watch?v=LmniC8MBZmc","2020-05-31",37191
"COMPETITIVE STRATEGY (BY MICHAEL PORTER)","https://www.youtube.com/watch?v=dqmH5VwFZwg","2020-05-16",105334
"A HISTORY OF THE UNITED STATES IN FIVE CRASHES (BY SCOTT NATIONS)","https://www.youtube.com/watch?v=QIAWUXXSoQM","2020-04-30",371130
"THE INVESTMENT ZOO (STEPHEN JARISLOWSKY)","https://www.youtube.com/watch?v=Gcl8St_dZsk","2020-04-12",41945
"INVESTING AGAINST THE TIDE (BY ANTHONY BOLTON)","https://www.youtube.com/watch?v=GG3itWGq5v8","2020-03-17",61889
"THE OUTSIDERS (BY WILLIAM THORNDIKE)","https://www.youtube.com/watch?v=wPGB79oM3qw","2020-03-07",45699
"THE LITTLE BOOK OF VALUATION (BY ASWATH DAMODARAN)","https://www.youtube.com/watch?v=WMdnaRQ4EOE","2020-02-29",218366
"SIR JOHN TEMPLETON: INVESTING THE TEMPLETON WAY","https://www.youtube.com/watch?v=zwvhzeD8Mgk","2020-02-23",65657
"YOU CAN BE A STOCK MARKET GENIUS (BY JOEL GREENBLATT)","https://www.youtube.com/watch?v=ZaR3yotbH6U","2020-02-15",96137
"PICKING GROWTH STOCKS (BY T. ROWE PRICE JR)","https://www.youtube.com/watch?v=Q6pPfzwQe8k","2020-02-08",148444
"WARREN BUFFETT: THE MAKING OF AN AMERICAN CAPITALIST (ROGER LOWENSTEIN)","https://www.youtube.com/watch?v=KLayWvhXchs","2020-02-01",44235
"THE ACQUIRER’S MULTIPLE (BY TOBIAS CARLISLE)","https://www.youtube.com/watch?v=nsQYjz9XI2c","2020-01-25",77267
"BIG MISTAKES (BY MICHAEL BATNICK)","https://www.youtube.com/watch?v=bK4sZgA9sJQ","2020-01-18",145938
"FINANCIAL SHENANIGANS (BY HOWARD SCHILIT)","https://www.youtube.com/watch?v=Zg-led5YMlo","2020-01-14",45608
"THE FIRST BOOK ON INVESTING I EVER READ","https://www.youtube.com/watch?v=EWUY94E-OW0","2020-01-04",55266
"THE ALCHEMY OF FINANCE (BY GEORGE SOROS)","https://www.youtube.com/watch?v=qpq5lJTI9_Y","2019-12-14",154388
"POOR CHARLIE’S ALMANACK (BY CHARLIE MUNGER)","https://www.youtube.com/watch?v=FyCHApY57S4","2019-12-07",286755
"CONSERVATIVE INVESTORS SLEEP WELL SUMMARY (BY PHILIP FISHER)","https://www.youtube.com/watch?v=IPfdxMB3nws","2019-11-30",100202
"MASTERING THE MARKET CYCLE (BY HOWARD MARKS)","https://www.youtube.com/watch?v=ebWL2TrIssA","2019-11-24",320779
"BEATING THE STREET SUMMARY (BY PETER LYNCH)","https://www.youtube.com/watch?v=ihsCWCiJozQ","2019-11-03",136509
"THE 4-HOUR WORK WEEK (BY TIM FERRISS)","https://www.youtube.com/watch?v=M3gmC7WmB4Q","2019-10-22",248026
"THE MILLIONAIRE FASTLANE (BY MJ DEMARCO)","https://www.youtube.com/watch?v=anJFf9pN16g","2019-10-10",589538
"I WILL TEACH YOU TO BE RICH (BY RAMIT SETHI)","https://www.youtube.com/watch?v=oaInq6tD54w","2019-09-30",504797
"WARREN BUFFETT AND THE INTERPRETATION OF FINANCIAL STATEMENTS","https://www.youtube.com/watch?v=lBBXmim527A","2019-09-24",761452
"THE UNIVERSITY OF BERKSHIRE HATHAWAY (BUFFETT & MUNGER ADVICE)","https://www.youtube.com/watch?v=bcn73uiKmig","2019-09-07",348706
"HOW TO WIN FRIENDS AND INFLUENCE PEOPLE (BY DALE CARNEGIE)","https://www.youtube.com/watch?v=3wi_-1G9cXU","2019-08-27",178812
"100 BAGGERS: STOCKS THAT RETURN 100-TO-1","https://www.youtube.com/watch?v=cvSeEVuhmwY","2019-08-18",242388
"THE ESSAYS OF WARREN BUFFETT (HOW TO INVEST IN STOCKS)","https://www.youtube.com/watch?v=A4Y1FTMrhQk","2019-08-10",236782
"THE SIGNAL AND THE NOISE (BY NATE SILVER)","https://www.youtube.com/watch?v=POrb5ZogvDs","2019-07-30",51597
"THE BOOK ON RENTAL PROPERTY INVESTING (BY BRANDON TURNER)","https://www.youtube.com/watch?v=uy_XL1GlFec","2019-07-26",232908
"TOP 5 INVESTING/MONEY ADVICE OF 2018-2019","https://www.youtube.com/watch?v=rwTMKsWlYhY","2019-07-22",94018
"THE LITTLE BOOK THAT BEATS THE MARKET (BY JOEL GREENBLATT)","https://www.youtube.com/watch?v=fzig7KJFuNU","2019-07-13",627001
"THE DHANDHO INVESTOR (BY MOHNISH PABRAI)","https://www.youtube.com/watch?v=wxuUXayOpOs","2019-07-06",201705
"RICH DAD’S GUIDE TO INVESTING (BY ROBERT KIYOSAKI)","https://www.youtube.com/watch?v=8z9ARscmPqE","2019-06-27",626534
"MONEY MASTER THE GAME (BY TONY ROBBINS)","https://www.youtube.com/watch?v=05fiNaWLnHo","2019-06-20",702121
"THINK AND GROW RICH SUMMARY (BY NAPOLEON HILL)","https://www.youtube.com/watch?v=7UbxJCIUQRE","2019-06-11",900572
"TRADING FOR A LIVING (BY DR ALEXANDER ELDER)","https://www.youtube.com/watch?v=sxjlKDCEGHs","2019-06-03",638836
"SECURITY ANALYSIS | PART 4 - BONDS & PREFERRED STOCKS (BY BEN GRAHAM)","https://www.youtube.com/watch?v=bUS-KRFPXAQ","2019-05-26",55636
"SECURITY ANALYSIS | PART 3 - THE STOCK MARKET (BY BENJAMIN GRAHAM)","https://www.youtube.com/watch?v=qFrvLHhCyTU","2019-05-23",110774
"SECURITY ANALYSIS | PART 2- FINANCIAL STATEMENTS (BY BENJAMIN GRAHAM)","https://www.youtube.com/watch?v=H1WbbsxFCL0","2019-05-12",126117
"SECURITY ANALYSIS (BY BENJAMIN GRAHAM) | PART 1","https://www.youtube.com/watch?v=GAal2K6fzeM","2019-05-05",256422
"THE BED OF PROCRUSTES (BY NASSIM TALEB)","https://www.youtube.com/watch?v=pOz2LVCp3Mk","2019-04-23",31148
"ANTIFRAGILE SUMMARY (BY NASSIM TALEB) PART 2","https://www.youtube.com/watch?v=iTcEDyXkOSw","2019-04-21",70441
"ANTIFRAGILE SUMMARY (BY NASSIM TALEB)","https://www.youtube.com/watch?v=-MMLea-_ifw","2019-04-21",201263
"THE MOST IMPORTANT THING (BY HOWARD MARKS)","https://www.youtube.com/watch?v=vFrgdvFKGVU","2019-04-17",213818
"SKIN IN THE GAME SUMMARY (BY NASSIM TALEB)","https://www.youtube.com/watch?v=chKZ5BVxTfY","2019-04-16",133954
"Investing Explained Through Game of Thrones","https://www.youtube.com/watch?v=kQ1uyebjkpU","2019-04-14",12286
"THE BAREFOOT INVESTOR (BY SCOTT PAPE)","https://www.youtube.com/watch?v=oDdTczTv_KY","2019-04-12",227482
