"Title","video_url","Published_date","Views"
"ChatGPT & Prompt Engineering FREE eBook by @ThinkSchool First Mentor @AnshMehraAI","https://www.youtube.com/watch?v=1LejnaLgCl0","2023-05-31",26554
"How Bangalore became the SILICON valley of Asia? | Business case study","https://www.youtube.com/watch?v=cjhlcIOgUy4","2023-05-18",473837
"Why Gofirst Bankruptcy is a GENIUS business strategy? | Business Case Study @the_unconventional_ca","https://www.youtube.com/watch?v=hOX0YQXTc_E","2023-05-13",651167
"Has BJP Failed Karnataka? | Karnataka Model Case study","https://www.youtube.com/watch?v=098cgN5PH0s","2023-05-07",1249461
"Big Win for India over China! : Matarbari Port Bangladesh @ThinkSchool","https://www.youtube.com/watch?v=m0EMukYrJNA","2023-05-06",634776
"Steve Jobs’ Secret Design Strategy for Apple Stores EXPLAINED @ThinkSchool","https://www.youtube.com/watch?v=tfIJd7hwIv0","2023-05-04",625917
"India’s Railway project in Kashmir is making Pakistan & China restless?? @ThinkSchool","https://www.youtube.com/watch?v=1neaaEFU48Y","2023-05-02",2887621
"How to invest in Indian Real Estate with 10,000Rs? : Business model of REITs ft@moneymonitors","https://www.youtube.com/watch?v=Lp6qMbtKdWE","2023-04-30",454291
"Why Apple Inc. chose INDIA over CHINA? @ThinkSchool","https://www.youtube.com/watch?v=417CAf5OQvQ","2023-04-28",6215890
"How AI will KILL Indian businesses? : Business case study","https://www.youtube.com/watch?v=VzUmLAUPSQo","2023-04-27",1046007
"How TATA’s GENIUS strategy is turning TATA Tech into a LEGEND? : Tata technologies case study","https://www.youtube.com/watch?v=BlDYS_2X5wI","2023-04-09",888198
"How USA’s evil MONEY PRINTING strategy is killing the world economy?  Geopolitical Case Study","https://www.youtube.com/watch?v=0PluOhrvB3A","2023-04-04",1453775
"How did Credit Suisse fail so fast? What can Indians learn from this Economic case study?","https://www.youtube.com/watch?v=kyCopA4K41w","2023-03-27",586824
"How INDIAN SUPER CROP MILLETS can make Indian farmers RICH? : Millets ft @digvijaylifestyle","https://www.youtube.com/watch?v=Vh8FaokLWus","2023-03-22",571402
"How did Silicon Valley Bank fail? : Business case study ft @moneymonitors","https://www.youtube.com/watch?v=wO7copUXogI","2023-03-15",973884
"How Putin’s Genius STRATEGY is making RUSSIA SUPER-POWERFUL? : Geopolitics Case study","https://www.youtube.com/watch?v=YWara0eQsDk","2023-03-09",1420076
"How Paytm is secretly KILLING Phonepe and Bharatpe? : Detailed Business CaseStudy","https://www.youtube.com/watch?v=7TcG9cPj2gA","2023-03-05",963304
"Why does George Soros want to bring  MODI down? How does this affect India? Geopolitics casestudy","https://www.youtube.com/watch?v=s0plBLop2yg","2023-03-01",1281163
"How Lithium Ore discovery in J&K will be a game changer for India? : Can India Replace China?","https://www.youtube.com/watch?v=EZkZe-BuXf8","2023-02-24",1051277
"How India fooled America and Pakistan to become a NUCLEAR POWER? : Geopolitical case study","https://www.youtube.com/watch?v=WD2nz_IKyJM","2023-02-21",2028538
"How Sikkim’s GENIUS strategy turned it into the fastest growing state in India?: Case Study","https://www.youtube.com/watch?v=KDsGPYETAd4","2023-02-19",874582
"How Vajpayee’s MASTERSTROKE saved the Indian economy? : National Pension Scheme case study","https://www.youtube.com/watch?v=2nIRHB3FtOc","2023-02-16",887051
"How Modi govt has changed North East forever? : Geopolitics CaseStudy","https://www.youtube.com/watch?v=IIv7SNc3Ass","2023-02-14",1070689
"Budget 2023 EXPLAINED in 20 mins in SIMPLE WORDS : Economic case study","https://www.youtube.com/watch?v=iw5AdKOM-IU","2023-02-08",871728
"Hindenburg has Killed Adani Group?: Decoding Adani’s response to Hindenburg (Business case study)","https://www.youtube.com/watch?v=4WSAeT_XDaI","2023-02-04",2093690
"How Adani's Genius strategy made him the KING of Indian ports market? : Business case study","https://www.youtube.com/watch?v=wO28dHUQusU","2023-01-30",655108
"How Saudi Arabia is HIDING its own Downfall? :Geopolitics Case Study","https://www.youtube.com/watch?v=laeodkCLGaI","2023-01-28",2303515
"How to Sell Anything in India? Cycle Pure Agarbatti Detailed Business Case Study","https://www.youtube.com/watch?v=HC5-z8kNC4c","2023-01-24",592298
"What is the Hidden truth of Paytm’s Buyback Strategy? : Business case study","https://www.youtube.com/watch?v=qL4DvHZUPfc","2023-01-22",455906
"Why RBI and Modi govt are failing to control inflation? : Indian Economics Case study","https://www.youtube.com/watch?v=r7JPdtYx4sg","2023-01-19",699430
"Why Taliban is Capturing Pakistan? What it means for India? : Geopolitics Case Study","https://www.youtube.com/watch?v=JvNUTGivuxg","2023-01-12",1461662
"How Nykaa’s Genius Financial Strategy Backfired? : Nykaa Business case study","https://www.youtube.com/watch?v=QRGO9wvNPQc","2023-01-07",1715322
"The Oil war between Russia vs USA and Europe Explained | How will it change India? : Geopolitics","https://www.youtube.com/watch?v=Ko3K8Duq4Eo","2023-01-03",1766786
"How Tamil Nadu's Socio-Economic Model Made it the 2nd Richest State in INDIA (GDP) : Case study","https://www.youtube.com/watch?v=bpjKmJnRPV8","2022-12-25",1346947
"Pakistan Civil War: Will this mark the END of Pakistan? : Geopolitical Case Study","https://www.youtube.com/watch?v=PPsqTl5o3VQ","2022-12-23",1616474
"The Death of BNPL (Buy Now Pay Later) Startups? : Multipl Business Case Study","https://www.youtube.com/watch?v=OKQDst5GUc0","2022-12-16",610529
"How did China go from POVERTY to becoming a GLOBAL SUPERPOWER? : China Growth case study","https://www.youtube.com/watch?v=7UdCt_Rsevk","2022-12-09",1097208
"How Elon Musk's Twitter Stunt can shake the US Markets & cause a RECESSION? : Business Case Study","https://www.youtube.com/watch?v=EIZhJmqIc00","2022-12-06",787980
"Is Gujarat model a Disaster or a Miracle? : Gujarat model case study","https://www.youtube.com/watch?v=zawAVCpQNgg","2022-12-02",1087734
"How Qatar is using Hitler's strategy to rise in POWER : Qatar World cup Case study","https://www.youtube.com/watch?v=ynVikeFUvW8","2022-12-01",1210575
"How Saudi Arabia Joining BRICS can shift the world power? : USA vs Saudi Arabia Explained.","https://www.youtube.com/watch?v=rfZ7u-ecfEg","2022-11-25",2851621
"Why Elon Musk is WRONG about TWITTER and FREE speech? : Business Case Study","https://www.youtube.com/watch?v=nPrVYCtJfgQ","2022-11-22",704623
"Why Telecom Draft Bill 2022 is a disaster in the making? : Telecom draft bill 2022 Case study","https://www.youtube.com/watch?v=ycLO5Oa5ZI8","2022-11-18",635276
"What is India's SECRET strategy to build the BEST HEALTHCARE network in the world ? : UHI Case study","https://www.youtube.com/watch?v=1qEZwj_Iacw","2022-11-16",705130
"How American PROPAGANDA started the Saudi-Iran War? : Geopolitical Case Study","https://www.youtube.com/watch?v=3Oo9tEo6F6g","2022-11-12",1077049
"Can RBI's Digital Rupee Initiative help INDIA beat the USA’s SWIFT Network Dominance?","https://www.youtube.com/watch?v=07yMvq5WxAs","2022-11-05",1153144
"How USA's evil strategy KILLED Japan's economy? : Japan's economic crisis EXPLAINED in simple words","https://www.youtube.com/watch?v=GzXurOLwXMY","2022-11-01",1008496
"How Germany's SUBSIDY WAR is BREAKING the European Union and helping Russia? : Economic case study","https://www.youtube.com/watch?v=mDRom6ahzsA","2022-10-29",2330628
"How Yogi Adityanath's STRATEGY is turning Uttar Pradesh into a Mega Export Hub? :Business Case study","https://www.youtube.com/watch?v=ALmSPw2EKjg","2022-10-25",1615955
"How GATI SHAKTI MASTERPLAN will help India SNATCH factories from China? : Logistics Infra case study","https://www.youtube.com/watch?v=py0cfqlhTp8","2022-10-22",1051601
"How GST has CHANGED/ MESSED UP the Indian Economy?: Indian Business Casestudy (Corrected Video)","https://www.youtube.com/watch?v=akZ2R4RDDpY","2022-10-19",501855
"How Saudi Arabia & Russia are crushing the US and UK economies? : Saudi Arabia vs USA","https://www.youtube.com/watch?v=aGVtLubW9q0","2022-10-14",5018360
"How Adani Vs Reliance Vs Airtel's 5G Race shape the future of India? : 5G Business case study","https://www.youtube.com/watch?v=7lqGQ17A2c4","2022-10-11",568742
