"Title","video_url","Published_date","Views"
"4 Signs Your Relationship Won’t Last","https://www.youtube.com/watch?v=MGiRD8UmTuU","2023-05-22",97186
"How To Deal With Insults","https://www.youtube.com/watch?v=t_29o-TGIh0","2023-05-15",116475
"How To Attract More Women With Ease","https://www.youtube.com/watch?v=05vQ08uH-s0","2023-05-08",173238
"How To Turn Awkwardness Into Confidence","https://www.youtube.com/watch?v=s7bIwBjAnKY","2023-05-01",461662
"5 Habits That Make People Dislike You","https://www.youtube.com/watch?v=TTY9qZLZ4vU","2023-04-24",158584
"Make Someone Regret Disrespecting You","https://www.youtube.com/watch?v=_eX-sr9m-e4","2023-04-17",673603
"8 Psychology Tricks That Make People Obsessed With You","https://www.youtube.com/watch?v=GhYerYFzFJA","2023-04-10",643431
"3 Habits That Make People Dislike You","https://www.youtube.com/watch?v=KzVpGjwGrIM","2023-04-03",191188
"3 Habits To Look Witty In Conversation","https://www.youtube.com/watch?v=sHcwucI4uYc","2023-03-27",165418
"How To Make Someone Regret Interrupting You","https://www.youtube.com/watch?v=VaNM7ewZC3M","2023-03-20",276148
"How To Be Charming And Quiet At The Same Time","https://www.youtube.com/watch?v=WdkdpLljGDw","2023-03-13",555724
"3 Jokes That Make You Instantly Likable","https://www.youtube.com/watch?v=Tg_YBL2u7l8","2023-03-06",806902
"How To Break Free From Anxiety Right Now","https://www.youtube.com/watch?v=z5NP8UwFa2Q","2023-02-27",186153
"This Habit Turns Anxiety Into Confidence","https://www.youtube.com/watch?v=YJkFNtDAqqA","2023-02-20",176172
"How To Be Fearless Under Pressure","https://www.youtube.com/watch?v=eA0VLwFIPUQ","2023-02-13",504142
"This Joke Makes You Instantly Likable","https://www.youtube.com/watch?v=svQMg6EVw1o","2023-02-06",588681
"6 AWFUL Habits That Make You Look Low Status","https://www.youtube.com/watch?v=UOUBOFZ3Tos","2023-01-30",1114987
"This Habit Instantly Makes You More Attractive","https://www.youtube.com/watch?v=KBnhkOSMo24","2023-01-23",412864
