"Title","video_url","Published_date","Views"
"5 Shocking Truths About Women Most Men Learn Too Late","https://www.youtube.com/watch?v=7246u0jMihs","2023-05-21",3614
"5 Rules Of The 1% (Life Changing)","https://www.youtube.com/watch?v=nOjoO-xCSlY","2023-05-20",4401
"5 Reasons Girls Ignored You In Highschool","https://www.youtube.com/watch?v=kYH3BUnLOZI","2023-05-19",3232
"5 Masculine Lessons Your Father Never Gave You","https://www.youtube.com/watch?v=ecRCJXaaB_A","2023-05-18",4542
"5 Masculine Lessons From The King With 700 Wives","https://www.youtube.com/watch?v=I_vA04s6_zg","2023-05-17",3030
"5 Lessons From The King With 700 Wives","https://www.youtube.com/watch?v=IFbraFC5co4","2023-05-16",4528
"5 HIDDEN Behaviors That Project Weakness","https://www.youtube.com/watch?v=mu6BAbgK250","2023-05-15",4721
"5 HIDDEN Behaviors That Destroy A Man's Confidence","https://www.youtube.com/watch?v=M8XMu2xRYFQ","2023-05-14",4974
"5 Truths About Women I Wish I Knew Sooner","https://www.youtube.com/watch?v=E9Yb08m8GmU","2023-05-13",5482
"5 Shocking Lessons About Women Men Learn Too Late","https://www.youtube.com/watch?v=GHym--FKg9c","2023-05-12",6111
"5 Behaviors That Will Make Women Treat You Like A King","https://www.youtube.com/watch?v=ZacHp6U4DNE","2023-05-09",7172
"Women Value A Man With...","https://www.youtube.com/watch?v=WRW88DPl4s8","2023-04-29",4488
"How To Be Masculine Around Women","https://www.youtube.com/watch?v=UQXttkhoY-s","2023-04-29",4534
"How To Project Masculine Energy","https://www.youtube.com/watch?v=nJjo0K7PNB8","2023-04-29",6954
"How To Be More Masculine","https://www.youtube.com/watch?v=eS3rVZvVNIE","2023-04-29",4607
"The Type Of Man They REALLY Want","https://www.youtube.com/watch?v=1NFYkMbOGA4","2023-04-29",4123
"The 5 Rules Of Sigma Male Game","https://www.youtube.com/watch?v=LZqEP7mjpSc","2022-10-18",70395
"4 Reasons Girls NEVER Ignore Sigma Males","https://www.youtube.com/watch?v=i2YbcHEatPg","2022-10-16",57146
"6 Ways To Dominate Life Like A Sigma Male","https://www.youtube.com/watch?v=3Nz0FSeOxbI","2022-10-14",54743
"6 RED FLAGS In Women That SIGMAS Never Tolerate","https://www.youtube.com/watch?v=ogxrIU9gVAA","2022-10-12",58577
"5 Ways Girls Treat Sigma Males Differently (The Sigma Effect)","https://www.youtube.com/watch?v=W5-7BYkaPoQ","2022-10-10",43533
"5 Powerful Ways Sigma Males Command Respect","https://www.youtube.com/watch?v=_i6zupnS-kw","2022-10-08",44310
"5 Craziest Things I Have Ever Learned About Girls","https://www.youtube.com/watch?v=8upQM-8hQPg","2022-10-04",47225
"5 Crazy Seduction Hacks Used By The Top 1% Of Men","https://www.youtube.com/watch?v=AEkRKPOl45E","2022-09-30",76841
"5 Rules Men Must Never Break (Attraction Power Dynamics)","https://www.youtube.com/watch?v=dI3-3hItZ7Y","2022-09-28",116357
"Don't Be This Guy...","https://www.youtube.com/watch?v=PUQg-AmvfuE","2022-09-25",38197
"This Is Why 3.97 Billion Men Can't Get A Girlfriend","https://www.youtube.com/watch?v=WxB6MXZjknc","2022-09-24",39234
"How To Attract Girls In 2022 (Not Patched Yet)","https://www.youtube.com/watch?v=LuP4vgJsPMM","2022-09-23",40446
"The Most Important Video A Man Will Ever Watch...","https://www.youtube.com/watch?v=YqNgG4uItD0","2022-09-20",56793
"15 Years Of GAME In 8 Minutes","https://www.youtube.com/watch?v=ASzsl21x1WE","2022-09-11",163176
"You Must Become A Monster","https://www.youtube.com/watch?v=-pv-7UUCK3c","2022-09-08",132812
"An URGENT Warning To All Men","https://www.youtube.com/watch?v=J9HmiutCw5w","2022-09-07",91676
"4 Skills To Get You Into The Top 1% Of Men","https://www.youtube.com/watch?v=ADKEK0_Xyq8","2022-09-01",91606
"4 More Craziest Things I Ever Learned About Girls","https://www.youtube.com/watch?v=hnJHCb3z6KA","2022-08-30",254877
"5 Craziest Things I Ever Learned About Girls (Hard To Believe)","https://www.youtube.com/watch?v=7mxX0AAybtQ","2022-08-23",150665
"An URGENT Message To All Men","https://www.youtube.com/watch?v=fCFSuDYt-Lo","2022-08-10",231115
"4 Rules Of Game Your Daddy Should've Taught You","https://www.youtube.com/watch?v=fFbF48eEImg","2022-08-04",79463
"3 Rules Of Game That Turn Boys Into Men","https://www.youtube.com/watch?v=Ybprm9FZmxs","2022-07-25",379306
"10% Of Men Get All The Girls (How To Join Them)","https://www.youtube.com/watch?v=0PxD4Ew8taI","2022-07-23",81176
"5 Powerful Ways To Convey Status","https://www.youtube.com/watch?v=r7lr7dVRJZ4","2022-07-16",89221
"4 Crazy Seduction Hacks Only 1% Of Men Know","https://www.youtube.com/watch?v=9Kgby8e9GjQ","2022-07-07",124989
"3 Crazy Mind Games Girls Play On Guys (You Won't Believe Them)","https://www.youtube.com/watch?v=JiJOL8afjEc","2022-07-02",146124
"4 Rules Of Game Only 1% Of Men Know","https://www.youtube.com/watch?v=DpYYPyqjsZs","2022-06-21",444951
"The Video You Were Never Supposed To See","https://www.youtube.com/watch?v=WTBnMFC9-5o","2022-06-09",157515
"4 Craziest Things They Don't Want You To Know About Girls","https://www.youtube.com/watch?v=rT92SXk53_A","2022-06-05",277426
"4 Rules To Get You Into The Top 1% Of Men","https://www.youtube.com/watch?v=LWUUghBre38","2022-05-30",134060
"The Most POWERFUL Thing A Man Can EVER Do","https://www.youtube.com/watch?v=2cTfCrWZeX4","2022-05-29",658472
"The Darker Side Of Female Nature 2022 (What Girls Don't Want You To Know)","https://www.youtube.com/watch?v=JXfEvBySqPA","2022-05-27",170130
"Do This And Girls Will Never Leave You Again","https://www.youtube.com/watch?v=E-pmZG0D-ds","2022-05-26",74456
"10 Types Of Men Girls Always Fall For (How To Be More Like Them)","https://www.youtube.com/watch?v=xX92906rUuY","2022-05-24",42291
"Nice Guys Always Finish Last","https://www.youtube.com/watch?v=L3ulNkTHWr0","2022-05-20",78981
"The Greatest Mistake A Man Can EVER Make","https://www.youtube.com/watch?v=b6ny4wm1F18","2022-05-15",81849
"Why You Can't Talk To Pretty Girls","https://www.youtube.com/watch?v=oKNNMrlMJnU","2022-05-08",61076
"Why You Are Invisible To Girls","https://www.youtube.com/watch?v=hN_glbqE5Ks","2022-05-07",58440
"The #1 Thing A Man Must NEVER Do","https://www.youtube.com/watch?v=pIZxJ9xc0dQ","2022-05-02",565425
"The ONLY Thing A Man Should EVER Chase","https://www.youtube.com/watch?v=eYZ1obi1TbY","2022-04-30",49926
"Men Can't Stop Doing This...","https://www.youtube.com/watch?v=BtVVV0_n64k","2022-04-28",39148
"HOW TO BE A PLAYER","https://www.youtube.com/watch?v=Pw2vN-o_lPE","2022-04-26",106023
"CHANGE HOW GIRLS VIEW YOU FOREVER","https://www.youtube.com/watch?v=qGT2muQrV_U","2022-04-23",183463
"Why 99.9% Of Girls Ignore You","https://www.youtube.com/watch?v=x-4hMTX7UJk","2022-04-22",55976
"How Real Men Act","https://www.youtube.com/watch?v=22CjxisCrm4","2022-04-14",80331
"The Weakest Man In The World (Don't Be Him)","https://www.youtube.com/watch?v=V_5jf_rbY-8","2022-04-10",67302
"How To Make Girls Obsessed With You","https://www.youtube.com/watch?v=89U1z8ChXoI","2022-04-08",74228
"Girls Will NEVER Look At You The Same (After You Do This)","https://www.youtube.com/watch?v=x8wHpicvUss","2022-04-06",354118
"The MOST Seductive Trait IN THE WORLD","https://www.youtube.com/watch?v=6wT13sA2mIM","2022-04-04",65159
"There REALLY Is A Cheat Code For Girls","https://www.youtube.com/watch?v=FjD7gl9xyrA","2022-04-02",82049
"The Greatest Mind Trick Of All Time (Used On Men)","https://www.youtube.com/watch?v=mcUGyOXTwRg","2022-03-26",92550
"The Most Important Thing A Man Can EVER Do","https://www.youtube.com/watch?v=wVEwUlfUz2g","2022-03-24",55177
"How Girls Choose Guys (Rating System)","https://www.youtube.com/watch?v=o5wzQPJpol0","2022-03-14",133776
"The MOST SEDUCTIVE Man In The World (How To Be Like Him)","https://www.youtube.com/watch?v=5Yyzfuknc7s","2022-03-11",153039
"A Man's Greatest Weakness (How To Stop It)","https://www.youtube.com/watch?v=JkqV5K4mff4","2022-03-08",178843
"The MOST Unattractive Man In The World (How To Avoid Being Him)","https://www.youtube.com/watch?v=XYsCS_DzbtU","2022-03-06",257557
"THIS Will Change How Girls View You FOREVER","https://www.youtube.com/watch?v=7kddo3UydyA","2022-03-04",394199
"The ONLY Type of Guy Girls Are Interested In","https://www.youtube.com/watch?v=eNS7XKD75ZM","2022-03-03",126942
"The Type Of Man Girls SECRETLY Want (But Will Never Say)","https://www.youtube.com/watch?v=JBbiaJ32uLM","2022-02-22",69603
"The SEDUCTIVE Superpower Of SUPERIOR Men (Girls Can't Resist)","https://www.youtube.com/watch?v=SosIu19zC84","2022-02-21",73423
"The #1 Skill Of The Superior Man (Why Girls Chase Him)","https://www.youtube.com/watch?v=Y5lfZbj-3qk","2022-02-20",76035
"How Superior Men Attract Women","https://www.youtube.com/watch?v=npw6W2sSSuk","2022-02-19",62854
"How To Become A Superior Man","https://www.youtube.com/watch?v=F2NmVtFrT8U","2022-02-18",64569
"What Is A Fake Alpha Male (Are You One?)","https://www.youtube.com/watch?v=t9rTX1pIqog","2022-02-11",170284
"You're Not Alpha Until You've Mastered THIS Trait","https://www.youtube.com/watch?v=qntyC_jfT30","2022-02-09",99630
"The #1 Secret Players Know (That 99% Of Men Don't)","https://www.youtube.com/watch?v=UM_8UyXrEik","2022-02-07",170560
"The Type Of Man Girls REALLY Go For (But Will Never Say It)","https://www.youtube.com/watch?v=QIybhhm3Pf4","2022-01-20",138607
"3 LIFE ALTERING Things I Learned About Girls","https://www.youtube.com/watch?v=y5-L_Rx62LI","2021-12-05",98509
"3 HIDDEN Signs A Man Lacks Confidence","https://www.youtube.com/watch?v=XGOctHtNAJo","2021-11-15",147963
"The ONLY Type Of Man Girls SECRETLY Want (But Won't Say It)","https://www.youtube.com/watch?v=ex1_oNOmfuM","2021-11-11",108202
"The MOST Seductive (HIDDEN) Trait Of Alpha Males","https://www.youtube.com/watch?v=9vz2NxI83Yo","2021-11-08",62097
"The Single MOST Seductive Trait A Man Can LEARN","https://www.youtube.com/watch?v=DqCYUZiNXrc","2021-11-05",275926
"How Sigma Males REALLY Act","https://www.youtube.com/watch?v=5z1DTl05qoA","2021-11-02",78436
"How To Make A Girl OBSESSED with you","https://www.youtube.com/watch?v=GktfhZixQaE","2021-10-21",186703
"The #1 Thing Men Should Stop Worrying About","https://www.youtube.com/watch?v=KFj59SbCVeQ","2021-10-19",174475
"The MOST SEDUCTIVE Trait A Man Can Have","https://www.youtube.com/watch?v=pnpoeswHEyA","2021-10-16",201531
"The MOST EFFECTIVE Way To Attract Girls","https://www.youtube.com/watch?v=oJeklaDyih0","2021-10-13",237736
"The WORST Thing A Man Can Do (If You Want To Be High Value)","https://www.youtube.com/watch?v=72vdmcUb4Tk","2021-10-11",132174
"4 Secrets Of Successful Players","https://www.youtube.com/watch?v=h2K_jOF8K4c","2021-09-28",161633
"4 Things EVERY Man Must CONQUER (Before It's Too Late)","https://www.youtube.com/watch?v=5t1_H4-Gjy4","2021-09-23",265395
"3 Things Your Daddy Forgot To Teach You About Girls","https://www.youtube.com/watch?v=y4_iQTCzqnM","2021-09-14",237883
"HOW 'PLAYERS' ACT (Girls Can't Resist This)","https://www.youtube.com/watch?v=bMjMAWTR0OM","2021-09-11",607199
"The 'High Value' Test | Are You A High Value Male?","https://www.youtube.com/watch?v=mlGL-Ru-Fxk","2021-08-02",502295
"5 SKILLS Only 'PLAYERS' Have (0.01% of MEN)","https://www.youtube.com/watch?v=_lHAhU9rYLA","2021-07-19",798021
"Every Man's GREATEST Kryptonite (How To Avoid It)","https://www.youtube.com/watch?v=tU0ErnkPbPo","2021-07-11",134045
"Every Man's GREATEST Weakness (How To Fix It)","https://www.youtube.com/watch?v=n1UWCoutDBk","2021-06-28",957163
"4 Hidden Signs A Man Has No 'Game'","https://www.youtube.com/watch?v=xSCnwyTetYg","2021-06-13",146592
"The BIGGEST Mistake Men Are STILL Making In 2021","https://www.youtube.com/watch?v=d7lo0BYDnRo","2021-06-12",118388
"The BIGGEST Mistake Men Are Making In 2021","https://www.youtube.com/watch?v=uyV5m0CDkps","2021-06-03",325873
"What It's Like To Be A Man In 2021","https://www.youtube.com/watch?v=KeCN8wZ0A3A","2021-05-29",1062468
"4 SNEAKY Ways Girls Test MEN","https://www.youtube.com/watch?v=DdFgkaJq8OE","2021-05-22",363233
"5 Hidden Skills Only 'Players' Have","https://www.youtube.com/watch?v=d4BS-xW6Bfw","2021-05-14",727341
"3 False Signals That Make Guys Think A Girl Likes Them","https://www.youtube.com/watch?v=5yA1RDmWQxk","2021-05-08",87486
"3 Craziest Things I EVER Learned About Girls","https://www.youtube.com/watch?v=1kf4rdV7eyY","2021-04-28",316567
"How High Value Men Act Around Girls","https://www.youtube.com/watch?v=PfK00SZxexM","2021-04-24",751597
"How Alpha Males REALLY Act","https://www.youtube.com/watch?v=MzCC9AJ8OCM","2021-04-20",1955805
"The High Value Code | 3 Rules Men Should NEVER Break","https://www.youtube.com/watch?v=PnCw9qHwIIM","2021-04-11",1509902
"Your Daddy Should've Taught You THIS About Girls...","https://www.youtube.com/watch?v=xd_MQcthp4o","2021-04-04",475390
"How SIGMA Males Act","https://www.youtube.com/watch?v=r_lQMbrQlQ0","2021-03-28",1029115
"THIS FOREVER CHANGED HOW I VIEW GIRLS...","https://www.youtube.com/watch?v=iMPbOshAPms","2021-03-21",227519
"4 Crazy Things About Girls I Wish I Knew Sooner","https://www.youtube.com/watch?v=yebI6iJVEUU","2021-03-07",382484
"5 HIDDEN Ways Girls Show Interest In You","https://www.youtube.com/watch?v=E3fCsCQeIO0","2021-03-04",645560
"5 CRAZIEST THINGS I EVER LEARNED ABOUT GIRLS | PART 3","https://www.youtube.com/watch?v=S4Y01jqBOe4","2021-02-22",270927
"Things Confident Men Just Don't Do...","https://www.youtube.com/watch?v=NniQS4TEyAo","2021-02-19",248144
"5 Sneakiest Ways Girls Test A Guy's Confidence Level","https://www.youtube.com/watch?v=cPWZYoKZ8Mg","2021-02-13",1217642
"6 CRAZIEST Things I EVER Learned About Girls | PART 2","https://www.youtube.com/watch?v=bHuDCzgg5-4","2021-02-07",178239
"4 CRAZIEST THINGS I EVER LEARNED ABOUT GIRLS","https://www.youtube.com/watch?v=hgCtvoIuzUw","2021-01-30",423554
"Here's Why Getting Girls Is Pointless...","https://www.youtube.com/watch?v=4L82rQk4rrM","2021-01-23",155144
"How Alpha Males Act","https://www.youtube.com/watch?v=Lv8zNNtH1CY","2021-01-16",1459880
"Signs You're A SIGMA Male | The RAREST Of All MEN","https://www.youtube.com/watch?v=toXc2MOOnwk","2021-01-12",141552
"Only Valuable Men Do This 1 Behavior","https://www.youtube.com/watch?v=bB1_bVVml1Q","2021-01-11",281533
"THE MOST VALUABLE SKILL A MAN CAN HAVE...","https://www.youtube.com/watch?v=BRnxG-1zQVw","2020-12-27",192570
"5 MIND TRICKS USED ONLY BY BAD BOYS","https://www.youtube.com/watch?v=PECSD92AHuk","2020-12-18",678193
"The MOST Seductive Thing A MAN Can Do...","https://www.youtube.com/watch?v=Ap2kqdEvSyY","2020-12-13",356488
"5 ALPHA MALE HABITS THAT WILL CHANGE YOU FOREVER","https://www.youtube.com/watch?v=vAnOQP1pNAc","2020-12-05",225146
"The #1 THING Only Beta Males Do","https://www.youtube.com/watch?v=jR7UyQkNje8","2020-12-01",250437
"Do THIS...And Girls Will NEVER Ignore You Again...","https://www.youtube.com/watch?v=RBGf5desaUU","2020-11-19",747559
"Do THIS...And They'll NEVER Stop Chasing YOU...","https://www.youtube.com/watch?v=PiBwrUHTxB0","2020-11-16",411702
"5 Signs You're NOT An 'Alpha Male'","https://www.youtube.com/watch?v=Oqz2j59ww2s","2020-11-14",124579
"1 Secret Attraction STYLE Used ONLY By The RAREST Men","https://www.youtube.com/watch?v=ZBUcX_OBKDc","2020-11-01",270408
"The MOST 'ALPHA' Way To Handle CONFLICT","https://www.youtube.com/watch?v=3VtyKyhmd20","2020-10-26",195671
"The MISSING 'GAME' That 99.9% Of Men Don't Have","https://www.youtube.com/watch?v=fS0rJS5jLyo","2020-10-24",158501
"The #1 MYTH ALL 'Low Value' Men BELIEVE","https://www.youtube.com/watch?v=n9vutepmVfE","2020-10-21",155029
"The MOST 'ALPHA' Thing A MAN Can DO","https://www.youtube.com/watch?v=fc8Ko8qwQ-w","2020-10-15",184423
"How To Increase Your PERCIEVED VALUE | Reference Points","https://www.youtube.com/watch?v=jN-3TGw5ruo","2020-10-12",123868
"PRIMAL Behaviors That Make ANY Man Irresistible","https://www.youtube.com/watch?v=QXFGBqx0ruo","2020-10-08",160775
"THIS Type Of Man ALWAYS Finishes LAST | The BRAVO RAGAZZO Paradigm","https://www.youtube.com/watch?v=ZEWvLy0CAek","2020-10-01",111761
"How To Handle ANY INSULT | The BLACKOUT Method","https://www.youtube.com/watch?v=67bUd5BHdHw","2020-09-24",166628
"4 Signs People SECRETLY Find You Attractive","https://www.youtube.com/watch?v=lnrsvGxRd0A","2020-09-15",804445
"5 Signs You're A SILENT 'Alpha'","https://www.youtube.com/watch?v=YF-Wd0_5jBA","2020-09-11",1106520
