"Title","video_url","Published_date","Views"
"How to Know If you have LOW or HIGH Testosterone (Without Bloodwork)","https://www.youtube.com/watch?v=gkdaS8bHVUs","2023-05-30",128270
"Scientific Daily Routine Every Man Should DO. ( Maximum Productivity )","https://www.youtube.com/watch?v=mHT096AYLl0","2023-05-27",240224
"6 DARK Manipulation Tactics Women Use To Control You ❌","https://www.youtube.com/watch?v=_Idgstw0fNo","2023-05-24",204164
"How To Make People CRAVE Being Around You (4 Secrets)","https://www.youtube.com/watch?v=YIdanh2Jg5Y","2023-05-21",84298
"7 HARSH Truths About WOMEN, Men Learn Too Late.  (Might offend you)","https://www.youtube.com/watch?v=wujJnSxtwf8","2023-05-18",184575
"Show Dominance Without Saying ANYTHING. (MUST KNOW)","https://www.youtube.com/watch?v=4hPnvonABmU","2023-05-16",101285
"How To Be Fearless Under Pressure (MUST KNOW)","https://www.youtube.com/watch?v=95OP_uxe-xA","2023-05-10",151219
"How To Unf*ck Your Life","https://www.youtube.com/watch?v=UrDqhBjLP4w","2023-05-08",492208
"How High Value Men Get Women OBSESSED With Them","https://www.youtube.com/watch?v=TfgXBFGvVT8","2023-05-06",248436
"How To Look High Status In ANY Situation","https://www.youtube.com/watch?v=EwRi-rvUZ30","2023-05-04",210972
"7 Things DESTROYING Your Testosterone Levels!  (EVERYDAY)","https://www.youtube.com/watch?v=xSL5g4SvgJ0","2023-04-30",196718
"THIS Makes ANY Man DANGEROUS  (Must Know)","https://www.youtube.com/watch?v=kGDMV0IP03o","2023-04-27",450317
"6 MASCULINE Ways To STOP Looking At Women With LUST","https://www.youtube.com/watch?v=rKbE5TYfaYM","2023-04-19",986766
"The End.   (They got me..)","https://www.youtube.com/watch?v=NEVSYNFt6c4","2023-04-15",523875
"6 Powerful Ways To Increase Your Masculine Energy","https://www.youtube.com/watch?v=E9Jd_q93nv8","2023-04-11",306325
"The GREATEST Masculine Advice Your Father NEVER Gave You  (Might Hurt Your Feelings)","https://www.youtube.com/watch?v=goMb6Spsoyc","2023-03-30",479753
"11 Things That DESTROY Your Masculine Confidence  (MUST KNOW)","https://www.youtube.com/watch?v=qTOnywrYIP4","2023-03-24",651055
"9 Things Women INSTANTLY Notice About High Value Men","https://www.youtube.com/watch?v=R7pmdAa9Ghw","2023-03-19",793899
