"Title","video_url","Published_date","Views"
"इन 3 नियमों का पालन करो कभी बीमार नहीं होगे","https://www.youtube.com/watch?v=8J4m72DeG_8","2023-05-30",25681
"Fight Hard. सोचने पर मजबूर कर देगी ये कहानी. Wilma Rudolf","https://www.youtube.com/watch?v=__Qi9_heY8g","2023-05-28",79007
"मुश्किलों में ही इंसान बेहतर होता है. Keanu Reeves Work Ethic","https://www.youtube.com/watch?v=rXIkGqmMqEg","2023-05-23",43900
"5 Mental Shortcuts जो आपको बढ़ने से रोक रहे हैं. Hum Jeetenge","https://www.youtube.com/watch?v=PEHw_nZsmDg","2023-05-17",37216
"पढ़ने का सही तरीका क्या है?  Swami Vivekananda. Ch8","https://www.youtube.com/watch?v=f8w5uEUOxd0","2023-05-11",127199
"6 Mental Tricks from Never Finished. David Goggins","https://www.youtube.com/watch?v=WskCNhSEqns","2023-05-05",169220
"अपनी Energy को समझो और बेहतर इस्तेमाल करो. 3 Types of Energy. Ayurveda","https://www.youtube.com/watch?v=B8SREWxM3Ao","2023-04-29",107062
"10 Habits for Super Brain. तुरंत अपना जीवन बेहतर करो. Jim Kwik","https://www.youtube.com/watch?v=cil4OaoxjJo","2023-04-23",177416
"कैसे पैदा होती है आतंरिक शक्ति? Swami Vivekananda [Ch-4 Summary]","https://www.youtube.com/watch?v=X5DfcQ_F0Sk","2023-04-18",124481
"Subconscious Power. 4 तरीकों से Coach ने World Champion बना दिया. Mike Tyson","https://www.youtube.com/watch?v=QFKg4XAWb6g","2023-04-12",223589
"Clear Your Mind. सफलता को आसान बनाओ. Ho’oponopono Technique","https://www.youtube.com/watch?v=W1VVhpWKlTg","2023-04-07",216259
"जिम्मेदारी हमेशा आपकी है. Indian Army Work Ethic","https://www.youtube.com/watch?v=IDyk74IJQuM","2023-04-02",336323
"4 Rare Stories about MS Dhoni.. Next level Self-Awareness","https://www.youtube.com/watch?v=pRj46kwypL8","2023-03-28",136512
"Practical Night Routine for Deep Sleep. आयुर्वेद+ Neuroscience.","https://www.youtube.com/watch?v=257YZCismrw","2023-03-23",81042
"[3 Tips] Distraction और बोरियत को कैसे जीतें? Mastery. Robert Greene","https://www.youtube.com/watch?v=KxXedJArRZk","2023-03-18",93741
"Goals के लिए कैसे काम करते रहे? Navy Seal Mindset","https://www.youtube.com/watch?v=gCwgEkDMmkg","2023-03-14",232493
"[Ayurved+RajaYoga] कैसे Ojas से जीवन बदलता है? Swami Vivekananda","https://www.youtube.com/watch?v=QW0BtxchC-A","2023-03-09",147426
"अनसुनी कहानी. हर दिन हाथ-पैर छिल जाते पर Practice नहीं छोड़ी!! Ravindra Jadeja","https://www.youtube.com/watch?v=WmMSGjaddQ8","2023-03-02",170886
"मन आपकी बात मानेगा. Take Control of your Mind. David Goggins","https://www.youtube.com/watch?v=P8_1tM8bMyw","2023-02-26",352941
"Read Fast & Learn More. 3 Practical Tips. Speed Reading","https://www.youtube.com/watch?v=37kJ-nWAo48","2023-02-22",281329
"Practical Life Lesson. छत्रपति शिवाजी महाराज","https://www.youtube.com/watch?v=UYGhtLWwnL4","2023-02-17",206266
"इन 2 बातों ने Milkha Singh को महान Athlete बनाया . Incredible Mindset","https://www.youtube.com/watch?v=fhBZbZTrubc","2023-02-12",157470
"[आयुर्वेद + NeuroScience] ब्रह्म मुहूर्त. दिमाग को होते हैं अजीब फायदे.","https://www.youtube.com/watch?v=Lf3sbh0yeMg","2023-02-07",796992
"Cristiano Ronaldo ने कैसे बनाया अदम्य आत्म विश्वास? Self Belief","https://www.youtube.com/watch?v=3HqozcC0anc","2023-02-02",288486
"Meditations किताब से 9 जरूरी बातें. Marcus Aurelius","https://www.youtube.com/watch?v=DhDhbGd3nNk","2023-01-28",333957
"Scripting Technique for Completing Goals. LOA. Manifestation","https://www.youtube.com/watch?v=owH85hb4pWY","2023-01-22",145758
"Commitment की 5 सीख. मैंने हारना बंद कर दिया. . David Goggins","https://www.youtube.com/watch?v=M4CBCWl_xQQ","2023-01-19",1726881
"2 Breathing Techniques for Focus & Energy. Andrew Huberman","https://www.youtube.com/watch?v=sOuaJ3dLkQk","2023-01-14",165503
"Ultimate Determination. Kylian Mbappe.","https://www.youtube.com/watch?v=FldgZP3vCRY","2023-01-08",142122
"17 Seconds में Subconscious Mind को Program करें. Practical Manifestation.","https://www.youtube.com/watch?v=Pp75kgPHFkc","2023-01-04",333796
"हार में भी शक्ति है. Extreme Ownership🔥. Jocko Willink.","https://www.youtube.com/watch?v=G4jeVnlbzGc","2022-12-30",107846
"2023. पूरे साल Consistent कैसे रहें? 5 Psychological Tips.","https://www.youtube.com/watch?v=mnrgPSfxWNY","2022-12-25",202296
"4 साल cancer से चुपचाप लड़ते रहे.Chadwick Boseman Know your Purpose","https://www.youtube.com/watch?v=xRDDUsDruTQ","2022-12-21",150641
"Mental Toughness and Acceptance . Lionel Messi","https://www.youtube.com/watch?v=nxpOgCAGE1s","2022-12-16",296439
"Extra Motivation की जरूरत नहीं. New technique. Urge Surfing","https://www.youtube.com/watch?v=dxN6jt6U4CY","2022-12-11",142942
"इच्छा शक्ति और Sub Conscious का कैसे प्रयोग करें. Auto Suggestion","https://www.youtube.com/watch?v=BnZsnkd3ai4","2022-12-04",250004
"40 साल लगे World Audience तक पहुंचने में. Jackie Chan Break Mental Barriers","https://www.youtube.com/watch?v=AvEwhkCcySE","2022-11-29",661762
"6 Most Practical Tips for Morning Routine. तेज और Alert दिमाग","https://www.youtube.com/watch?v=Wh2S7bUJWFs","2022-11-24",252835
"Champion Under Pressure. Ben Stokes Work Ethic","https://www.youtube.com/watch?v=JRqbRcVUoAw","2022-11-19",320125
"5 काम की बातें जो मैंने सीखीं. Attitude is Everything","https://www.youtube.com/watch?v=FZ3ww9HBUnk","2022-11-15",198637
"बुद्धि और Brahmacharya की शक्ति. Swami Vivekananda","https://www.youtube.com/watch?v=Fgur3DfGC1c","2022-11-08",377710
"[8 Factors] सफलता को चाहिए जिद्दीपन. Persistence. Think & Grow Rich","https://www.youtube.com/watch?v=g7tPXirb01Q","2022-11-03",373118
"13 Types. हर Emotion अलग है. How To Handle Emotion","https://www.youtube.com/watch?v=KgRrVCAb29w","2022-10-25",168279
"10 सालों ने बहुत कुछ सिखाया. Surya Kumar Yadav, Work Ethic","https://www.youtube.com/watch?v=258f6VFfM5s","2022-10-20",989339
"Controversy से Captain तक.Hardik Pandya Work Ethic","https://www.youtube.com/watch?v=_ejdadvoiuQ","2022-10-14",743180
"16 Levels. Maps of Consciousness. Self Awareness.","https://www.youtube.com/watch?v=O2W1px3KQGU","2022-10-10",1209629
"निश्चित सफलता के लिए मेहनत कैसे करते हैं. 3 Points. Swami Vivekananda","https://www.youtube.com/watch?v=OxigqsEyEfU","2022-10-01",486762
"सपने और खेलने का जूनून. 3 Lessons from the Life of Shoaib Akhtar","https://www.youtube.com/watch?v=icsgJ1-Bhbg","2022-09-26",378338
"किताबी ज्ञान से Problem solve नहीं होती. 3 Rules of Practical Thinking. Marcus Aurelius","https://www.youtube.com/watch?v=mp0F5GTsD5A","2022-09-22",121413
"Virat Kohli: Secret of Comeback. Law of Reversed Effort","https://www.youtube.com/watch?v=rmODQxBSDdk","2022-09-14",231466
"Desire➡Doubtless Action. This is Physics. Law of Vibration","https://www.youtube.com/watch?v=zvL5sc65xDM","2022-09-09",176634
"विचार-शक्ति के 6 नियम. इनका भरपूर इस्तेमाल करो. 🔥👆","https://www.youtube.com/watch?v=On1x-ODXR34","2022-09-03",762732
"Eminem. Reach the Unstoppable Mindset","https://www.youtube.com/watch?v=7n6cytcQ15k","2022-08-30",147861
"Act..as if, it is Impossible to Fail🔥🔥 Winners Attitude.","https://www.youtube.com/watch?v=qSUZVClnNCg","2022-08-25",302377
"Powerful Story on Gratitude. शब्दों से जीवन बदल जाता है🙏😊","https://www.youtube.com/watch?v=Z4CMrkbcSZQ","2022-08-20",549826
"जोश भर देंगी!! Chandrashekhar Azad जी के जीवन से अनसुनी कहानियाँ","https://www.youtube.com/watch?v=2EZK8rhujBw","2022-08-14",101339
"Extreme Commitment की कहानी. Tendai Monks","https://www.youtube.com/watch?v=a78xilCwEM8","2022-08-10",377053
"5 Qualities हर नौजवान में होनी चाहिए.👆👆 90 साल का अनुभव 6 min में.....Warren Buffet","https://www.youtube.com/watch?v=8Ee98YULAnk","2022-08-05",88471
"👆ये Attitude है Mary Kom का. Full Story","https://www.youtube.com/watch?v=bTHn4FTv7Hs","2022-07-31",246207
"6 Laws for Powerful Life. Swami Vivekananda","https://www.youtube.com/watch?v=lmlg1O2yc74","2022-07-26",221573
"8 Principles of Mature Mindset. Boy to Man","https://www.youtube.com/watch?v=kcjPR0APDpM","2022-07-21",127030
"7 BODY LANGUAGE Rules. लोगों को पढ़ना सीखो.","https://www.youtube.com/watch?v=VktQfO-pt6k","2022-07-15",87585
"Easily Increase Your Brain Power. 7 अजीब और मजेदार Brain Exercises","https://www.youtube.com/watch?v=3kCy8hlFDas","2022-07-10",106800
"Single Decision Can Change your life. RDJ Life Lessons","https://www.youtube.com/watch?v=tFnMPudt3n0","2022-07-05",239167
"अपने मन को आराम दो. How to LIVE in the Present Moment. [Hindi]","https://www.youtube.com/watch?v=hvennoX2AEM","2022-06-29",250283
"666 Rule. Outwork. Kobe Bryant","https://www.youtube.com/watch?v=JL7UYS4-Ppk","2022-06-26",247461
"7 Morning Mistakes that make you LAZY. सुबह की आदतें जो आपको थका रही हैं","https://www.youtube.com/watch?v=rt48KQE4QOc","2022-06-23",169538
"[Hindi Summary] Strangest Secret of Success. Earl Nightangle","https://www.youtube.com/watch?v=OsgBarvAOzg","2022-06-15",377984
"Power of Belief System. छोटी सी चीज आपकी जिंदगी बदल सकती है","https://www.youtube.com/watch?v=vo4Gm11vYuA","2022-06-10",105200
"How to Remain Calm Under Pressure.10 Min Mental Toughness.","https://www.youtube.com/watch?v=5WijN8_vvps","2022-06-08",158154
"How to Improve Self Control. Urge Surfing Meditation","https://www.youtube.com/watch?v=CrozRVX5T_o","2022-06-03",200704
"How to be Undefeated?   Maharana Pratap","https://www.youtube.com/watch?v=PgKxPXwsg4U","2022-06-01",122414
"ParaSF Mental Strength and Solution Mode.","https://www.youtube.com/watch?v=9qJWIzbBitM","2022-05-27",181876
"Power of Silent Mind.","https://www.youtube.com/watch?v=pcE7CCP_pCs","2022-05-25",503158
"Nofap. 3 Major Advantages on Brain.","https://www.youtube.com/watch?v=9-hxN2EUm4A","2022-05-20",511190
"काम करते समय मन को कैसे शांत रखें? 4 Steps +2 Tips.","https://www.youtube.com/watch?v=dUX3wcZLnMI","2022-05-18",167325
"Multiply your Energy and Actions. Law of Giving.","https://www.youtube.com/watch?v=MlvtfxOVzu0","2022-05-13",128934
"Principles of Mind Control. Swami Vivekananda","https://www.youtube.com/watch?v=qlQAcc0DFaU","2022-05-11",1151891
"Sundar Pichai. How to Maximize Focus. NSDR??","https://www.youtube.com/watch?v=YUMMo6BHS9s","2022-05-06",120977
"Why Read Books ?? Depth, Structure & Connection","https://www.youtube.com/watch?v=7Ehrg6efy8k","2022-05-04",146071
"Mental Strength. You are in Control of your Attitude.","https://www.youtube.com/watch?v=flicuOYvVGU","2022-04-29",240863
"3 Steps. How to Increase your Energy. [Subconscious Mind]","https://www.youtube.com/watch?v=JLZyYjMsp2M","2022-04-27",281103
"Science & Psychology of Motivational State. अब नहीं जाएगा motivation","https://www.youtube.com/watch?v=f3Ousf8M0no","2022-04-22",106588
"Unstoppable. Dr Baba Saheb Bhim Rao Ambedkar LIFE STORY & PRACTICAL LESSON","https://www.youtube.com/watch?v=Lo1MD6YssLE","2022-04-20",1470687
"How to Keep Pushing Foward? David Goggins","https://www.youtube.com/watch?v=r-s7_j543x4","2022-04-08",221322
"Work Ethic behind Self Confidence. Zlatan Ibrahimovic","https://www.youtube.com/watch?v=T2vktZ76vVQ","2022-04-06",350998
"एकाग्रता. Swami Vivekananda on Concentration.","https://www.youtube.com/watch?v=Onkh5uZIVR0","2022-04-01",605948
"Quitting is not an Option...Jim Carrey..Subconscious Mind","https://www.youtube.com/watch?v=abA-qONtYQk","2022-03-25",240527
"5 Deep Principles for Mental Strength.","https://www.youtube.com/watch?v=JH-7ibiVcCQ","2022-03-23",943838
"Bring Extreme Intensity in your Training. Khabib Nurmagomedov","https://www.youtube.com/watch?v=9i7E2DsUqaU","2022-03-16",629773
"Your VISION will Drive You. Sundar Pichai","https://www.youtube.com/watch?v=O9UFAG6VNps","2022-03-13",169718
"Make Strong Decisions & Get Results NOW. Swami Vivekananda","https://www.youtube.com/watch?v=HhmNXlDYxvU","2022-03-11",266614
"Best Fasting Schedule for Focus & Concentration","https://www.youtube.com/watch?v=IQzX9JTPBn4","2022-03-09",176524
"EXTREME Determination. Remi Adeleke","https://www.youtube.com/watch?v=oXC8_O3R0Rc","2022-03-04",128868
"पैसा+समय🦁 कमाने के लिए एक Skill. MetaLearning","https://www.youtube.com/watch?v=qtcC9aQ9SVA","2022-03-02",124313
"How to be Fearless? Para SF Mindset.","https://www.youtube.com/watch?v=bxkgUsGBh8k","2022-02-25",328496
"How to Master Communication. कतई Practical😉","https://www.youtube.com/watch?v=k894Y1C8-_U","2022-02-23",111288
"Cristiano Ronaldo. POWER Of RITUALS","https://www.youtube.com/watch?v=Qmg9pesiL2E","2022-02-18",244022
"Power of Meditation. the Maharshi Effect.[Scientific Research]","https://www.youtube.com/watch?v=CNNFV0S-f2c","2022-02-16",88002
"Fear Not, Be Strong. Swami Vivekananda","https://www.youtube.com/watch?v=ry2fPHwCmwI","2022-02-11",639155
"Magic of Big Vision & Bigger Action. James Cameron","https://www.youtube.com/watch?v=A6aFyy6v8Xk","2022-02-09",145331
"[Subconscious Mind]  Break out of Comfort zone","https://www.youtube.com/watch?v=YRx_KCajuLM","2022-02-04",308975
"Hardest Worker in the Room.Incredible Work Ethic of Dwayne Jhonson.","https://www.youtube.com/watch?v=Cqm7OFN16kY","2022-02-02",1054638
"10 Powerful Affirmations. आत्म विश्वास और उर्जा के लिए प्रयोग करें.","https://www.youtube.com/watch?v=8sRkpqsD_q4","2022-01-28",405422
"दिमाग का बेहतर इस्तेमाल. 5 Brain Hacks from Neuroscience.","https://www.youtube.com/watch?v=B3u2siStD6A","2022-01-26",147446
"How to Build Commitment. Shaolin Monks","https://www.youtube.com/watch?v=21JUCS02A6w","2022-01-21",596261
"Stephen Curry जिसने लगन और मेहनत से game को पलट दिया.","https://www.youtube.com/watch?v=CbiPHz9axJE","2022-01-20",102311
"3 Great Lessons. Vince Lombardi. दुनिया के सबसे महान कोच.","https://www.youtube.com/watch?v=V9tBD31dq90","2022-01-14",111228
"Diet का सीधा असर...Mental Energy और Consistency पर कैसे?","https://www.youtube.com/watch?v=bcE8dl2jILk","2022-01-12",227993
"Power of Decision & Courage. Dhirubhai Ambani. Think & Grow Rich","https://www.youtube.com/watch?v=5kZGsDHtUwE","2022-01-07",106078
"Performance Statement. Best Trick for Mental Toughness.","https://www.youtube.com/watch?v=4XMBAZTy_1E","2022-01-05",200573
"जब मन नहीं करता. तब...?  Attitude of Showing Up. Best Motivational Video 2022","https://www.youtube.com/watch?v=FePgwlKKaRQ","2021-12-31",130256
"[2023] New Year Goals पूरे करना आसान बनाओ 😊🎉               Dont Break the Chain DBC","https://www.youtube.com/watch?v=DjyoJ-TrcJk","2021-12-29",168899
"4 Steps to Reprogram your Subconscious Mind. Dr Joe Dispenza","https://www.youtube.com/watch?v=MYVZ2lQJXLg","2021-12-24",744035
"7 Practical and Real Life MicroHabits That will Change You.","https://www.youtube.com/watch?v=H3rMQojpZaM","2021-12-22",124152
"2 Practical Mindset + 2 Practical Tips for Competitive Exams","https://www.youtube.com/watch?v=mgX0eG--OZo","2021-12-17",144290
"PARA SF is State of Mind. Mental Toughness 🐱‍🏍","https://www.youtube.com/watch?v=xANLB1IrM3U","2021-12-15",250636
"Power of Your Thoughts😮😮 Scientific Proof......Subconscious Mind","https://www.youtube.com/watch?v=kzYPTpcj1-c","2021-12-10",510982
