"Title","video_url","Published_date","Views"
"How To Talk To A Group Of Three Girls #shorts","https://www.youtube.com/watch?v=iuimPQJzt2c","2023-06-01",2168
"5 Mistakes That Make Her Lose Interest In You #shorts","https://www.youtube.com/watch?v=6KBYlkQR8kI","2023-05-31",16886
"How To Talk To A Girl If She's Walking Fast | #shorts","https://www.youtube.com/watch?v=XvYjwxPU2eA","2023-05-30",17406
"How To Talk To The Most Popular Girl in College #shorts","https://www.youtube.com/watch?v=Vu1LF_sEhKs","2023-05-29",26779
"Top 10 Questions About Pickup & Mentorship. ANSWERED!!!","https://www.youtube.com/watch?v=esXxTspC29A","2023-05-28",5507
"How To Talk To A Girl At A Restaurant | #shorts","https://www.youtube.com/watch?v=ZgNpUY5FDS4","2023-05-28",8445
"Top 6 Reasons Why Most Men SUCK With Dating","https://www.youtube.com/watch?v=it_NKxd4XUc","2023-05-27",5767
"Top 3 Reasons Most Men Suck At Talking to Girls | #shorts","https://www.youtube.com/watch?v=0QHSja2Zbtg","2023-05-27",12560
"Wild Client Results Will Blow Your Mind Away","https://www.youtube.com/watch?v=CFRtM6hZ78k","2023-05-26",6558
"One Flirting Trick Women Love #shorts","https://www.youtube.com/watch?v=i7i-FlBereE","2023-05-26",26051
"Going to the gym will not solve all Your Problems #shorts","https://www.youtube.com/watch?v=Ga-6oDVaeqY","2023-05-25",22175
"See You Tonight At 9Pm #shorts","https://www.youtube.com/watch?v=B2erGk07cH8","2023-05-24",577
"How To Prepare For Tomorrow's Workshop","https://www.youtube.com/watch?v=cGSxUZ9oOhw","2023-05-23",1287
"How To Prepare For Tomorrow's Workshop","https://www.youtube.com/watch?v=ZjY4t6WHTdg","2023-05-23",3385
"How to approach a Girl in a Mall #shorts","https://www.youtube.com/watch?v=90tL3rFB6Rg","2023-05-22",2776
"What You'll Learn In The LIVE Workshop | This Wed, 9pm","https://www.youtube.com/watch?v=vaXxnYmJg_U","2023-05-21",2073
"How to Talk to a Girl At The Bar #shorts","https://www.youtube.com/watch?v=lIDQ-r7NnP0","2023-05-20",16101
"How To Get A Girlfriend | LIVE WORKSHOP On 24th May, Wed at 9pm | #shorts","https://www.youtube.com/watch?v=rjlibXpjBQ0","2023-05-19",6430
"How to Talk to a Girl at a Wedding #shorts","https://www.youtube.com/watch?v=iIDDK6XfmD4","2023-05-19",19577
"How To Get A Girlfriend | LIVE WORKSHOP On 24th May, Wed at 9pm","https://www.youtube.com/watch?v=6rpnAGdRPcw","2023-05-19",4205
"How to talk to a Girl in a Metro #shorts","https://www.youtube.com/watch?v=m1J1rqx0WNM","2023-05-18",4645
"How to talk to a Girl at a Party #shorts","https://www.youtube.com/watch?v=uM7tLS9jKsE","2023-05-17",11677
"How To Kiss Her on the First Date | Don't Make This Mistake | #shorts","https://www.youtube.com/watch?v=5vg1vKui_jE","2023-05-16",33762
"How To Talk To A Girl At The Smoking Area #shorts","https://www.youtube.com/watch?v=sN0iz3zW-L4","2023-05-15",17482
"How To Build Sexual Tension #shorts","https://www.youtube.com/watch?v=w9UC9YrRwJc","2023-05-14",49581
"How To Impress A Girl In 5 Easy Steps","https://www.youtube.com/watch?v=SI62wEugw3k","2023-05-14",19034
"How To Talk To A Group Of Girls | #shorts","https://www.youtube.com/watch?v=2REbQSbjIUE","2023-05-13",47625
"3 Texts To Send Once You Get Her Number | #shorts","https://www.youtube.com/watch?v=U7bKaJhHEJk","2023-05-12",78746
"What If You Get Nervous In Front Of Someone? #shorts","https://www.youtube.com/watch?v=mdPdT1C1WLo","2023-05-11",30471
"1 Mindset Hack That Made Me Successful | #shorts","https://www.youtube.com/watch?v=iJd3ydRnkEI","2023-05-10",32543
"How To Talk To A Hot Girl #shorts","https://www.youtube.com/watch?v=jO1apepspq8","2023-05-09",107768
"5 Habits That Make You Instantly Attractive As A Man #shorts","https://www.youtube.com/watch?v=z5SZhUpQcJA","2023-05-08",58648
"How To Talk To A Girl On The Dance Floor #shorts","https://www.youtube.com/watch?v=nC-SUTe1-gA","2023-05-07",28515
"What To Do When You Know A Girl Likes You #shorts","https://www.youtube.com/watch?v=28CSIVQFEyk","2023-05-06",79062
"Why Most Indian Men Suck At Dating","https://www.youtube.com/watch?v=g-E9w3xDgXU","2023-05-06",17987
"Get Her Attracted By Disagreeing With Her #shorts","https://www.youtube.com/watch?v=R91BrLITWlg","2023-05-05",30746
"How To Flirt With A Girl #shorts","https://www.youtube.com/watch?v=7pK9O0MrB8g","2023-05-04",96862
"What To Do When You See A Girl Looking At You #shorts","https://www.youtube.com/watch?v=esyGUM1OKmo","2023-05-03",81507
