"Title","video_url","Published_date","Views"
"Jordan Peterson Quotes you should know before you Get Old! Life changing quotes","https://www.youtube.com/watch?v=VCT2SmsR_z4","2023-04-26",271
"JORDAND PETERSON VS FEMINIST - DEFINE TOXIC MASCULINITY #shorts","https://www.youtube.com/watch?v=rG4wpJLAT90","2023-01-04",23259
"JORDAN PETERSON SCHOOLING FEMINIST ON TOXIC MASCULINITY #shorts","https://www.youtube.com/watch?v=csbLy685Rig","2023-01-04",10453
"Gabor Mate Criticism On Jordan Peterson","https://www.youtube.com/watch?v=Fgmp17UsFdk","2023-01-03",7464
"Jordan Peterson on Greta Thunberg","https://www.youtube.com/watch?v=IetovUoOmRo","2023-01-02",1426916
"The Real Reasons You Can't Focus On Your Work - Jordan Peterson","https://www.youtube.com/watch?v=qHA2Ys_hn_w","2022-12-30",2122
"The Horrific Dangers of Being Single - Jordan Peterson","https://www.youtube.com/watch?v=fB-xFQEJX3w","2022-12-20",293279
"Jordan Peterson Criticizes Trump #shorts","https://www.youtube.com/watch?v=Mt7xTJUZNYg","2022-12-19",199339
"The Best ADVICE To Young MEN Seeking Intimacy and Marriage - Jordan Peterson","https://www.youtube.com/watch?v=LI2aDYoW3Y0","2022-12-18",5968
"Learning Attitude Live Stream","https://www.youtube.com/watch?v=W1eNAFrWAxk","2022-12-18",0
"Jordan Peterson Answers a Question of a HOUSE WIFE #shorts","https://www.youtube.com/watch?v=SqOq2LXMasQ","2022-12-16",2192600
"Jordan Peterson on Hypergamy and Polygamy","https://www.youtube.com/watch?v=Y86bDBLEX-I","2022-12-14",7018
"Jordan Peterson Vs Feminist on TOXIC-MASCULINITY #shorts","https://www.youtube.com/watch?v=NJcsgG-iGJY","2022-12-13",2321613
"I'm Not ANTI FEMINIST - Jordan Peterson #shorts","https://www.youtube.com/watch?v=-_UcsrjhHBU","2022-12-13",393496
"The Best Way To IDENTIFY High Quality Women - Jordan Peterson","https://www.youtube.com/watch?v=MKzzqOCAEV8","2022-12-12",4643
"Women Were Freed By Technology - Jordan Peterson #shorts","https://www.youtube.com/watch?v=x1w0pyJdq_8","2022-12-11",11246
"How to Know WHAT TO SAY- Jordan Peterson(How to be WITTY)","https://www.youtube.com/watch?v=_mFP2L1uW3s","2022-12-08",2647
"Divorce is Very Complicated - Jordan Peterson #shorts","https://www.youtube.com/watch?v=UqPEHAXby18","2022-12-08",6733
"Most MEN and WOMEN Do NOT BENEFIT in Relationships - Jordan Peterson","https://www.youtube.com/watch?v=qWVVCt6szHE","2022-12-06",353638
"The Best ADVICE to YOUNG Men in Their 20s - Jordan Peterson","https://www.youtube.com/watch?v=tn8Dnzm3Db0","2022-12-06",3017
"Jordan Peterson on Why Society is Falling Apart","https://www.youtube.com/watch?v=S2viTtk3rho","2022-12-05",3679
"It's Hard to Believe This is Real - Jordan Peterson","https://www.youtube.com/watch?v=kYU3bxkSo0E","2022-12-04",4854
"Jordan Peterson on Importance of FAMILY and MEANING in Life #shorts","https://www.youtube.com/watch?v=NzMsOPeEOeg","2022-12-04",5146
"Jordan Peterson: What WOMEN don't understand about MEN","https://www.youtube.com/watch?v=NE_s_Kr7Lm4","2022-12-03",640089
"The Science Behind Attractive Women And Eye Contact - Jordan Peterson","https://www.youtube.com/watch?v=mM7LvAONmqU","2022-12-01",10921
"The Simple Reason Why You Can't Find HAPPINESS In Your Life | JORDAN PETERSON and JOE ROGAN ADVICE","https://www.youtube.com/watch?v=uhw2_ZWthV0","2022-11-30",1658
"Making People Poor Does Not Make Planet Healthier - JORDAN PETERSON #shorts","https://www.youtube.com/watch?v=S3v5fFjTh0o","2022-11-29",4688
"Neuroscientist: Why Men Don't Choose The Most Attractive Girl - Andrew Huberman #shorts","https://www.youtube.com/watch?v=BsluEXsewhY","2022-11-28",496944
"Neuroscientist: What Women Want of a Man - Andrew Huberman #shorts","https://www.youtube.com/watch?v=5jwp5qx5K8Y","2022-11-28",631346
"MEN Are JUDGED By Society For Trying To Improve Themselves - Jordan Peterson and Joe Rogan","https://www.youtube.com/watch?v=u_AMnpsDY-0","2022-11-26",2530
"The Simple Reason Why 90% of MEN Can't Improve Themselves | JORDAN PETERSON and JOE ROGAN Advice","https://www.youtube.com/watch?v=15vHImev0IU","2022-11-25",3898
"MEN Just Don't Do This Anymore! | STOP dressing like a fool! | JORDAN PETERSON Fashion Advice","https://www.youtube.com/watch?v=TjBwSB3qakI","2022-11-25",4625
"What Women ACTUALLY WANT off a Man - Jordan Peterson","https://www.youtube.com/watch?v=seLAfOvZ3Ag","2022-11-24",804976
"Jordan Peterson Destroys Two Feminists on Equality of Outcome #shorts","https://www.youtube.com/watch?v=mpaSsIx3wGE","2022-11-24",39784
"What to do when you are stuck in the Past - Jordan Peterson #shorts","https://www.youtube.com/watch?v=V5oFe4dJMjM","2022-11-23",19443
"A Parent's MOST IMPORTANT JOB - Jordan Peterson","https://www.youtube.com/watch?v=biN2cfaxMUU","2022-11-23",2380
"The Results & Features of a Person with a High IQ - Jordan Peterson","https://www.youtube.com/watch?v=KyKWGQS745E","2022-11-22",5266
"How Jordan Peterson Handles Disrespect #shorts","https://www.youtube.com/watch?v=uxSRNxw9d30","2022-11-22",463673
