"Title","video_url","Published_date","Views"
"Door Raho! SHOCKING PSYCHOLOGICAL FACTS ABOUT LOVE | Human Feelings की सच्चाई | Psychology in Hindi","https://www.youtube.com/watch?v=bSXHnJqViGE","2023-05-17",5237
"24 ghante Khush kaise rahe | How to be happy and positive all the time Motivational Video","https://www.youtube.com/watch?v=7Rkvl4y2zCA","2023-05-15",3768
"Ladki kaise pataye | Girlfriend kaise banaye? | Love tips in hindi | Psychology in hindi","https://www.youtube.com/watch?v=Dk2EbaB7GRQ","2023-05-13",6539
"BAD BOY WALA ATTITUDE KAISE DIKHAYE | Ladki ko Ingore karne ka sahi tarika | Psychological Video","https://www.youtube.com/watch?v=oTN-fNgq8_A","2023-05-10",10571
"Attitude To Attract People To You   Attitude kaise laye    Motivational videos & Positive quotes","https://www.youtube.com/watch?v=Ua8UYpA9rEU","2023-05-06",9508
"3 ट्रिक्स सीख लो सब आपकी Value करेंगे | Apni izzat kaise karwaye | Laws Of Power |Reverse Psychology","https://www.youtube.com/watch?v=uZjO0lq61SU","2023-05-05",10947
"Reverse Psychology se ladki ko kaise pataye | Rerverse Psychology in Relationship Tricks in Hindi","https://www.youtube.com/watch?v=ooocPVaSAvc","2023-05-03",16823
"BUS, Metro, Mall me ladki kaise pataye | Random jagah pe Girlfriend kaise banaye Psychology of Girls","https://www.youtube.com/watch?v=RMXAj2LCsPQ","2023-05-02",7073
"Ladki khud aapko pakad ke Boyfriend banayegi | Psychological Tricks to make girl crazy for you","https://www.youtube.com/watch?v=4k4lJfm8G-M","2023-05-01",9423
"BAD BOY WALA ATTITUDE KAISE DIKHAYE | Ladki ko Ingore karne ka sahi tarika | Psychological Video","https://www.youtube.com/watch?v=lyHtruS5AKY","2023-04-30",34312
"Kisi ladki ko kaise jalaye pyar me kaise tadpaye | Ladki ko jealous feel kaise karaye | Psychology","https://www.youtube.com/watch?v=cwKKulI3pNA","2023-04-28",32281
"Instagram pe ladki kaise pataye | Reels pe girlfriend kaise banaye | Instagram Viral Reels & Reality","https://www.youtube.com/watch?v=WVZqCFRvzsc","2023-04-27",7624
"Ignore karne ka proper tarika | Ignore kaise kare in hindi | Psychological Tips | How to ignore","https://www.youtube.com/watch?v=NsLc9keGZV8","2023-04-24",22145
"Ladki bore ho jayegi, bhaav nahi degi (5 MISTAKES) | Ladki bore ho jaye to kya kare | Psychology","https://www.youtube.com/watch?v=PyDmIhuyaog","2023-04-21",26620
"Chat GPT ne bataya ladki kaise pataye | Chat GPT tips and tricks to impress a girl make Girlfriend","https://www.youtube.com/watch?v=JiwFw2a-i8w","2023-04-20",7723
"लड़की कैसे पटाये | ladki kaise pataye tips | ladki kaise patate hai | Psychological Tips Ladki pataye","https://www.youtube.com/watch?v=Xqix8BmRf60","2023-04-18",24873
"लड़की कैसे पटाये | ladki kaise pataye tips | ladki kaise patate hai | Psychological Tips Ladki pataye","https://www.youtube.com/watch?v=96OqR9GGt3c","2023-04-17",21464
"प्यार में लड़कियों की 3 सबसे बड़ी कमजोरियां | Psychological way to impress a girl and make her crazy","https://www.youtube.com/watch?v=FrbhVILGwc0","2023-04-15",97806
"Single ho to video jarur dekhna | Girlfriend banane k bhaaari nuksan | Psychological Tips Relations","https://www.youtube.com/watch?v=Zzcc7kvMzK8","2023-04-14",8765
"Ladkiyo ki Line lag jayegi | Attractive Personality kaise banaye | Personality Development in Hindi","https://www.youtube.com/watch?v=OG14Ea6wdyU","2023-04-12",16709
"How To Become A PlayBoy? | Ladki patane ke tarike | Ladki kaise pataye jati hai | Psychological Tips","https://www.youtube.com/watch?v=KcV4nlrLQmI","2023-04-11",13441
"How To Become A PlayBoy? | Ladki patane ke tarike | Ladki kaise pataye jati hai | Psychological Tips","https://www.youtube.com/watch?v=Q7ickjX5yvw","2023-04-10",188052
"Situationship VS Relationship | Situationship ka matlab kya hota hai | Psychology of Relationship","https://www.youtube.com/watch?v=2to2DFOmXjs","2023-04-08",15353
"3 AMAZING PSYCHOLOGICAL FACTS ABOUT WOMEN | RELATIONSHIP ADVICE","https://www.youtube.com/watch?v=I7u7HvUcWLw","2023-04-07",13572
"Salman Khan se seekho 5 Relationship Tips | Relationship Ideas by Salman Khan | Psychology","https://www.youtube.com/watch?v=dOS24121E1U","2023-04-06",10724
"Flirt kaise kare? #psychology #shortvideo #shorts","https://www.youtube.com/watch?v=tgfWVJCvhso","2023-04-06",4478
"Kya 1 ladka aur ladki sirf dost ban ke reh sakte hain? #psychology #shorts #shortvideo","https://www.youtube.com/watch?v=uYdysmZ6KH0","2023-04-06",2816
"3 ट्रिक्स सीख लो सब आपकी Value करेंगे | Apni izzat kaise karwaye | Laws Of Power  Reverse Psychology","https://www.youtube.com/watch?v=y_fyCi8pnh8","2023-04-05",14814
"Ladki ka pehle se Boyfriend ho to use apni Girlfriend kaise banaye | Dark Secret & Psychology","https://www.youtube.com/watch?v=hTCvHXnTcWk","2023-04-04",11991
"Ye video har ladke ko dekhni chahiye | Psychology and Mindset of Young Boys | Single hai to kya kare","https://www.youtube.com/watch?v=IjEJB0ofwls","2023-04-03",7435
"3 HINTS Ladki aapka kaat rahi hai | Kaise jane ladki use kar rahi hai | Psychology Of Women & Girls","https://www.youtube.com/watch?v=zTRwtJikJLE","2023-04-02",10345
"Ladki aapke pechhe pad jayegi bas 1 cheez kar dena | Psychological Tips to make girl crazy for you","https://www.youtube.com/watch?v=ukpL-T_zn0k","2023-04-01",16936
"Ladki aapke pechhe pad jayegi bas 1 cheez kar dena | Psychological Tips to make girl crazy for you","https://www.youtube.com/watch?v=wBIgysXJN5M","2023-03-31",24842
"Agar ladki late reply kare to kya kare? | What to do if girl Replies late | Whatsapp Chat kaise kare","https://www.youtube.com/watch?v=gLKgrfilqNE","2023-03-24",27417
"SHOCKING PSYCHOLOGICAL FACTS ABOUT LOVE | Human Feelings की सच्चाई | Psychology in Hindi","https://www.youtube.com/watch?v=jI3WeQD6KYg","2023-03-22",22753
"Kisi Ladki ki Tareef kaise kare? | Psychological Tips to Attract a Girl | Relationship Advice","https://www.youtube.com/watch?v=TAFC0rQg-SQ","2023-03-21",20223
"3 Second me ladki patana hai to dekh lo | Psychological Tips to Impress any girl | 3 Golden Rules","https://www.youtube.com/watch?v=9gRBqBngWyQ","2023-03-17",114930
"Perfect Girlfriend ke 3 Signs | Signs of Pefect Relationship (Girlfriend and Boyfriend) | Psychology","https://www.youtube.com/watch?v=pzNTwZ1ni7w","2023-03-14",15914
"How to get an ATTRACTIVE PERSONALITY | Personality Develop kaise kare? | Personality Development","https://www.youtube.com/watch?v=SXKtwdn5RTk","2023-03-13",14239
"Ladka Ladki ka ganda khel | Men, Women and their relation | Psychology of Love & Relationship","https://www.youtube.com/watch?v=4byqGsUvhQ4","2023-03-02",23379
"Psychological Tricks To Make People Like You IMMEDIATELY | Relationship Advice in hindi Psychology","https://www.youtube.com/watch?v=S8BLw5VhZlQ","2023-02-27",26474
"Log aapki kadar kyon nahi karte hain |Apni izzat kaise badhaye kamaye How to Earn Respect Psychology","https://www.youtube.com/watch?v=5QzID2sNwhs","2023-02-24",19324
"बुद्धिमान व्यक्ति की पहचान | 10 Signs of Intelligent person in Hindi Chanakya Niti Neeti| Psychology","https://www.youtube.com/watch?v=OdZC-kOPcoM","2023-02-23",11753
"Ladkiyo ke 4 raaz | Untold Psychology Facts About Teenage 'GIRLS' Based On Neuroscience Study","https://www.youtube.com/watch?v=mndI4ShJFpc","2023-02-22",33979
"Ladki ki na me ha hoti hai? | Ladki ki Psychology ko kaise samjhe | Psychological Relationship Tips","https://www.youtube.com/watch?v=Uc8Ut7hcjNM","2023-02-19",46677
"Every Youth MUST WATCH This Video | Inspiration for Students, Youngsters and Teenagers Psychological","https://www.youtube.com/watch?v=jw1sDAR9qNs","2023-02-17",113073
"Ladki ke Best Friend se pareshan? | Psychological Tricks to Attract Girls |  How to impress a Girl","https://www.youtube.com/watch?v=j2bNw6Q3Iq8","2023-02-16",9670
"21 दिनों में 95% लोगों से आगे निकल जाओ | 21 Days Challenge to Change your Mindset | Psychological","https://www.youtube.com/watch?v=7uQKi4ZpteY","2023-02-15",47465
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=l8kakoDWAQE","2023-02-14",18847
"Valentine's day gifts for girlfriend & boyfriend  | Valentine day gift ideas 2023 | Amazon Online","https://www.youtube.com/watch?v=1cO-oZf1Lfk","2023-02-10",13256
"Valentine Week me kaise propose karte hain List Dates celebrate 2023 | Valentine Week and Month 2023","https://www.youtube.com/watch?v=syw3UMXWn3I","2023-02-08",9704
"Valentine Week me kaise propose karte hain List Dates celebrate 2023 | Valentine Week and Month 2023","https://www.youtube.com/watch?v=oQZjw-iH9gY","2023-02-04",19950
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=OIgUMDtWSAo","2023-02-02",18860
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=PysOXKys4TY","2023-01-30",34923
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=zNMRAoQZF68","2023-01-22",25595
"Ladki tumhare pyar me pagal ho jayegi | Psychology in Hindi | Women Love | Human feeling & emotions","https://www.youtube.com/watch?v=jfvOpl1ysv8","2023-01-21",21807
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=85cDKPupM9Q","2023-01-15",41812
"5 Psychological Tricks to Attract Girls | How to impress a Girl & make her your Girlfriend in Hindi","https://www.youtube.com/watch?v=N4JgADqjuN0","2023-01-14",41056
"EX ko wapas kaise laye | Koi ignore kare to kya kare | Breakup k baad kya kare | Value kaise badhaye","https://www.youtube.com/watch?v=njOA3_--AGE","2023-01-13",15963
"Girlfriend kaise banaye | Reverse psychology tricks to make a girlfriend | Psychological Class","https://www.youtube.com/watch?v=wMGmj5uyqis","2023-01-12",23283
"Ladki se call par kya baat kare | Ladki se call pe kaise baat kare | Psychology of ATTRACTION Hindi","https://www.youtube.com/watch?v=odI3dA3lFrI","2023-01-09",112665
"Up Down karna kaise band kare? | How to Quit Addiction | How to Stop | Psychological Advice","https://www.youtube.com/watch?v=ElAuVi0-88M","2022-12-26",15388
"Bad Boy kaise bane | Girlfriend kaise banaye | Relationship Psycholgical Advice in Hindi","https://www.youtube.com/watch?v=iNwWWS5MZ8M","2022-12-25",37356
"Bad Boy kaise bane | Girlfriend kaise banaye | Relationship Psycholgical Advice in Hindi","https://www.youtube.com/watch?v=ObcTRXPk9oA","2022-12-24",118465
"Sigma Male kaise bane | Sigma male banne ka tarika | How to become a Sigma Male in hindi | 3 Signs","https://www.youtube.com/watch?v=kP9vTOsy200","2022-12-23",53200
