"Title","video_url","Published_date","Views"
"Partner Ke Ander Khone Ka Dar Kaise Paida Kare | Khone Ka Dar Kaise Paida Kare | Fear Of Lost","https://www.youtube.com/watch?v=DfkuPagN9DA","2023-05-22",2561
"Pyar Me Pagal Kaise Kiya Jata Hai | Pyar Pane Ka Tarika | Pyar Karne Ka Sabse Sahi Tarika","https://www.youtube.com/watch?v=DWciMZfGa2w","2023-05-21",2373
"How To Make Your Girl Best Friend Fall In Love With You | How To Make Your Best Friend Love You","https://www.youtube.com/watch?v=Fe2f0EpdE3c","2023-05-20",1312
"प्यार बढ़ाने के बेहद खास व असरदार टिप्स Pyar Kaise Badhaye | Pyar Kaise Badhata Hai | Pyar | Love","https://www.youtube.com/watch?v=ocAdohmMQXY","2023-05-16",3707
"Husband Material Boyfriend | Ache Ladke Ki Pehchan | Ache Ladke Kaise Hote Hain | Loveintercity","https://www.youtube.com/watch?v=bHJir4673HE","2023-05-14",2586
"Khoya Pyar Wapas Kaise Paye | Loveintercity","https://www.youtube.com/watch?v=vFWyn8iv-gA","2023-05-12",3272
"Kaise Pata Kare Ki Ladki Sirf Apko Like Karti Hai | Kaise Jane Ki Ladki Pasand Karti Hai","https://www.youtube.com/watch?v=jPLdSA1B6zQ","2023-05-09",5555
"How To Attract A Woman | How To Attract A Girl | How To Impress A Girl Or Woman | Loveintercity","https://www.youtube.com/watch?v=NqC3APQ1t6U","2023-05-08",4767
"Sache Insan Ki Pehchan | Ache Insan Ki Pehchan | How To Trust On Someone | Kis Par Bharosha Kare","https://www.youtube.com/watch?v=14L01gZlQgw","2023-05-06",2085
"Best Relationship Advice Ever | How to make strong relationship | How to build strong relationship","https://www.youtube.com/watch?v=t4qLOMlW3jM","2023-05-05",4084
"Trust Kaise Kare | Bharosha Kaise Karna Chahiye | Kisi Par Bharosha Kaise Kare | Kis Par Trust Nahi","https://www.youtube.com/watch?v=V0gbWjKPNCI","2023-05-02",3299
"Kaise Pata Kare Ki Uski Life Me Koi Aur Hai | Sach Ka Pata Kaise Lagaye | Psychological Love Tips","https://www.youtube.com/watch?v=eUSpxD2_Uj8","2023-04-30",5502
"Jhute Pyar Ki 3 Sabse Badi Nishaniyan | Jhute Pyar Ki Nishani | Jhute Pyar Ki Pehchan | Fake Love","https://www.youtube.com/watch?v=fEODK7u3B8w","2023-04-28",4804
"Kaise Pata Kare Koi Yaad Kar Raha Hai | Kaise Pata Kare Ladki Yaad Karti Hai | Yaad Aati Hai Ya Nahi","https://www.youtube.com/watch?v=5ZEEfTmRQwc","2023-04-25",6923
"How To Boost Your Love Like Rocket 🚀 | Pyar Kaise Badhaye | Pyar Badhane Ka Tarika | Loveintercity","https://www.youtube.com/watch?v=RCb2-ZKaBi8","2023-04-24",7658
"Kaise Pata Kare Ki Ladki Pasand Karti Hai Ya Nahin | Kaise Pata Kare Ki Ladki aapko Pasand Karti hai","https://www.youtube.com/watch?v=DLpA8jBpQMg","2023-04-21",7591
"Best Relationship Advice In Hindi | Relationship Tips In Hindi |Relationship Advice By Loveintercity","https://www.youtube.com/watch?v=z8y8a-V_tiY","2023-04-19",4977
"How To Get Lost Love Back | Khoya Pyar Wapas Pane Ka Tarika | Khoya Pyar Wapas Kaise Paye","https://www.youtube.com/watch?v=oGJqqQ80VXk","2023-04-17",7463
"How To Make Strong Relationship | Relationship Ko Majboot Kaise Banaye |Relationship Advice In Hindi","https://www.youtube.com/watch?v=K9QF7rBidq4","2023-04-08",5119
"Relationship Me Ladai Jhagde Ka Reason |Rishton Mein Ladai Kyu Hota Hai|Relationship Me Ladai Jhagde","https://www.youtube.com/watch?v=qPpGjnswagU","2023-04-05",3922
"वो इस धरती के किसी भी छोर पर रहे पर तुम्हें भूल नहीं पाएगा । Kisi Ko Apni Yaad Kaise Lagaye","https://www.youtube.com/watch?v=ZU7lq-pnHUY","2023-03-29",6060
"3 Biggest Signs If Love Is True | How To Know True Love | Sache Pyar Ki Nishani | Loveitercity","https://www.youtube.com/watch?v=GnXqRF2EX6s","2023-03-26",6133
"बस ये 1 क्वालिटी अपना लो, पूरे ब्रह्मांड में आपका प्यार अमर हो जाएगा True Sign Of Eternal Love","https://www.youtube.com/watch?v=ZZmqvgahDKc","2023-03-24",3386
"Girlfriend Call Nahi Kare Toh Kya Karen | Boyfriend Call Nahi Kare Toh Kya Karen | Loveintercity","https://www.youtube.com/watch?v=2jcHoifOUWE","2023-03-19",9768
"How To Make Strong Relationship | Relationship Ko Majboot Kaise Kare | Relationship Advice In Hindi","https://www.youtube.com/watch?v=c0qZvccX1q4","2023-03-15",7423
"How To Impress A Girl | ladki ko impress kaise kaise kare | How To Impress A Girl In School","https://www.youtube.com/watch?v=aVZ3avatY5I","2023-03-13",3950
"How To Make Interested a girl in you Forever | Interest Kaise Badhaye | Interest Kaise Banaye","https://www.youtube.com/watch?v=oQyUc8lLLWs","2023-03-13",8286
"अगर ऐसा इंसान कहीं दिख भी जाए तो दूर भाग जाना | Bahot Bure Insan Ki Pehchan |How To Know Fake People","https://www.youtube.com/watch?v=lFZ8jcFB3W4","2023-03-12",3595
"जब वो तुम्हें किसी और के लिए छोड़ दे तब क्या करे ? Jab Koi Dhokha De Toh Kya Kare | Loveintercity","https://www.youtube.com/watch?v=dNsEo8f9BrU","2023-03-10",5598
"मरने से पहले ये दो काम ज़रूर कर लेना वो हमेशा…….. ( Kisi Ko Pyar Me Pagal Kaise Karte Hain )","https://www.youtube.com/watch?v=T1ToO4CeWjI","2023-03-09",7287
"ये काम किया करो लड़की आपसे मिलने के लिए दौड़ती हुई आएगी Ladki Ko Milne Kaise Bulaye | Meet to you","https://www.youtube.com/watch?v=Qv2WfDxX5Cw","2023-03-07",7865
"ये 3 चीजें लड़की को रोज देना कभी छोड़कर नहीं जाएगी ladkiyan ladko se kya chahti hain byLoveintercity","https://www.youtube.com/watch?v=5gg7rSPK338","2023-03-06",6441
"बार-बार शक का ख्याल आए तो क्या करे Shak Ki Bimari Ka Ilaj | Shak Ki Bimari Kaise Dur Kare","https://www.youtube.com/watch?v=I5Die-dG4Gg","2023-03-04",4931
"How To Get Lost Love Back | Khoya Pyar Kaise Paye | Khoya Pyar Wapas Kaise Laye | Loveintercity","https://www.youtube.com/watch?v=oGsSXWq5Lw8","2023-02-28",5747
"ये तीन चीजें हो रही हैं तो आपसे बड़ा बेवकूफ कोई नहीं Jhute Pyar Ko Pahchanne Ka Tarika|Loveintercity","https://www.youtube.com/watch?v=JtlqHSIfZyI","2023-02-27",7116
"ये 3 काम कर दिया तो लड़की किसी और के बारे में सोचेगी तक नहीं | Ladki Ko Pyar Me Pagal Kaise Banaye","https://www.youtube.com/watch?v=BZ1hTuvvmMw","2023-02-26",4584
"जब कोई तुम्हारी बिल्कुल कदर ना करे तब तुरंत ये 3 काम करना Apne Pyar Ka Ehsas Kaise Karaye","https://www.youtube.com/watch?v=lntOJsG6j54","2023-02-20",4276
"3 Signs Of Ending Relationship || Jhute Pyar Ki Nishani || Jhute Pyar Ki Pehchan || Loveintericty","https://www.youtube.com/watch?v=30cxtsd9tJQ","2022-12-05",21839
"ये 3 सवाल रोज पूछा करो प्यार इतनी तेजी से बढ़ेगा कि आप सोच भी नहीं सकते Pyar Kaise Badhaye","https://www.youtube.com/watch?v=qVj_678ffz8","2022-12-04",33800
