"Title","video_url","Published_date","Views"
"How To Command Respect - 7 Epic Ways To Impress Her (Animated)","https://www.youtube.com/watch?v=MWvX5dC8GeE","2023-01-24",4520
"7 Signs You Could Be Attractive - Easy Ways To Charm A Girl (Animated Story)","https://www.youtube.com/watch?v=yM8yCftJEPA","2023-01-17",5155
"10 Habits That Make You Smarter - Proven Ways To Impress Her (Animated Story)","https://www.youtube.com/watch?v=o2IaGJOKZp8","2022-12-20",4372
"Top 7 Signs You Have An Attractive Face - Do I Have Promising Looks? (Animated)","https://www.youtube.com/watch?v=AUR9s5CeNqo","2022-12-12",3382
"5 Epic Insult Clap Backs That Will Absolutely Destroy Your Enemy Every Time (Animated Story)","https://www.youtube.com/watch?v=u_0CMVSgcjI","2022-11-22",2753
"5 Reasons Spying On My Girlfriend Is Horrible - Easily Trust Her Now (Animated)","https://www.youtube.com/watch?v=cGBob-CWfLc","2022-11-08",1486
"5 Absolutely Unique Reasons Why Intelligent People Struggle Finding Love (Animated Story)","https://www.youtube.com/watch?v=Azr-f4SGoZc","2022-10-11",4308
"5 Important Things All Girls Want - Hack to Make Her Happy (Animated)","https://www.youtube.com/watch?v=1waZ6QF3TA4","2022-09-27",4451
"5 Guaranteed Ways to Win Her Heart - Easily Make Her Want You (Animated Story)","https://www.youtube.com/watch?v=hnIl01Bz-GI","2022-09-13",6197
"5 Clear Signs She’s Into You - Easily Know When a Girl Is Interested (Animated)","https://www.youtube.com/watch?v=X9Uvu_Fc-mM","2022-09-06",7126
"5 Excellent Text Conversation Tips - A Helpful Hack for Every Man (Animated Story)","https://www.youtube.com/watch?v=GsCbZcQ4cN0","2022-08-30",3991
"5 Interesting Ways to Talk to Women - Make Her Easily Love You (Animated)","https://www.youtube.com/watch?v=gE9ZLlV3X6Q","2022-08-02",6365
"5 Awesome Ways to Get Her Addicted to You - Easily Get the Girl (Animated Story)","https://www.youtube.com/watch?v=gAydl7oz2bM","2022-07-26",6360
"5 Brain Magic Hacks - Secret Ways Your Mind Tricks You (Animated)","https://www.youtube.com/watch?v=NToCCjjBSoA","2022-07-19",2227
"5 Easy Tricks to Get Respect - Easily Be a Valuable Man Now (Animated Story)","https://www.youtube.com/watch?v=CYcucTE6UyE","2022-07-05",5285
"5 Killer Habits That Ruin Your Confidence - Live a Happy Life Now! (Animated)","https://www.youtube.com/watch?v=-rTHJX6Zr40","2022-06-28",7304
"Dating Advice Every Man Should Know - 5 Awesome Tips (Animated)","https://www.youtube.com/watch?v=FuoLMGdT5Gc","2022-06-21",4995
"Make Her Crazy for You - 5 Ways to Be Epic and Awesome (Animated Story)","https://www.youtube.com/watch?v=WSOvweEWgVs","2022-06-14",6668
"Never Chase Women - 5 Great Ways to Make Her Absolutely Love You (Animated)","https://www.youtube.com/watch?v=jVt6FwQRHYQ","2022-06-07",10493
"5 Great Ways to Talk to Women - Easily Make Yourself Attractive (Animated)","https://www.youtube.com/watch?v=rlz4-DmbKfQ","2022-05-31",5157
"5 Guaranteed Ways to Get the Ideal Body Women Want - Expert Tips (Animated)","https://www.youtube.com/watch?v=qTfN_cmpHWw","2022-05-24",4631
"5 Better Ways to Stop Watching Porn - Remarkable Hack to Reshape Your Mind (Animated)","https://www.youtube.com/watch?v=ln_jBTyVGrE","2022-05-10",13753
"5 Hidden Skills Players Have - Clear Signs a Guy Should Know (Animated)","https://www.youtube.com/watch?v=iQYwgtm8iEI","2022-05-03",6076
"5 Psychological Ways to Attract a Woman - The Hack for Every Man (Animated)","https://www.youtube.com/watch?v=UOXWkapiEUc","2022-04-05",11320
"5 Appalling Things Men Should Never Wear - Ultimate Style Hack for the Classy Man (Animated)","https://www.youtube.com/watch?v=ziB7xb2M1Mg","2022-03-29",4255
"5 Brilliant Pick Up Lines Guaranteed to Leave Any Girl in Awe (Animated Story)","https://www.youtube.com/watch?v=BdjnjatVuDA","2022-03-22",5173
"5 Reasons Why You Should Walk Away Now - Stop Chasing, Be Confident! (Animated)","https://www.youtube.com/watch?v=h5Ptqi1b0_E","2022-03-15",9964
"5 Top Latest Ways To Easily Talk To A Girl - How To Approach Women (Animated Story)","https://www.youtube.com/watch?v=fUMQInsRhmM","2022-03-08",5761
"5 Greatest Conversation Starters That Actually Work - Smooth Talk Your Way In (Animated)","https://www.youtube.com/watch?v=1d5jnuoWHNk","2022-03-01",7187
"Kudos! 7 Proven Signs You’re More Attractive Than You Think – Yes, You! (Animated Story)","https://www.youtube.com/watch?v=OWHxP7jhSi0","2022-02-22",6860
"5 Foolproof Ways to Be Confident - Be an Epic and Attractive Guy (Animated Story)","https://www.youtube.com/watch?v=2NWy7qNePEk","2022-02-15",4910
"9 Extra Terrific Pick-Up Lines That Spark Attraction - Ways to Win Her Over Now (Animated)","https://www.youtube.com/watch?v=T_LchMcBmZ8","2022-02-01",4143
"7 Questions That Hack A Woman’s Mind - Proven To Make Her Love You! (Animated)","https://www.youtube.com/watch?v=fVAXgtDzcLY","2022-01-25",9302
"Top 5 Ways To Start Conversation With A Woman - Easily Flirt With A Girl (Animated)","https://www.youtube.com/watch?v=uuotIYAUE_g","2022-01-18",7323
"5 Habits That Make People Dislike You - Unsettling Habits That Aren’t Delightful (Animated Story)","https://www.youtube.com/watch?v=Sfnu4tHczQQ","2022-01-12",3918
"5 Habits That Make Men More Attractive - How to Easily Attract Her (Animated)","https://www.youtube.com/watch?v=VeWstT6x2j8","2022-01-04",6035
"Security, Trust, Passion, Love - 9 Things A Woman Want In A Man Now (Animated)","https://www.youtube.com/watch?v=FvrAHFUf1IU","2021-12-28",4287
"5 Habits of Mentally Weak Men - Keep Your Kind Strong, Be Powerful Now! (Animated Story)","https://www.youtube.com/watch?v=xYM-Ht8MppU","2021-12-21",15531
"5 Rules for the Rest of Your Life - Change Your Destiny, Be a Better Man (Animated)","https://www.youtube.com/watch?v=6Uuc8NMmV40","2021-12-14",4492
"7 Things To Melt A Woman's Heart - Attract Her Now With These Hacks (Animated)","https://www.youtube.com/watch?v=qGOW0-v2qhI","2021-12-07",9427
"9 Things Girls Want From Men - Give Her Intimacy, Passion And Love (Animated Story)","https://www.youtube.com/watch?v=Ruwm4Wxpzxg","2021-11-30",10220
"5 Things Men Should Never Apologize For - Stay Strong and Know Your Value (Animated)","https://www.youtube.com/watch?v=G1qsXZA2vBs","2021-11-23",10688
"5 Slick Techniques to Get a Girl Addicted to You - Look Attractive Quickly! (Animated Story)","https://www.youtube.com/watch?v=t1S8J4HZtzo","2021-11-16",12340
"5 Clever Ways to Make Her Miss You - Keep the Spark Alive (Animated)","https://www.youtube.com/watch?v=QgQ1LixmMl4","2021-11-09",9511
"Top 5 Girls' Secrets That Guys Don't Know - Everything You Absolutely Need (Animated)","https://www.youtube.com/watch?v=VE2NXKhPQvE","2021-11-01",7730
"7 Eye-Opening Reasons Why Women Lose Attraction In You - Avoid Them Now (Animated)","https://www.youtube.com/watch?v=HSu5uDbmzdw","2021-10-26",11108
"Top 5 Proven Phrases When Flirting With A Girl - Absolutely Attract Her (Animated)","https://www.youtube.com/watch?v=jq5hq4Dsiio","2021-10-19",8297
"Top 5 Habits That Make Men More Attractive - Be Absolutely Irresistible to Her (Animated)","https://www.youtube.com/watch?v=vASNuvq8SBE","2021-10-12",13242
"5 Important Facts About Attraction - The Things Every Girl Can't Resist (Animated)","https://www.youtube.com/watch?v=sO-5iXxid78","2021-10-05",9025
"Top 5 Great Hacks To Make Any Guy Hotter - Increase That Attraction (Animated)","https://www.youtube.com/watch?v=i0dSkJXEz2Y","2021-09-28",11320
"5 Important Ways Girls Test Guys - Helpful Ways to Keep Her Interested (Animated)","https://www.youtube.com/watch?v=WNE3IO7vo2I","2021-09-21",10557
"5 Types of Women You Should AVOID - Don't Waste Any More Precious Time (Animated Story)","https://www.youtube.com/watch?v=LH2lo8hTnUA","2021-09-14",7929
"Top 5 Compliments That Create Deep Attraction - Fascinating Ways To Make Her Happy (Animated)","https://www.youtube.com/watch?v=_Twout8-KpE","2021-09-07",12384
"Top 7 Signs You're Actually Intelligent - You Are Smarter Than You Think (Animated)","https://www.youtube.com/watch?v=Sgkz0ef1wF0","2021-08-31",4707
"5 Remarkable Types Of Women Who Will BREAK Your Heart! Watch Out, Avoid Agony (Animated)","https://www.youtube.com/watch?v=Gf2lZYzQLyY","2021-08-24",5001
"5 Signs a Girl Doesn’t Like You - Clear Signs Every Man Should Know (Animated Story)","https://www.youtube.com/watch?v=NVgLLsedSRY","2021-08-17",11538
"Top 5 Things That Make Her Ignore You - See It From Her Perspective (Animated)","https://www.youtube.com/watch?v=WbSXyohRjL8","2021-08-10",7150
"How Alpha Males Act: 5 Impressive Ways To Grab Her Full Attention Now (Animated Story)","https://www.youtube.com/watch?v=2nFLwsPF0Sg","2021-08-03",8856
"7 Characteristics of a High Value Man - Be the Best Version of Yourself (Animated Story)","https://www.youtube.com/watch?v=aZS6Gw6y7UI","2021-07-27",14225
"10 Signs Someone Secretly Loves You - Is She Actually Falling For You?","https://www.youtube.com/watch?v=2Gv0qs60RbI","2021-07-20",9661
"5 Little Ways To Attract Women: The Unexpected Power Of Pulling Back! (Animated)","https://www.youtube.com/watch?v=QIzHWtuuDWg","2021-06-29",13339
"5 Successful Ways To Overcome Rejection: Right Path To The Best You! (Animated)","https://www.youtube.com/watch?v=-ZbXjX-ifL8","2021-06-22",4774
"Why Silent People Are Successful (5 Reasons): Smart Path To Victory (Animated)","https://www.youtube.com/watch?v=urWORZ0EI90","2021-06-01",15248
"7 Surprising Psychological Facts About Girls You Need To Know - Superb Facts! (Animated)","https://www.youtube.com/watch?v=wWG_HpI-_Gs","2021-05-04",14056
"7 Advantages Of Being Attractive - Use These & Get The Girl (Animated)","https://www.youtube.com/watch?v=KTVGSudgMpc","2021-04-27",13251
"5 Powerful Things You Need To Do Before The Kiss - Make It Memorable! (Animated)","https://www.youtube.com/watch?v=HOm4JZciejE","2021-04-20",11946
"10 Sure Signs You Found Your Soulmate - Attract The Right Person! (Animated)","https://www.youtube.com/watch?v=Ydor5OvUfag","2021-04-06",10680
"A Useful Strategy - 7 Tips To Easily Attract Any Girl You Want (Animated)","https://www.youtube.com/watch?v=D33v6TJj-_Q","2021-03-28",16536
"Be The Coolest Guy In The Room - Alpha Male's 9 Best Kept Secrets (Animated)","https://www.youtube.com/watch?v=E6TOM_R_p-k","2021-03-16",13822
"9 Effective Ways to Go From UGLY to HOT INSTANTLY! - How To Be More Attractive (Animated)","https://www.youtube.com/watch?v=CFq1elxbf0k","2021-03-14",11449
"9 Ways To Make Her Like You Back - Stop Chasing A Person (Animated)","https://www.youtube.com/watch?v=NhfEpLGmGLo","2021-03-07",37010
"The Secret To Getting Any Girl - 9 Best Tricks You Need To Master (Animated)","https://www.youtube.com/watch?v=ou8CqhQPfUI","2021-02-28",14858
"7 Texts To Make Any Woman Obsess Over You - Make Her Chase You INSTANTLY (Animated)","https://www.youtube.com/watch?v=Z90eZOLqSmk","2021-02-23",28628
"5 Text Messages Girls Always Reply To - So Powerful, No Girl Can Really Snob! (Animated)","https://www.youtube.com/watch?v=cbh6kqsAGMc","2021-02-21",21691
"7 Subtle Signs She Likes You More Than A Friend (Animated)","https://www.youtube.com/watch?v=mjQ_l4_6K-s","2021-02-14",21893
"What Makes A Man Attractive? - Know The 7 Achievable Science-Backed Tips (Animated)","https://www.youtube.com/watch?v=6Q8FMGD1f9w","2021-02-07",15075
"5 Subtle Signs You Have Caught A Girl’s Attention (Animated)","https://www.youtube.com/watch?v=PSB_fJgdtxE","2021-02-02",23599
"5 Habits Of Handsome Men - How One Can Be Absolutely Irresistible (Animated)","https://www.youtube.com/watch?v=WIkfHzlj7C0","2021-01-30",14624
"9 Reasons Girls Think You’re Unattractive - Don’t Do These! (Animated)","https://www.youtube.com/watch?v=RUSP3UWaqb8","2021-01-24",18288
"7 Types Of Girls You Should NEVER Trust (Animated)","https://www.youtube.com/watch?v=Mp0-tzc8emo","2021-01-19",15090
"7 Psychological Tricks to Be Irresistible to Women (Do These Now) (Animated)","https://www.youtube.com/watch?v=ikEViaZcb8I","2021-01-17",26969
"7 Things You Should NEVER Apologize For (Animated)","https://www.youtube.com/watch?v=YySQzeG07G4","2021-01-12",12093
"7 Unwritten Rules of Texting - You Should Know These! (Animated)","https://www.youtube.com/watch?v=RX99FgyyLjg","2021-01-10",12219
"7 Clear Signs You’re A SIGMA Male - Are You The Rarest Of Them All? (Animated)","https://www.youtube.com/watch?v=yim98pfBTcQ","2021-01-03",20503
"5 Subconscious Signs She Wants YOU to Talk to Her - Don’t Be Clueless (Animated Story)","https://www.youtube.com/watch?v=1EkP9jkmyeI","2020-12-27",19168
"5 Worst Questions To Ask A Girl You Like - Conversation Starters to AVOID (Animated)","https://www.youtube.com/watch?v=xiQU-mqjx80","2020-12-20",13386
"10 Weird And Obvious Things Girls Do When They Like You (Animated)","https://www.youtube.com/watch?v=_UvpfSg8Vps","2020-12-13",26312
"7 Gestures That Make Women Melt - Attract Even The Toughest Heart (Animated)","https://www.youtube.com/watch?v=BA6xtWC9arI","2020-11-29",26691
"5 Subtle Signs You Are MORE Attractive Than You Think - How To Be Attractive (Animated)","https://www.youtube.com/watch?v=fqEX6LZpKwk","2020-11-22",14773
"7 Habits ALL Women Think That Make Men Handsome/Attractive (Animated)","https://www.youtube.com/watch?v=QvG8up_nRBY","2020-11-15",15109
"7 Ways To Not Get Nervous Around HER - Effective Ways to Overcome It (Animated)","https://www.youtube.com/watch?v=IXib_HfhxF8","2020-11-01",11824
"How To Be An Alpha Confident Man (Animated)","https://www.youtube.com/watch?v=54W5SS7s0gU","2020-10-25",10474
"7 Small Things Women Notice About You - How To Know if She Notice You (Animated)","https://www.youtube.com/watch?v=01_Cb_bU-tg","2020-10-11",25818
"5 Secrets Women Don’t Want Men To Know - EXPOSING WOMEN (Animated)","https://www.youtube.com/watch?v=bvLpxgZ4yKM","2020-10-04",19752
"7 Tricks to Attract Her in 90 Seconds - How to Attract Her Immediately (Animated)","https://www.youtube.com/watch?v=jZ2me8J9NNs","2020-09-27",27339
"Hot Things Men Do that Women Like (YOU SHOULD DO THIS!) (Animated)","https://www.youtube.com/watch?v=9FwW-i5kOfU","2020-09-20",17274
"7 Surprising Things That Women Want But You NEVER DO (Animated)","https://www.youtube.com/watch?v=7bkoIOzfK74","2020-09-13",15151
"10 Mistakes Men Make When A Girl Pulls Away (Animated)","https://www.youtube.com/watch?v=LdWCUMJf1yA","2020-09-06",29782
"What To Do If A Girl Loses Interest - How To INSTANTLY Make ANY Girl Want YOU (Animated)","https://www.youtube.com/watch?v=H6Tp0-0CfpI","2020-08-30",32465
"Girls Love It When Guys Wear These Things (Animated)","https://www.youtube.com/watch?v=K8aZ7bFrQsE","2020-08-23",12426
"10 Signs You Are A Beta-Male - How to NOT be a Simp (Animated)","https://www.youtube.com/watch?v=H7-PyDs5WPU","2020-08-16",18673
"10 Weird Traits Women Chase in A Guy (Animated)","https://www.youtube.com/watch?v=3jUSlMlF9yA","2020-08-09",17996
