"Title","video_url","Published_date","Views"
"How To Open Demat Account in Zerodha | Zerodha Account Opening | Open Account in Zerodha #zerodha","https://www.youtube.com/watch?v=VcLw8aljOAM","2023-04-25",3856
"Angel One App Account Kaise banaye 2023 | Angel One Account Opening | Demat account kaise khole","https://www.youtube.com/watch?v=ImxG0oivBow","2023-04-14",1494
"How to Start Investing in the Stock Market | How to invest in Stocks for beginners","https://www.youtube.com/watch?v=mcp6_Ydcm7A","2023-03-25",2486
"Now Buy Instagram Blue Tick ✅ Like Twitter #Shorts #instagram #verifiedbadge","https://www.youtube.com/watch?v=lGaf_LQvjpw","2023-02-21",2743
"Inspirational Story : किसी की भी Help करने से पहले ये कहानी जरूर सुनें","https://www.youtube.com/watch?v=twjPxAN46es","2021-10-21",47059
"How to Take Better Decisions in Life | How to take Right Decision","https://www.youtube.com/watch?v=7HNThT-MXOE","2021-10-15",17717
"How to Think Like A Genius | Genius लोगों की तरह सोचना सीखें | Education | Psychology","https://www.youtube.com/watch?v=x-HicXDsW4M","2021-09-14",19078
"How to Learn a New Talent in Few Days | The little Book of Talent Book Summary","https://www.youtube.com/watch?v=dK16ttg_Ls0","2021-09-03",21435
"How to Control Anger | Gussa kaise control kare | Gussa karna kam kaise kare | Psychology","https://www.youtube.com/watch?v=Z0U84S4CCD8","2021-08-31",10996
"9 Rules to become Successful | Book Summary - The One Thing | Successful kaise bane","https://www.youtube.com/watch?v=UQlQMIaObB8","2021-08-26",14353
"5 Benefits of Speaking less | Kam bolne ke fayde","https://www.youtube.com/watch?v=QA1vt3BjY3A","2021-08-23",29651
"4 Psychological Tricks that work on Everyone | Book summary | Thinking fast & Slow","https://www.youtube.com/watch?v=PfSkszms9iU","2021-08-20",18733
"ये 5 बातें बोलने वाले लोग हमेशा गरीब ही रहते हैं।","https://www.youtube.com/watch?v=65AiaEqq_10","2021-08-15",15300
"15 Most Important Life Lessons | Psychology of happiness and Success","https://www.youtube.com/watch?v=gJFnvFHDhog","2021-08-08",15356
"5 Quotes to Become Successful in Life | Relentless book quotes | Motivational quotes | Success","https://www.youtube.com/watch?v=NoqxGfKFXeg","2021-08-05",11337
"How to Stop Overthinking | Sochna kam kaise kare | Overthinking kam kaise kare","https://www.youtube.com/watch?v=g5OdVZ6CXlM","2021-07-30",17753
"How to Say No to People | लोगों को ना कहना सीखें | Polite ways to Say No | Psychology","https://www.youtube.com/watch?v=y4yVu2K6yWo","2021-07-25",38684
"THE HOW OF HAPPINESS - BOOK SUMMARY | HOW TO BE HAPPY ALWAYS","https://www.youtube.com/watch?v=3i1ZcXpMtrQ","2021-07-21",9998
"How Successful People Think | Thinking of Successful People | Successful log kaise sochte hain","https://www.youtube.com/watch?v=dZapavti8K4","2021-07-16",10791
"6 Scientific Benefits of Meditation | Mediation karne ke fayde | Meditation","https://www.youtube.com/watch?v=4QyakrKLieI","2021-07-11",13962
"Hamesha Focus kaise rahen | How to Focus on yourself | Mind | Studying | Goals | Work","https://www.youtube.com/watch?v=yqrMFNPALLQ","2021-07-08",11489
"7 Psychological facts & Tricks to Manipulate people | Psychology of human behaviour | Psychology","https://www.youtube.com/watch?v=9SY9GFPQu2o","2021-07-04",97610
"5,00,000$ के Cheque की कहानी | Confidence Motivation Story | Businessman story | Motivational Story","https://www.youtube.com/watch?v=VlZcWSWZukg","2021-06-28",7512
"डॉक्टर ने कहा था मैं कभी चल नही पाऊंगा लेकिन मैने ये कर दिखाया | Real Story | Motivation Story","https://www.youtube.com/watch?v=ldBJY5CuCKw","2021-06-25",9228
