"Title","video_url","Published_date","Views"
"Top 3 AI Predictions For 2023","https://www.youtube.com/watch?v=CCbID5GaIoM","2023-04-12",2302
"THIS Is What Happens.. When You IGNORE Women","https://www.youtube.com/watch?v=IKymqVrlRT4","2022-03-01",288068
"How To Text ANY Girl (USE THESE 4 Opening Messages)","https://www.youtube.com/watch?v=b0O79I-f4EU","2021-05-18",300199
"5 Behaviors That Make You EXTREMELY Attractive to Women","https://www.youtube.com/watch?v=OQAwUQVhXfI","2020-10-20",670542
"4 HIDDEN Signs A Man Has Low Value","https://www.youtube.com/watch?v=7uQmjUrngw4","2020-08-20",297799
"5 Things You NEED to Know in your 20s","https://www.youtube.com/watch?v=Xg73i7DjLlU","2020-06-30",487889
"7 Tricks To Get Girls To Approach YOU!","https://www.youtube.com/watch?v=-D5HDX9HSe8","2020-06-21",340245
"How To Make Her MISS You","https://www.youtube.com/watch?v=oFUSmTFFQQ0","2020-06-09",1162593
"How To Talk To Girls Even if You're NERVOUS – MUST WATCH","https://www.youtube.com/watch?v=3fpe2C5JL5s","2020-03-31",481138
"The Secret To Being Smooth","https://www.youtube.com/watch?v=cV5TwsOnHIs","2020-01-30",816380
"How Being Introverted Can Get You Girls - ANYONE Can Do It","https://www.youtube.com/watch?v=3C8PRXxuatc","2020-01-15",679172
"The 3 Secrets To Showing Intent (How To NOT Be a Creep)","https://www.youtube.com/watch?v=g227SDVQ-as","2019-11-01",327969
"The BEST Way To Flirt (The Power of Misinterpretation)","https://www.youtube.com/watch?v=8EVPSC1Fn6Q","2019-10-15",365270
"How To Approach a Girl You Don't Know (The SAFI Principle)","https://www.youtube.com/watch?v=Sqj0Bo3-A0A","2019-10-01",1092498
"How To Make ANY Girl Want You (2 Easy Steps)","https://www.youtube.com/watch?v=EFn8WHw7tTo","2019-09-20",410937
"How To INSTANTLY Know If a Girl Likes You","https://www.youtube.com/watch?v=rFpEMJwUuKE","2019-08-30",288148
"What To Say After Hey: A Beginner's Guide to Flirting (The SATIC Principle)","https://www.youtube.com/watch?v=-eA-ozDMlAs","2019-06-03",612107
"The BIGGEST Mindset Change You Need to Make RIGHT Now! (It's Common Sense!)","https://www.youtube.com/watch?v=Ro-Jya3jE1o","2019-04-26",2095079
"How to Text Girls (ATTRACT Her Using These 2 Types of Text)","https://www.youtube.com/watch?v=TsVg3c2VqLw","2019-03-28",1554930
"How To Respond To a Girl's Texts (THESE are The 4 Types of Texts She'll Send)","https://www.youtube.com/watch?v=ENW7JSNeJF8","2019-03-18",1046228
"WATCH THIS VIDEO If You're Depressed About Not Getting Girls","https://www.youtube.com/watch?v=NQt2QyRwY7A","2019-02-22",1118193
"5 Signs a Girl Wants to Be Approached - How To Tell if She Wants to Talk To You","https://www.youtube.com/watch?v=cxEfzKsYx-Q","2019-02-14",478243
"HOW TO TALK TO GIRLS l NEVER RUN OUT OF THINGS TO SAY","https://www.youtube.com/watch?v=QxNXOpJfrBs","2018-12-21",884779
"The ONE Secret To Getting Any Girl","https://www.youtube.com/watch?v=ohnbOd5hRHs","2018-12-11",446209
"How To Attract A Girl WITHOUT Talking To Her (ANYONE Could Do It!)","https://www.youtube.com/watch?v=4AdziUYDeWY","2018-11-15",581064
"3 Ways To Make Girls Feel Comfortable","https://www.youtube.com/watch?v=mKWW2QrmMM4","2018-10-30",579054
"How to Attract 99% of Women","https://www.youtube.com/watch?v=2kV8DC1VPkQ","2018-10-15",939644
