"Title","video_url","Published_date","Views"
"Jordan Peterson: How To Attract Women","https://www.youtube.com/watch?v=O4wpiDsY18w","2020-02-01",304546
"How To Flirt With Women: Hollywood Seduction Secrets","https://www.youtube.com/watch?v=0jiUyJSQphg","2019-11-23",25130
"How To Attract Women EASILY","https://www.youtube.com/watch?v=-I-ByLC0SFI","2019-02-23",31170
"How To Be An Alpha Male [Jordan Peterson’s 3 Lessons For Powerful Men]","https://www.youtube.com/watch?v=htBTEkabHEs","2019-01-08",25969
"The Confidence Secret Of Ryan Gosling [Emma Stone Pick Up Line from Crazy, Stupid, Love]","https://www.youtube.com/watch?v=Atxr9FLhY88","2019-01-05",90337
"James Bold Dating Live Stream","https://www.youtube.com/watch?v=V9TA3yCBcN4","2018-12-26",0
"How To Be Confident (3 Steps To Don Draper Confidence)","https://www.youtube.com/watch?v=sFLleK02l_s","2018-06-14",426402
"3 Secrets To Attract Beautiful Women Like Ryan Gosling","https://www.youtube.com/watch?v=h-YorWnrGjI","2018-01-31",904395
"How To Be Confident -  Connor McGregor Confidence Breakdown","https://www.youtube.com/watch?v=4n-IvzliCFA","2017-11-10",157211
"How To Get Things Your Way [Littlefinger’s Powerplay]","https://www.youtube.com/watch?v=zU8W0C2QW9o","2017-08-26",22211
"Tyrion Lannister: The True Alpha Male","https://www.youtube.com/watch?v=EtPvWfMKZQ8","2017-08-18",51730
"Jon Snow: What Makes Him So Attractive","https://www.youtube.com/watch?v=ar-5e9fIino","2017-08-07",61680
"First Date Tips: How To Kiss A Girl","https://www.youtube.com/watch?v=oVzrYhzFf1U","2017-06-23",176375
"How To Be Confident (5 Steps To Harvey Specter Confidence)","https://www.youtube.com/watch?v=J8eQ8ZYKOlo","2017-06-02",992678
"How To Attract Women: UNPREDICTABILITY (Russell Brand Reveals How To Get A Girl To Like You)","https://www.youtube.com/watch?v=ANKELNKr8Rs","2017-05-11",226556
"The 3 Best Ways To Seduce Women","https://www.youtube.com/watch?v=cIAbPheo5IA","2017-04-23",236002
"How To Flirt With A Girl [For Men]","https://www.youtube.com/watch?v=SPTFZ5Fj6HA","2017-04-01",150614
"How To Be More Confident [How To Walk Confidently Part 2]","https://www.youtube.com/watch?v=60vitpIFCFo","2017-03-08",717221
"How To Be More Confident [How To Walk Confidently]","https://www.youtube.com/watch?v=317CGhVvqSk","2017-03-08",2532039
"How To Be Charismatic With Women: Robert Downey Jr. Charisma Breakdown","https://www.youtube.com/watch?v=1cES2pr8x0w","2017-01-17",849957
"How To Be Charming: George Clooney Charm Secrets","https://www.youtube.com/watch?v=wgbsO06mBjw","2016-12-26",217554
"How to Be an Alpha Male: Hollywood Attraction Secrets","https://www.youtube.com/watch?v=RpCwi9k7leU","2016-11-13",803246
"How To Be Confident With Girls: Marlon Brando Confidence Breakdown","https://www.youtube.com/watch?v=tLNmkgLHb9w","2016-10-30",309751
"How To Get Physical With A Girl ft. Project Attraction","https://www.youtube.com/watch?v=PscQ52f-yZ0","2016-06-09",1
"How To Be Charismatic and Charming Like Leonardo DiCaprio -- Charisma and Charm Breakdown","https://www.youtube.com/watch?v=LZnCsR0FTBU","2016-05-28",395174
