"Title","video_url","Published_date","Views"
"This is Why Buffett Sold (ALMOST) All His Bank Stock","https://www.youtube.com/watch?v=ypcgFll92OY","2023-05-25",1156
"Robert Kiyosaki's 6 Rules of Money","https://www.youtube.com/watch?v=M2-bxfl2nZQ","2023-05-19",1812
"Charlie Munger's Advice for The 2023 Recession","https://www.youtube.com/watch?v=zEnLMA5_yAU","2023-05-17",1180
"10 Important Lessons From The 2023 Berkshire Hathaway Annual Meeting","https://www.youtube.com/watch?v=n9W0BfU_woY","2023-05-12",2720
"Jamie Dimon's Warning for The 2023 Economy and The Banking Crisis","https://www.youtube.com/watch?v=aLByQ8tiNG4","2023-04-27",3071
"RENTAL PROPERTY INVESTING | Brandon Turner (from The Bigger Pockets Podcast)","https://www.youtube.com/watch?v=mkXMmG7Kxyk","2023-04-19",2135
"Ray Dalio's Warning for The U.S. Economy and The Coming Crisis","https://www.youtube.com/watch?v=EWDNCKHhfls","2023-04-11",178178
"The 7 Financial Milestones (that you should celebrate)","https://www.youtube.com/watch?v=KZNAF_5Batg","2023-04-05",3851
"THE MILLIONAIRE BOOKLET by Grant Cardone (Summary)","https://www.youtube.com/watch?v=LTCjDuYiUFw","2023-04-01",2669
"This ONE Hack Will Change Your Life | ATOMIC HABITS by James Clear","https://www.youtube.com/watch?v=RZ67khN7ioo","2023-03-28",2461
"Is Our Banking System Broken?","https://www.youtube.com/watch?v=87i1D8qUtJE","2023-03-23",1494
"How to Make a Financial Plan | Get Good with Money (by Tiffany Aliche)","https://www.youtube.com/watch?v=4j90NVhvqsk","2023-03-21",2798
"7 HIDDEN Lessons In Rich Dad Poor Dad (by Robert Kyosaki)","https://www.youtube.com/watch?v=SG570l5Wipo","2023-03-05",4678
"TAX-FREE WEALTH  (by Tom Wheelwright) | How the Rich Avoid Taxes","https://www.youtube.com/watch?v=bwe1i9uk3OI","2023-02-24",4846
"Warren Buffett: 10 Mistakes You NEED To Avoid","https://www.youtube.com/watch?v=vp3NHkf7D28","2023-02-16",2181
"10 Secrets of the Wealthiest People in The World | Think and Grow Rich by Napoleon Hill","https://www.youtube.com/watch?v=x7pO0VLYGFs","2023-01-30",5772
"THE LEAN STARTUP (by Eric Rise) | Book Summary","https://www.youtube.com/watch?v=zr65vNxnlCg","2023-01-24",4050
"Wealth Attraction in The New Economy by Dan Kennedy | Financial Book Summary","https://www.youtube.com/watch?v=z9MP6NM5YRE","2023-01-06",3432
