"Title","video_url","Published_date","Views"
"Concentrate Your Forces | 48 Laws of Power - Robert Greene","https://www.youtube.com/watch?v=V-tDN5nAywQ","2023-05-29",314
"All Companies should be Media Companies | Jab Jab Jab Right Hook - Gary Vaynerchuk","https://www.youtube.com/watch?v=K5GIvIX8K44","2023-05-22",160
"Take Stock of your Influences | 48 Laws of Power - Robert Greene","https://www.youtube.com/watch?v=wYX2drvXbGc","2023-05-16",249
"How to do High Volumes of High Quality Work | Deep Work - Cal Newport","https://www.youtube.com/watch?v=Aj4IqFtphK8","2023-05-08",438
"Content is King but Context is God | Jab Jab Jab Right Hook - Gary Vaynerchuk","https://www.youtube.com/watch?v=9lOzCGnMupY","2023-05-01",334
"How to Intensify Your Desire | The Law Of Attraction - Abraham Hicks, Esther Hicks and Jerry Hicks","https://www.youtube.com/watch?v=3QcE47QYPQk","2023-04-25",385
"The Meta Strategy of All Social Media Marketing | Jab Jab Jab Right Hook - Gary Vaynerchuk","https://www.youtube.com/watch?v=rUxYGHPh9lo","2023-04-17",323
"Change Your Associations | Atomic Habits - James Clear","https://www.youtube.com/watch?v=IcEplWTHuPc","2023-04-10",505
"Leverage Accountability | Atomic Habits - James Clear","https://www.youtube.com/watch?v=y8ywA2coEBc","2023-04-03",415
"Execution is King, Ideas are Pawns | The Millionaire Fastlane - M.J. DeMarco","https://www.youtube.com/watch?v=4jKW7ESi8l0","2023-03-27",487
"1 Key Startup Lesson | The Lean Startup - Eric Ries","https://www.youtube.com/watch?v=A2QVlBMuYbY","2023-03-20",443
"How to Create Great Wealth | The Millionaire Fastlane - M.J. DeMarco","https://www.youtube.com/watch?v=Ko_0rEgXqbg","2023-03-13",440
"How to Create Your Own Reality | Law Of Attraction - Abraham Hicks, Esther Hicks and Jerry Hicks","https://www.youtube.com/watch?v=a7O_GGTOGiQ","2023-03-06",746
"Repetition is Power | Atomic Habits - James Clear","https://www.youtube.com/watch?v=2uxR6AVBqiI","2023-02-27",744
"How to Crush it in Business | Crush It - Gary Vaynerchuk","https://www.youtube.com/watch?v=_4QJ3NcWmUk","2023-02-20",439
"Wealth is Not 1 Choice | The Millionaire Fastlane - M.J. DeMarco","https://www.youtube.com/watch?v=I3AfMQLMEEw","2023-02-13",466
"Play Your Own Game | Atomic Habits - James Clear","https://www.youtube.com/watch?v=7c3l8UZ7jRc","2023-02-06",653
"Why Do Your New Year's Resolutions Fail? | Succeed -  Heidi Grant Halvorson","https://www.youtube.com/watch?v=LzT-KyI0Vss","2023-01-30",350
"The Valley of Disappointment | Atomic Habits - James Clear","https://www.youtube.com/watch?v=IN6dAxbTyzU","2023-01-23",841
"The Stockdale Paradox | Good to Great - Jim Collins","https://www.youtube.com/watch?v=YhJdX4dD2kQ","2023-01-16",642
"How to Harness the Power of your Emotions | Emotional intelligence - Daniel Goleman","https://www.youtube.com/watch?v=EhaCyTGTnQw","2023-01-09",593
"The 3 Intersecting Circles | Good to Great - Jim Collins","https://www.youtube.com/watch?v=zsb9aYPy4KQ","2023-01-02",583
"The Signature of Greatness | Great By Choice - Jim Collins","https://www.youtube.com/watch?v=CbD-aiVnRII","2022-12-26",740
"Sell Yourself to Yourself | The Magic Of Thinking Big - David J. Schwartz","https://www.youtube.com/watch?v=BcUYR9ZTsgM","2022-12-19",1345
"Do you Operate like a Fox or a Hedgehog | Good to Great - Jim Collins","https://www.youtube.com/watch?v=TFCYbPwBs7g","2022-12-12",663
"You are Never Good Enough | Built to Last - Jim Collins","https://www.youtube.com/watch?v=86uv8dQ4TOg","2022-12-05",649
"Get Everything Out of your Brain | The Organized Mind - Daniel Levitin","https://www.youtube.com/watch?v=42xPNxN8DAM","2022-11-28",1071
"Design Your Environment for Success | The Magic Of Thinking Big - David J. Schwartz","https://www.youtube.com/watch?v=cxoYPK6jjUQ","2022-11-21",879
"Top Secret to Create Ideas | Getting Things Done - David Allen","https://www.youtube.com/watch?v=5QFf-m5001M","2022-11-14",736
"#1 Key to Chris Rock's Success | Little Bets - Peter Sims","https://www.youtube.com/watch?v=6ZTSnvD8ksY","2022-11-07",453
"HP's Little Bets to Win Big | Little Bets - Peter Sims","https://www.youtube.com/watch?v=rszAH1VxDvE","2022-10-31",416
"Have a Mind like Water | Getting Things Done - David Allen","https://www.youtube.com/watch?v=RQIYdK_jQWM","2022-10-24",985
"How to Win Big; the Google Way | Little Bets - Peter Sims","https://www.youtube.com/watch?v=0K2Xw1obTCg","2022-10-17",715
"Fail quickly | Little Bets - Peter Sims","https://www.youtube.com/watch?v=H8dcra8Idm8","2022-10-10",888
"How to Produce at the Highest Level | Getting Things Done - David Allen","https://www.youtube.com/watch?v=-rzKhWQHwe0","2022-10-03",927
"Why You Shouldn't Multitask | The Myth of Multitasking - Dave Crenshaw","https://www.youtube.com/watch?v=yGrAb_Kj6TI","2022-09-26",1173
"How to Visualize Your Greatest Goals | Psycho Cybernetics - Maxwell Maltz","https://www.youtube.com/watch?v=xrlCgh7KaGs","2022-09-19",2087
"1 Key to Live the Longest | The Upside of Stress - Dr. Kelly McGonigal","https://www.youtube.com/watch?v=EHQNBDiEjWY","2022-09-12",958
"The Wonder Drug for our Mind","https://www.youtube.com/watch?v=GZEG2iJj9Rk","2022-09-05",1323
"Richard Branson's Productivity Secret | Brain Rules - John Medina","https://www.youtube.com/watch?v=i0KzpE9808c","2022-08-29",2945
"#1 Secret to Live a Great Life","https://www.youtube.com/watch?v=YWk4Mlx2iRk","2022-08-22",1148
"How and When to Plan Your Day | Willpower - Roy Baumeister","https://www.youtube.com/watch?v=sut6MbFYdt0","2022-08-15",1493
"The Most Powerful Way To Increase Happiness | The How of Happiness - Dr Sonja Lyubomirsky","https://www.youtube.com/watch?v=Txw5VC9pI7k","2022-08-08",1210
"What Drives the Economic Engine of Your Business | Good To Great - Jim Collins","https://www.youtube.com/watch?v=a_sE07_yIVA","2022-08-01",791
"Do Not Do Anything | Deep Work - Cal Newport","https://www.youtube.com/watch?v=Cz8ACtqlbLM","2022-07-25",1480
"The Secret to Ben Franklin's Success | The Autobiography of Benjamin Franklin","https://www.youtube.com/watch?v=hwYzhYIxMts","2022-07-18",1454
"How to Establish a New Thought Pattern | The Power of Habit - Charles Duhigg","https://www.youtube.com/watch?v=8JzOlGI66KQ","2022-07-11",2909
"Can I Handle It? | Feel the Fear & Do It Anyway - Susan Jeffers","https://www.youtube.com/watch?v=ltAUAkaKGcg","2022-07-04",1491
"1 Key to Dominate Your Business | Good To Great - Jim Collins","https://www.youtube.com/watch?v=KHsaKvH69cE","2022-06-27",1044
"How to Visualize the Perfect Outcome | Think and Grow Rich - Napoleon Hill","https://www.youtube.com/watch?v=3TVPqF6dp-A","2022-06-20",2263
"The Power Pose | Presence - Amy Cuddy","https://www.youtube.com/watch?v=vaHTBrEs48g","2022-06-13",939
"Identify the Distortion in your Thinking | Feeling Good - David Burns","https://www.youtube.com/watch?v=-AnNbtfkP2g","2022-06-06",1753
"Do Courage | Awaken the Giant Within - Tony Robbins","https://www.youtube.com/watch?v=oRH3RbTNFaE","2022-05-30",2095
"Action Speaks Louder Than Words | How to Win Friends & Influence People -Dale Carnegie","https://www.youtube.com/watch?v=l8GsKgA6WKQ","2022-05-23",1323
"How to build a Royal Road to a Person's Heart | How to Win Friends & Influence People -Dale Carnegie","https://www.youtube.com/watch?v=wU5JbMCZ-IQ","2022-05-16",2449
"#1 Secret to Make Friends | How to Win Friends and Influence People - Dale Carnegie","https://www.youtube.com/watch?v=7uD3iOTt9fc","2022-05-09",1821
"#1 Strategy to get People to like you | How to Win Friends and Influence People - Dale Carnegie","https://www.youtube.com/watch?v=elYWmF6v9DM","2022-05-02",1964
"How to be a great Conversationalist | How to Win Friends and Influence People - Dale Carnegie","https://www.youtube.com/watch?v=_aIBoSw7oj0","2022-04-25",2035
"Elon Musk's Insane Work Ethic | Elon Musk - Ashlee Vance","https://www.youtube.com/watch?v=j8QZvrBkHFU","2022-04-18",2338
"Jeff Bezos' Day 1 Mindset | The Everything Store - Brad Stone","https://www.youtube.com/watch?v=9Y25vTaLJY4","2022-04-11",1463
"Why Your Biggest Dream Is Not Enough | Mamba Mentality - Kobe Bryant","https://www.youtube.com/watch?v=aU_t00YHzj4","2022-04-04",2183
"Arnold Schwarzenegger's #1 Success Mantra | Total Recall - Arnold Schwarzenegger","https://www.youtube.com/watch?v=Fz2JA82wkTY","2022-03-28",1686
"Let your Hate, Motivate | No Limits - Michael Phelps","https://www.youtube.com/watch?v=6t_o9rvhEcU","2022-03-21",1766
"How to Conquer your Biggest Goals | Time Warrior - Steve Chandler","https://www.youtube.com/watch?v=RAgw1m7xGXs","2022-03-14",3449
"How to control your Anxiety | Discourses - Epictetus","https://www.youtube.com/watch?v=gSx3UOm-axo","2022-03-07",2010
"Why Boredom is Good for You | Bored and Brilliant - Manoush Zomorodi","https://www.youtube.com/watch?v=kF1r_xYCXBU","2022-02-28",2563
