"Title","video_url","Published_date","Views"
"Retire Early & Do These 15 Things","https://www.youtube.com/watch?v=KLlJSvNwbVY","2023-06-04",29225
"Tactics That Keep You Moving In The Right Direction","https://www.youtube.com/watch?v=I4-vo-8dMm0","2023-06-03",48050
"15 Ways To Boost Your Brain Power","https://www.youtube.com/watch?v=iUNw0DqNX1U","2023-06-01",37549
"15 Money Secrets They Don't Teach You In School","https://www.youtube.com/watch?v=zuQbgsj0_aw","2023-05-30",46253
"15 Things Rich People Advise But Never Do","https://www.youtube.com/watch?v=RK6LhxWm3iU","2023-05-28",64272
"Growth Hacks Rich People Use All The Time","https://www.youtube.com/watch?v=tyF-r7g9eIY","2023-05-27",62050
"How To Get Rich According To Warren Buffet","https://www.youtube.com/watch?v=8JTWlWFJjY0","2023-05-25",71418
"15 Bad Money Habits You Need To Break Immediately","https://www.youtube.com/watch?v=06f7DI68GvI","2023-05-23",27193
"15 Most Expensive Mistakes You Can Make in Life","https://www.youtube.com/watch?v=Y-RF19jDOu0","2023-05-21",33436
"15 Red Flags Of A Financially Uneducated Person","https://www.youtube.com/watch?v=0Cfn0n55wQQ","2023-05-20",50691
"15 Smart Money Moves for For Every Stage Of Life","https://www.youtube.com/watch?v=_Di4p9VuroM","2023-05-18",64280
"10 Mental Mistakes That Keep You From Getting Rich","https://www.youtube.com/watch?v=C8RQBHlF_Hg","2023-05-16",50997
"15 Investments Rich People Make The Poor Know Nothing About","https://www.youtube.com/watch?v=X5rVPc7lvjQ","2023-05-14",53742
"Nike vs Adidas: Who Won The Game?","https://www.youtube.com/watch?v=qAQzZIZ5cqY","2023-05-13",15305
"How The Rich Live Longer","https://www.youtube.com/watch?v=NZQgEEIuXeQ","2023-05-11",37517
"Wealth and Happiness: How to Achieve Both","https://www.youtube.com/watch?v=qksIHuMmHPU","2023-05-09",60976
"15 Ways to Bet on Yourself (& WIN BIG)","https://www.youtube.com/watch?v=r8O9ZVSjB3M","2023-05-07",67553
"This Is Why You Don't Actually Learn From Failure","https://www.youtube.com/watch?v=qcgv6QeprNI","2023-05-04",39063
"15 Industries That Make Billionaires","https://www.youtube.com/watch?v=LI1hMX8qtHg","2023-05-02",155156
"Investing Mistakes the RICH Don’t Make","https://www.youtube.com/watch?v=bFJLsOQet7o","2023-04-30",82047
"15 Ways to Increase Your Financial IQ","https://www.youtube.com/watch?v=0ncLRRLvdfk","2023-04-28",129053
"15 Daily Habits to Boost Your Intelligence","https://www.youtube.com/watch?v=G80rmgCW-m8","2023-04-26",215801
"15 Signs You Are AVERAGE","https://www.youtube.com/watch?v=dVTRJTWF1zM","2023-04-23",78574
"15 Money Secrets from the World's Wealthiest People","https://www.youtube.com/watch?v=VsNsyic4kMY","2023-04-21",130694
"15 Life Changing Biographies of Successful People","https://www.youtube.com/watch?v=vlSD4Dn4gmo","2023-04-20",99796
"15 Signs You’re NOT Like Everybody Else","https://www.youtube.com/watch?v=-omcvb25Smc","2023-04-16",98689
"Inside the Elite Meeting Spots for Billion-Dollar Decisions","https://www.youtube.com/watch?v=CdJx9LGF6Tg","2023-04-14",58042
"How The Ultra Rich Travel The World","https://www.youtube.com/watch?v=nCdilMqEkrA","2023-04-13",142654
"Biggest Money Myths (Debunked)","https://www.youtube.com/watch?v=JJ-iWKFCtcA","2023-04-09",94384
"How McDonalds Is Taking Over The World","https://www.youtube.com/watch?v=vE8oGlPotTo","2023-04-07",37625
"Stealth Wealth (Explained)","https://www.youtube.com/watch?v=WDnttcQvcSU","2023-04-02",183801
"The Most Important Personality Trait You Need to Build","https://www.youtube.com/watch?v=_IevdgWpV-w","2023-03-31",77746
"How To Compete With Yourself","https://www.youtube.com/watch?v=H9pNCCan230","2023-03-29",68958
"15 Secrets Only Billionaires Know","https://www.youtube.com/watch?v=nV9AI0LM2Xw","2023-03-26",312272
"Why Tik Tokers Are BROKE","https://www.youtube.com/watch?v=1U7ysIfa23I","2023-03-25",86641
"How to Overcome Instant Gratification","https://www.youtube.com/watch?v=8SATGghP1_Y","2023-03-23",57086
"50 Rules for a SIMPLE LIFE (Practical Advice)","https://www.youtube.com/watch?v=sUjxLIzhwAU","2023-03-19",217257
"How Banks Work","https://www.youtube.com/watch?v=YFtaS3kTMqM","2023-03-18",132375
