"Title","video_url","Published_date","Views"
"HOW TO ANSWER TOUGH QUESTIONS LIKE A BOSS (KAYLEIGH MCENANY EDITION)","https://www.youtube.com/watch?v=zSFFpf-iRTs","2020-05-25",40025
"HOW TO PERSUADE LIKE A BOSS (HOUSE OF LIES EDITION)","https://www.youtube.com/watch?v=tWdVfarlQDE","2020-05-19",4873
"HOW TO MAKE A SCARF MASK - NO RUBBER BANDS NEEDED!","https://www.youtube.com/watch?v=9c0AFA9was4","2020-04-04",10045
"IT'S NOT WHAT YOU SAY, IT'S HOW YOU SAY IT","https://www.youtube.com/watch?v=ACG842GeMIQ","2019-11-02",17626
"ANOTHER VERBAL FLUENCY IMPROVEMENT EXERCISE","https://www.youtube.com/watch?v=yyVIlxImmXE","2019-08-30",15026
"TEST YOUR VERBAL FLUENCY: TWO VERBAL FLUENCY TESTS","https://www.youtube.com/watch?v=h1bWXC7SyWs","2019-08-13",17819
"HOW TO RESPOND TO NEGATIVE CRITICISM","https://www.youtube.com/watch?v=BOkgEVhrZ7s","2019-08-06",6190
"THE DONALD TRUMP GUIDE TO BEING A (NOT SO GREAT) SPEAKER","https://www.youtube.com/watch?v=pjKkonhmiLU","2019-07-31",1929
"GREAT SPEAKERS NEVER USE THESE TWO VOCAL TONALITIES","https://www.youtube.com/watch?v=FL5GiJ--RY4","2019-07-24",5640
"HOW TO HAVE HIGH ENERGY","https://www.youtube.com/watch?v=0WC9MUOT50c","2019-02-24",5151
"RICHARD SHERMAN: FRAME CONTROL","https://www.youtube.com/watch?v=NRSpLmf6dUI","2018-02-06",9667
"JOSE MOURINHO: A MASTER OF METAPHOR","https://www.youtube.com/watch?v=-pYC_L2f-3g","2018-01-06",8056
"JAMES GHOST ST PATRICK | HOW TO DEVELOP SWAGGER (PART 2)","https://www.youtube.com/watch?v=hTVaWMJa8Bs","2017-12-05",45700
"JAMES GHOST ST PATRICK | HOW TO DEVELOP SWAGGER","https://www.youtube.com/watch?v=7pMClVeBymw","2017-10-23",184520
"TALKING ABOUT THE RIGHT THINGS IN CONVERSATION | CONVERSATION SKILLS","https://www.youtube.com/watch?v=mroy1P_6Lns","2017-10-07",5856
"NEVER USE THESE WORDS IN CONVERSATION","https://www.youtube.com/watch?v=QPe9Mf9mePU","2017-09-16",9166
"THE SECRET TO GREAT CONVERSATIONS","https://www.youtube.com/watch?v=ScbDOa66oAc","2017-08-31",62448
"DON'T EVER START A CONVERSATION LIKE THIS","https://www.youtube.com/watch?v=BV-90L_HZw0","2017-08-06",27462
"CONVERSATION SKILLS FOR REBELS | CONVERSATION TIPS","https://www.youtube.com/watch?v=WLqWfCLnH1w","2017-07-22",13598
"WHY MAINSTREAM CONVERSATION ADVICE SUCKS | CONVERSATION SKILLS","https://www.youtube.com/watch?v=V_bwbfnO6l8","2017-06-30",2451
"HARVEY SPECTER & MIKE ROSS | HOW COOL DUDES MAKE CONVERSATION (PART 1)","https://www.youtube.com/watch?v=jdC3RVMr4CY","2017-06-12",6676
"KELLYANNE CONWAY | HER BEST DEBATE TRICKS","https://www.youtube.com/watch?v=HnvOrFHoIt4","2017-05-20",6396
"BILL O'REILLY | 5 DIRTY BUT DEADLY DEBATE TACTICS","https://www.youtube.com/watch?v=DP3QbTC-zw4","2017-05-09",12210
"HOW TO DEAL WITH PUTDOWNS AT WORK","https://www.youtube.com/watch?v=tHfvTcEzgMM","2017-04-29",40171
"HOW TO WIN VERBAL CONFRONTATIONS (CITY COUNCIL EDITION)","https://www.youtube.com/watch?v=9d_PD34Zer8","2017-04-11",14618
"LAVAR BALL: A MASTER OF FRAME CONTROL","https://www.youtube.com/watch?v=gFr42v2dtB0","2017-03-30",34043
"SIX WARMUP EXERCISES FOR A DYNAMIC SPEAKING VOICE","https://www.youtube.com/watch?v=9Avu0tfdWjI","2017-03-16",43829
"VERBAL FLUENCY EXERCISES - FREE ASSOCIATION EXERCISES","https://www.youtube.com/watch?v=BNQ1aOvF5A0","2017-02-24",49707
"HOW TO INCREASE YOUR VERBAL FLUENCY","https://www.youtube.com/watch?v=TVmXIXmjUAA","2017-02-16",173111
"HOW TO DEAL WITH PEER PRESSURE VERBALLY","https://www.youtube.com/watch?v=UV-G43IexN8","2017-02-10",2725
"HOW TO DEAL WITH PUTDOWN QUESTIONS","https://www.youtube.com/watch?v=v6Hb-a-krwQ","2017-01-17",17846
"HOW TO DEVELOP IMPACTFUL METAPHORS","https://www.youtube.com/watch?v=QE2QYxogT_U","2017-01-01",52274
"THE HIGH VALUE MAN: PRINCIPLES OF POSITIVE MASCULINITY BY MIN LIU","https://www.youtube.com/watch?v=J_xAFGjmE-Y","2016-12-19",2902
"ASK MIN - EPISODE ONE (HANDLING SHIT TESTS, EMOTIONAL MANIPULATION, & THINKING QUICKLY)","https://www.youtube.com/watch?v=uRunUpd59_Q","2016-11-30",2110
"THE GUIDE TO DIRTY DEBATE TACTICS","https://www.youtube.com/watch?v=P3BpjaL0BNE","2016-11-04",18884
"THE VERBAL GENIUS OF CHAEL SONNEN","https://www.youtube.com/watch?v=g_1S_9jaqJo","2016-10-24",7030
"HOW TO BE WITTY LIKE HANK MOODY","https://www.youtube.com/watch?v=-BGcUVFvz5s","2016-10-18",191320
