"Title","video_url","Published_date","Views"
"Amor Fati: Nietzsche, Camus and the Stoics","https://www.youtube.com/watch?v=XxvsgB8drlo","2021-08-29",1962
"Epictetus. Stoic Lessons from a Slave (The Discourses & The Enchiridion)","https://www.youtube.com/watch?v=s61Puglhmtg","2021-07-11",865
"Hermann Hesse: Lessons From Siddhartha","https://www.youtube.com/watch?v=XFhd2XmBSzQ","2021-06-25",3007
"Hermann Hesse: Demian. A Novel of Jung and Nietzsche","https://www.youtube.com/watch?v=UyXPvhJXzRI","2021-06-18",18689
"Martin Buber: Seeing People for What They Are vs. What Purpose They Serve","https://www.youtube.com/watch?v=zf-MZ9ntU6E","2021-06-10",4113
"Leon Festinger: When Prophecy Fails #shorts","https://www.youtube.com/watch?v=58Ykecqs8Ec","2021-05-28",1226
"Leon Festinger: When Prophecy Fails","https://www.youtube.com/watch?v=36f_oIvj6pM","2021-05-27",2029
"Leon Festinger: Social Comparison Theory #shorts","https://www.youtube.com/watch?v=VuOnY686n3I","2021-05-25",877
"Leon Festinger: Social Comparison Theory","https://www.youtube.com/watch?v=0pDtH0_cM5k","2021-05-24",5403
"Leon Festinger: Cognitive Dissonance #shorts","https://www.youtube.com/watch?v=btbnHFx735Q","2021-05-20",605
"Leon Festinger: Cognitive Dissonance","https://www.youtube.com/watch?v=cDXjBvapdJQ","2021-05-19",2957
"Seneca: What Should You Have Control Over?","https://www.youtube.com/watch?v=gAIptzVhJuA","2021-05-13",569
"Seneca: What Makes a Good Life?","https://www.youtube.com/watch?v=sCD6gz3Lf8A","2021-05-10",688
"Seneca: Is Life too Short?","https://www.youtube.com/watch?v=h2WDWI3GIBQ","2021-05-06",630
"Synchronicity: When Your Brain and the World Sync Up | Carl Jung","https://www.youtube.com/watch?v=dP48oe2Aa2g","2021-05-03",3116
"Carl Jung: Becoming Fully Developed #Shorts","https://www.youtube.com/watch?v=n0_Wvb4denM","2021-04-23",1093
"Carl Jung: The Self, Becoming Whole & Individuation","https://www.youtube.com/watch?v=vjJ6TCIOxNM","2021-04-22",1050
"Carl Jung: What are Anima and Animus? #Shorts","https://www.youtube.com/watch?v=atfii3ImK5M","2021-04-20",737
"Anima & Animus: When Unconscious Parent Figures Take Control | Carl Jung","https://www.youtube.com/watch?v=svBBr2le1RQ","2021-04-19",1100
"Carl Jung: Understanding your Shadow #Shorts","https://www.youtube.com/watch?v=-4pGzpnOnEA","2021-04-18",589
"Carl Jung: What is the Shadow?","https://www.youtube.com/watch?v=b7l8yIUqlqc","2021-04-17",1152
"Carl Jung: What is the Human Psyche? #Shorts","https://www.youtube.com/watch?v=sdXkz8TyqpE","2021-04-16",1095
"How to Understand and Approach Carl Gustav Jung","https://www.youtube.com/watch?v=ID-Gip8De-A","2021-04-14",2970
"Nietzsche: Three Stages of Life #Shorts","https://www.youtube.com/watch?v=YtTt7eE8knY","2021-04-10",642
"Friedrich Nietzsche: Three Stages of Life (Three Metamorphoses)","https://www.youtube.com/watch?v=1F8YUolhPc4","2021-04-09",979
"Nietzsche's most famous Quote: God is Dead #Shorts","https://www.youtube.com/watch?v=b8beDPqLO0k","2021-04-06",718
"Friedrich Nietzsche: God is Dead","https://www.youtube.com/watch?v=tTxHRbTV1mA","2021-04-05",1189
"Friedrich Nietzsche Master & Slave Morality","https://www.youtube.com/watch?v=cPZza5XP3PY","2021-04-02",3285
"Friedrich Nietzsche: The Übermensch","https://www.youtube.com/watch?v=DyHR_lMlzl0","2021-03-30",2778
"Philosophy Tip: So Many Choices","https://www.youtube.com/watch?v=JtMEk-OURIo","2021-03-23",437
"Søren Kierkegaard: Religion and the Leap of Faith","https://www.youtube.com/watch?v=A05gSnlpj24","2021-03-22",2777
"Philosophy Tip: Life is Not a Problem #Shorts","https://www.youtube.com/watch?v=vxU8GGLvTXI","2021-03-20",573
"Søren Kierkegaard on Love","https://www.youtube.com/watch?v=gLvVrMFO5GE","2021-03-19",3427
"Philosophy Tip: Live Your Own Life #Shorts","https://www.youtube.com/watch?v=Un6TIDztkM0","2021-03-17",496
"Søren Kierkegaard: Existential Freedom & Anxiety","https://www.youtube.com/watch?v=WWDLnuHrwdU","2021-03-16",1378
"Abraham Maslow: Transcending the Hierarchy of Needs","https://www.youtube.com/watch?v=No9zIf7Ch94","2021-03-12",337
"Abraham Maslow: Understanding the Hierarchy of Needs","https://www.youtube.com/watch?v=Jwhd-BGXi5I","2021-03-10",373
"Abraham Maslow: Humanistic Psychology, Creativity and Personal Growth","https://www.youtube.com/watch?v=bBd6bZHGGWY","2021-03-08",521
"Marcus Aurelius: Money, Materialism & Memento Mori","https://www.youtube.com/watch?v=0Aw5IHrq4FE","2021-02-26",645
"How the Stoic Emperor Marcus Aurelius Dealt with Struggles in Life","https://www.youtube.com/watch?v=Iopbs3rPk9M","2021-02-24",630
"Why are the Meditations by Marcus Aurelius so Popular?","https://www.youtube.com/watch?v=31gIiBntwR0","2021-02-22",739
"Albert Camus: Dealing With Struggle in an Absurd Life","https://www.youtube.com/watch?v=yCZcbqy7fpc","2021-02-20",870
"The Philosophy of Albert Camus: Life is Absurd","https://www.youtube.com/watch?v=Q5UBWvu1xYs","2021-02-18",1892
"Sigmund Freud & The Benefits of Daydreaming","https://www.youtube.com/watch?v=_LxTS9b8ukg","2021-02-15",994
"Sigmund Freud: 9 Psychological Ego Defense Mechanisms","https://www.youtube.com/watch?v=j-F5zgBUTC0","2021-02-11",525
"Social Media and the Machiavellian Age of Fake Personas","https://www.youtube.com/watch?v=Fk4bjTQLjxk","2021-02-07",471
"How to Productively Listen to Audiobooks","https://www.youtube.com/watch?v=d4Nrj2N2z-s","2021-02-03",12481
"Why Optimists Succeed","https://www.youtube.com/watch?v=wPGJwxSEzXM","2021-01-31",420
"When to take Responsibility","https://www.youtube.com/watch?v=kMLQH-AFVvA","2021-01-28",239
"How our Expectations Forecast our Future","https://www.youtube.com/watch?v=2vYUFyuwzwQ","2021-01-24",291
"How Separating Made Me Productive","https://www.youtube.com/watch?v=-0PdKyOkFNE","2021-01-21",452
"Generous Tit for Tat: A Stoic Approach to Trading Social Favors?","https://www.youtube.com/watch?v=BIAVpWdEPcg","2021-01-17",489
"Minimalism: A Misunderstood Philosophy?","https://www.youtube.com/watch?v=mhCSpJl2Lgo","2021-01-10",563
"How YOUR Personality and Behavior is Shaped","https://www.youtube.com/watch?v=iKlCZBoLerQ","2020-12-30",685
"How You Trained Yourself to Procrastinate","https://www.youtube.com/watch?v=U2vZNPAzs1w","2020-11-08",823
"Your Mind Needs the Right Food","https://www.youtube.com/watch?v=l5i6UNsmo3M","2020-11-01",421
"HOW and WHY You Read May Matter More than WHAT You Read","https://www.youtube.com/watch?v=JSCXohNDISg","2020-10-20",587
"Focusing Just on Theory or Practice?","https://www.youtube.com/watch?v=EvsXM8dly-E","2020-10-10",451
"Why a Simple Life is a Happy Life","https://www.youtube.com/watch?v=lizsANMMopQ","2020-10-09",1551
"Why People Pleasing Can't Work","https://www.youtube.com/watch?v=Q9BFy5f8paI","2020-10-08",435
"Why Wealth Makes You Arrogant","https://www.youtube.com/watch?v=jGDybnsaHHQ","2020-10-07",638
"Why You Should Not Be the Best","https://www.youtube.com/watch?v=F_1cKQ-dPfw","2020-10-06",472
"Do not Lose Hope","https://www.youtube.com/watch?v=ZBYtICq0614","2020-10-05",376
"Don't Confuse Attention with Validation","https://www.youtube.com/watch?v=qnO8sli8IrA","2020-10-04",450
"Repurposing Anger, Sadness and Fear","https://www.youtube.com/watch?v=_8fUuaTlzd4","2020-10-03",341
"Stoicism vs. Epicureanism","https://www.youtube.com/watch?v=eyKmZWmynqM","2020-10-02",15080
"Understanding Social Anxiety","https://www.youtube.com/watch?v=IaZnL8DvtE4","2020-10-01",348
"Self Deception","https://www.youtube.com/watch?v=92Cs4TU_Bj4","2020-09-30",329
"The Harsh Truth About Changing Yourself","https://www.youtube.com/watch?v=aJqMTl3UyIc","2020-09-29",432
"Thoughts on Freedom","https://www.youtube.com/watch?v=34RMMUH4dwU","2020-09-28",209
"How to Deal with Close Minded and Judgemental People","https://www.youtube.com/watch?v=mn1xPKy4OYg","2020-09-27",1680
"Why YOU Should Worry About Online Privacy","https://www.youtube.com/watch?v=Xw_BYNLAgpI","2020-09-26",269
"How to become Consistent in Life","https://www.youtube.com/watch?v=cmSFmCV2Jd0","2020-09-25",5709
"Why You Should NOT Feel (too) Good","https://www.youtube.com/watch?v=aFPxhDWXueA","2020-09-24",264
"What I've learned from 180+ Books","https://www.youtube.com/watch?v=e5aZBk8Fkp0","2020-09-23",563
"How You LOST Your Ability to Think","https://www.youtube.com/watch?v=qZRrIYANttc","2020-09-22",517
