"Title","video_url","Published_date","Views"
"Psychology Tricks : How To Read Anyone INSTANTLY","https://www.youtube.com/watch?v=au9OyPfPqPY","2023-05-21",1646
"How To Master The Art Of Doing Nothing","https://www.youtube.com/watch?v=q2EbjZUaNYU","2023-05-02",4285
"Jordan Peterson Rants On Gender Equality","https://www.youtube.com/watch?v=s-ji1ngVjTQ","2023-04-10",2877
"Jordan Peterson - How To Be Free In An Unfree World","https://www.youtube.com/watch?v=WR6iVT3dy-4","2023-03-29",5157
"How To Learn Faster If You Are Not A Genius  - Josh kaufman","https://www.youtube.com/watch?v=ld4St5mB46o","2023-03-15",10377
"Jordan Peterson - Why Are So Many Men Mentally Infantile","https://www.youtube.com/watch?v=tSR6mF1WqWg","2023-03-08",5102
"Jordan Peterson - How To Transform Chaos Into Order","https://www.youtube.com/watch?v=CzASiJ2MtwM","2023-02-26",7113
"Jordan Peterson - Why Creative People Fail At School","https://www.youtube.com/watch?v=_Q4BlOXcK2U","2023-02-19",9389
"Jordan Peterson - How To Move On After A Breakup","https://www.youtube.com/watch?v=SMpVrMm8QiI","2023-02-13",5526
"How To Use Persuasion To Attract Anyone - Robert Cialdini & Neil Strauss","https://www.youtube.com/watch?v=XW5tr1Uc1ZU","2023-02-02",13608
"Why Every Man Should Practice Semen Retention - By Elon Musk, Jordan Peterson","https://www.youtube.com/watch?v=n-c4u1NwMco","2023-01-27",80415
"What Women Really Want The Most - David Deida","https://www.youtube.com/watch?v=2PTROZJ1x2w","2023-01-23",17790
"Jordan Peterson - How To Deal And Fight Depression Naturally","https://www.youtube.com/watch?v=uw4jLPunpVE","2023-01-18",3425
"How To Boost Your Testosterone Naturally - Andrew Huberman","https://www.youtube.com/watch?v=QKgg77Wl7TQ","2023-01-12",8570
"Jordan Peterson - How Schools Are Dumbing Down Students","https://www.youtube.com/watch?v=iAZIYKpFAnc","2022-12-28",13499
"Joe Rogan - The Real Problem With Toxic Masculinity","https://www.youtube.com/watch?v=v5Za3RPE9uc","2022-12-23",5736
