"Title","video_url","Published_date","Views"
"The Loneliness Epidemic","https://www.youtube.com/watch?v=al89tJtHzGo","2023-05-15",36227
"The Loneliness Epidemic","https://www.youtube.com/watch?v=al89tJtHzGo","2023-05-15",22202
"Stop Wasting Your Life - Take Control Instead","https://www.youtube.com/watch?v=PXWFlea0l5w","2022-12-07",536989
"Making $10,000 Per Month Has Never Been Easier","https://www.youtube.com/watch?v=TW2Kr0l2kGg","2022-07-25",280145
"Comfort Will Ruin Your Life","https://www.youtube.com/watch?v=F5-qkgfBeuU","2022-03-09",1972950
"Why More Is Less & Less Is More","https://www.youtube.com/watch?v=_GyO2fjWhB8","2021-01-12",293712
"I Increased My Productivity 10x - By Turning My Life Into a Game","https://www.youtube.com/watch?v=s6tLGo9yij0","2020-11-30",2682324
"Use Laziness To Your Advantage - The 20 Second Rule","https://www.youtube.com/watch?v=lj5SzG4XHJo","2020-09-30",6453364
"What They Don't Teach You About Money & Happiness","https://www.youtube.com/watch?v=SRFKkHsFh7Y","2020-08-28",119965
"The Importance Of The Not-To-Do List","https://www.youtube.com/watch?v=SappngY0ZQ8","2020-07-24",419954
"Know When To Quit - The Sunk Cost Fallacy","https://www.youtube.com/watch?v=ZKZ6EOeyvOE","2020-07-01",148681
"How To Actually Get Things Done (implementation intentions)","https://www.youtube.com/watch?v=DUAB-BW-gZ8","2020-06-16",1201936
"Bored? 5 Ways To Spend Your Free Time","https://www.youtube.com/watch?v=gr5Iyu7U5z4","2020-05-26",1306926
"The Question You Need To Ask Yourself","https://www.youtube.com/watch?v=Ckj33-567g0","2020-05-04",340968
"Goals vs Systems","https://www.youtube.com/watch?v=4S7w0wDSiyw","2020-04-16",343089
"Why You're Always Tired Between 1pm - 4pm (and what to do about it)","https://www.youtube.com/watch?v=TsD4DFC_aqQ","2020-03-31",1668961
"The Worst Financial Mistake You Can Make","https://www.youtube.com/watch?v=qD8DQjZwT_k","2020-03-09",584554
"How I Tricked My Brain To Like Doing Hard Things (dopamine detox)","https://www.youtube.com/watch?v=9QiE-M1LrZk","2020-02-24",24225394
"Make Your Habits Stick Forever (elastic habits)","https://www.youtube.com/watch?v=L8SehiX7Bjc","2020-02-05",221890
"Advice About Advice","https://www.youtube.com/watch?v=powR0FRYnzU","2020-01-20",68734
"Essentialism","https://www.youtube.com/watch?v=XrNLrzpahDY","2020-01-06",158507
"How To Get Out Of A Mental Rut","https://www.youtube.com/watch?v=PkXeERCNYVo","2019-12-23",492302
"Why Do We Perform Bad Habits? And How Can We Break Them?","https://www.youtube.com/watch?v=mh3TsBRV6Ds","2019-11-30",261727
"Habit You MUST Acquire - Keystone Habit","https://www.youtube.com/watch?v=bNrnQxMDUx4","2019-10-31",645295
"10 Habits That RUIN Your Sleep","https://www.youtube.com/watch?v=pokhF9t_jDA","2019-10-16",258828
"9 Habits That IMPROVE Your Sleep","https://www.youtube.com/watch?v=Luq5VA8SY2E","2019-10-02",379984
"The Problem With A Balanced Life  - The Four Burners Theory","https://www.youtube.com/watch?v=sJoR4Hjs3VE","2019-09-24",451695
"Accomplish Everything With Mini Habits","https://www.youtube.com/watch?v=aHDvEfiSipo","2019-09-12",1632893
"How To Use Procrastination To Your Advantage (Productive Procrastination)","https://www.youtube.com/watch?v=Y1NcEs2ZT14","2019-08-25",281795
"Why You Can't FOCUS - And How To Fix That","https://www.youtube.com/watch?v=52nqjrCs57s","2019-08-08",3764593
"Does Law of Attraction Work?","https://www.youtube.com/watch?v=I_azS6b1j2c","2019-07-26",105019
"Can You Sleep Too Much? (The Answer Might Surprise You)","https://www.youtube.com/watch?v=dnRDbJ6VB4A","2019-07-16",326565
"What Success Actually Is - And What It Isn't","https://www.youtube.com/watch?v=HrjE2qUbTIg","2019-07-06",106500
"NEVER Tell People Your Goals  - Or You Won't Achieve Them","https://www.youtube.com/watch?v=nzbrFjF35t0","2019-06-26",986367
"What It Really Takes To Become Successful","https://www.youtube.com/watch?v=11mVD2rPtIM","2019-06-20",49452
"How To Get Motivated Whenever You Want","https://www.youtube.com/watch?v=8mMcMFDReJc","2019-06-11",165238
"Don't Be a Donkey - Make a Decision","https://www.youtube.com/watch?v=2jOjbzjE8GM","2019-05-29",286276
"I'll Be Removing This Video In 24 Hours...","https://www.youtube.com/watch?v=OgsQSI1nOGs","2019-05-17",94777
"Should You Be Waking Up At 5:00AM?","https://www.youtube.com/watch?v=5YKuAQRZJzc","2019-05-01",315873
"Feel Like Giving Up? Use The Cookie Jar Method by David Goggins","https://www.youtube.com/watch?v=ANpmYcAE-8U","2019-04-23",1956932
"How Much Money Is Enough? The Story Of The Mexican Fisherman","https://www.youtube.com/watch?v=O7ungMrz7w0","2019-04-03",537665
"Habit Stacking - Create Your Perfect Routine","https://www.youtube.com/watch?v=zjBhC4C-9KU","2019-03-26",213339
"Parkinson's Law - Manage Your Time More Effectively","https://www.youtube.com/watch?v=tlddeUri3GM","2019-03-13",909241
"Why It Matters Who Your Friends Are","https://www.youtube.com/watch?v=n-jhPcAs_zM","2019-02-28",108309
"Stop Using Your Willpower - Do This Instead","https://www.youtube.com/watch?v=vGQficynmIY","2019-02-20",568643
"Are You Lazy? Or Are You Just Tired? - Know The Difference","https://www.youtube.com/watch?v=B2wPs4Bd6mg","2019-02-11",300781
"One Way To Find Out How Much Sleep You Actually Need (animated)","https://www.youtube.com/watch?v=5Vd9G41pXh8","2019-01-31",386747
"Break Your Mental Resistance With The 2 Minute Rule (animated)","https://www.youtube.com/watch?v=-3QJke9_Z4o","2019-01-21",3473807
