"Title","video_url","Published_date","Views"
"QUIT doing THIS and SHE will FALL for YOU - Jordan Peterson","https://www.youtube.com/watch?v=EUt5ujl5nb8","2023-05-16",1069
"QUIT doing THIS and SHE will FALL for YOU - Jordan Peterson","https://www.youtube.com/watch?v=EUt5ujl5nb8","2023-05-16",710
"This is the BEST WAY to SURVIVE a TRAGIC BREAK UP - Jordan Peterson","https://www.youtube.com/watch?v=qwSu9oiqFLw","2023-05-10",1131
"How to RESET your MIND and OVERCOME CRIPPLING ANXIETY - Jordan Peterson 2023","https://www.youtube.com/watch?v=v4Ws0HDswWo","2023-05-05",708
"How to BECOME IRRESISTIBLE to ANY WOMAN - Jordan Peterson 2023","https://www.youtube.com/watch?v=Nh16s1MCjD8","2023-05-02",1019
"The BEST ADVICE if you're UNMOTIVATED and LAZY - Jordan Peterson","https://www.youtube.com/watch?v=1cXy9CL4_Iw","2023-04-27",871
"Your RELATIONSHIP will END if you FAIL to do THIS - Jordan Peterson","https://www.youtube.com/watch?v=RJZrtf-v6ic","2023-04-17",1817
"MOTIVATION HACK to BEAT PROCRASTINATION - Jordan Peterson","https://www.youtube.com/watch?v=vPhRyW0AF9s","2023-04-12",840
"The BEST ADVICE for EVERY YOUNG MALE today - Jordan Peterson","https://www.youtube.com/watch?v=ytOBJE3q-7g","2023-04-10",1655
"EVERYONE in the TOP 1% has this PERSONALITY TRAIT - Jordan Peterson","https://www.youtube.com/watch?v=q4oNyrVoxfE","2023-04-08",1472
"How to be STOIC and be the MASTER of YOUR EMOTIONS - Jordan Peterson","https://www.youtube.com/watch?v=vuAWjTCHCAY","2023-04-06",1386
"How to KNOW if YOU ARE A PSYCHOPATH - Jordan Peterson","https://www.youtube.com/watch?v=7-58uSyrM6w","2023-04-03",1028
"The BEST RELATIONSHIP ADVICE to NEVER ARGUE again with your PARTNER - Jordan Peterson","https://www.youtube.com/watch?v=6lJnSW21vEg","2023-03-30",1070
"This is the BIGGEST SIGN you are WASTING your LIFE at WORK - Jordan Peterson","https://www.youtube.com/watch?v=pOHkfiBqSmo","2023-03-28",1412
"SOCIETY is FEEDING WOMEN them this TOXIC LIE - Jordan Peterson 2023","https://www.youtube.com/watch?v=xuwsrivmsoE","2023-03-24",1310
"Why GETTING CHEATED on CAUSES TRAUMA - Jordan Peterson 2023","https://www.youtube.com/watch?v=2sPkIiEuUGI","2023-03-22",1059
"This TRAIT will GET WOMEN OBSESSED over YOU - Jordan Peterson 2023","https://www.youtube.com/watch?v=7QXP8HFpRJU","2023-03-20",2402
"Jordan Peterson - The BIGGEST MISTAKE people MAKE when PRAYING","https://www.youtube.com/watch?v=mvDsgeQF-g8","2023-03-17",1004
"Why YOU have to be THE DEVIL to GROW UP - Jordan Peterson 2023 - Motivation","https://www.youtube.com/watch?v=bo4UAu2CHyQ","2023-03-15",1111
"THIS is the ROOT CAUSE of ALL MENTAL ILLNESS - Jordan Peterson 2023","https://www.youtube.com/watch?v=srX-6JZRFFw","2023-03-13",1961
"BREAK UP and DIVORCE can be AVOIDED if you STOP doing THIS - Jordan Peterson 2023","https://www.youtube.com/watch?v=xdoKcXkaMPw","2023-03-10",1279
"PAINFUL TRUTH Young Men MUST LEARN before IT'S TOO LATE | Jordan Peterson | Motivation","https://www.youtube.com/watch?v=iGtBQIKL-Bw","2023-03-08",925
"BEST ADVICE for CRIPPLING ANXIETY | Jordan Peterson","https://www.youtube.com/watch?v=pfDED35HNyU","2023-03-06",873
"The ONLY RELATIONSHIP ADVICE you will EVER NEED | Jordan Peterson 2023","https://www.youtube.com/watch?v=wgZeU_tWeFs","2023-03-04",3161
"CLIMB the DOMINANCE HIERARCHY and QUIT being a LOSER | Jordan Peterson 2023","https://www.youtube.com/watch?v=W91UjPoTkmw","2023-03-02",1258
"The TRUTH about WOMEN with DADDY ISSUES - Jordan Peterson 2023","https://www.youtube.com/watch?v=nUPFc-OqV1U","2023-02-27",2000
"WAKE UP! You are BEING DECEIVED | Jordan Peterson 2023","https://www.youtube.com/watch?v=zuffymhpzII","2023-02-24",775
" This will WIPE us ALL OUT!","https://www.youtube.com/watch?v=cCIob_Njwio","2023-02-22",822
"UNDENIABLE SIGNS you WILL get CHEATED ON | Jordan Peterson 2023","https://www.youtube.com/watch?v=h5jna8M1NaI","2023-02-20",1330
"How to GET HER OBSESSED with YOU","https://www.youtube.com/watch?v=91bFluGN8_0","2023-02-17",1334
"YOU should BLAME YOURSELF why she LEFT you","https://www.youtube.com/watch?v=3yZzbeDlrlg","2023-02-15",1262
"I was FORBIDDEN from TELLING you THIS","https://www.youtube.com/watch?v=tVMeyFvNe-I","2023-02-13",1436
"This is THE BIGGEST MISTAKE every YOUNG MAN is DOING - Jordan Peterson 2023","https://www.youtube.com/watch?v=1HQwuQSdbAs","2023-02-10",1310
"I am SHOCKED NO ONE is TALKING about THIS","https://www.youtube.com/watch?v=TQi-1PEg6Ks","2023-02-08",827
" You HAVE NO IDEA what is ABOUT to HAPPEN","https://www.youtube.com/watch?v=2D9QkQi2Bho","2023-02-06",2156
"This INVENTION is DESTROYING MANKIND!","https://www.youtube.com/watch?v=7zSijVD8uiM","2023-02-03",1833
"This is SCARY and NO ONE KNOWS about THIS!","https://www.youtube.com/watch?v=meV00A8e-hc","2023-02-01",1811
"RADICAL LEFTISTS are MISSING the POINT! This is THE TRUTH | Jordan Peterson 2023","https://www.youtube.com/watch?v=ILsI1cGZ3kU","2023-01-30",813
"ARMAGEDDON is COMING! And we CANT ESCAPE THIS | Jordan Peterson 2023","https://www.youtube.com/watch?v=GzY2Fktd3HY","2023-01-27",3106
"LISTEN UP if you've BEEN CHEATED ON! This is HOW you HEAL - Jordan Peterson","https://www.youtube.com/watch?v=F4JIq1yRf0U","2023-01-25",1216
"NEUROSCIENTIST Andrew Huberman - 2 MINUTE PROTOCOL to DEAL with PANIC ATTACKS","https://www.youtube.com/watch?v=lBmwGoe0Lws","2023-01-23",1851
"Jordan Peterson - You MUST BECOME the DEVIL to become an ANGEL","https://www.youtube.com/watch?v=njaTp486Vfk","2023-01-20",2019
"Jordan Peterson - EYE OPENING REVELATION about what YOUR DREAMS MEAN","https://www.youtube.com/watch?v=gFiG4xPMVME","2023-01-17",1417
"Jordan Peterson - She WANTS a HIGH ACHIEVING MAN! Here's HOW to BECOME ONE","https://www.youtube.com/watch?v=ZlBSkmIfFQ0","2023-01-13",1578
"Jordan Peterson - STOP being NEEDY! SHE does NOT WANT THAT","https://www.youtube.com/watch?v=XMeyzVl7BTk","2023-01-11",2598
"Jordan Peterson  MOST SHOCKING MESSAGE on RELIGION and FAITH","https://www.youtube.com/watch?v=osWsGG-qcq0","2023-01-09",1273
"Jordan Peterson - Is this THE END of HUMANITY","https://www.youtube.com/watch?v=PQulLyRNins","2023-01-05",1215
"Jordan Peterson -  Make 2023 the MOST REMARKABLE YEAR of YOUR LIFE","https://www.youtube.com/watch?v=B4Hj_F3Yfks","2023-01-02",2291
"Jordan Peterson - When YOUR IQ is TOO LOW for you to SURVIVE","https://www.youtube.com/watch?v=n8FFGAZo8Z8","2022-12-30",1903
"Jordan Peterson - DEPRESSED and ANXIOUS people OBSESS over THIS","https://www.youtube.com/watch?v=zukhuExXZFw","2022-12-28",1868
"Jordan Peterson - Why YOUNG ADULTS are DEPRESSED during CHRISTMAS","https://www.youtube.com/watch?v=-v6DDzM0RQc","2022-12-25",1732
"Jordan Peterson - DATING ADVICE every MAN should HEAR","https://www.youtube.com/watch?v=D7WIJVlH6hk","2022-12-22",2518
"Jordan Peterson - The HARSH REASON why MODERN WOMEN are CHEATING more OFTEN","https://www.youtube.com/watch?v=2Ev30qD3yxE","2022-12-20",2321
"SURVIVING your PARTNER CHEATING on YOU - Jordan Peterson Advice","https://www.youtube.com/watch?v=haCqDmMvmwQ","2022-12-16",1973
"DEPRESSED and HEARTBROKEN? Here is HOW you HEAL - Jordan Peterson Advice","https://www.youtube.com/watch?v=e6dX1j99Ydc","2022-12-13",3468
"Jordan Peterson - Why MASCULINE MEN get ALL THE LADIES","https://www.youtube.com/watch?v=tTnKh6E6EFQ","2022-12-11",2672
"COLLEGE DEGREES are WORTHLESS! Here's HOW to GAIN REAL KNOWLEDGE - Jordan Peterson Advice","https://www.youtube.com/watch?v=YMHdfdhTyDs","2022-12-08",1889
"The SIMPLE REASON why YOU ARE LAZY and UNDISCIPLINED in LIFE - Jordan Peterson 2022","https://www.youtube.com/watch?v=LhPVU1aC-Ms","2022-12-06",1452
"Jordan Peterson REVEALS why MASCULINITY is DISAPPEARING","https://www.youtube.com/watch?v=l1bE4U7DoSM","2022-12-02",1023
"OVERTHINKING can HAVE SERIOUS CONSEQUENCES, here's WHY - Jordan Peterson 2022","https://www.youtube.com/watch?v=Snhe9mxSCIU","2022-11-30",2346
"Why HIGH VALUE MEN are IRRESISTIBLE to WOMEN - Jordan Peterson","https://www.youtube.com/watch?v=pmttCnKHeXs","2022-11-28",2894
"The SIMPLE REASON parents are CREATING FAILURES - Jordan Peterson","https://www.youtube.com/watch?v=FmACQiJbKgU","2022-11-24",2620
"THIS is what SHE WANTS to HEAR on a FIRST DATE - Jordan Peterson","https://www.youtube.com/watch?v=Yek9pM_5m0A","2022-11-21",2534
"COLLEGE DEGREES are WORTHLESS now! Here's WHY! - Jordan Peterson","https://www.youtube.com/watch?v=7SSvgAr6f0c","2022-11-18",1727
"Women LOSE INTEREST  in MEN who FAIL to DO THIS - Jordan Peterson","https://www.youtube.com/watch?v=JAbpNuIAWCY","2022-11-16",4292
"FIRST DATE HACKS to SEDUCE your date - Robert Greene","https://www.youtube.com/watch?v=yFsMChJlPYw","2022-11-14",3656
"How to LET GO of PAST TRAUMA from a RELATIONSHIP - Jordan Peterson","https://www.youtube.com/watch?v=4ldx8S6AbBI","2022-11-11",2518
"How to NOT let DEPRESSION WIN - Jordan Peterson","https://www.youtube.com/watch?v=uz_dSgfjtRU","2022-11-09",1618
"99% of CHEATING in relationships happens because of THIS - Jordan Peterson","https://www.youtube.com/watch?v=ZqfxBvG1-tY","2022-11-07",8308
"How to NOT LET your EX WIN the BREAKUP - Jordan Peterson","https://www.youtube.com/watch?v=CL31N3Pn7TU","2022-11-04",5979
"Jordan Peterson EXPOSES the TRUTH about SOCIAL JUSTICE WARRIORS","https://www.youtube.com/watch?v=xs7CPyaeh_4","2022-11-02",1785
"How TOXIC HUSTLE CULTURE can RUIN you COMPLETELY - Jordan Peterson","https://www.youtube.com/watch?v=po89MwieynE","2022-10-31",1963
"KEEP THIS in MIND for YOUR MENTAL HEALTH - Jordan Peterson","https://www.youtube.com/watch?v=jcPPvVujfSw","2022-10-26",2166
"When YOU DO THIS, she'll BREAK UP with YOU  - Jordan Peterson","https://www.youtube.com/watch?v=8fhbPgPhXXg","2022-10-24",4746
"How PICK UP ARTISTS succeed with WOMEN - Jordan Peterson","https://www.youtube.com/watch?v=iof4BWcumZk","2022-10-21",5876
"Stop being NAIVE and FACE your MONSTERS - Jordan Peterson","https://www.youtube.com/watch?v=hoXd21wJleY","2022-10-19",3682
"To REACH your FULL POTENTIAL, you MUST become a SINNER - Jordan Peterson","https://www.youtube.com/watch?v=K_WoWZQatug","2022-10-17",4513
"Aim to BE the HERO of YOUR LIFE! - Jordan Peterson","https://www.youtube.com/watch?v=Q3k9dBxP3uo","2022-10-14",3663
"Your RELATIONSHIP will CRUMBLE if you KEEP on DOING THIS - Jordan Peterson","https://www.youtube.com/watch?v=fre8m29XZBY","2022-10-12",6456
"Couples do NOT FORGET about THIS during an ARGUMENT - Jordan Peterson","https://www.youtube.com/watch?v=Fc4Hj4YYVCg","2022-10-10",4312
"CHAOS is COMING if WE don't STOP THIS - Jordan Peterson","https://www.youtube.com/watch?v=3VSuNq9jBn4","2022-10-08",3002
"Why is NO ONE TALKING about THIS - Jordan Peterson","https://www.youtube.com/watch?v=6HgGvKLvK-4","2022-10-05",3534
"This a HUGE THREAT to our HUMANITY - Jordan Peterson","https://www.youtube.com/watch?v=8t9Vfk7v7LQ","2022-10-03",5179
"They are BRAINWASHING YOU into BELIEVING THIS! - Jordan Peterson","https://www.youtube.com/watch?v=te4YZokL1K0","2022-09-30",4222
"This will RUIN us ALL if we DON'T STOP IT - Jordan Peterson 2022","https://www.youtube.com/watch?v=DXT6SIFNwPo","2022-09-28",3785
"It's SHOCKING how NOBODY is SEEING THIS - Jordan Peterson","https://www.youtube.com/watch?v=2Ha1xgQglsI","2022-09-26",3173
"Jordan Peterson EXPOSES the HORRIFYING EFFECTS of SOCIAL MEDIA","https://www.youtube.com/watch?v=Rg9pf7PP92Y","2022-09-23",3091
"Jordan Peterson REVEALS the IMPORTANCE of TAKING RISKS | STAGNANCY is POISON to the SOUL","https://www.youtube.com/watch?v=8v3JTKrcYgw","2022-09-21",3230
"How to GAIN their RESPECT in INSTANT - Jordan Peterson Advice on Bullies","https://www.youtube.com/watch?v=N7uFVIrVAP0","2022-09-19",4344
"How to NOT RUIN yourself AFTER a BREAK UP - Jordan Peterson Advice","https://www.youtube.com/watch?v=BG-G2kiB5kI","2022-09-16",9912
"GROW UP! Leave YOUR PARENTS behind - Jordan Peterson Motivational Speech","https://www.youtube.com/watch?v=fkTTbNB9Z5Q","2022-09-14",5527
"DO this NOW! Before it's TOO LATE - Jordan Peterson Motivational Speech","https://www.youtube.com/watch?v=iwmwbN0OY98","2022-09-12",2934
"The DEVIL is MORE VIRTUOUS than SAINTS, here's WHY - Jordan Peterson Motivational Speech","https://www.youtube.com/watch?v=blbYdwSAWK0","2022-09-09",5891
"Jordan Peterson REVEALS why COMFORT will DRIVE you INSANE","https://www.youtube.com/watch?v=eOsqypI0_hQ","2022-09-07",5741
"Jordan Peterson - What makes PSYCHOPATHS ATTRACTIVE to WOMEN","https://www.youtube.com/watch?v=pTu6k9E7KJ4","2022-09-05",6797
"Jordan Peterson - What TURNS a PERSON EVIL","https://www.youtube.com/watch?v=Piy119LKb2Y","2022-09-03",6611
"LIVE in the PRESENT, DEFEAT social ANXIETY - Jordan Peterson - Motivation","https://www.youtube.com/watch?v=cJlAIKCdj2Y","2022-08-31",5000
"QUIT being PATHETIC and MAKE something of YOURSELF - Jordan Peterson - Motivation","https://www.youtube.com/watch?v=nRb-e5t108U","2022-08-29",4829
"Are you SMART ENOUGH to SURVIVE LIFE - Jordan Peterson","https://www.youtube.com/watch?v=SUysUsmx1yE","2022-08-26",3421
"ESCAPE the IMPOSTOR SYNDROME by DOING THIS - Jordan Peterson - Motivation","https://www.youtube.com/watch?v=l7nqWJso7b8","2022-08-24",3524
"The UNHEALTHY REASON your LAZY and UNMOTIVATED - Jordan Peterson - Motivation","https://www.youtube.com/watch?v=I3XJcGE-9ug","2022-08-22",7748
"This HABIT will MAKE your MARRIAGE last FOREVER - Jordan Peterson","https://www.youtube.com/watch?v=761A8NDkyR0","2022-08-19",6108
"SUFFERING is the MEANING of LIFE, stop RUNNING AWAY - Jordan Peterson Motivation","https://www.youtube.com/watch?v=vGLvAkpeKdY","2022-08-17",5120
"FEAR is the MAGIC PILL to MAKING you UNSTOPPABLE - Jordan Peterson Motivation","https://www.youtube.com/watch?v=mULpgXcZYLI","2022-08-15",5026
"You DESTROY your POTENTIAL when you DO THIS  - Jordan Peterson Motivation","https://www.youtube.com/watch?v=1fODLvFMvYw","2022-08-12",6836
"How TRAUMA creates EVIL MONSTERS - Jordan Peterson Motivation","https://www.youtube.com/watch?v=Z0bSurU350U","2022-08-10",4465
"Every ALPHA MALE and SIGMA MALE has THIS trait - Jordan Peterson","https://www.youtube.com/watch?v=TA_0EYTOfqM","2022-08-08",16448
"Why RELATIONSHIPS are NOT WORTH IT - Jordan Peterson","https://www.youtube.com/watch?v=ZpftTEcFOLI","2022-08-05",11825
"The ANTIDOTE to MENTAL BREAKDOWNS is THIS... - Jordan Peterson Motivation","https://www.youtube.com/watch?v=OTOEIY7hI1s","2022-08-03",3593
"Women HATE a MAN who is... - Jordan Peterson","https://www.youtube.com/watch?v=mvsY0nAcVrs","2022-08-01",8711
