"Title","video_url","Published_date","Views"
"Exceptional Results","https://www.youtube.com/watch?v=CV2FcSaFvp4","2023-05-16",1424
"Exceptional Results","https://www.youtube.com/watch?v=CV2FcSaFvp4","2023-05-16",1043
"Leading a Business: The 3+1 Roles of the CEO | Dan Wertenberg at @vistage-es","https://www.youtube.com/watch?v=Je3Sr5Lb8ak","2023-04-27",2605
"Don't hunt mice, hunt elephants (PS this is not a hunting promotional video)","https://www.youtube.com/watch?v=fKluXycsl5g","2023-04-07",3750
"We prefer a Problem we can't Fix to a Solution we don't like","https://www.youtube.com/watch?v=PHgtxCptRiQ","2023-03-31",2959
"The Importance of Persistence... The Ant Philosophy & The Strength of the River","https://www.youtube.com/watch?v=ygtz4UVOqb0","2023-03-21",2677
"A man with a reputation for getting up early can stay in bed all day","https://www.youtube.com/watch?v=IA-wG8wt-YM","2023-03-13",4471
"The 2 types of Boredom: Heidegger","https://www.youtube.com/watch?v=vbzIxzgK86Y","2023-01-24",4595
"Resolutions: How to Make Habit Change Stick","https://www.youtube.com/watch?v=uPMx05HK1o4","2023-01-16",3639
"I'm doing fine now... is not enough - We need Constant Renewal | Conor Neill","https://www.youtube.com/watch?v=Ngpa4VBCPEo","2022-12-19",3335
"Listen to the Teaching, not to the Teacher","https://www.youtube.com/watch?v=TRSywrb0lME","2022-11-29",3614
"Don't Make This Mistake: Good Intentions but No Actions","https://www.youtube.com/watch?v=eDMGwK_TqRU","2022-11-14",3523
"Poverty is not a Lack of Resources, Poverty is a lack of Dreams","https://www.youtube.com/watch?v=c-a3CPs_6Z0","2022-11-07",2650
"Playing Defence... and losing the initiative","https://www.youtube.com/watch?v=Lnf4Wkm-Uro","2022-10-26",3812
"Why People Take Action","https://www.youtube.com/watch?v=z7vDOU0Gjp0","2022-10-11",4185
"My Father's 3 Superpowers as a Leader","https://www.youtube.com/watch?v=ZjDh_Eulwmw","2022-10-03",4247
"3 things People need from a Leader, according to Alan Mulally ex-CEO of Ford","https://www.youtube.com/watch?v=0r1t0h-4LL0","2022-09-22",4446
"How not to have a conversation (Ask more questions!)","https://www.youtube.com/watch?v=G9QVj3hHH0s","2022-09-13",8151
"The $5 Challenge – A Stanford Strategy Story…","https://www.youtube.com/watch?v=b_578dSPZBE","2022-09-06",6506
"Wonderful New Vlog Video  | Conor Neill | Leadership","https://www.youtube.com/watch?v=CMdTYipyEYA","2022-09-02",0
"Making Committed Decisions ...is much better than making correct decisions","https://www.youtube.com/watch?v=e0rdyYxEH48","2022-07-19",9911
"Are you overwhelmed with problems?  | Conor Neill | Leadership","https://www.youtube.com/watch?v=4AHKqgKKeJA","2022-06-30",7610
"Build Strong Foundations before you Grow  | Conor Neill | Leadership","https://www.youtube.com/watch?v=G0QdfeWzMTc","2022-06-22",9158
"Destroying our lives through lazy or fantasy thinking | Conor Neill | Leadership","https://www.youtube.com/watch?v=LatIj45Tss4","2022-06-14",7527
"I've never met a rich optimist @russellkane9209 on @HighPerformancePodcast podcast ;-)","https://www.youtube.com/watch?v=nhbyfoqcSJc","2022-06-01",6248
"Set Goals for Direction, not for Destination  | Conor Neill | Personal Habits","https://www.youtube.com/watch?v=zOdpyMxGikY","2022-05-24",6202
"Life Advice from a 70 year old... (PS not from me)","https://www.youtube.com/watch?v=i0TR_BJ3cHQ","2022-05-16",6102
"You only need to be productive 7 mins a week to be successful on YouTube","https://www.youtube.com/watch?v=Ep3KD8C4NXw","2022-04-28",6610
"Consistency is the Key for Long Term Positive Impact","https://www.youtube.com/watch?v=gUqDt6L5F_o","2022-03-29",14012
"It's not about you, it is about the audience Author Lee Child's life changing lesson","https://www.youtube.com/watch?v=UBzlVcoqBSg","2022-03-01",4883
"No one is coming to save us - a lesson on taking responsibility for your life from the Andes","https://www.youtube.com/watch?v=O0JlrQfc_70","2022-02-21",8670
"The Tyranny of Convenience","https://www.youtube.com/watch?v=cMMJrbZDvvs","2022-02-12",4788
"Freedom is not an Empty Calendar, freedom is not a life without Obligations","https://www.youtube.com/watch?v=u_zGgpVjJPU","2022-02-05",4947
"Redefining Failure | Living Safely is Dangerous Nietzsche","https://www.youtube.com/watch?v=4sKj-4CAqqo","2022-01-18",6369
"Set Goals of Character and Ability, not of Achievement and Status","https://www.youtube.com/watch?v=e25cbKAMI8k","2022-01-10",6939
"Choose to Take Responsibility, the Winners path- Robbie van Persie on @HighPerformancePodcast","https://www.youtube.com/watch?v=GrwNen90mMY","2022-01-03",3912
"Get Clarity: Where you are & Where you are going","https://www.youtube.com/watch?v=H2eXogP3qZg","2022-01-02",2510
"How to Sell Your Idea With the Perfect Pitch (Entrepreneurs, Visionaries & Sales) with Florian Mueck","https://www.youtube.com/watch?v=ndkA8UXIb2g","2021-12-14",2541
"Errors of Omission: What are you not doing that you should be Doing?","https://www.youtube.com/watch?v=ye1O_ITmE4U","2021-12-14",3701
"There are no They - a lesson from my Dad in Taking Responsibility","https://www.youtube.com/watch?v=9meNmXN4BDo","2021-12-09",4055
"How to overcome your Fear and Get Important Stuff Done | Conor Neill","https://www.youtube.com/watch?v=4u3Kb4-UshI","2021-12-01",6218
"On Staying Young, Being Resourceful and Hiring Great People | Conor Neill from Kilkea Castle","https://www.youtube.com/watch?v=hw28gY4LIPs","2021-11-23",4580
"Choose your Hard (...because in Life... it is all hard)","https://www.youtube.com/watch?v=I4c47T152JU","2021-11-08",6305
"How to ask Great Questions (and Listen Actively) | Conor Neill from Montevideo, Uruguay","https://www.youtube.com/watch?v=S6rKG_HsFjA","2021-10-25",9673
"How to build an Entrepreneurial Dream team | 8 profiles you need for startup, scaleup and long term","https://www.youtube.com/watch?v=nArTvs6Lnpg","2021-09-28",10854
"Stress, Pressure and Focussing on What you Actually Control | Conor Neill","https://www.youtube.com/watch?v=3bN6oFbbaTg","2021-09-07",8081
"Summer sunset in the Algarve","https://www.youtube.com/watch?v=hVFNSafFRpE","2021-08-02",2409
"3 approaches to work: Idiot, Smart and Genius (inspired by @sadhguru )","https://www.youtube.com/watch?v=U2psJZhpOHE","2021-06-26",8181
"Getting your first job... advice from Jose Antonio, the Vespa Guy | Career Management #shorts","https://www.youtube.com/watch?v=IUu5vF_eMGk","2021-06-21",5748
"Let go of the past to open opportunities for the future | Tarzan analogy  | Conor Neill #shorts","https://www.youtube.com/watch?v=qEOci_mgwIE","2021-06-14",5127
"How to Consistently Create Content for Youtube & LinkedIn | Personal Branding for Business Coaching","https://www.youtube.com/watch?v=hlHHuqYqtcU","2021-05-25",4157
"4 Powerful Thinking Models from Charlie Munger #shorts","https://www.youtube.com/watch?v=WmyrGYmEsEg","2021-04-28",8278
"5 Ways Successful People Increase their Impact","https://www.youtube.com/watch?v=EgCsUM5demo","2021-04-26",7633
"All the manuals can't teach you how to live... A story about Ford and Toyota #shorts","https://www.youtube.com/watch?v=nF5r-arLIiQ","2021-04-21",5796
"The 4 elements of a wonderful life (according to @TheChopraWell Deepak Chopra) #shorts","https://www.youtube.com/watch?v=Kw70pkE9t0I","2021-04-17",6026
"How to Double your Business with your Best Clients","https://www.youtube.com/watch?v=4KX54kgWcaA","2021-04-13",2730
"Do you learn more from winning or from losing (inspired by @pepmari9210 ) #shorts","https://www.youtube.com/watch?v=Wudiya33IlU","2021-04-13",2306
"3 Lessons on Focus from @DandapaniLLC, a Hindu Monk who teaches Entrepreneurs how to use their Minds","https://www.youtube.com/watch?v=iSJzNA-NZT0","2021-03-30",6218
"Do you need a manager or do you need a coach? #shorts","https://www.youtube.com/watch?v=Yk4uqyYP-zA","2021-03-27",4714
"How to be resourceful. Our language shapes our Mindset. Are you Growth or Fixed?","https://www.youtube.com/watch?v=bxigpyfJPr8","2021-03-23",4284
"We are all in the People Business now #shorts","https://www.youtube.com/watch?v=-gfDJaZNH3A","2021-03-20",3540
"11 Great Questions for Life (from a @jayshetty2758 Clubhouse session)","https://www.youtube.com/watch?v=NFe1eQ1086g","2021-03-16",4014
"#shorts Monty Moran on Empowering Leadership #leadership","https://www.youtube.com/watch?v=I_udY4ELEus","2021-03-11",2446
"How to do the most important work of your life. The 4 key ingredients.","https://www.youtube.com/watch?v=-XgkrwsJp6I","2021-03-11",9406
"How to Create an Abundance Mindset for Yourself. Reciprocity works.","https://www.youtube.com/watch?v=wkUP47wFkcU","2021-02-23",10076
