"Title","video_url","Published_date","Views"
"Just Because You Think It, Doesn’t Mean It’s True","https://www.youtube.com/watch?v=QvZqyEfFvYk","2023-06-01",105220
"If Life Loses Meaning, There’s Still Life (Existentialism, Absurdism & Nietzsche)","https://www.youtube.com/watch?v=Ogu54Rozomo","2023-05-26",83613
"What The Most Carefree Philosopher Can Teach Us | ZHUANGZI","https://www.youtube.com/watch?v=TM1LH9BtM9I","2023-05-05",136169
"You Don’t Deserve What You Want | Stoic Philosophy","https://www.youtube.com/watch?v=AVGI2tdMTUA","2023-04-27",299561
"What You Try to Control, Controls You | The Paradox of Control","https://www.youtube.com/watch?v=koo59KK43YA","2023-04-13",821026
"Why Indifference is Power | Priceless Benefits of Being Indifferent","https://www.youtube.com/watch?v=1d2G7V_Oz5o","2023-04-07",716174
"The More You Want, the Worse It Gets | The Seven Deadly Sins | GREED","https://www.youtube.com/watch?v=OUPCvK16gBE","2023-03-23",174103
"How to Overcome Yourself | Nietzsche’s Superman","https://www.youtube.com/watch?v=Gaj7WX7tDIs","2023-03-16",97320
"Live More by Doing Less | The Philosophy of Slow Living","https://www.youtube.com/watch?v=bK1g9bPHUTo","2023-03-03",782006
"Don't Worry, Everything is Out of Control | Stoic Antidotes to Worry","https://www.youtube.com/watch?v=jPlj4Y_Snrk","2023-02-23",411783
"Reasons Not to Fall in Love","https://www.youtube.com/watch?v=Itap5Laep3Q","2023-02-02",328088
"Taoism & The Underestimated Power of Softness","https://www.youtube.com/watch?v=ifzppw3YgWU","2023-01-27",391963
"When Life Hurts, Care Less About It | The Philosophy of Marcus Aurelius","https://www.youtube.com/watch?v=LGXRpbDuDGE","2023-01-12",1842882
"The Less You Seek, The More You’ll Find | The Happiness Paradox","https://www.youtube.com/watch?v=igBgTLYX5IU","2023-01-05",581825
"Why Pride Is the Worst | The Seven Deadly Sins | PRIDE","https://www.youtube.com/watch?v=W6eLkFr9yzE","2022-12-17",222644
"Why Stupidity is Power | Priceless Benefits of Being Stupid","https://www.youtube.com/watch?v=aeIkWHXd8mc","2022-12-02",506866
"When There’s Nothing Left to Live For | The Philosophy of Nihilism","https://www.youtube.com/watch?v=4lejrVRIK9w","2022-11-24",229422
"Why Patience is Power | Priceless Benefits of Being Patient","https://www.youtube.com/watch?v=nLj7J51FdQQ","2022-11-03",791875
"The Closer We Get, The More We Hurt | The Hedgehog’s Dilemma","https://www.youtube.com/watch?v=jGYpqNF6r9A","2022-10-20",442841
"We Don’t Want Pleasure; We Just Want the Pain to End","https://www.youtube.com/watch?v=5QavLGNj9as","2022-10-13",227027
"Don’t Worry, Everything is Out of Control | Taoist Antidotes to Worry","https://www.youtube.com/watch?v=lb3VckEacf4","2022-09-22",1119761
"How to Build Self-Discipline: The Stoic Way | Stoicism for Discipline","https://www.youtube.com/watch?v=02o-gxQy130","2022-09-15",1096149
"Breaking Bad: The Psychology of Walter White (based on Nietzsche)","https://www.youtube.com/watch?v=-ack19YeFsc","2022-09-08",227695
"How to Be a Happy Loser | A Guide for Modern Day Untouchables","https://www.youtube.com/watch?v=LEPUX4eMUSw","2022-08-18",726688
"How to Simplify Your Life | Minimalist Philosophy","https://www.youtube.com/watch?v=casK0pXZ5sc","2022-08-11",630957
"The Philosophy of the Sith | An Examination of the Dark Side (Star Wars)","https://www.youtube.com/watch?v=w-Q3ZTTa4BI","2022-08-04",673597
"Can Money Buy Happiness? Yes, According to Philosophy & Science","https://www.youtube.com/watch?v=bwk_DidX8qo","2022-07-21",227737
"Life is Great When It's Ending | The Philosophy of Seneca","https://www.youtube.com/watch?v=un6bEWgjnCw","2022-07-07",198953
"Nothing Exists But You | The Philosophy of Solipsism","https://www.youtube.com/watch?v=c9ULvz_NLlk","2022-06-30",279234
"If Life Has No Meaning, Why Live? | Albert Camus & The Absurd Man","https://www.youtube.com/watch?v=dBjFC7g6ur8","2022-06-23",264702
"The Cheaper Your Pleasures, The Richer You’ll Be | Minimalist Philosophy","https://www.youtube.com/watch?v=Oswc-jAgwgo","2022-06-02",1802987
"Why Optimism Makes Us Sad | Are We Better Off Being Pessimists?","https://www.youtube.com/watch?v=P4GtYlCZfDg","2022-05-26",143050
"You Don’t Lose People. You Return Them | Stoic Philosophy","https://www.youtube.com/watch?v=yah-abKb96g","2022-05-13",1559894
"Why Silence is Power | Priceless Benefits of Being Silent","https://www.youtube.com/watch?v=IkJZMxW__nI","2022-05-05",2473786
"The Harder You Try, The Worse It Gets | Law of Reversed Effort","https://www.youtube.com/watch?v=-IlG32Pb43g","2022-04-21",3371647
"Stop Wanting, Start Accepting | The Philosophy of Marcus Aurelius","https://www.youtube.com/watch?v=KDsdLKDHIWI","2022-04-14",1982351
"Should We Stop Having Babies? | Antinatalism Explored","https://www.youtube.com/watch?v=hJ_8fw6-S8A","2022-03-31",595174
"How Philosophers Handle Rejection (Diogenes, Schopenhauer, Epictetus & Zhuangzi)","https://www.youtube.com/watch?v=AVDTQ_MsUfY","2022-03-24",245261
"War is Madness | A Stoic Warning to the World","https://www.youtube.com/watch?v=nnZ9jRDl980","2022-03-17",76133
"What Makes You a Degenerate? | Stoic Philosophy","https://www.youtube.com/watch?v=AyQbqceOq58","2022-03-04",648024
"We Worry About Problems We Don't Even Have | Eastern Philosophy","https://www.youtube.com/watch?v=XyzIX87zuTw","2022-02-24",1221613
"The Loner's Path | Philosophy for Non-Conformists","https://www.youtube.com/watch?v=rycIyC_lc-U","2022-02-04",828857
"Become Unconquerable | Stoic Philosophy","https://www.youtube.com/watch?v=teqOInIwoUI","2022-01-27",1594031
"How Not to Be Pathetic | Stoic Philosophy & Emotions","https://www.youtube.com/watch?v=_FDwVxKfIsw","2022-01-20",514264
"What Cats Teach Us About Happiness | A Cat's Philosophy","https://www.youtube.com/watch?v=4T_fwF-Torc","2021-12-23",1282302
"Be a Loser if Need Be | The Philosophy of Epictetus","https://www.youtube.com/watch?v=sY8lYexr72U","2021-12-17",3260111
"Carl Jung & The Psychology of Self-Sabotage (feat. Emerald)","https://www.youtube.com/watch?v=VwROPb6a8RY","2021-12-02",1094862
"Signs of a Toxic Friend | Buddhist Philosophy","https://www.youtube.com/watch?v=oAt-dt3TgQs","2021-11-26",570991
"Can we be Happy without Friends? | The Social Minimalist","https://www.youtube.com/watch?v=c0KRaFqjYkQ","2021-11-18",665877
"The World isn't Nearly as Terrible as We Think (or is it?)","https://www.youtube.com/watch?v=msL7WoLA-9w","2021-11-04",156273
"The Surest Way out of Misery | Arthur Schopenhauer","https://www.youtube.com/watch?v=R50MI4VXtOI","2021-10-28",645576
"All I’m Offering is the Truth | The Philosophy of the Matrix","https://www.youtube.com/watch?v=X0W6CX-uHhk","2021-10-21",2435958
"Viktor Frankl's Method to Overcome Fear (Paradoxical Intention)","https://www.youtube.com/watch?v=-tmHzg6OirM","2021-10-07",173920
