"Title","video_url","Published_date","Views"
"Jordan Peterson: Motivational speech","https://www.youtube.com/watch?v=6LHDEDmJdsc","2022-03-31",9400
"Jordan Peterson, Carl Jung, and Shadow integration","https://www.youtube.com/watch?v=wIJ8-tx09rQ","2019-12-23",29994
"Jordan Peterson: The antidote to suffering","https://www.youtube.com/watch?v=NpbydjqSTSI","2019-09-28",34794
"40 Profound Life Rules from JP","https://www.youtube.com/watch?v=vA4tX2Gr69Q","2019-09-10",21693
"Jordan Peterson: Naive MEN get b.u.r.n.e.d.","https://www.youtube.com/watch?v=n5r9fUeDOpM","2019-03-08",1020798
"Jordan Peterson: Fixing relationships","https://www.youtube.com/watch?v=Yii6JBGWHms","2018-09-12",668345
"Jordan Peterson: Who's controlling you?","https://www.youtube.com/watch?v=RhyZpgQewmM","2018-08-21",182380
"Jordan Peterson: Men who make the worst partners","https://www.youtube.com/watch?v=bJor1Z2LG0Y","2018-07-27",2787126
"Jordan Peterson: Why some men can't get women","https://www.youtube.com/watch?v=XdsLeeQ4s_Q","2018-07-26",2067686
"Jordan Peterson: Dangerous life events you want to avoid","https://www.youtube.com/watch?v=cGsscXvjk4I","2018-07-17",244904
"Jordan Peterson: What you do when you love someone","https://www.youtube.com/watch?v=btTolB5JxZg","2018-07-16",300834
"Jordan Peterson: Women always reject these men","https://www.youtube.com/watch?v=UtcUOEIM7E0","2018-07-15",2315168
"Jordan Peterson: What happened in your youth that messed you up","https://www.youtube.com/watch?v=v8RlK-xZGTE","2018-07-12",113292
"Jordan Peterson: The problem with wildly creative & highly neurotic people","https://www.youtube.com/watch?v=2ezp6oVTGu4","2018-06-25",88986
"Jordan Peterson: Becoming highly efficient and productive","https://www.youtube.com/watch?v=wxCE1A1DloA","2018-06-23",208971
"Jordan Peterson: Secrets to life and relationships","https://www.youtube.com/watch?v=fGnakQebLys","2018-06-21",1224026
"Jordan Peterson: Men need an intimate relationship (probably?)","https://www.youtube.com/watch?v=wFOkMQFzD1g","2018-06-20",377940
"Jordan Peterson: Men who marry witchy women","https://www.youtube.com/watch?v=apxU8Ow99-8","2018-06-16",3064919
"Jordan Peterson: Divorce","https://www.youtube.com/watch?v=T9IlaCjEcvk","2018-06-12",147122
"Jordan Peterson: Mistakes Men Make with Women","https://www.youtube.com/watch?v=ohrt4zJN0kg","2018-06-08",653174
"Jordan Peterson: Avoid out of control w.o.m.e.n.?","https://www.youtube.com/watch?v=DEZpciLUQDk","2018-06-01",2209264
"Jordan Peterson: How to attract beautiful women","https://www.youtube.com/watch?v=6kfEcyVX960","2018-05-31",1553005
"Jordan Peterson: Why the law of attraction doesn't favor everyone","https://www.youtube.com/watch?v=czU6Haga05Y","2018-05-21",233568
"Jordan Peterson: What you're attracted to","https://www.youtube.com/watch?v=DEzMLnDmxUo","2018-05-16",141532
"Jordan Peterson: Men Going Their Own Way","https://www.youtube.com/watch?v=3gClBIgG3ig","2018-05-08",312567
"Jordan Peterson: Diagnosis of Borderline Personality Disorder","https://www.youtube.com/watch?v=aT8Us3S3PMo","2018-05-05",106660
"Jordan Peterson: Hope for men who've lost their way","https://www.youtube.com/watch?v=sa65TiSJPNI","2018-05-04",128647
"Jordan Peterson: Don't get married unless . . .","https://www.youtube.com/watch?v=Lvk11mNeBnw","2018-05-01",231359
"Jordan Peterson: The danger of antisocial males","https://www.youtube.com/watch?v=VBKPQsKHgck","2018-04-26",4475293
"Jordan Peterson: Antiheroes and what to pay attention to","https://www.youtube.com/watch?v=FSdMBN3Ul-8","2018-04-22",222067
"Jordan Peterson: Mistakes men make with women","https://www.youtube.com/watch?v=nWeZDBKnrvw","2018-04-18",157301
"Jordan Peterson: Men who are attached to the wrong things","https://www.youtube.com/watch?v=5ftmA0r6GDw","2018-04-17",208700
"Jordan Peterson: Real Men","https://www.youtube.com/watch?v=mq1LT0SoMeg","2018-04-16",575236
"Jordan Peterson: Chronically dissatisfied men","https://www.youtube.com/watch?v=ORdC25L4yV8","2018-04-14",175763
"Jordan Peterson: Too Sensitive","https://www.youtube.com/watch?v=NxMNKi8Ti7Y","2018-04-04",373293
"Jordan Peterson: Nice guys with tyrannical fathers","https://www.youtube.com/watch?v=Vc8AXX50BjI","2018-04-03",360286
"Jordan Peterson: Bad Relationships","https://www.youtube.com/watch?v=TAkkO2ICIQo","2018-04-02",991785
"Jordan Peterson: When things go wrong in your life","https://www.youtube.com/watch?v=CPhwfM0DHPk","2018-04-01",117070
"Jordan Peterson: Helping those who are lost in life","https://www.youtube.com/watch?v=ZrFl8QnBy9g","2018-03-18",137971
"Jordan Peterson: The worst Disney movie","https://www.youtube.com/watch?v=_GtYEPoc9wM","2018-03-15",1565875
"Jordan Peterson: Crucial relationship guidance","https://www.youtube.com/watch?v=G-FxUhbJ-Ow","2018-03-08",1076241
"Jordan Peterson: Men who know this can be competitive in the world","https://www.youtube.com/watch?v=NG5_9aRb1AI","2018-03-07",98669
"Jordan Peterson: The destruction of masculinity","https://www.youtube.com/watch?v=5hr8zHFGQH8","2018-03-06",81339
"Jordan Peterson: Relationship advice","https://www.youtube.com/watch?v=BfnbRXJvELA","2018-03-05",91756
"Jordan Peterson: What low-status highly creative men need","https://www.youtube.com/watch?v=FDsu7ldQRQc","2018-03-03",2376407
"Jordan Peterson: Women would rather . . .","https://www.youtube.com/watch?v=PrM_prPOqhQ","2018-03-03",693715
"Jordan Peterson: Toxic Relationships","https://www.youtube.com/watch?v=RLRBcjDYCfc","2018-03-01",500045
"Jordan Peterson: Why Women Choose These Men","https://www.youtube.com/watch?v=KF3JswNYdXU","2018-02-24",300856
"Jordan Peterson: Women want these kinds of men","https://www.youtube.com/watch?v=Hv5L5z0GKKg","2018-02-23",154682
"Jordan Peterson: Women prefer men with ...","https://www.youtube.com/watch?v=AtbX57zHVtU","2018-02-22",614402
"Jordan Peterson: Women & society expect men to conform","https://www.youtube.com/watch?v=SbqxIYPhv98","2018-02-20",268642
"Jordan Peterson: Video games, guilt-ridden depressed men in the workforce & treatment","https://www.youtube.com/watch?v=i8FudntXfR8","2018-02-17",1964706
"Jordan Peterson: Narcissists & Pushovers in Relationships","https://www.youtube.com/watch?v=IIEIfOkT5YA","2018-02-16",365381
"Jordan Peterson: Why Women Love Jerks","https://www.youtube.com/watch?v=qC1vgJX18ZE","2018-02-15",1987647
"Jordan Peterson: Too Nice? Rejected.","https://www.youtube.com/watch?v=KcTWKJfrK6E","2018-02-14",1269259
"Jordan Peterson: Ways to know you're being a good father","https://www.youtube.com/watch?v=_xwT1wZj5tw","2018-02-12",770070
"Jordan Peterson: The best relationship advice","https://www.youtube.com/watch?v=to2kLBqlOfs","2018-02-11",1550234
"Jordan Peterson: Are video games like World of Warcraft bad for you?","https://www.youtube.com/watch?v=kzbGUDKCajk","2018-02-11",408364
"Jordan Peterson: Women want/need Real men not Boys","https://www.youtube.com/watch?v=zbjTQmZRNss","2018-02-10",1480624
"Jordan Peterson: Pickup artists, psychopathic goals & resentful men","https://www.youtube.com/watch?v=BTbCEoXJnbg","2018-02-10",760382
"Jordan Peterson: Success in life and with women","https://www.youtube.com/watch?v=8eSfFWVQUo8","2018-02-09",836875
"Jordan Peterson: Men get trapped","https://www.youtube.com/watch?v=CFsyxDg7LUA","2018-02-08",160646
"Jordan Peterson: Men only want one thing & other vices","https://www.youtube.com/watch?v=ceDcN-RjV_k","2018-02-07",883964
"Jordan Peterson: Things Nice Guys Should Know to Attract Women","https://www.youtube.com/watch?v=aOli8rKXctw","2018-02-04",1044290
"Jordan Peterson: These kinds of men attract women","https://www.youtube.com/watch?v=8r-AUdniZD0","2018-02-03",953994
"Jordan Peterson: Men who know this are ahead of the competition","https://www.youtube.com/watch?v=pVuz-EmKP4M","2018-02-01",2822017
"Jordan Peterson: Why women reject men","https://www.youtube.com/watch?v=JVKfH5XSdM4","2018-01-31",2106645
"Jordan Peterson: The harsh reality of Alpha Male life","https://www.youtube.com/watch?v=LDKxpZfsN6Y","2018-01-29",4220842
"Jordan Peterson: Becoming Mr. Right rather than Mr. Nice guy","https://www.youtube.com/watch?v=P8-fYbcCpuU","2018-01-28",1827176
"Jordan Peterson: Socially awkward men who avoid what they want","https://www.youtube.com/watch?v=QsLWSd6H0mM","2018-01-26",819350
"Jordan Peterson: Getting your life together","https://www.youtube.com/watch?v=gBRTdi-ZpWg","2018-01-26",91004
"Jordan Peterson: The Ideal Woman & overcoming fears","https://www.youtube.com/watch?v=m6pEPZmpAn0","2018-01-24",992102
"Jordan Peterson: Men are petrified by women & what they can do about it","https://www.youtube.com/watch?v=sckWlo1mLFI","2018-01-24",327333
"Jordan Peterson: Overcoming self-defeating behaviors","https://www.youtube.com/watch?v=wN49uORrZIw","2018-01-22",1381200
"Jordan Peterson: Alpha females, alpha males, heroes & choosy mate selection","https://www.youtube.com/watch?v=EDvFZMyqMG0","2018-01-21",1898185
"Jordan Peterson: High-functioning depression & how to overcome misery","https://www.youtube.com/watch?v=eYehmC-zwrQ","2018-01-19",1776293
"Jordan Peterson: Pay gap (if there is one)","https://www.youtube.com/watch?v=aINDG7AI-4o","2018-01-16",125286
"Jordan Peterson: Guys who are too nice? Good luck.","https://www.youtube.com/watch?v=b6-360oFHZ4","2018-01-15",4904913
"Jordan Peterson: Angry Low Status men","https://www.youtube.com/watch?v=EYWMhEoebEU","2018-01-14",630825
"Jordan Peterson: Marvel's Thor and Loki","https://www.youtube.com/watch?v=LH2pkHI3dbU","2018-01-13",229097
"Jordan Peterson: Oblivious of your status & how to rise in the dominance hierarchy","https://www.youtube.com/watch?v=bBlou3t3L3A","2018-01-12",827157
"Jordan Peterson: Wimps, Alphas & Good men","https://www.youtube.com/watch?v=WvmlIZwunHE","2018-01-10",3043856
"Jordan Peterson: Alpha males & everyone below them","https://www.youtube.com/watch?v=RVVmhnmUj6A","2018-01-09",1814429
"Jordan Peterson: Beta males, low social status & antisocial behavior","https://www.youtube.com/watch?v=sZH0N9aECa0","2018-01-06",2993328
"Jordan Peterson: P.s.y.c.h.o.pathic traits, antisocial behavior & hedonism","https://www.youtube.com/watch?v=GHYVwnVbaxw","2018-01-04",1889753
"Jordan Peterson: Psy.cho.paths, malevolence & predation","https://www.youtube.com/watch?v=hb_bguhXko4","2017-12-30",706916
"Jordan Peterson: Oppression of Creative People etc","https://www.youtube.com/watch?v=9fDJqkmoXW4","2017-12-30",147446
"Jordan Peterson: Men don't know what to do with women in male power hierarchies","https://www.youtube.com/watch?v=DOCkbDXjyDI","2017-12-28",472179
"Jordan Peterson: Antisocial psy.cho.pathic males","https://www.youtube.com/watch?v=udGiTW3TBiQ","2017-12-19",4242829
"Jordan Peterson: Marvel's Avengers & Egyptian Mythology","https://www.youtube.com/watch?v=nVyUe5BhWQc","2017-12-17",233956
"Jordan Peterson: The great transformation of men","https://www.youtube.com/watch?v=4G6jC9cHJkQ","2017-12-16",127667
"Jordan Peterson: Heath Ledger's Joker, Batman & archetypes","https://www.youtube.com/watch?v=HfGnEWPRQis","2017-12-15",748316
"Jordan Peterson: Women want workaholic men in positions of power","https://www.youtube.com/watch?v=7STtjfoWz38","2017-12-12",992747
"Jordan Peterson: Traits of Alpha Males","https://www.youtube.com/watch?v=F_SevwMZg9o","2017-12-07",721011
"Jordan Peterson: What women don't understand about men","https://www.youtube.com/watch?v=9WDXStamk9A","2017-11-10",1346225
"Jordan Peterson: Jungian Archetypes etc.","https://www.youtube.com/watch?v=emZ10npcvDo","2017-11-09",266518
"Jordan Peterson: Repression & other defense mechanisms","https://www.youtube.com/watch?v=AtEd2KcuQ5A","2017-10-25",212758
"Jordan Peterson: Faces women prefer, the unconscious, etc","https://www.youtube.com/watch?v=PPXkaRtUw2I","2017-10-24",203100
"Jordan Peterson: Be authentic, not cliché","https://www.youtube.com/watch?v=5xY6pifzvtk","2017-09-25",219904
"Jordan Peterson: Breaking free to become a fully-functioning individual","https://www.youtube.com/watch?v=yRc2cVmOal0","2017-08-31",137831
"Jordan Peterson: The victim mentality","https://www.youtube.com/watch?v=UcX1MeyJEqc","2017-08-25",618671
"Jordan Peterson: Breaking Bad","https://www.youtube.com/watch?v=bDDtjQyFL6A","2017-08-25",1010287
"Jordan Peterson: Special treatment, self-esteem & narcissism","https://www.youtube.com/watch?v=Fo8VY8o6R44","2017-08-20",252474
"Jordan Peterson: Take risks (but not in a naive way)","https://www.youtube.com/watch?v=20OIv8DLrDw","2017-08-15",123326
"Jordan Peterson: Don't look back; follow the good","https://www.youtube.com/watch?v=Rv5scJMlJZY","2017-08-15",120845
"Jordan Peterson: The worst thing a creative person can do","https://www.youtube.com/watch?v=ubNbIGv8d98","2017-08-08",1605309
