"Title","video_url","Published_date","Views"
"The Difference Between Successful People and The Most Successful People | Alex Hormozi | #Shorts","https://www.youtube.com/watch?v=_XgdkrpJTFo","2023-06-05",883
"From Despair to Resilience: Finding the Ember! | Tom Bilyeu | #Shorts","https://www.youtube.com/watch?v=ZdbItfJtySs","2023-06-04",3012
"After This EVERYTHING You Visualize Will Come TRUE | Neville Goddard, Joe Dispenza, Louise Hay","https://www.youtube.com/watch?v=zrqsI6Scs6Q","2023-06-04",3841
"Always Remember This! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=jE5TfOLN0_k","2023-06-03",2222
"REPROGRAM Your Destructive HABITS and PATTERNS! | John Assaraf | #Entspresso","https://www.youtube.com/watch?v=BRfPU2hAF40","2023-06-03",2160
"Ricky Gervais On Feeling Offended | #Shorts","https://www.youtube.com/watch?v=orcXitVau8U","2023-06-02",7145
"Best Tom Bilyeu MOTIVATION (5 HOURS of Pure INSPIRATION)","https://www.youtube.com/watch?v=zHe1q3t4V8s","2023-06-02",2682
"Set A New Standard For Yourself! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=jRkEDo9yPh0","2023-06-01",1184
"6 Powerful TEACHINGS That Will Help You LEARN How to MEDITATE!","https://www.youtube.com/watch?v=BRxy8Ns5ruw","2023-05-31",3858
"Tom Hardy's conversation with The Notorious Charles Bronson | #Shorts","https://www.youtube.com/watch?v=_I4-nGgxJ40","2023-05-31",3289
"Brand Mastery Unleashed: Elevate Your Game and Become a World-Class Coach!","https://www.youtube.com/watch?v=iteIxGvnZ-A","2023-05-30",1655
"Embrace the AND! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=diuM0mbFDQg","2023-05-30",1710
"How to THINK and ACT Like a BILLIONAIRE - Adopt THIS Mindset TODAY! | Mark Cuban | Top 10 Rules","https://www.youtube.com/watch?v=ZdvZtdWY3tw","2023-05-29",5048
"Own Your Life Story | Wayne Dyer | #Shorts","https://www.youtube.com/watch?v=OZZs0mFw7vU","2023-05-29",3764
"Be A Good Man, Don't Be a Nice Guy | Ed Mylett | #Shorts","https://www.youtube.com/watch?v=JZ1ki1tVgdA","2023-05-28",4076
"Even the Impossible Will Manifest | Make it your Routine","https://www.youtube.com/watch?v=6f8lmlMgPBA","2023-05-28",5351
"How To Get People To Share Your Content! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=M4UC0LRWmXI","2023-05-27",2697
"Unlock the Secret Power of Breath: Transform Your Life Instantly!","https://www.youtube.com/watch?v=7zL28rXN7Ws","2023-05-27",4816
"Best Simon Sinek MOTIVATION (2.5 HOURS of Pure INSPIRATION)","https://www.youtube.com/watch?v=ShVHYW1isi8","2023-05-26",4534
"That's How Much Money You Need To Make To Be In The Top 1% Worldwide | Jordan Peterson | #Shorts","https://www.youtube.com/watch?v=0_hK1jWZQjA","2023-05-26",9815
"How To Get People Watching Your Videos More! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=WtzP-xELshA","2023-05-25",2536
"THIS One Simple but Powerful HABIT is the KEY to SUCCESS! | Evan Carmichael | Top 10 Rules","https://www.youtube.com/watch?v=YTBPRv7Ac1Q","2023-05-25",5022
"Best Tom Bilyeu MOTIVATION (5 HOURS of Pure INSPIRATION)","https://www.youtube.com/watch?v=zHe1q3t4V8s","2023-05-25",0
"Always Believe In Yourself! | Selena Gomez | #Shorts","https://www.youtube.com/watch?v=mb4WqaQwjpM","2023-05-24",1744
"Replace Your SALARY and Start Making Real MONEY With Your PASSION!","https://www.youtube.com/watch?v=dII8rQwoJN8","2023-05-23",3040
"This Is Why You're Stuck! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=_-R6F3C7gy8","2023-05-23",2188
"Peak is in the experience | Sadhguru | #Shorts","https://www.youtube.com/watch?v=svyNAI22HUQ","2023-05-22",1113
"Figure Out What You Want To DO! | Kim Kardashian | #Shorts","https://www.youtube.com/watch?v=KWOifVekFr0","2023-05-21",4264
"It Works Like Magic! 5 Minutes After You Wake Up | Joe Dispenza","https://www.youtube.com/watch?v=W3-Z7k89TrU","2023-05-21",8122
"How to Overcome EVEN Your Biggest FEARS! | Jay Shetty | #Entspresso","https://www.youtube.com/watch?v=DzlzpJtk8WU","2023-05-20",1518
"Learn To Tie Your Self-Worth To Your Effort! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=PN3YRtwT4W4","2023-05-20",2360
"Best Gaur Gopal Das MOTIVATION (3.5 HOURS of Pure INSPIRATION)","https://www.youtube.com/watch?v=WL4loi4KQEo","2023-05-19",5829
"That's Data | @daveramsey | #Shorts","https://www.youtube.com/watch?v=vLqPsnjtT2M","2023-05-19",3552
"It All Starts With You! You Have To Do Difficult Things! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=91k4ewiK5gM","2023-05-18",999
"It All Starts With You! You Have To Do Difficult Things! | Evan Carmichael | #Shorts","https://www.youtube.com/watch?v=91k4ewiK5gM","2023-05-18",2829
