"Title","video_url","Published_date","Views"
"Immanuel Kant - The Most Powerful Way to Think","https://www.youtube.com/watch?v=NgInmi3lCQU","2023-05-31",9478
"When Things Are Hopeless, It's Time to Let Go (of the past)","https://www.youtube.com/watch?v=KaojHLzue8A","2023-05-21",12766
"Never Be Fooled Again | Philosophy of Descartes","https://www.youtube.com/watch?v=jfnsAOWXlxc","2023-05-16",11569
"How to Think Clearly | Philosophy of Descartes","https://www.youtube.com/watch?v=jfnsAOWXlxc","2023-05-16",15350
"Let’s Argue: “Masculine Ideals” Make Us Weaker","https://www.youtube.com/watch?v=Lu7jsvYFtVA","2023-05-11",8744
"Your “Masculine Ideals” Only Make You Weaker","https://www.youtube.com/watch?v=gfMQygve_nY","2023-05-09",18012
"You're Not Nice, You're Just Secretly Selfish","https://www.youtube.com/watch?v=iGXyIQTZGcs","2023-05-07",34701
"Feeling Lonely? You Might be the Problem.","https://www.youtube.com/watch?v=2GELMBIocTc","2023-05-03",15950
"The Smallest Actions Have the Biggest Consequences","https://www.youtube.com/watch?v=nKLttaLgjtk","2023-05-02",17574
"Ignorance of the Past is Dangerous","https://www.youtube.com/watch?v=M6TSJ-Xp1jk","2023-04-26",11074
"People Hate What They Can't Have","https://www.youtube.com/watch?v=8DsWEaBES-w","2023-04-21",18769
"How to Achieve Anything | Philosophy of Aristotle","https://www.youtube.com/watch?v=r6AJcaUHMB8","2023-04-07",32249
"Become Antifragile: turn stress into growth","https://www.youtube.com/watch?v=NMWCL2yLBQM","2023-03-31",72286
"Most Religions Agree on the Cause of Happiness","https://www.youtube.com/watch?v=jXOtCi3uPDc","2023-03-16",30019
"An ancient secret for happiness","https://www.youtube.com/watch?v=p46mUfjQopQ","2023-03-16",30025
"Think for Yourself!","https://www.youtube.com/watch?v=2wNWeFxRNCQ","2023-03-11",21291
"Think for Yourself, Become Unstoppable","https://www.youtube.com/watch?v=NlfsGHutghc","2023-03-02",56616
"How to Create Inner Calm","https://www.youtube.com/watch?v=eLaNPIYGFQk","2023-02-23",38327
"Study Your Own Fear, Become Free","https://www.youtube.com/watch?v=KgzcF47kxGw","2023-02-09",27243
"JEALOUSY: How Competition Teaches Us About Ourselves","https://www.youtube.com/watch?v=SzhOqY3yN54","2023-01-28",28599
"You Haven't Earned the Right to be Confident","https://www.youtube.com/watch?v=5Q1lpcoTf0o","2023-01-19",67768
"How to Become Enlightened | The Philosophy of Plato","https://www.youtube.com/watch?v=KYEhkr4IYLA","2022-12-02",44264
"Philosopher Tier List (2022 Edition)","https://www.youtube.com/watch?v=HA3xk4ZlZQ4","2022-11-24",29772
"Vulnerability Comes Before Strength","https://www.youtube.com/watch?v=JYjwx--5Sew","2022-11-19",54466
"How to Not Become A Man-Child (or Woman-Child)","https://www.youtube.com/watch?v=UcYGnU71w8M","2022-11-10",263705
"LIVE: why you keep failing at self-discipline. Let's discuss.","https://www.youtube.com/watch?v=224zDE5Fomk","2022-11-03",13878
"LIVE: if you're a genius, will people think you're crazy? (+Q&A)","https://www.youtube.com/watch?v=gp3cmw5Q224","2022-11-03",8418
"Why You Keep Failing At Self-Discipline","https://www.youtube.com/watch?v=IXZFHYS1eV4","2022-11-03",146371
"How to Think Clearly | The Philosophy of Marcus Aurelius","https://www.youtube.com/watch?v=HekZLSZ2mpU","2022-10-27",1796306
"Control Your Desires, Find Happiness | The Philosophy of Epicurus","https://www.youtube.com/watch?v=DADgpfdBzJY","2022-10-13",79319
"You Don't Need Meaning To Be Happy | The Philosophy of Albert Camus","https://www.youtube.com/watch?v=9yoaBx0kOqo","2022-10-06",48468
"Live Simply, Find Happiness | The Philosophy of Diogenes","https://www.youtube.com/watch?v=bqgAnr7qWQY","2022-09-29",40801
"Stop Giving People Control Over Your Life | The Philosophy of Aleksandr Solzhenitsyn","https://www.youtube.com/watch?v=-VLpSJxqao8","2022-09-22",66494
"Make Others Respect You | The Philosophy of Niccolo Machiavelli","https://www.youtube.com/watch?v=9x9DVfueDgk","2022-09-15",107279
"Become Who You're Afraid To Be | The Philosophy of Carl Jung","https://www.youtube.com/watch?v=EGM_Pl8j_QU","2022-09-08",1474131
"Don't Force It - How to Find the Place Where You Belong","https://www.youtube.com/watch?v=3vrPXcJQRPA","2022-09-01",55184
"Don’t Fear Pressure - How to Become Unbreakable","https://www.youtube.com/watch?v=RPVVNxzEXVQ","2022-08-25",60416
"Nietzsche - Love Yourself First, Then Love Another","https://www.youtube.com/watch?v=HZ4yPRHcOZs","2022-08-18",62748
"Stop Hiding Who You Really Are | The Philosophy of Friedrich Nietzsche","https://www.youtube.com/watch?v=UspLLD1rGqI","2022-08-11",308804
"Nietzsche - How to Think Clearly","https://www.youtube.com/watch?v=RyAeql2WNc8","2022-08-04",71039
"Nietzsche - Do You Want the Truth or Comfort?","https://www.youtube.com/watch?v=oliYCeolq5U","2022-07-28",54521
"Nietzsche - How to Become Who You Are","https://www.youtube.com/watch?v=OU95cpl3Qeo","2022-07-22",448918
"Nietzsche - How to Achieve Greatness","https://www.youtube.com/watch?v=2GHIGkH_HbA","2022-07-07",97082
"Dostoevsky - Improve Yourself, Improve the World","https://www.youtube.com/watch?v=-NTB7hS3gIQ","2022-06-24",57993
"Dostoevsky - Be Careful of the Ideas You Plant in Others","https://www.youtube.com/watch?v=C0RFEmR64Bk","2022-06-10",62217
"Dostoevsky - Don't Become A Slave to Pleasure","https://www.youtube.com/watch?v=VizmK7BsjJU","2022-06-03",189757
"Jesus - This One Mistake Will Ruin Your Life","https://www.youtube.com/watch?v=g7vzTEgcCxc","2022-05-20",54876
"Jesus - The Smartest Way to Build Your Life","https://www.youtube.com/watch?v=rdS5GLqZq0U","2022-05-13",137151
"Jesus - The Most Powerful Rule You Can Follow","https://www.youtube.com/watch?v=-0R7-zTbpbc","2022-05-06",84337
"Nietzsche - Don’t Let Your Darkness Consume You","https://www.youtube.com/watch?v=bibqi7l1Aqk","2022-03-25",183283
"Nietzsche - Beware of People Playing the Victim","https://www.youtube.com/watch?v=mapfAGS3PBE","2022-03-18",288300
"Nietzsche - Overcome Shame, Become Who You Are","https://www.youtube.com/watch?v=XnGIzeVRcow","2022-03-04",1315835
"Buddha - Avoid Fools, Make Wise Friends","https://www.youtube.com/watch?v=1JbFZnPMldM","2022-02-18",107233
"Buddha - Be Aware, Become Free","https://www.youtube.com/watch?v=9rQB6qNqLuI","2022-02-11",103504
"Buddha - Your Thoughts Determine Your Future","https://www.youtube.com/watch?v=y89oEA2l8Bc","2022-02-04",164473
"Pick the Wrong Partner, Ruin Your Life","https://www.youtube.com/watch?v=vVTkozgQv4I","2022-01-21",83350
"George Orwell - Never Abandon the Truth | 1984","https://www.youtube.com/watch?v=6iSa29Vk3DU","2022-01-14",57836
"Orwell - Don’t Let Them Control Your Thoughts","https://www.youtube.com/watch?v=yNK-WnmSknQ","2022-01-07",89561
"Protect Yourself From Emotional Blackmail","https://www.youtube.com/watch?v=utX6xfOrjFk","2021-12-17",90490
"Make Time Your Friend, Not Your Enemy","https://www.youtube.com/watch?v=5pnFWk-j6js","2021-12-10",191005
"Charles Dickens - Live Greedily, Die With Regret","https://www.youtube.com/watch?v=mF9dpFH_NhE","2021-12-03",35016
"Buddha - Drop Your Pride, Overcome Anger","https://www.youtube.com/watch?v=aKwPjGK9qsg","2021-11-19",200468
"Buddha - Conquer Fear, Become Free","https://www.youtube.com/watch?v=ZK4JHLzRg2Q","2021-11-12",903275
"The Philosophy of Squid Game *spoilers*","https://www.youtube.com/watch?v=8YZX9V-1jyk","2021-11-05",61356
"Lao Tzu - Be Like Water","https://www.youtube.com/watch?v=5JpIHeyUfVo","2021-10-23",160006
"Lao Tzu - Do Nothing, Achieve Everything","https://www.youtube.com/watch?v=0LzlJYy0f7o","2021-10-15",327222
"Lao Tzu - See Your Foolishness, Become Wise","https://www.youtube.com/watch?v=Y-qI-TY43VE","2021-10-08",173509
"Dostoevsky - Walk Your Own Path, Face Your Errors","https://www.youtube.com/watch?v=3xJ2FNt2DBc","2021-09-24",589377
"Dostoevsky - Never Lie to Yourself","https://www.youtube.com/watch?v=BTCWQrPWm7A","2021-09-17",315280
"Dostoevsky - Love is the Doorway to Heaven","https://www.youtube.com/watch?v=FQ58ORFElyo","2021-09-10",79117
"Nietzsche - You Can't Have Pleasure Without Pain","https://www.youtube.com/watch?v=8GnlHW5FlQk","2021-08-27",203360
"Nietzsche - Follow No One, Trust Yourself","https://www.youtube.com/watch?v=e-k7b8Zmh70","2021-08-20",2862917
"Nietzsche - You Are Your Own Worst Enemy","https://www.youtube.com/watch?v=Up4xeXyFTfY","2021-08-13",750510
"7 Life Lessons I Learned from Stoicism","https://www.youtube.com/watch?v=xsQU6IkcPCs","2021-07-30",115414
"Marcus Aurelius - Stop Caring What People Think","https://www.youtube.com/watch?v=PVKaK5Xt6TI","2021-07-22",1989642
"Marcus Aurelius - Live Sincerely, Become Focused","https://www.youtube.com/watch?v=2qf-lAO0WZc","2021-07-12",141072
"Marcus Aurelius - Understand Your Problems","https://www.youtube.com/watch?v=cTOHHQff5rI","2021-06-29",98736
"Why You Procrastinate (brutal truth)","https://www.youtube.com/watch?v=R9EvyekZrCM","2021-06-10",75333
"This One Habit Doubled My Productivity","https://www.youtube.com/watch?v=7QHIp1x0iKA","2021-05-27",63898
