"Title","video_url","Published_date","Views"
"Avoid These 3 Things To Think Clearly | Gaur Gopal Das","https://www.youtube.com/watch?v=iCKZNud1K_8","2023-05-29",60127
"Deal With This One Thing To Lead A Beautiful Life | Gaur Gopal Das","https://www.youtube.com/watch?v=FGejd38cmDI","2023-05-22",40401
"Finding hope amidst turbulence in life | Gaur Gopal Das","https://www.youtube.com/watch?v=KopTCFA_LqA","2023-05-15",105453
"Finding hope amidst turbulence in life | Gaur Gopal Das","https://www.youtube.com/watch?v=KopTCFA_LqA","2023-05-15",67666
"Should You Listen To Others’ Advice Or Your Own Voice? Watch This To Know | Gaur Gopal Das","https://www.youtube.com/watch?v=O5b2BZBwt0w","2023-05-08",44069
"Watch This To Know The One Essential Ingredient For Good Relationships | Gaur Gopal Das","https://www.youtube.com/watch?v=DCxwUiFHc4Q","2023-05-01",68430
"Can We Cultivate Patience In a Fast Paced World? Watch This To Know! | Gaur Gopal Das","https://www.youtube.com/watch?v=imLycdwCXrg","2023-04-24",54394
"Can We Gain Something Without Going Through Pain ? Watch This | Gaur Gopal Das","https://www.youtube.com/watch?v=FbvohrL22Co","2023-04-17",58701
"Our Darkest Moments Can Show Us The Brightest Stars | Gaur Gopal Das","https://www.youtube.com/watch?v=w2YseC7xUZ8","2023-04-10",67930
"Are There Any Shortcuts In Life ? | Gaur Gopal Das","https://www.youtube.com/watch?v=gbwt888SJL0","2023-04-03",66405
"This Is Why We All Need An Emotional Detox | Gaur Gopal Das","https://www.youtube.com/watch?v=0eEq3hk4umc","2023-03-27",91025
"Watch This To Know What Exists Beyond Pain And Pleasure | Gaur Gopal Das","https://www.youtube.com/watch?v=xAmYeADsE40","2023-03-20",69614
"This One Thing Will Help You Deal With Your Struggles In Life | Gaur Gopal Das","https://www.youtube.com/watch?v=-hFrRLvvDTQ","2023-03-13",122659
"Ask these 3 questions before listening to someone's opinion | Gaur Gopal Das","https://www.youtube.com/watch?v=ggjvT-1SHq8","2023-03-06",124255
"Look For Happiness In The Right Place | योग्य ठिकाणी आपले सुख शोधा | Gaur Gopal Das","https://www.youtube.com/watch?v=St5DCNb9NnQ","2023-02-27",64779
"Pariksha Pe Charcha | Gaur Gopal Das","https://www.youtube.com/watch?v=WqEz2ds1b2g","2023-02-21",83208
"The Magic Mantra For Transforming Yourself | Gaur Gopal Das","https://www.youtube.com/watch?v=4sQPBO7ANt8","2023-02-13",208236
"The Biggest Valentine Day Tip For Good Relationships | Gaur Gopal Das","https://www.youtube.com/watch?v=jdja--x7sKA","2023-02-06",111668
"Do This To Leave No Regrets In Life | Gaur Gopal Das","https://www.youtube.com/watch?v=1gSfL6DV-bc","2023-01-30",213302
"Watch This To Know The Reason Behind A Smile | @GaurGopalDas","https://www.youtube.com/watch?v=E6zVTYwXr7I","2023-01-23",114840
"Keep These 2 Things Far Away To Live Well | Gaur Gopal Das","https://www.youtube.com/watch?v=-y9uCz12yW8","2023-01-16",199091
"5 Mantras For Self Transformation | Gaur Gopal Das","https://www.youtube.com/watch?v=8QQJvcXPGiw","2023-01-09",514248
"Want To Know What A Real Relationship Is ? Watch This | Gaur Gopal Das","https://www.youtube.com/watch?v=25rhjjr5ZmI","2022-12-26",194184
"Energise Your Mind | Gaur Gopal Das","https://www.youtube.com/watch?v=lE_DlDKYUTk","2022-12-21",138665
"Nothing In Life Can Give Us Happiness Until This One Thing Is In Place | @GaurGopalDas","https://www.youtube.com/watch?v=2juGlZJs3oU","2022-12-14",195971
"Energise Your Mind | Pre Order Now | Signed Copies | Gaur Gopal Das","https://www.youtube.com/watch?v=SAW_n45pp24","2022-12-10",38696
"Do This One Thing To Deepen Your Bonding With Someone | @GaurGopalDas","https://www.youtube.com/watch?v=8h8ZJPFpcLY","2022-12-05",94466
"Watch This To Know How To Succeed In Whatever You Do | Gaur Gopal Das","https://www.youtube.com/watch?v=zgkYBQsSOLQ","2022-11-28",97224
"This Is What You Need When You Decide To Give Up! | Gaur Gopal Das","https://www.youtube.com/watch?v=QmkMY42IW94","2022-11-21",226403
"3 Things To Do For Good Relationships! | Gaur Gopal Das #shorts","https://www.youtube.com/watch?v=RmCP9Ewd3fk","2022-11-19",378785
"If You Feel Like Giving Up, Watch This | @GaurGopalDas","https://www.youtube.com/watch?v=WrbLTJfNFBY","2022-11-07",158584
"Watch This To Know How To Write The Story Of Your Life | @GaurGopalDas","https://www.youtube.com/watch?v=_rZBnJkTO4M","2022-10-31",85595
"Practicing Forgiveness In Real Life - A Must Watch ! | @GaurGopalDas","https://www.youtube.com/watch?v=6Z-hvklEcD8","2022-10-17",295952
"4 Things To Do To Build And Maintain Good Mental Health | Mental Health Day Live | Gaur Gopal Das","https://www.youtube.com/watch?v=yQWA9g9GotA","2022-10-10",477467
"What Would You Want To Achieve In Life ? Watch This | Gaur Gopal Das","https://www.youtube.com/watch?v=LsCu209_KPI","2022-10-03",112234
"The Investment That Brings The Best Returns | Gaur Gopal Das","https://www.youtube.com/watch?v=Wb5Y0fsi1n8","2022-09-26",96538
"COEP Abhimaan Award | Gaur Gopal Das","https://www.youtube.com/watch?v=g-DSqTz3rOk","2022-09-22",28433
"Energise Your Mind | Book Announcement | @GaurGopalDas #shorts","https://www.youtube.com/watch?v=oOPzJiLi3Wg","2022-09-15",134603
"Watch This To Know How To Make Life Happen | Gaur Gopal Das","https://www.youtube.com/watch?v=BLo3PFLDSK8","2022-09-12",136489
"Don’t Say “Good Morning!” Instead Say This … | @GaurGopalDas","https://www.youtube.com/watch?v=p0J7Pz5Lsps","2022-09-05",235005
"Is Your Glass Half Full Or Half Empty? Watch This To Know! | Gaur Gopal Das","https://www.youtube.com/watch?v=97knmpLtdhg","2022-08-29",80990
"Hard Work Or Destiny? Watch This To Know The Answer | Gaur Gopal Das","https://www.youtube.com/watch?v=gLBOLYNzZuI","2022-08-22",141838
"75th Independence Day | Aazadi Ka Amrit Mahotsav | Gaur Gopal Das","https://www.youtube.com/watch?v=Qvp3n13pf8I","2022-08-14",55841
