"Title","video_url","Published_date","Views"
"Wealth is an EMOTION #motivation #inspiration #kenhonda","https://www.youtube.com/watch?v=AKbFu0Gw9SY","2023-06-04",2356
"You have to FAIL! #motivation #inspiration #nevergiveup","https://www.youtube.com/watch?v=oI8FRLO6aH8","2023-06-03",5048
"TIME TO GET IT DONE - Best Motivational Speech Video (Featuring Eric Thomas)","https://www.youtube.com/watch?v=qPnyS3erSJg","2023-06-02",50244
"The RULE of 100! #motivation #inspiration #workhard","https://www.youtube.com/watch?v=6Mt6LedJrLI","2023-06-01",4118
"I MUST NEVER QUIT - Powerful Motivational Speech (Featuring Coach Pain)","https://www.youtube.com/watch?v=1mWygAzH0U8","2023-05-30",28480
"This mindset will change your life","https://www.youtube.com/watch?v=yfeGqlG-PTM","2023-05-28",12015
"Being human is what qualifies you","https://www.youtube.com/watch?v=hyLEmU55UlA","2023-05-27",8318
"IT’S MY TIME - Best Motivational Video Speeches Compilation","https://www.youtube.com/watch?v=a36XqvPLHoY","2023-05-26",48211
"David Goggins Finds Out The One Piece He's Missing","https://www.youtube.com/watch?v=IY8D-XjYhck","2023-05-26",8351
"I'M GOING TO WIN - Best Motivational Speech (Featuring William Hollis) | Football Motivation","https://www.youtube.com/watch?v=c4jMXY0OfPI","2023-05-23",15323
"You've came to far to quit now!","https://www.youtube.com/watch?v=T1kSxh86MGs","2023-05-23",3346
"One Of The Most Important Messages For Entrepreneurs","https://www.youtube.com/watch?v=PsKaypd9whE","2023-05-23",1859
"If You Find Yourself In A Dark Place Watch This","https://www.youtube.com/watch?v=xVCV9RGQrT4","2023-05-20",4957
"Live a life with no regrets","https://www.youtube.com/watch?v=wbRclK5bx0A","2023-05-19",4697
"BECOME OBSESSED - Best Motivational Speech (Featuring Ed Mylett)","https://www.youtube.com/watch?v=8sfQLOA42NU","2023-05-19",39741
"Mindset Is Everything","https://www.youtube.com/watch?v=CXraT67YA6M","2023-05-16",4295
"Mindset Is Everything","https://www.youtube.com/watch?v=CXraT67YA6M","2023-05-16",6586
"LISTEN TO THIS EVERY MORNING AND BELIEVE IN YOURSELF - Positive Morning Motivation","https://www.youtube.com/watch?v=4Bnfmgm3jZg","2023-05-16",47833
"Marcus Taylor Shares The Truth To Achieving Dreams","https://www.youtube.com/watch?v=Yzyiz99svdU","2023-05-16",4363
