"Title","video_url","Published_date","Views"
"6 Strategies for Garnering Influence With Others","https://www.youtube.com/watch?v=QNB7t6fb53E","2023-06-02",2783
"Early Days of Sobriety, Building a Community with Dissenting Voices, and Managing Grief","https://www.youtube.com/watch?v=FiVU4ap0AnY","2023-05-31",1113
"Raising Children in the Modern Age","https://www.youtube.com/watch?v=iolDb1INH28","2023-05-30",1632
"How to Focus on What Matters Most","https://www.youtube.com/watch?v=JmN3gev8Rck","2023-05-26",2784
"Small steps, HUGE results","https://www.youtube.com/watch?v=VYlU5hdzOfg","2023-05-25",1155
"Aesthetics are a byproduct of healthy living","https://www.youtube.com/watch?v=YS_yTsR0LvA","2023-05-24",1376
"Make Yourself the Project, Not Your Wife","https://www.youtube.com/watch?v=g6bT_vK4gSg","2023-05-24",2600
"Making the Most of Your Transformative Years","https://www.youtube.com/watch?v=4ySNs3749o8","2023-05-23",1139
"MEN...We're not as good as we think we are","https://www.youtube.com/watch?v=MI5e0pMqN1I","2023-05-19",3175
"Why Tracking Activity is a Prerequisite to Success","https://www.youtube.com/watch?v=cqVs6Eqz_4c","2023-05-19",1932
"The First Step to Self-Improvement","https://www.youtube.com/watch?v=HKqH8ockOhI","2023-05-18",189
"Everyone needs a side hustle","https://www.youtube.com/watch?v=bKeJfVRbo8Y","2023-05-18",2469
"Everyone needs a side hustle","https://www.youtube.com/watch?v=bKeJfVRbo8Y","2023-05-18",264
"The First Step to Self-Improvement","https://www.youtube.com/watch?v=HKqH8ockOhI","2023-05-18",1168
"Hope vs. Despair","https://www.youtube.com/watch?v=_JqcWa5BWZA","2023-05-17",1046
"Outsourcing with software and AI","https://www.youtube.com/watch?v=p3fGuxjquGg","2023-05-17",1065
"Outsourcing with software and AI","https://www.youtube.com/watch?v=p3fGuxjquGg","2023-05-17",1380
"Hope vs. Despair","https://www.youtube.com/watch?v=_JqcWa5BWZA","2023-05-17",806
"Integrating Work Life and Home Life","https://www.youtube.com/watch?v=RSekfHe2HD4","2023-05-16",1156
"Integrating Work Life and Home Life","https://www.youtube.com/watch?v=RSekfHe2HD4","2023-05-16",1005
"Find Your Calm","https://www.youtube.com/watch?v=W2OuFEcC3A8","2023-05-15",280
"You Need Courage, Not Confidence","https://www.youtube.com/watch?v=zS4cCfJy-XA","2023-05-14",1111
"5 Strategies to Overcome Isolation","https://www.youtube.com/watch?v=0LSF3XXdeoE","2023-05-12",2553
"Let the men do what men do","https://www.youtube.com/watch?v=Kn2L8_irydU","2023-05-12",2304
"We need to understand intention","https://www.youtube.com/watch?v=aFk4K839VGc","2023-05-11",1401
"Overcoming the Failures of Our Fathers","https://www.youtube.com/watch?v=RmImH9jOCZs","2023-05-11",1294
"How are you using your vice?","https://www.youtube.com/watch?v=LrEPMi2skqg","2023-05-10",2816
"Know When Not To Offer Advice","https://www.youtube.com/watch?v=Qy5DshDYYxU","2023-05-10",1030
"You're Not Dead Yet","https://www.youtube.com/watch?v=qxOvEDVfZZs","2023-05-09",2334
"Time to take a break from hustle culture","https://www.youtube.com/watch?v=rH5jvdjd1c4","2023-05-09",3160
"You Have the Right to be Wrong","https://www.youtube.com/watch?v=G6PAsuHWrgc","2023-05-08",1372
"How to Push Past Fear","https://www.youtube.com/watch?v=_u8C_94LpE0","2023-05-05",3085
"Go for the kiss","https://www.youtube.com/watch?v=atFL9D-XFDU","2023-05-05",2766
"Best places to meet women","https://www.youtube.com/watch?v=Ybn151j-qTQ","2023-05-04",1500
"How to Get Over Resentment Towards an Ex","https://www.youtube.com/watch?v=7VH8eRVMkFc","2023-05-03",1155
"She's pretty, I hope I like her","https://www.youtube.com/watch?v=70y5N78YArA","2023-05-03",1397
"How to Create Multiple Options of High-Value Women","https://www.youtube.com/watch?v=R1aStL1mPoo","2023-05-02",2355
