"Title","video_url","Published_date","Views"
"Experimenter Bias (Definition + Examples)","https://www.youtube.com/watch?v=8T_N7KQRnWQ","2022-08-16",28808
"What is a Double Blind Study? (Definition + Examples)","https://www.youtube.com/watch?v=mQKhAue2Js0","2022-07-23",17593
"Perceptual Reasoning (Definition + Examples)","https://www.youtube.com/watch?v=W6G5typ5u0c","2022-07-05",14398
"Lewin’s Change Theory - UnFreeze, Change, ReFreeze Method","https://www.youtube.com/watch?v=p5pe7EGtjMw","2022-06-22",24018
"Stimulus Response Theory - Edward Thorndike (Definition + Examples)","https://www.youtube.com/watch?v=fyOUgwDbvdY","2022-06-13",27472
"Clive Wearing - The Pianist with Amnesia","https://www.youtube.com/watch?v=I5G298BBhpY","2022-05-17",11882
"The Monster Study (Experiment + Results)","https://www.youtube.com/watch?v=os5ThrJfXVE","2021-11-04",49224
"What is ADHD? (Free ADHD Test + Symptom Explanation)","https://www.youtube.com/watch?v=7-uZNKewZt4","2021-08-10",27992
"6 Stages of Emotional Blackmail - Definition + Examples","https://www.youtube.com/watch?v=k1Gs6PfbqYI","2021-08-05",23604
"Self Perception Theory (vs Cognitive Dissonance) + Examples","https://www.youtube.com/watch?v=U98qvyAGnSg","2021-07-26",56820
"Abandonment Issues (Examples + Causes + Solutions)","https://www.youtube.com/watch?v=kLyPEUGS-_Q","2021-07-14",58347
"The Asch Line Study - Conformity Experiment","https://www.youtube.com/watch?v=-W-ML_dG_4Y","2021-04-24",73392
"Theories of Aggression in Social Psychology","https://www.youtube.com/watch?v=SNWW-pPmTsI","2021-04-21",78843
"Transtheoretical Model and Stages of Change (Examples)","https://www.youtube.com/watch?v=VVyhhMzWkiU","2021-04-18",71724
"The House-Tree-Person Personality Test (Examples Included)","https://www.youtube.com/watch?v=J87xrHy748Q","2021-04-15",79090
"Cognitive Dissonance (Definition + 3 Examples)","https://www.youtube.com/watch?v=G1-vaIe2FGM","2021-04-12",81935
"Attribution Theory (Examples and What it is)","https://www.youtube.com/watch?v=WoTBPwMeAyo","2021-04-09",96491
"What is Social Loafing? (Definition + Examples)","https://www.youtube.com/watch?v=BpaChja09lc","2021-04-06",52924
"Minority Influence (4 Things Required for Change)","https://www.youtube.com/watch?v=_AfUk2gQYlY","2021-04-03",20034
"Social Facilitation (Definition + Examples)","https://www.youtube.com/watch?v=DMX565ohxwM","2021-03-31",27188
"Deindividuation (Definition + Examples)","https://www.youtube.com/watch?v=m5qApIjNLXY","2021-03-28",34024
