"Title","video_url","Published_date","Views"
"Never do THIS, After a Break-up 💔","https://www.youtube.com/watch?v=Bkp4rlaV8Qw","2023-06-05",4977
"3 Things to do IMMEDIATELY after break-up (do this to fix your broken heart)","https://www.youtube.com/watch?v=m04s73vZJS0","2023-06-04",17506
"Why good girls love Bad boys 👿","https://www.youtube.com/watch?v=I3a1Ugrh_UM","2023-06-01",45649
"3 Dark Seduction Tricks to make anyone addicted to you 😍","https://www.youtube.com/watch?v=9RZCuzCGQvQ","2023-05-30",47732
"Personality differences: India vs West","https://www.youtube.com/watch?v=7V8K_RwHWa4","2023-05-27",30413
"Secret of Greatest Players 🔥","https://www.youtube.com/watch?v=CAj6uIGOwEw","2023-05-26",26568
"This Makes ANY Man DANGEROUS (2 DEADLY traits)","https://www.youtube.com/watch?v=MVeMtUclGlc","2023-05-25",48874
"Asli pyaar aisa hota hai ❤️","https://www.youtube.com/watch?v=Fln6P1PYwUg","2023-05-25",39684
"How Social Media Affects Mental Health","https://www.youtube.com/watch?v=dZsHq6TwU3M","2023-05-21",16422
"This is one of the most attractive qualities in a person","https://www.youtube.com/watch?v=k52zf63KI14","2023-05-17",42086
"This is one of the most attractive qualities in a person","https://www.youtube.com/watch?v=k52zf63KI14","2023-05-17",19809
"Be LIMITLESS like a Kid - एक बच्चे जैसा बनो","https://www.youtube.com/watch?v=gblfZpf3DVE","2023-05-16",40312
"Be LIMITLESS like a Kid - एक बच्चे जैसा बनो","https://www.youtube.com/watch?v=gblfZpf3DVE","2023-05-16",20525
"You're 90% MORE Attractive Than You Think You Are","https://www.youtube.com/watch?v=nDIo3gRWE0Y","2023-05-15",10232
"How to STAND-OUT Effortlessly | DON'T BE NORMAL","https://www.youtube.com/watch?v=_1zjPRaCHnk","2023-05-11",51924
"The key to your highest potential 🔑|| Stop Limiting Yourself","https://www.youtube.com/watch?v=SqjiwodhLow","2023-05-05",45300
"6 Tips to SPEAK ATTRACTIVELY || Improve Your Communication Skills","https://www.youtube.com/watch?v=Ot2ghmfHIq8","2023-04-29",458242
"❌ Reject WEAKNESS ✅ Accept DISCIPLINE","https://www.youtube.com/watch?v=nMFwr_g6iy8","2023-04-17",90874
"15 Life Lessons for Teenagers (and EARLY 20s)","https://www.youtube.com/watch?v=rXssFkbE53w","2023-04-07",97058
"10 BIGGEST Green Flags in a Girl.. You MUST Ask These Girls Out","https://www.youtube.com/watch?v=5XBRUK3gz1M","2023-03-29",93263
"IRON ATTITUDE - The Only Way To Succeed In Life","https://www.youtube.com/watch?v=-XVpXzm7xwA","2023-03-19",108787
"4 THINGS That Turn BOYS Into MEN","https://www.youtube.com/watch?v=a5F_Z0NR95Y","2023-03-09",102459
"who should PAY on the FIRST DATE? 💵","https://www.youtube.com/watch?v=FB2RiRiTDtY","2023-03-01",50738
"Every family has that one person who..","https://www.youtube.com/watch?v=XT5elM4W4JE","2023-02-25",67497
"10 EXERCISES TO ACTIVATE YOUR BRAIN POWER 🧠","https://www.youtube.com/watch?v=s5uddMDMsHA","2023-02-23",53205
"BHAGAVAD GITA teaches Mind-Control? 🧠😱","https://www.youtube.com/watch?v=xXs1uGKqFew","2023-02-18",69080
