"Title","video_url","Published_date","Views"
"श्रीमत भगवत गीता सार एक दोहे में | Srimadh Bhagwat Geeta Saar in Hindi by Puneet Biseria","https://www.youtube.com/watch?v=5JxS8f2uudg","2023-05-29",8130
"पथरी को खत्म करने के 9 तरीके | Pathri ka ilaaj | pathri ko bahar kaise nikale by Puneet Biseria","https://www.youtube.com/watch?v=f2NEzjDYbzc","2023-05-15",633
"बहस में हमेशा कैसे जीते | How to win any argument |  Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=0HhXwAw3Sa8","2023-05-01",26180
"40 ways to use 100% BRAIN power || दिमाग को तेज कैसे करें | iq level improve kaise kare? part 2","https://www.youtube.com/watch?v=BRSYzf3xLSA","2023-04-17",28169
"40 ways to use 100% BRAIN power || दिमाग को तेज कैसे करें | iq level improve kaise kare? part 1","https://www.youtube.com/watch?v=9kbRkVjD0a8","2023-04-10",70854
"40 Items Every Man Needs in His Life (Part 2) | Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=-zyezbScp8Q","2023-03-27",26678
"40 Items Every Man Needs in His Life (part 1) || Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=ogwuXTxUdzc","2023-03-20",55037
"शादी के लिए पहले 24 गुण और दोष देखें? Chanakya Niti के साथ जानें Puneet Biseria से","https://www.youtube.com/watch?v=V_ZME2Jy0MA","2023-02-27",78453
"Communication Skills part 2 || चतुराई से बात कैसे करें || Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=gukppOqt5dw","2023-02-13",32732
"Communication Skills part 1 || चतुराई से बात कैसे करें || Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=fEIA-MATczs","2023-02-06",145267
"How to Become the Best Version of Yourself | Chanakya Niti by Puneet Biseria | Self-Improvement Tips","https://www.youtube.com/watch?v=p6uc2yYmJgE","2023-01-23",38451
"बच्चों की पढ़ाई पर ध्यान देने के 20 तरीके | Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=XvNaEKIbXWc","2023-01-08",22062
"जिद्दी बच्चों को सुधारने के 8 नियम Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=LuojzKSdfcM","2022-12-12",323945
"आयुर्वेद का सार भोजन के 18 नियम by Puneet Biseria","https://www.youtube.com/watch?v=XWpFYh6hnyg","2022-11-28",63493
"बच्चों को बिगड़ने से बचाने के 14 नियम Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=pwP45-rAh84","2022-11-14",1383687
"Taakatwar banne ke 14 niyam || दंतिकरण || Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=TIdiW9M_xM4","2022-10-31",179999
"बिना बुरे बने मना करने के 8 नियम || Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=Ouelnw-rxWs","2022-10-03",68264
"Sanskrit kaise seekhe || How to learn Sanskrit by Puneet Biseria","https://www.youtube.com/watch?v=F3_VjiLSExk","2022-09-19",243784
"Duniyadari matlab 18 kaam mein PERFECT hona || Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=qWHlFThjLFk","2022-09-05",265905
"भगवान श्री कृष्ण की 64 कलाएं || 64 Arts of Lord Krishna by Puneet Biseria","https://www.youtube.com/watch?v=DuW4EQbYw-8","2022-08-18",70879
"योजना बनाने के 9 नियम | Chanakya Niti by Puneet Biseria | How to PLAN like Chanakya |","https://www.youtube.com/watch?v=5eYY5oTnWfQ","2022-08-01",142753
"इंसान की औकात 9 चीजों से देखी जाती है | Chanakya Niti by Puneet Biseria | AUKAAT by Puneet Biseria","https://www.youtube.com/watch?v=w2O515fFfAw","2022-07-18",193276
"दुश्मनों की कमजोरी जानने के 11 नियम || जासूस के 8 गुण || Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=4VYgks9H1Ys","2022-07-04",773819
"मृत्यु होने पर 14 भूल न करें || Chanakya Niti by Puneet Biseria | Communication Skills by Chanakya","https://www.youtube.com/watch?v=xcr5tcPl5rU","2022-06-20",39959
"पीठ पीछे वार करने वाले दुश्मनों को पहचानने के 8 नियम Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=FrdTLdRc5_0","2022-06-06",390577
"अपने से ज्यादा ताकतवर दुश्मन को हराने के 6 नियम Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=elqjMkYLe2Y","2022-05-23",2375903
"6 चीजें बेहद जरूरी होने पर ही इस्तेमाल करना चाहिए Chanakya Niti by Puneet Biseria","https://www.youtube.com/watch?v=tKpEA-rWOeo","2022-05-09",159236
"लोगों का इस्तेमाल करने के 7 नियम ||  Chanakya Neeti by Puneet Biseria || Kautilya Saptang siddhant","https://www.youtube.com/watch?v=g3IzcTI-KVk","2022-04-25",333778
"पुत्र के 5 गुण || Qualities of a Son Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=W5fY98KP11Y","2022-04-04",269711
"झूठ बोलने के 6 नियम || Chanakya Neeti by Puneet Biseria || 6 principles of telling a lie","https://www.youtube.com/watch?v=VEksYNPkDNM","2022-03-20",318744
"मेहमान की कितनी इज्जत करना चाहिए || atithi satkar ki Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=jidM3uTq8uI","2022-02-28",170550
"चाणक्य की प्रेम नीति || Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=Ev_kmJ2-edA","2022-02-14",149933
"नीचा दिखाने वाले को नीचा कैसे दिखाएं || Chanakya Neeti by Puneet Biseria","https://www.youtube.com/watch?v=_jnwVlPxV0M","2022-01-31",2452095
"चाणक्य ज्ञान नीति || Chanakya niti by Puneet Biseria || पढ़ाई करने के 8 नियम","https://www.youtube.com/watch?v=oQFy7h0r4to","2022-01-19",61209
"साम दाम दण्ड भेद के आगे क्या होता है | Chanakya niti by Puneet Biseria साम दाम दण्ड भेद की काट","https://www.youtube.com/watch?v=TnRtGAH3hKE","2022-01-02",317679
