"Title","video_url","Published_date","Views"
"Stop Trying to Be Nice All the Time","https://www.youtube.com/watch?v=i5Y2rCmqMdA","2023-05-31",33787
"Would You Have Chosen to Be Born?","https://www.youtube.com/watch?v=6CkEpTlt-AY","2023-05-17",31643
"Would You Have Chosen to Be Born?","https://www.youtube.com/watch?v=6CkEpTlt-AY","2023-05-17",88175
"Follow No One. Trust Your Own Thoughts. | The Philosophy of Immanuel Kant","https://www.youtube.com/watch?v=g840ez9xbt0","2023-05-03",136155
"The Terrible Price We Pay For the Fear of Being Alone","https://www.youtube.com/watch?v=jbACI7TEePU","2023-04-19",234922
"Success Is Always Luck","https://www.youtube.com/watch?v=1K40R94U33I","2023-04-05",198827
"How the Way You Respond to Boredom Changes Your Life","https://www.youtube.com/watch?v=gc7wKr0XkN8","2023-03-22",730144
"The Call of the Void - Where Do Horrible Thoughts Come From?","https://www.youtube.com/watch?v=u1BGsYMw848","2023-03-08",362355
"Thought Experiments That Will Change How You Think About Life","https://www.youtube.com/watch?v=yRaUG2Tp2xI","2023-02-22",379069
"The Algorithm Effect - How An Entire Population Becomes Mentally Sick","https://www.youtube.com/watch?v=PWJNEeTTpak","2023-02-08",415146
"This One Idea Will Change How You Think About Your Entire Life","https://www.youtube.com/watch?v=mDwrilOepHo","2023-01-25",1063128
"Millions of Little Threads","https://www.youtube.com/watch?v=BPMN-r5jJrM","2023-01-17",107378
"The Terrible Paradox of Self-Awareness | Fernando Pessoa","https://www.youtube.com/watch?v=6qU1sDBU9Cs","2023-01-09",2095767
"Why Learning to Enjoy Being Alone Changes Everything","https://www.youtube.com/watch?v=YWhm62wD7OI","2022-12-19",348351
"The Greatest Regret You’ll Ever Have","https://www.youtube.com/watch?v=nh940RAEk-Q","2022-12-07",295797
"If the Universe Came From Nothing, Where Did Nothing Come From?","https://www.youtube.com/watch?v=iMe_YY3In-g","2022-11-23",674954
"You’d Be Surprised How People Perceive You","https://www.youtube.com/watch?v=Y4ObnLRrklo","2022-11-16",1192003
"The Art of Caring Less - The Philosophy of Baruch Spinoza","https://www.youtube.com/watch?v=rwO3splR8rk","2022-11-09",544670
"There Are Things No One Will Ever Know About You","https://www.youtube.com/watch?v=V9dNmqwg4H8","2022-10-25",646657
"These 4 Simple Questions Will Change How You Think About Everything","https://www.youtube.com/watch?v=rK1mhvv920s","2022-10-11",685697
"The High Price We Pay For Pursuing the Wrong Things in Life","https://www.youtube.com/watch?v=zZcWBUZEhME","2022-09-28",703809
"Why Be Happy When You Can Be Fascinating?","https://www.youtube.com/watch?v=m7Y_R9BGyGA","2022-09-14",318135
"The Lies We Tell Ourselves To Feel Better","https://www.youtube.com/watch?v=GyViADmhOx8","2022-08-31",287979
"The Harder You Try, The Worse It Gets - The Philosophy of Fyodor Dostoevsky","https://www.youtube.com/watch?v=F9kfiUhmRO8","2022-08-17",1666343
"5 of the Weirdest Psychological Disorders (That Will Make You Question Your Own Self)","https://www.youtube.com/watch?v=hLHWG3Qj35s","2022-08-03",192410
"Reading Philosophy Will Change Your Brain - The Story of Pursuit of Wonder (& a New Book)","https://www.youtube.com/watch?v=dz9Il6isViE","2022-07-26",86336
"The Man at the End of Time","https://www.youtube.com/watch?v=uSi_IpziocY","2022-07-19",125868
"Everything You Believe Is Based on What You've Been Told","https://www.youtube.com/watch?v=UiJ66f8gKBg","2022-07-12",346681
"The Nova Effect II - The Blessing of Bad Luck","https://www.youtube.com/watch?v=hUfI7y3T8K4","2022-06-28",148103
"Be a Loser - The Philosophy of Henry David Thoreau","https://www.youtube.com/watch?v=9bHM-mhgQyk","2022-06-21",1544755
"Who Am I? - A Thought Experiment That Changes How You Think About Yourself","https://www.youtube.com/watch?v=HAND5-dO4kY","2022-06-07",383893
"Plot Holes in Reality","https://www.youtube.com/watch?v=IqaWd1tRXxE","2022-05-24",284364
"How Do You Know This Is Real?","https://www.youtube.com/watch?v=1PZqr2YwWY8","2022-05-10",261501
"The Problem with Nice People","https://www.youtube.com/watch?v=g7RAPS8mE94","2022-04-26",2527908
"How the Way You Respond to Anxiety Changes Your Life - Søren Kierkegaard on Angst","https://www.youtube.com/watch?v=ZQkby8bl8yE","2022-04-12",1352713
"Thalassophobia - A Guided Experience","https://www.youtube.com/watch?v=NqS9CWtL6DY","2022-03-30",236226
"How to Waste Your Life & Regret Everything","https://www.youtube.com/watch?v=_-J0fjGO-FE","2022-03-16",307481
"3 Thought Experiments That No One Can Solve","https://www.youtube.com/watch?v=-J-9Ct0oFMU","2022-03-02",2055103
"How Music Changes Your Brain","https://www.youtube.com/watch?v=bWhLEntRKnY","2022-02-22",556246
"If Everyone Believes It, It's Probably Wrong - The Philosophy of Socrates (& Plato)","https://www.youtube.com/watch?v=HOjYd-Vap7w","2022-02-08",387132
"The Desire for Nothingness","https://www.youtube.com/watch?v=nLBrPED52qw","2022-01-26",443994
"How To Remain Calm(er) With People - Psychology & Stoic Philosophy","https://www.youtube.com/watch?v=ezRyHO-42AE","2022-01-20",308462
"How Other People See You","https://www.youtube.com/watch?v=JITwZWrImq4","2022-01-04",250677
"This Scientific Theory Will Change How You See the World","https://www.youtube.com/watch?v=TBxjNJ9ckMk","2021-12-14",254922
"These Simple Words Can Change How You Think About The Past - Nietzsche","https://www.youtube.com/watch?v=P6wH7bXG09k","2021-12-01",1759895
"An Unsettling Theory About Where the Aliens Are","https://www.youtube.com/watch?v=B4peKFZ188A","2021-11-23",192361
"The One Thought That Can Change How You Feel About Everything","https://www.youtube.com/watch?v=V0E1Ren9XhY","2021-11-10",388607
"Asking An AI What the Meaning of Life Is","https://www.youtube.com/watch?v=x6t2inZlaHQ","2021-10-27",203091
"The Parts of the Universe We Will Never Know About","https://www.youtube.com/watch?v=pzvdTJ-kWos","2021-10-19",367773
"Becoming Your True Self - The Psychology of Carl Jung","https://www.youtube.com/watch?v=uRDy4M5jI-g","2021-10-06",1666870
"Digital Psychosis","https://www.youtube.com/watch?v=BmOGI8QxdTk","2021-09-22",358949
"Paradoxes That No One Can Solve","https://www.youtube.com/watch?v=1AHUeXkCw3o","2021-09-08",2202167
"What to Do If You Run Out of Hope","https://www.youtube.com/watch?v=dNdxNrVtZg0","2021-08-25",294829
"A Reason to Stop Worrying What Others Think","https://www.youtube.com/watch?v=h0rUGrosDTY","2021-08-17",372848
"A Blind Person Describes What the World Looks Like","https://www.youtube.com/watch?v=6TEBHQ-qm7c","2021-08-03",3145715
"Don’t Believe in Anything - The Philosophy of Nihilism","https://www.youtube.com/watch?v=2wl0dMFX-4A","2021-07-14",535800
"Why Living Forever Would (Probably) Be Awful","https://www.youtube.com/watch?v=PKsARuqxxQk","2021-06-30",1102971
"Unsettling Theories About Potential Aliens (& Solutions to The Fermi Paradox)","https://www.youtube.com/watch?v=LkSvtN25nFU","2021-06-15",780453
"No One Chose to Exist","https://www.youtube.com/watch?v=NQfyb0aowN8","2021-06-01",1053701
"The Illusion of Freedom - Are You Really Free To Do What You Want?","https://www.youtube.com/watch?v=ANlPOFwgimc","2021-05-19",264395
"The Amara Effect - The Advantage of Disadvantages","https://www.youtube.com/watch?v=tqiL8QFy4Kw","2021-05-12",775046
"The Reality Prison - All The Things We Don’t Know","https://www.youtube.com/watch?v=CqqeSVYc6Vw","2021-04-28",570742
"The Darkest Philosopher in History - Arthur Schopenhauer","https://www.youtube.com/watch?v=MpMkXyBWpl8","2021-04-14",2823254
"The Feeling of Feeling Less","https://www.youtube.com/watch?v=62vv5crUMuE","2021-03-31",207043
"The First Contact - Alien Worlds of the Past","https://www.youtube.com/watch?v=V1FlT8zU7rI","2021-03-24",254723
"The Feeling That You're Going Crazy","https://www.youtube.com/watch?v=54iCxIfjZYY","2021-03-10",507739
"The Curse of Creativity","https://www.youtube.com/watch?v=6r-AcnkP_ug","2021-03-03",863171
"The Machine - A Thought Experiment That Changes Your Life","https://www.youtube.com/watch?v=3DhNjtLivdg","2021-02-17",1190790
"Becoming Who You Really Are - The Philosophy of Friedrich Nietzsche","https://www.youtube.com/watch?v=lUjoFzT0VNI","2021-02-03",1979162
"Eventually, Everything Will Be Destroyed","https://www.youtube.com/watch?v=bdkI8YGyEvA","2021-01-26",218506
"The Art of Letting Go - The Philosophy of the Buddha","https://www.youtube.com/watch?v=0VyyWklwpBE","2021-01-13",1104554
"Reality is Just an Illusion That We All Agree On","https://www.youtube.com/watch?v=503MHxbk97M","2021-01-05",423615
"We Are All Made By Accidents","https://www.youtube.com/watch?v=u0Gj87Qhux4","2020-12-21",276590
"The Last Thing You'll Remember","https://www.youtube.com/watch?v=fY4Ib8pU3zk","2020-12-10",515387
"Why Do We Live For No (Real) Reason? - Nihilism & The Philosophy of Emil Cioran","https://www.youtube.com/watch?v=mHK6YmSx7YQ","2020-12-01",565218
"Philosophy Created by an Artificial Intelligence","https://www.youtube.com/watch?v=vCOuKCT9oG4","2020-11-18",299832
"Are We Living in Other Dimensions Without Knowing?","https://www.youtube.com/watch?v=ZzR4eS4UXMs","2020-11-12",609943
"One Thought Can Change You Forever","https://www.youtube.com/watch?v=WagdzxAH8EQ","2020-10-28",946319
"Is Your Brain Hallucinating Reality?","https://www.youtube.com/watch?v=qy0s9Wfl4GU","2020-10-15",330659
"The Man Who Floated Away Into Space","https://www.youtube.com/watch?v=NfJJUt-7noc","2020-10-07",1210002
"The Best Life Advice You’ve Ever Heard is Probably Wrong","https://www.youtube.com/watch?v=GOd1CaAP1HU","2020-10-01",881271
"Taoism & the Art of Flow - The Philosophy of Lao Tzu","https://www.youtube.com/watch?v=RtGVnyRBVo4","2020-09-15",456899
"What Happens After Everything Ends?","https://www.youtube.com/watch?v=g1-q_apBfAA","2020-09-02",727685
"Everyone is Trapped in the Absurd - On Chaos & Compassion","https://www.youtube.com/watch?v=MrcfRuI1IWA","2020-08-25",202964
"Stoicism & the Art of Worrying Less","https://www.youtube.com/watch?v=Q6yMhZWH_x4","2020-08-10",511056
"Why We're All Anxious & Weird","https://www.youtube.com/watch?v=5dp8OHWREiA","2020-07-30",426858
"There Are So Many Simple Questions That No One Can Answer","https://www.youtube.com/watch?v=SNGQFo3ON70","2020-07-21",202425
"Who Am I? - The Mysterious Thing You Always Are","https://www.youtube.com/watch?v=dBQAo6pEweE","2020-07-15",965983
"The Perfectionist Paradox - A Miserable Amount of Good","https://www.youtube.com/watch?v=MhkWDG4Eylk","2020-06-30",325795
"What Does Nothing Feel Like?","https://www.youtube.com/watch?v=TIads5Bm_tM","2020-06-17",388397
"Birth - The Biggest Choice You Didn’t Make","https://www.youtube.com/watch?v=_J898NnK8G0","2020-06-08",344122
"Possibly The Most Dangerous Animal In The World","https://www.youtube.com/watch?v=UaZeTmFBbGc","2020-05-27",161265
"The Man Who Was Trapped Inside His Own Body - Becoming Aware While In A Coma","https://www.youtube.com/watch?v=4czqPlKfbMU","2020-05-13",415084
"The Tragedy of Being Too Early - The Timeline Effect","https://www.youtube.com/watch?v=ffWSQCjTtgk","2020-05-06",1052786
"Falling Into A Black Hole - A Guided Experience","https://www.youtube.com/watch?v=Y9PhWggKoz8","2020-04-27",386726
"Life Is Not Short; We Just Waste Most of It - The Philosophy of Seneca","https://www.youtube.com/watch?v=m5DABiixjXE","2020-04-15",1010127
"The Art of Loneliness","https://www.youtube.com/watch?v=hEUp-_LWY1o","2020-04-07",406508
"The Feeling That Life Will Never Be As Good As It Once Was","https://www.youtube.com/watch?v=mgf9ClNgvGI","2020-04-01",943526
"Is Infinity Real?","https://www.youtube.com/watch?v=tgSJGGGd4no","2020-03-18",300053
"Eventually, Everyone We Know Now Won't Be Known By Anyone","https://www.youtube.com/watch?v=YgUkHAKQD3s","2020-03-04",1102997
"The Art of Trusting One's Self - The Philosophy of Ralph Waldo Emerson","https://www.youtube.com/watch?v=b04zs6QHuWM","2020-02-26",604668
"Every Person Is One Choice Away From Everything Changing","https://www.youtube.com/watch?v=x18bXxW3yhY","2020-02-20",2468739
"The Last Uncontacted Island","https://www.youtube.com/watch?v=mGHMKC7Vx3w","2020-02-05",700862
"What Is Kafkaesque? - The 'Philosophy' of Franz Kafka","https://www.youtube.com/watch?v=LaffA9EyUgo","2020-01-28",3730116
"The Hidden Universe Inside You","https://www.youtube.com/watch?v=qfnFi8_G8FY","2020-01-15",154687
"Everything Happens For A Reason (Until It Doesn't)","https://www.youtube.com/watch?v=z1exaJRpOuw","2020-01-08",790048
"Is Anything Real?","https://www.youtube.com/watch?v=8VzDr7bgZwY","2019-12-31",1126881
"Why We Experience An Existential Crisis - The Philosophy of Jean-Paul Sartre","https://www.youtube.com/watch?v=qWHz39MVvxs","2019-12-18",349454
"What If You Lived For 1,000 Years?","https://www.youtube.com/watch?v=ladPHD5p0_8","2019-12-11",387339
"Don't Try - The Philosophy of Charles Bukowski","https://www.youtube.com/watch?v=eMTDAHK-tkE","2019-12-03",4471307
"The Hidden Story Of Every Person","https://www.youtube.com/watch?v=_b5Xhgnd4lk","2019-11-25",1191252
"The False Memory Effect - How Fake Memories Change Us","https://www.youtube.com/watch?v=mOpMhYGPajU","2019-11-20",777880
"The Lie That Every Story Has In Common - Kurt Vonnegut On The Shapes of Stories","https://www.youtube.com/watch?v=x3EVh2jhyLM","2019-11-06",839905
"Getting Stuck In Déjà Vu","https://www.youtube.com/watch?v=xPkfKIV1zj8","2019-10-29",1130489
"Meaning & Nothingness - Finding Motivation In The Void","https://www.youtube.com/watch?v=wsGg1zOqrCY","2019-10-22",415886
"The Last Thought You'll Ever Have","https://www.youtube.com/watch?v=CEpFVz5vVVM","2019-10-09",2152396
"3 Important Questions No One Knows The Answers To (Universe Edition)","https://www.youtube.com/watch?v=GUmi_fPRtYQ","2019-09-30",2017926
"The Backwards Law - Why Happiness Is Ruining Your Life","https://www.youtube.com/watch?v=hPhc9FU7ycI","2019-09-17",963780
"The Game You Can't Win","https://www.youtube.com/watch?v=-jiDR10PPjU","2019-09-10",705255
"The Man Who Can't Feel Pain Or Pleasure","https://www.youtube.com/watch?v=fjliQksDbFw","2019-08-28",2529047
"Is Your Blue Different Than Everybody Else's? - A Thought Experiment by Ludwig Wittgenstein","https://www.youtube.com/watch?v=aDPG9E_NZxs","2019-08-20",685635
"Why Are Things Funny? - Absurdism & Humor","https://www.youtube.com/watch?v=nUUDRUR0Dic","2019-08-13",156524
"Dying - A Guided Experience","https://www.youtube.com/watch?v=QAnNJ4syPek","2019-07-31",1420763
"The Nova Effect - The Tragedy of Good Luck","https://www.youtube.com/watch?v=oGVhOWqsBWM","2019-07-23",8268044
"The Madness of Creativity - Charlie Kaufman On Facing Your True Self","https://www.youtube.com/watch?v=V2BrmsAYpI0","2019-07-16",575529
"The Zen Riddle No One Can Solve","https://www.youtube.com/watch?v=Pd-4dKaK_04","2019-07-09",408142
"VR - Humanity's Next Addiction","https://www.youtube.com/watch?v=EM5huU8pWYU","2019-07-01",461399
"Selling & Being Sold - Consumerism & The Internet","https://www.youtube.com/watch?v=ZqfVVq-J-es","2019-06-19",141973
"The Unknown of Everything","https://www.youtube.com/watch?v=loBqzP3Yaj0","2019-06-11",515901
"Are Intelligent People More Pessimistic?","https://www.youtube.com/watch?v=4OhwxgR3g5g","2019-06-04",594150
"The Beginning & End of Humanity","https://www.youtube.com/watch?v=uHu8fEIViA8","2019-05-28",1683883
"Why We're Fated To Feel Lost  - The Philosophy Of Albert Camus","https://www.youtube.com/watch?v=iTW3a37ap2o","2019-05-20",781303
"Memes: Art of The Internet Age","https://www.youtube.com/watch?v=vWaId-BvIrA","2019-05-13",90776
"Stoicism & The Art of Not Caring","https://www.youtube.com/watch?v=uLOB6hj3M_Q","2019-05-06",6275928
"Existentialism & The Internet  - Why We’re Getting More Anxious","https://www.youtube.com/watch?v=sLLQVB7Z0Uc","2019-04-30",562260
"Who Is The Doomer? - Dealing With An Age Of Hopelessness","https://www.youtube.com/watch?v=Aaz4jdlqhSk","2019-04-24",5254605
"Why We Feel Lonely & Alienated - Charles Bukowski's The Crunch","https://www.youtube.com/watch?v=n2yjpne-uzE","2019-04-18",284212
"Feeling Like You're Never Enough","https://www.youtube.com/watch?v=sFxl3x6U-Vc","2019-04-16",186242
"Quotes About Life From History's Greatest Thinkers","https://www.youtube.com/watch?v=OllCa3lJUPQ","2019-04-11",62763
"The Woman Who Tried To Play God - Genetic Engineering & The Nature Of Everything","https://www.youtube.com/watch?v=rf4iNJ-0vsw","2019-04-08",533742
"The Philosophy Of Alan Watts - Making Sense Of Senselessness","https://www.youtube.com/watch?v=GTSXBkHlUJE","2019-04-01",1064349
"Weird Things People Do (That Shouldn't Be Weird)","https://www.youtube.com/watch?v=GrwsdBLalRw","2019-03-26",55583
"The Most Impressive Thing Anyone Has Ever Done","https://www.youtube.com/watch?v=J6j0bKF8A48","2019-03-21",31442
"The Why At The End Of Everything - Richard Feynman","https://www.youtube.com/watch?v=Tn6fE8PvVCE","2019-03-19",36584
"Why You Didn't Choose If You Clicked On This Video Or Not  - The Illusion Of Freewill","https://www.youtube.com/watch?v=2PW2eMboreI","2019-03-14",795129
"Simple, Little Things That Make Life Better","https://www.youtube.com/watch?v=qM2ZXh9QB7Q","2019-03-12",36385
"Why You Should NOT Fear Death","https://www.youtube.com/watch?v=jnmjvBf3kCQ","2019-03-07",2273504
