"Title","video_url","Published_date","Views"
"How to Lead with Purpose | Full Speech","https://www.youtube.com/watch?v=0HOagqnERlA","2023-06-02",18151
"Finding the Time for Others","https://www.youtube.com/watch?v=r5ic86icd3c","2023-06-01",16563
"Impacting Lives with a Cup of Coffee","https://www.youtube.com/watch?v=w00vsX_TZBQ","2023-05-31",5584
"Rewarding Kindness with Jimmy Darts | A Bit of Optimism","https://www.youtube.com/watch?v=Iz0bTFEj6JQ","2023-05-30",8600
"Patriotism vs. Nationalism","https://www.youtube.com/watch?v=yUXn0f2QgCs","2023-05-29",11789
"How the Pandemic Changed Leadership | Full Interview","https://www.youtube.com/watch?v=tKw5p1J29m8","2023-05-26",23905
"Discover Your Mojo","https://www.youtube.com/watch?v=YRtkJT3_Zko","2023-05-25",17175
"Simon Sinek on Identity","https://www.youtube.com/watch?v=5ml-brVZi10","2023-05-24",19543
"Love Without Judgment","https://www.youtube.com/watch?v=-nJHLDU_CJs","2023-05-23",4710
"Stick to the Process","https://www.youtube.com/watch?v=jExOFXtnOnA","2023-05-22",23792
"Unlock the Future of Work: Insights for Employers and Employees | Full Interview","https://www.youtube.com/watch?v=tDByFJPed14","2023-05-19",13269
"Is the Cost Worth It?","https://www.youtube.com/watch?v=LELeFrjRKEM","2023-05-18",24172
"The Problem with Avoiding Confrontation","https://www.youtube.com/watch?v=WL2ad4pG1XI","2023-05-17",21789
"The Problem with Avoiding Confrontation","https://www.youtube.com/watch?v=WL2ad4pG1XI","2023-05-17",11933
"Finding the Soul of an Idea","https://www.youtube.com/watch?v=DJ94KsOjZ0g","2023-05-16",8147
"Finding the Soul of an Idea","https://www.youtube.com/watch?v=DJ94KsOjZ0g","2023-05-16",5990
"Reimagining the Workday","https://www.youtube.com/watch?v=7h_5cY0aR9I","2023-05-15",12323
"Reimagining the Workday","https://www.youtube.com/watch?v=7h_5cY0aR9I","2023-05-15",14917
"Q & A with Simon Sinek","https://www.youtube.com/watch?v=AYca2WgAqOg","2023-05-12",9138
"Mental Fitness","https://www.youtube.com/watch?v=zqINYK1tlcI","2023-05-11",10903
"We Need to Talk about Vulnerability","https://www.youtube.com/watch?v=PhEPSuibmWY","2023-05-10",9358
"Molly's Game","https://www.youtube.com/watch?v=ZeKFN8b7iAs","2023-05-09",7028
"Trust and Communication in Today's Workplace","https://www.youtube.com/watch?v=SMCsf3-t1Kk","2023-05-08",13794
"An Optimist's Approach to Work and Life | Full Interview","https://www.youtube.com/watch?v=2EozvU8AVuM","2023-05-05",88772
"I Wouldn't Have Had a Career in the '80s and '90s","https://www.youtube.com/watch?v=AqLArfMXumc","2023-05-04",18150
"3 Infinite-Minded Practices You Can Start TODAY","https://www.youtube.com/watch?v=X_a5HT0Mp5I","2023-05-03",23034
"The Importance of Human Interaction in an Age of Technology","https://www.youtube.com/watch?v=gparyr_GAv8","2023-05-02",36772
"Be the LAST to Speak","https://www.youtube.com/watch?v=Vzq7aRqfJmI","2023-05-01",25631
"Asking WHY is more important than EVER before","https://www.youtube.com/watch?v=RPcz7eujASY","2023-04-28",17474
"One Lesson I Learned through the Pandemic","https://www.youtube.com/watch?v=q6dC1xe93TQ","2023-04-27",19550
"Let's Talk About My Biggest Rival","https://www.youtube.com/watch?v=wlwVLOKsEVg","2023-04-26",15196
"The Damaging Impact of Mass Layoffs","https://www.youtube.com/watch?v=QqbvNrrQ6ho","2023-04-25",38054
"How to Lead with Empathy","https://www.youtube.com/watch?v=tdnJCwxpBuA","2023-04-24",28397
"Reacting to my MOST CONTROVERSIAL Video","https://www.youtube.com/watch?v=KSd0WmPGQxU","2023-04-21",24568
"I Still Start with WHY | Simon Sinek","https://www.youtube.com/watch?v=YboSh6-jTOw","2023-04-20",22058
"The Simple Way to Find STRENGTH in Your WEAKNESS","https://www.youtube.com/watch?v=FTPmW1vP3JE","2023-04-19",40013
"The Real Job of a Leader","https://www.youtube.com/watch?v=4I7HqoUKBHQ","2023-04-18",83499
"Simon Sinek on the Future of Work","https://www.youtube.com/watch?v=G1s9aWNX3_I","2023-04-17",30927
"Why Trust is Key to High-Performing Teams","https://www.youtube.com/watch?v=P8ojeO9za84","2023-04-14",60152
"Don't show up to GET. Show up to GIVE.","https://www.youtube.com/watch?v=kfxApZkUteA","2023-04-12",35800
"Why I Wanted to Publish This Book","https://www.youtube.com/watch?v=-yb4WdS5Apo","2023-04-11",11875
"The Effects of the Great Resignation Today","https://www.youtube.com/watch?v=Gs02bfdm2iY","2023-04-10",84419
"What is the Law of Diffusion?","https://www.youtube.com/watch?v=-g_FK1qEIZQ","2023-04-07",22581
"Talking About a Toxic Workplace","https://www.youtube.com/watch?v=O-fSTmgSWpE","2023-04-06",37011
"Authenticity and Purpose","https://www.youtube.com/watch?v=eLQ1OXK1V3w","2023-04-05",26623
"The Courage of Compassion","https://www.youtube.com/watch?v=zLWzbIAWBZo","2023-04-04",12610
"Applying the Infinite Mindset | Full Speech","https://www.youtube.com/watch?v=smkP6SAyauM","2023-04-03",49043
"How Do We Build Trust in the Digital Age?","https://www.youtube.com/watch?v=cErwmMFHncM","2023-03-29",26996
"A Goofy Bit of Optimism","https://www.youtube.com/watch?v=P-7R0-S7yiY","2023-03-28",11291
"Overcome the Fear of Change","https://www.youtube.com/watch?v=UCJOM8WBe5c","2023-03-27",33303
"Infinite Game Live Q&A Replay | Simon Sinek","https://www.youtube.com/watch?v=J1kOCBr5m3c","2023-03-24",14672
"From FAILing to FALLing","https://www.youtube.com/watch?v=bDUesqttNkk","2023-03-22",22165
"2 Bad Weeks in 35 Years","https://www.youtube.com/watch?v=9aRfsNe2TCo","2023-03-21",18746
"Selling with Empathy","https://www.youtube.com/watch?v=s5ubzkmcUwM","2023-03-20",23300
"The Evolution of Leadership and Purpose | Full Speech","https://www.youtube.com/watch?v=3F-p9e_UQjM","2023-03-17",164799
"Do Sensitive People Make Good Leaders?","https://www.youtube.com/watch?v=d7JypEOFo_s","2023-03-15",33969
"The Paradox of Advertising","https://www.youtube.com/watch?v=-V5UYFUYZuU","2023-03-14",34040
"Building Resilience in Uncertain Times","https://www.youtube.com/watch?v=xO4_VCurHkY","2023-03-13",28328
"How can I find my WHY? | Simon Sinek","https://www.youtube.com/watch?v=kq1XFObMH6A","2023-03-10",36648
"Simon on TOXIC POSITIVITY","https://www.youtube.com/watch?v=6Q9Tar7wR5s","2023-03-08",40714
"The Beauty of Entrepreneurship","https://www.youtube.com/watch?v=fK6bBPNjIT0","2023-03-07",17983
"Which Would Win? 🦝 vs. 🦫","https://www.youtube.com/watch?v=Xa4BJINkst4","2023-03-06",10040
"Fake it till you make it?","https://www.youtube.com/watch?v=unrXD0SkTL8","2023-03-03",28680
"How much coffee is TOO MUCH coffee?","https://www.youtube.com/watch?v=qz1KAV0qHek","2023-03-01",18852
"The Wisdom of Anxiety","https://www.youtube.com/watch?v=VMQ5U7BdYYg","2023-02-28",25109
"Will ChatGPT Replace Jobs? | Simon Sinek","https://www.youtube.com/watch?v=hWorLxuPJeQ","2023-02-27",24526
"Overcoming being CHEATED | Simon Sinek","https://www.youtube.com/watch?v=w_NkaLW6sY0","2023-02-27",31771
"Mass Layoffs = Trust Crisis!","https://www.youtube.com/watch?v=uoBDerAykTA","2023-02-24",29039
"Richard Curtis on Online Dating","https://www.youtube.com/watch?v=IY_VUVg2tsw","2023-02-22",18546
"Business is an INFINITE GAME | Full Speech","https://www.youtube.com/watch?v=cdT_jEX-mEY","2023-02-17",111800
"Being in SPACE | Simon Sinek","https://www.youtube.com/watch?v=uiEKp9AfVX4","2023-02-16",17077
"ADHD Resources","https://www.youtube.com/watch?v=HczJMHXUjuk","2023-02-15",22118
"About New Hires...","https://www.youtube.com/watch?v=21923grFd_A","2023-02-13",25105
"Improve your life","https://www.youtube.com/watch?v=pUWfWx7LXIw","2023-02-10",33930
"What do you disagree with?","https://www.youtube.com/watch?v=eyozo7ur358","2023-02-08",12675
"Scott Galloway | A Bit of Optimism","https://www.youtube.com/watch?v=kn5rGmohYsE","2023-02-07",11808
"Leaders Beyond Redemption","https://www.youtube.com/watch?v=JA6XCAX8HbQ","2023-02-06",23313
"Millenial-led Cultural Shifts?","https://www.youtube.com/watch?v=dumi5otC2Rw","2023-02-03",30250
"What FAILURE set you up for SUCCESS?","https://www.youtube.com/watch?v=SI5VX7Z1G00","2023-02-01",14948
"Keeping an Infinite Mindset","https://www.youtube.com/watch?v=Jp42e6A1EAg","2023-01-30",14727
"What do you do when you feel overwhelmed?","https://www.youtube.com/watch?v=35k_Nd2h28U","2023-01-27",23997
"What is the role of Creative Thinking in organizations?","https://www.youtube.com/watch?v=hdp2rc4hod0","2023-01-25",13462
"How do you deal with Pessimism?","https://www.youtube.com/watch?v=fuWXQrTgsFM","2023-01-23",20427
"How Can We Influence Senior Leadership?","https://www.youtube.com/watch?v=13mOwHkqsRw","2023-01-19",36573
"What Surprises You?","https://www.youtube.com/watch?v=xG7UYXjzskY","2023-01-18",15997
"Any Book Suggestions?","https://www.youtube.com/watch?v=3ZmUBMtjujU","2023-01-17",15534
"Small Change ➡️  Big Improvements","https://www.youtube.com/watch?v=STdtfAtMDCY","2023-01-13",23985
"Do you get Depressed?","https://www.youtube.com/watch?v=wkGYUyQHPaI","2023-01-11",21711
"Your Natural Best","https://www.youtube.com/watch?v=OQRu3Nx0Er0","2023-01-06",34750
"How to overcome imposter syndrome","https://www.youtube.com/watch?v=L7SNmceYsbM","2023-01-04",55919
"What Will Be 2023's workplace Trends?","https://www.youtube.com/watch?v=JPIa7htq_Fc","2022-12-30",39810
"Soft Skills? No, Human Skills!","https://www.youtube.com/watch?v=itj4a7Lp9Yw","2022-12-26",22523
"What Makes a Team Great?","https://www.youtube.com/watch?v=uNQkD-Pt0OE","2022-12-23",107478
