"Title","video_url","Published_date","Views"
"Songs that make you feel like a WARRIOR 💥⚔️","https://www.youtube.com/watch?v=u0JS26tiRCA","2023-05-29",9958
"The Ultimate Gym Pump Up Song! 💪🏽🔥 I AM A MACHINE by Fearless Motivation","https://www.youtube.com/watch?v=csCWqh9it4A","2023-05-22",10696
"This will leave you SPEECHLESS! My dreams are NOT FOR SALE","https://www.youtube.com/watch?v=QliDtAhIOk0","2023-05-01",18690
"The Story of 2 Wolves - Which One Will You Feed?","https://www.youtube.com/watch?v=fKMb2nD2Ncw","2023-04-30",12068
"I would rather be a LONELY LION than a popular SHEEP","https://www.youtube.com/watch?v=imIC4YyIgOM","2023-04-28",7904
"You Have To Learn To Bounce Back Up When You Fail","https://www.youtube.com/watch?v=oyVANpRtqQw","2023-04-27",17617
"This Song Will Give You Goosebumps! 🔥 🦁 (LONELY LION Official Lyric Video)","https://www.youtube.com/watch?v=GdWQFVM_H2E","2023-04-26",25069
"Better to spend ONE DAY as a LION than 1000 as a SHEEP!","https://www.youtube.com/watch?v=bEkG7OxUJcY","2023-04-25",7663
"I'd rather be a LONELY LION than a POPULAR SHEEP! (Official Music Video) Fearless Motivation","https://www.youtube.com/watch?v=l7Oc_8VPnKc","2023-04-24",25383
"The Motivational Story of Frogs and Boiling Water - A Powerful Life Lesson","https://www.youtube.com/watch?v=4HMsk_0AG8w","2023-04-18",21841
"DON’T LET YOUR DREAMS DIE! - Best Motivational Speeches Compilation 2023","https://www.youtube.com/watch?v=mgCq-rf89vo","2023-04-17",19804
"There is NO GREATER PAIN than REGRET","https://www.youtube.com/watch?v=EBvLRWeD8ZQ","2023-04-15",15614
"PROGRESS requires DISCOMFORT!","https://www.youtube.com/watch?v=pMKZzIKkSq4","2023-04-14",10531
"You've only got ONE SHOT at this life! MAKE THE MOST OF IT","https://www.youtube.com/watch?v=Ig6OZ4tydrU","2023-04-13",8635
"MOST PEOPLE let their dreams DIE","https://www.youtube.com/watch?v=OiSCITfeH7Y","2023-04-12",9743
"REST IN PEACE all the opportunities MISSED because you lacked COMMITMENT","https://www.youtube.com/watch?v=GinZUaFV2wU","2023-04-11",7285
"R.I.P. to all the DREAMS that DIED for LACK of DEDICATION! (Motivational Speech)","https://www.youtube.com/watch?v=y9aWMRpSALQ","2023-04-10",28943
