"Title","video_url","Published_date","Views"
"How to Break Your Phone Addiction","https://www.youtube.com/watch?v=j3Thqrcw_Ag","2022-03-01",511486
"The 10 Best Windows Productivity Apps in 2022","https://www.youtube.com/watch?v=BQKfAxFgi-E","2022-02-26",570039
"Watch this if you’re having an “off day”","https://www.youtube.com/watch?v=I6XFCl2lHbg","2022-02-01",173242
"Why it's so hard to stick to your workout routine","https://www.youtube.com/watch?v=cNUPmmc5b3c","2022-01-31",128870
"The Easiest Way to Double Your Productivity","https://www.youtube.com/watch?v=c92hhEFCcGw","2022-01-27",212795
"3 Easy Money Habits I Swear By","https://www.youtube.com/watch?v=7EoBX13g0aw","2022-01-17",121517
"Paper Books, Kindle, or Audiobooks: What’s the Best Way to Read?","https://www.youtube.com/watch?v=7IczC2_u99A","2021-12-23",249810
"How I Automate My Finances","https://www.youtube.com/watch?v=XImly72tLw0","2021-11-27",238379
"A video for anyone feeling behind in life","https://www.youtube.com/watch?v=TMQZ921XvLg","2021-11-20",678620
"7 Books EVERYONE in Their 20's Should Read","https://www.youtube.com/watch?v=VXkJnuu2iYE","2021-11-17",293017
"4 Ways Your Workspace is Destroying Your Productivity","https://www.youtube.com/watch?v=21H5xZJYRfA","2021-10-29",138052
"How to Work with INTENSE Focus - 3 Steps Most People Skip","https://www.youtube.com/watch?v=lwX8d5ebnmc","2021-10-26",198629
"How to Stop Overthinking Everything","https://www.youtube.com/watch?v=bUbrVeZm2jo","2021-10-03",166768
"How to Organize Your Calendar - The Ultimate Guide","https://www.youtube.com/watch?v=ODXV-fb_c-I","2021-09-29",703437
"This Is Why You're Lonely (and How to Fix It)","https://www.youtube.com/watch?v=vI3hO3HiqBw","2021-08-31",243790
"How to Double Your Learning Speed – The LPC Method","https://www.youtube.com/watch?v=B8V5EfJLX9U","2021-08-30",250414
"The Absolute BEST Noise-Cancelling Headphones in 2021","https://www.youtube.com/watch?v=KNe35B_ny24","2021-08-01",378369
"The 3 Types of Progress","https://www.youtube.com/watch?v=ImGfWyjK3no","2021-07-21",121861
"One simple tip to learn ANY skill faster","https://www.youtube.com/watch?v=e1fJwXmz1rg","2021-07-16",230312
"If you're procrastinating right now, do this ⏱","https://www.youtube.com/watch?v=7Co-TmrLiYk","2021-07-14",745779
"What's in My Bag - My Work Gear & Every Day Carry (2021)","https://www.youtube.com/watch?v=9a8m9XTR4qc","2021-07-10",171363
"The 5 Levels of Self-Discipline","https://www.youtube.com/watch?v=tHilfRBl408","2021-07-02",522635
"The 10 Best iPhone Productivity Apps in 2021","https://www.youtube.com/watch?v=yrPPf3Rl5KU","2021-06-30",595787
"4 Mistakes I Made in My 20s","https://www.youtube.com/watch?v=uG0Kiy78dnc","2021-06-28",157989
"How to Wake Up Early Without Feeling Tired","https://www.youtube.com/watch?v=hY2oCdsIqXc","2021-06-01",737847
"5 Ways to Improve Your Writing","https://www.youtube.com/watch?v=1sxHoiW3jqo","2021-04-30",419884
"5 Ways People Manipulate You (And How to Resist Them)","https://www.youtube.com/watch?v=e8tyOzkJsMw","2021-04-20",117951
"The best way to tame your overwhelming to-do list","https://www.youtube.com/watch?v=zfnvbw4s9CA","2021-04-04",173021
"The 10 Best Chrome Extensions for Productivity","https://www.youtube.com/watch?v=UqQA3veAako","2021-03-25",353407
"My iPad Setup is a Productivity Game-Changer","https://www.youtube.com/watch?v=Xi6MLjPc-hw","2021-01-29",542526
"This is why you don’t feel inspired.","https://www.youtube.com/watch?v=kAWe4Qq-Rp0","2021-01-23",241198
"Perfectionism is destroying your productivity.","https://www.youtube.com/watch?v=rGNa1nl3X4U","2021-01-03",356767
"How to Focus on Your Work - 3 Lessons from Hyperfocus","https://www.youtube.com/watch?v=0ZfLwXF22l4","2020-12-27",347922
"What Does It Mean to Be Rich?","https://www.youtube.com/watch?v=elRKPXea5o0","2020-12-19",80106
"How to Learn Any Skill Twice as Fast","https://www.youtube.com/watch?v=FbD8n4J_MuM","2020-12-07",204263
"6 Productivity Apps You (Probably) Haven't Heard Of - with Ali Abdaal","https://www.youtube.com/watch?v=tvP3q56R08g","2020-11-29",202992
"I made a 9001 IQ Among Us tracker tool in Notion...","https://www.youtube.com/watch?v=iNnWtEYN4iw","2020-10-30",109334
"How to figure out what to do with your life","https://www.youtube.com/watch?v=jVA-tr_euKU","2020-10-23",698309
"Atomic Habits: 4 Rules for Sticking to Any Habit","https://www.youtube.com/watch?v=G_WDLZ8pYrQ","2020-10-06",462909
"The iPhone's Most Powerful New Productivity Feature","https://www.youtube.com/watch?v=Oe6OfnNuxOw","2020-10-01",330681
