"Title","video_url","Published_date","Views"
"The #1 AGENDA of The CIA & The Recruitment Process Behind It | Andrew Bustamante","https://www.youtube.com/watch?v=8zzXPZACUcI","2023-06-03",11089
"THE BIG RESET: Use AI To Build Wealth & GET AHEAD Of 99% Of People | Peter Diamandis & Salim Ismail","https://www.youtube.com/watch?v=zm0QVutAkYg","2023-06-01",187449
"WATCH OUT! The Food Industry's LIES and HOW they are Slowly POISONING US... | Calley Means","https://www.youtube.com/watch?v=sTS2fd3kE9I","2023-05-30",60396
"GET 1% BETTER EVERYDAY: The Science Of BREAKING Bad Habits & Building GOOD ONES | Tony Robbins","https://www.youtube.com/watch?v=vDLGgt4B50I","2023-05-27",85392
"Why Diet WON’T Increase Your Lifespan! (LONGEVITY MYTHS) | Peter Attia","https://www.youtube.com/watch?v=orJa62raA4w","2023-05-25",123732
"The WORST Intermittent Fasting Mistakes That Lead To WEIGHT GAIN | Dr. Mindy Pelz","https://www.youtube.com/watch?v=yOA90aWZlkk","2023-05-23",30792
"CIA Spy On World War 3's Timeline & How It Might Happen | Andrew Bustamante","https://www.youtube.com/watch?v=pK2QtCEpjY8","2023-05-20",63225
"Scientist with NEW Data on fat, weight loss and long﻿﻿evity | Dr. William Li","https://www.youtube.com/watch?v=pmWmGVFGrN0","2023-05-18",31485
"POPULATION COLLAPSE: How Modern Life Is Making Men & Women INFERTILE | Shanna Swan","https://www.youtube.com/watch?v=C9aqGqjC1kE","2023-05-16",65499
"POPULATION COLLAPSE: How Modern Life Is Making Men & Women INFERTILE | Shanna Swan","https://www.youtube.com/watch?v=C9aqGqjC1kE","2023-05-16",46064
"5 Lessons For The 21st Century: How To SURVIVE & THRIVE In The New World | Yuval Noah Harari","https://www.youtube.com/watch?v=gpxKBvq4OiA","2023-05-13",27896
"MALE INEQUALITY: Why modern men are on the decline | Richard Reeves","https://www.youtube.com/watch?v=_2ZK9Y7QSmU","2023-05-11",18825
"DESTROYING SOCIETY: Why Woke Culture Has Gone TOO FAR... | Konstantin Kisin","https://www.youtube.com/watch?v=eXEnSX_aRRE","2023-05-09",112843
"Alzheimer's Disease: The EARLY WARNING SIGNS & How To Reverse It | Richard Johnson & Dale Bredesen","https://www.youtube.com/watch?v=Zn4MWA1BESY","2023-05-04",34708
"This New Treatment Might SAVE YOUR LIFE If You STRUGGLE With Anxiety & Depression| Dr. Dan Engle","https://www.youtube.com/watch?v=kXRCwRjV9o0","2023-05-02",31134
"More Plates More Dates on TRT, How to Burn Fat, Build Muscle & MAXIMIZE Your Energy","https://www.youtube.com/watch?v=7MzRwisf3ps","2023-04-29",115643
"WEIGHT LOSS MYTHS: Everything You Have Been Told About Diet & Exercise is WRONG! | Dr. Tim Spector","https://www.youtube.com/watch?v=Ok0XUnbphcc","2023-04-27",61100
"CIA Spy on Mind Games, World War 3, China, Russia and the New World Super Power | Andrew Bustamante","https://www.youtube.com/watch?v=14eG8uoQ6cQ","2023-04-25",1021171
"Why Reality, Space & Time Is An ILLUSION! - Evidence We're Living In A SIMULATION | Donald Hoffman","https://www.youtube.com/watch?v=l1BULYFf8qo","2023-04-22",359467
"DIET MASTERCLASS: What To Eat, When To Eat & How To Eat For LONGEVITY | Sal DeStefano","https://www.youtube.com/watch?v=LYf5zPzIqwQ","2023-04-20",64173
"US Banking Crisis: The TRUTH Behind The Disaster & How It Will GET WORSE... | Robert Breedlove","https://www.youtube.com/watch?v=oVpXaD16tVQ","2023-04-18",500307
"ECONOMIC CRISIS: Ray Dalio's Warning For The Banking Collapse, US Dollar & Upcoming Recession","https://www.youtube.com/watch?v=lPYmD7CyHlY","2023-04-15",2687185
"MEGATHREAT: The Dangers Of AI Are WEIRDER Than You Think! | Yoshua Bengio","https://www.youtube.com/watch?v=HGY1vf5H1z4","2023-04-13",87184
"THE SUCCESS TRAP: Everything You Know About Fulfillment & Happiness IS WRONG! | Matthew McConaughey","https://www.youtube.com/watch?v=ItQ-lsSMQgQ","2023-04-11",173181
"AGING IS A SCIENCE: What To Eat & When To Eat To SLOW THE AGING Process | Matt Kaeberlein","https://www.youtube.com/watch?v=27KjD2jbxj4","2023-04-06",63107
"Use The Subtle Art Of NOT GIVING A F*CK To Get Ahead of 99% Of People | Mark Manson","https://www.youtube.com/watch?v=H2YT4wYiyUw","2023-04-04",277062
"Manage Your Money & Achieve FINANCIAL FREEDOM | Wallstreet Trapper","https://www.youtube.com/watch?v=NxtUBGtLq3k","2023-03-30",67579
"From BROKE Selling Flowers To $150 MILLION Net Worth | Matt Higgins","https://www.youtube.com/watch?v=U9XOi8clxIk","2023-03-28",86863
"The BEST EVENING ROUTINE! If You're ALWAYS tired - It All Begins here! | Tom Bilyeu","https://www.youtube.com/watch?v=W4CAVj6IWlA","2023-03-25",89727
"CONTROL And LEVERAGE Dopamine To Never Lack MOTIVATION Again! | Andrew Huberman","https://www.youtube.com/watch?v=ZrkxvEJhxwQ","2023-03-23",178558
"AI REVOLUTION: The #1 MEGATHREAT to Our Economy & How To PREPARE NOW | Raoul Pal","https://www.youtube.com/watch?v=S0DHI0DGOIw","2023-03-21",821133
"Why Waking Up At 3:30 am Everyday Will CHANGE YOUR LIFE (Try This For 7 Days!) | Tom Bilyeu","https://www.youtube.com/watch?v=9RXdAdjy0_o","2023-03-18",450319
"Chat GPT, The FUTURE Of AI And Is It The End Of Human Civilization? | Tom Bilyeu","https://www.youtube.com/watch?v=F2LeyULGF2Q","2023-03-15",65125
"The BIGGEST LIES You've Been Told About Diet & Nutrition That Are Killing You! | Dr. Chris Palmer","https://www.youtube.com/watch?v=yP0DzV_Fx4E","2023-03-14",160163
"Silicon Valley Bank MELTDOWN Explained | How to PREPARE for the RECESSION | Jaspreet Singh","https://www.youtube.com/watch?v=dVO-7rchstw","2023-03-11",1270901
"The INSANE DIET & NUTRITION Guide To Ending Inflammation & REVERSE AGING | Dr. Steven Gundry","https://www.youtube.com/watch?v=H6aKwKfEk8k","2023-03-09",842776
"How To Achieve Your Most AMBITIOUS Goals and BREAK THE ADDICTION To Negative Thoughts! | Lewis Howes","https://www.youtube.com/watch?v=aea1Bun0kew","2023-03-07",83070
"Why Mouthwash is ACTUALLY bad for you 🤢","https://www.youtube.com/watch?v=cjXYIbpr68o","2023-03-07",21435
"This habit is KILLING your sleep😴","https://www.youtube.com/watch?v=DhdXJgj3aks","2023-03-06",17647
