"Title","video_url","Published_date","Views"
"12 Signs of Physical Attraction","https://www.youtube.com/watch?v=WJYZTYVnF-8","2023-06-03",7111
"11 Mindless Habits That Give You Anxiety","https://www.youtube.com/watch?v=CkI_6ss3Z8U","2023-05-31",4563
"10 Psychological Things That Attract Women","https://www.youtube.com/watch?v=SEd34Iep0W4","2023-05-27",11119
"12 Tactics to Put a Narcissist in Their Place","https://www.youtube.com/watch?v=eOuz02KAN2k","2023-05-24",7200
"9 Reasons Why It’s Better to Be Single","https://www.youtube.com/watch?v=mPW-2zieXY4","2023-05-20",10697
"How to Never Be Broke Again in Your Life!","https://www.youtube.com/watch?v=GRhJ-jleBTI","2023-05-17",6741
"How to Never Be Broke Again in Your Life!","https://www.youtube.com/watch?v=GRhJ-jleBTI","2023-05-17",3545
"12 Things Someone Says If They’re Into You","https://www.youtube.com/watch?v=suiHKreUrrQ","2023-05-13",6697
"12 Subtle Signs of an Immature Woman","https://www.youtube.com/watch?v=OYrGXnrkC8E","2023-05-10",10624
"How to Stop Scrolling Forever on Your Phone","https://www.youtube.com/watch?v=tbbUzDsH5pI","2023-05-06",9625
"10 Skills That Make a DANGEROUS Man","https://www.youtube.com/watch?v=P99DksGhU10","2023-05-03",58884
"If A Woman Has These 12 Qualities, Never Let Her Go","https://www.youtube.com/watch?v=QEpjP56_Wmw","2023-04-29",8907
"11 Early Signs a Relationship Won’t Last","https://www.youtube.com/watch?v=30m-CZdvQpo","2023-04-26",11122
"10 Simple Ways to Naturally Boost Testosterone","https://www.youtube.com/watch?v=CnalMxOgsKY","2023-04-22",54468
"Letting Someone Go | Lao Tzu’s Wisdom on Heartbreaks","https://www.youtube.com/watch?v=vGnb07gbtio","2023-04-19",7918
"10 Body Language Signs She’s Attracted To You","https://www.youtube.com/watch?v=abF1vuoojK8","2023-04-15",14149
"Socrates - How to Manage Your Time (Stoicism)","https://www.youtube.com/watch?v=PAscs8Tyw6M","2023-04-12",10848
"10 Principles Most People Take a Lifetime to Learn","https://www.youtube.com/watch?v=NoeHwilNK8A","2023-04-08",125818
"12 Things Smart People Never Do","https://www.youtube.com/watch?v=io_ecvto_z8","2023-04-05",15376
"10 Laws of Karma That Will Change Your Life","https://www.youtube.com/watch?v=nEWyP2GbORk","2023-04-01",14790
"14 Interesting Psychological Facts about Human Behavior","https://www.youtube.com/watch?v=gprew0_D3WY","2023-03-29",42865
"12 Signs You’re Manipulative Without Realizing It","https://www.youtube.com/watch?v=EUHTfZYyR2c","2023-03-25",21878
"Why Are Men With Beards More Attractive?","https://www.youtube.com/watch?v=SzsDgUtyscY","2023-03-22",9095
"10 Toxic Behaviors That Are Considered Normal","https://www.youtube.com/watch?v=ElG8fm8ZDjs","2023-03-18",10211
"12 Phrases Psychopaths Use to Control You","https://www.youtube.com/watch?v=IyjuSrd1EyQ","2023-03-15",13909
"10 Subtle Tips to Attract Your Dream Girl","https://www.youtube.com/watch?v=3wifjlrkfp0","2023-03-11",9433
"10 Signs That You Have a Pure Heart","https://www.youtube.com/watch?v=hRtKmtW6MOo","2023-03-08",55096
"12 SKILLS You Must Develop If You Want to Be RICH","https://www.youtube.com/watch?v=tVC-08oy2yc","2023-03-04",49333
"15 Signs You Have Strong Intuition","https://www.youtube.com/watch?v=RTT6DLabliQ","2023-03-02",16707
"15 Signs Someone Isn’t Meant for You","https://www.youtube.com/watch?v=kog4mp5VVIU","2023-02-25",26434
"How to Use Anger to Get Stuff Done (Animated)","https://www.youtube.com/watch?v=1x0s60_QuaU","2023-02-22",10195
"15 Major Signs Someone Is Completely Evil","https://www.youtube.com/watch?v=XAXOIXIRV_8","2023-02-15",26823
"12 Psychology Tricks to Persuade Anyone","https://www.youtube.com/watch?v=Qkj-Uu1k6NI","2023-02-11",31240
"How to Get Girls – 7 Ways to Attract Anyone","https://www.youtube.com/watch?v=xFx_4mgwe2I","2023-02-08",44191
"How to Get Rid of Stretch Marks Fast & Naturally","https://www.youtube.com/watch?v=okMSlcDo4h0","2023-02-05",11536
"18 Signs You’re an Extremely Attractive Person","https://www.youtube.com/watch?v=Hbwwbq0Bp_0","2023-02-01",369892
"How to Lucid Dream in Just 3 Minutes","https://www.youtube.com/watch?v=Nj5vwgKkhU0","2023-01-28",60608
"20 Subtle Signs of a Fake Person","https://www.youtube.com/watch?v=Enj3lN0X0HA","2023-01-25",29024
"TAOISM – The Art of Letting Go","https://www.youtube.com/watch?v=fOmbnxo3qvY","2023-01-21",32861
"15 Signs You Are NOT Ugly - Just Insecure","https://www.youtube.com/watch?v=EMq71LrvBYI","2023-01-18",22839
"15 Psychological Laws of Human Attraction","https://www.youtube.com/watch?v=QAKGeR5zUAg","2023-01-14",29240
"Do Pushups Every Day and See What Happens to Your Body","https://www.youtube.com/watch?v=TuKssnqbZ18","2023-01-12",1044154
"15 Reasons Why Highly Intelligent People Prefer to Be Alone","https://www.youtube.com/watch?v=PeOwTtF5Sd8","2023-01-07",65092
"How to Tell If a Girl Likes You Instantly","https://www.youtube.com/watch?v=saGiDsV2ols","2023-01-04",24230
"15 Signs She is Cheating on You","https://www.youtube.com/watch?v=RMy6iszgDVw","2022-12-31",43399
"How The Way You Walk Reveals Your Personality","https://www.youtube.com/watch?v=0_w5y6WmJdI","2022-12-29",26545
"12 Little Things That Make You Irresistible","https://www.youtube.com/watch?v=BNFSNvE14pM","2022-12-24",24840
"15 Traits of a True Alpha Male","https://www.youtube.com/watch?v=vHkJSdAjlKw","2022-12-21",33880
