"Title","video_url","Published_date","Views"
"Are Home Improvements a Good Investment?","https://www.youtube.com/watch?v=86TmajjhHfU","2023-05-24",72498
"Are Buy Now Pay Later Loans a Good Idea?","https://www.youtube.com/watch?v=UFJgnaASld8","2023-05-03",85132
"The Hidden Costs of Fast Fashion!","https://www.youtube.com/watch?v=qd2ansbh6Lk","2023-04-12",58967
"The Secret Tax Hiding in Plain Sight!","https://www.youtube.com/watch?v=Tg7J_hkwYc4","2023-03-22",76578
"Where Have All The Servers Gone?","https://www.youtube.com/watch?v=BB4XxL-DJRY","2023-03-01",89493
"If You Thought This Inflation Was Bad...!","https://www.youtube.com/watch?v=smfvznkNhJ8","2023-02-08",72620
"Are Stock Options Worth It?","https://www.youtube.com/watch?v=e6P6ggv_NxU","2022-12-21",83605
"How Climate Change Will Make You Poor!","https://www.youtube.com/watch?v=FGnOhrO_Ozc","2022-11-30",49543
"Unique Money Traditions from Around the World!","https://www.youtube.com/watch?v=f4Wfpo6BNc8","2022-11-09",56728
"Should You Buy the Dip?","https://www.youtube.com/watch?v=3i0xitaOOps","2022-10-19",125150
"Are Payday Loans Ever a Good Idea?","https://www.youtube.com/watch?v=lfNYafIYcKw","2022-09-28",97039
"Games That Can Teach You About Money!","https://www.youtube.com/watch?v=B-vu01ZS6pg","2022-09-07",57898
"Do You Have a Money Disorder?","https://www.youtube.com/watch?v=TYGSWpkloZk","2022-08-24",125236
"How to Build Credit from Scratch!","https://www.youtube.com/watch?v=VrOB35_7QCE","2022-08-03",56501
"How Divorce Can Affect Your Finances!","https://www.youtube.com/watch?v=y56T9ICsgoI","2022-07-13",64760
"Should You Buy Drugs Abroad? (feat. @pbsvitals )","https://www.youtube.com/watch?v=F0NQDdqlL44","2022-06-22",52665
"The Problem with Real Estate Speculation","https://www.youtube.com/watch?v=bLtV6TtZDHU","2022-06-01",107913
"Should You Consolidate Your Debt?","https://www.youtube.com/watch?v=zhViwFVl6R0","2022-05-12",70587
"Should I Use a Robo-Advisor?","https://www.youtube.com/watch?v=D6go3NOON1c","2022-04-20",83420
"How to Fund Your Business Idea!","https://www.youtube.com/watch?v=ufuSSAYXCLM","2022-03-30",86583
"Is Content Creator a Real Job?","https://www.youtube.com/watch?v=9FBfFCACWXI","2022-03-09",102069
"What the Heck Is an NFT? (And Should I Buy One?)","https://www.youtube.com/watch?v=XoSfY2aS6JI","2022-02-23",71152
"How to Avoid Hidden Fees!","https://www.youtube.com/watch?v=qNS77ruuSWg","2022-01-26",90425
"Why Are Prices Going Up?","https://www.youtube.com/watch?v=-nsGtO2c4pw","2022-01-05",198517
"Is It Evil to Be a Billionaire?","https://www.youtube.com/watch?v=1BSFyrxzZ4s","2021-11-17",108998
