"Title","video_url","Published_date","Views"
"The price of success – Patrick Bet-David","https://www.youtube.com/watch?v=pUc344gU6DQ","2020-10-02",504
"Who is more courageous? - Zen Story","https://www.youtube.com/watch?v=eTchLGM4ydo","2020-07-31",317
"Finding peace of mind - Zen Story","https://www.youtube.com/watch?v=trnVACU5KGA","2020-07-01",149
"Why and how to improve yourself right now - Jordan Peterson","https://www.youtube.com/watch?v=Erf1xLu6OyQ","2020-06-01",18952
"How to know yourself better - Jordan Peterson","https://www.youtube.com/watch?v=t1wQleJLHqE","2020-04-18",2685
"How to improve communication skills – Jordan Peterson","https://www.youtube.com/watch?v=8ZVcpSoGdd4","2020-02-03",70203
"You become who you spend time with - Gary Vee","https://www.youtube.com/watch?v=ZMdQ1g8XkQk","2019-12-22",179
"The best advice for young entrepreneurs – Gary Vee","https://www.youtube.com/watch?v=KBX81XVl8qo","2019-09-22",224
"Jordan Peterson on Marriage and Divorce","https://www.youtube.com/watch?v=vZqJC4cDfhI","2019-08-21",135058
"Facing problems and challenges of life - Jordan Peterson (motivational video)","https://www.youtube.com/watch?v=azugztirlbU","2019-07-22",3050
