"Title","video_url","Published_date","Views"
"Is ChatGPT Still Best?","https://www.youtube.com/watch?v=tQ14lVuPLgM","2023-05-11",25834
"Will ChatGPT Replace Us? Or You?","https://www.youtube.com/watch?v=2KIaYyn44oI","2023-05-10",11021
"Angular 16 is a milestone release!","https://www.youtube.com/watch?v=qalOpo6Mc-8","2023-05-04",53025
"Getting Started with SolidJS","https://www.youtube.com/watch?v=rxYQe1JLfuI","2023-03-01",23567
"It's end-to-end testing time!","https://www.youtube.com/watch?v=jl5uWkYJSCY","2023-02-22",16966
"Is SolidJS the better ReactJS?","https://www.youtube.com/watch?v=w14cgW9pVkg","2023-02-16",122614
"Why you HAVE TO KNOW These Commands to FIX your GIT Projects!","https://www.youtube.com/watch?v=HrTwNiOsNGo","2023-02-14",14521
"Get started with React.js & React Router 6+","https://www.youtube.com/watch?v=4baq00tHfmA","2023-02-09",52681
"Why React.js is taking a new direction","https://www.youtube.com/watch?v=1LkOa7Ky2ak","2023-02-02",351131
"The past, current state & future of JavaScript frameworks","https://www.youtube.com/watch?v=5EsLj3JOdE0","2023-01-31",97405
"It was about time! 🎉","https://www.youtube.com/watch?v=PjzvIESpcso","2023-01-26",33826
"Git & GitHub Crash Course 2023","https://www.youtube.com/watch?v=ulQA5tjJark","2022-12-07",39033
"Remix Crash Course 2023 (React Framework)","https://www.youtube.com/watch?v=RBYJTop1e-g","2022-11-30",36095
"Academind Pro Black Friday & New Prices","https://www.youtube.com/watch?v=dQ6ZLYm_4yk","2022-11-23",5512
"My last course for this year!","https://www.youtube.com/watch?v=XMLWyhAZx9Q","2022-11-09",17737
"Academind #shorts - Disable Visual Studio Code Parameter Hints","https://www.youtube.com/watch?v=EyX-vzhbcI4","2022-11-08",10797
"NextJS 13 & Why it's complicated","https://www.youtube.com/watch?v=qAWeMZkR_VY","2022-10-27",62793
"NextJS 13 - First Look at the /app Folder & Complete Demo","https://www.youtube.com/watch?v=bDDuLuCqHg0","2022-10-27",75086
"New Course Announcement","https://www.youtube.com/watch?v=muc_k9gVNfs","2022-10-26",15531
"React Router 6.4 - Getting Started","https://www.youtube.com/watch?v=L2kzUg6IzxM","2022-09-22",66167
"Optimizing Content Delivery with CloudFront & Using Custom Domains Route 53 | AWS in Action","https://www.youtube.com/watch?v=pc2o7pkZTQ0","2022-08-25",4021
"Triggering an AWS Lambda Function For S3 File Uploads | AWS in Action","https://www.youtube.com/watch?v=X8U-6RuZMW8","2022-08-25",18207
"Creating & Using Managed SQL Databases with RDS & EC2 | AWS in Action","https://www.youtube.com/watch?v=zFhjh0ZeRhQ","2022-08-24",4540
