"Title","video_url","Published_date","Views"
"First SONG❤️ by @ApnaCollegeOfficial  for all College student - Delta Song","https://www.youtube.com/watch?v=QYTQTlUqneY","2023-05-30",164532
"QnA session by @AmanDhattarwal  of Delta | Major Queries","https://www.youtube.com/watch?v=qSKyHl6sZ44","2023-05-25",62911
"DELTA is now going International | Good News | @ApnaCollegeOfficial","https://www.youtube.com/watch?v=MX4Ptzrbwj8","2023-05-24",61589
"Big Launch : We are bringing DELTA🔥❤️","https://www.youtube.com/watch?v=_W5PKdIIlHo","2023-05-21",282038
"We are launching DELTA - Trailer❤️ | 21st May at 8:30PM","https://www.youtube.com/watch?v=AuvFyLoY-qI","2023-05-20",129428
"How to make an Impressive LinkedIn Profile?","https://www.youtube.com/watch?v=eUGp9dmzAvU","2023-05-16",142944
"How to make an Impressive LinkedIn Profile?","https://www.youtube.com/watch?v=eUGp9dmzAvU","2023-05-16",79052
"What are HFTs?","https://www.youtube.com/watch?v=Kq_0nZaaXaA","2023-05-15",173934
"What are HFTs?","https://www.youtube.com/watch?v=Kq_0nZaaXaA","2023-05-15",81974
"Top 10 MCA Colleges in India","https://www.youtube.com/watch?v=ZZrxOvsNY2I","2023-05-13",36129
"How to become a UI UX Designer?","https://www.youtube.com/watch?v=TdDhFGQXxkY","2023-05-11",116249
"ChatGPT Tutorial - for all College students & Coders","https://www.youtube.com/watch?v=wLk2xRzhbjk","2023-05-09",213918
"How to be a Frontend Developer?","https://www.youtube.com/watch?v=cSiWWNs85_w","2023-05-06",142406
"How to be a backend Developer?","https://www.youtube.com/watch?v=iEyA1dXZs_M","2023-05-05",185760
"Tutorial Hell in Programming","https://www.youtube.com/watch?v=zVqEBM36wEY","2023-05-04",181474
"Government Internship Scheme for College Students","https://www.youtube.com/watch?v=hne5rygG_Tw","2023-05-03",152188
"All about IISc College | Indian Institute of Science - Better than IITs?","https://www.youtube.com/watch?v=AmUe-bC4Xws","2023-05-02",92456
"Skills all College Freshers should Build in 2023","https://www.youtube.com/watch?v=560nkgf-o6I","2023-04-30",314155
"3 Websites for College Students","https://www.youtube.com/watch?v=EBnYvPMSWec","2023-04-28",230496
"NSUT : My College | All about NSUT/NSIT - College Life, Placements, Hostel","https://www.youtube.com/watch?v=po0waEBuxts","2023-04-27",95996
"Online and Distance Learning Course - Big News!","https://www.youtube.com/watch?v=hiI47pVnzoQ","2023-04-26",125502
"One Tip for all College students","https://www.youtube.com/watch?v=wraZayPBiSQ","2023-04-25",330816
"5 AI tools for all Coders🙌🏻","https://www.youtube.com/watch?v=uleFe6dpUvc","2023-04-24",196147
"This was my first seminar in Punjab❤️- Thapar University","https://www.youtube.com/watch?v=au9WHHVTVxk","2023-04-23",209298
"BITS Pilani - Is it the Best Private College for Engineering? | College Review","https://www.youtube.com/watch?v=WCBV-C703YE","2023-04-21",198433
"Rust being used in Ransomware","https://www.youtube.com/watch?v=BZ28o5oXMvE","2023-04-19",267471
"IGDTUW College Review InShort","https://www.youtube.com/watch?v=K9vkWIpEFJs","2023-04-18",69981
"Should you do BCA in 2023? All about BCA","https://www.youtube.com/watch?v=bj3rCZKbLgY","2023-04-16",413841
"One Thing to Increase your Confidence","https://www.youtube.com/watch?v=42ZrKGaP3Rs","2023-04-14",159022
"How to find Internships with no skills?","https://www.youtube.com/watch?v=di3_aVJy7Kw","2023-04-11",178722
"Java or C++ or Python | Which language is best for Placements?","https://www.youtube.com/watch?v=1g3kYtJf6Tw","2023-04-10",447563
"3 Mistakes to Avoid as a Coder","https://www.youtube.com/watch?v=Y3tGRG5US98","2023-04-09",400485
"What is DevOps? DevOps Explained | Simplest Explanation in Hindi","https://www.youtube.com/watch?v=h7LDnVsNRVI","2023-04-06",166280
"Should you do Competitive Coding in 2023? for all Coders","https://www.youtube.com/watch?v=Bf933DFF_FI","2023-04-04",193659
"Intuit CTC Breakdown","https://www.youtube.com/watch?v=-rx10TffM3g","2023-04-03",148021
"How did he got Internship at Google International in First year? Alpha 1.0 student","https://www.youtube.com/watch?v=SZmHoyikiYc","2023-03-31",176150
"Big Reveal - Get Placement Ready with 4.0! |","https://www.youtube.com/watch?v=MZ7h8rcfPo8","2023-03-27",310169
"Get Placement Ready - Big Announcement for all Coders❤️","https://www.youtube.com/watch?v=NQ1wl-xTfv0","2023-03-24",331138
"Amazon CTC Breakdown","https://www.youtube.com/watch?v=LIKtrrt2xdk","2023-03-23",539560
"How to Score More in College Exams? 5 Mistakes to avoid","https://www.youtube.com/watch?v=lCTh5iCTBec","2023-03-21",174302
"How to monetize Open Source?","https://www.youtube.com/watch?v=GlP6eeS-QQQ","2023-03-20",190956
"MNIT Jaipur College Review | InShort","https://www.youtube.com/watch?v=miT4CK_5Sac","2023-03-17",198842
"IIIT Allahabad College Review | In Short","https://www.youtube.com/watch?v=CR9P6rM0H9o","2023-03-15",328262
"Shradha Didi invited at Microsoft Office | Open Source Day Seminar","https://www.youtube.com/watch?v=7X-TfHa3Q74","2023-03-13",1132385
"Discipline & Hardwork will beat anything in the world🔥","https://www.youtube.com/watch?v=hiNrsOx4UHw","2023-03-11",755810
"Are you getting bored from Coding? 5 Tips to enjoy Coding","https://www.youtube.com/watch?v=yu5IYO0fcS8","2023-03-09",298980
"Skills to build in 2023","https://www.youtube.com/watch?v=yk9keUhwSok","2023-03-06",731008
"A message for all students❤️","https://www.youtube.com/watch?v=IaSIsSgeVx4","2023-03-05",610877
"Software Engineer without BTech? | NetApp - Student Interview","https://www.youtube.com/watch?v=N_iuN37-uuQ","2023-03-04",135163
"Top 10 Exams for Engineering Colleges","https://www.youtube.com/watch?v=EEbubZiAKDk","2023-02-28",926647
"Top 5 IITs of India | Oldest IITs of India","https://www.youtube.com/watch?v=zp81aX1zSYQ","2023-02-25",251806
"IIT Kanpur College Review InShort","https://www.youtube.com/watch?v=KATM9yf8tXM","2023-02-24",320312
"How to Prepare for Placements & Internships in 4 months?","https://www.youtube.com/watch?v=doSFDItcQrk","2023-02-23",450124
"Jadavpur University College Review Inshort","https://www.youtube.com/watch?v=HfaCF7eWefw","2023-02-20",597498
"NIT Trichy College Review InShort","https://www.youtube.com/watch?v=7YRkQugpp3U","2023-02-17",206513
"How this student got Internship of 1.5Lakh/Month?","https://www.youtube.com/watch?v=2y8YZktCNj0","2023-02-14",196378
"Meeting my College Juniors❤️","https://www.youtube.com/watch?v=gO-qIeaPitk","2023-02-12",1646993
"BITS Pilani College Review | In Short","https://www.youtube.com/watch?v=uXn85kgphuA","2023-02-11",1405125
"NIT Warangal College Review In Short","https://www.youtube.com/watch?v=mft5UgJYAXU","2023-02-10",205157
"IIT Bombay College Review in Short","https://www.youtube.com/watch?v=cp3UD82R03A","2023-02-08",484522
"IIT Madras College Review in Short","https://www.youtube.com/watch?v=ID0-RbOEbvg","2023-02-04",344827
"Seminar at NIT Agartala by Shradha Didi @ApnaCollegeOfficial","https://www.youtube.com/watch?v=pdb6eOeSPok","2023-02-02",2586880
"Do you have any Questions for me? Interview Qs","https://www.youtube.com/watch?v=EenMiF1QDuI","2023-01-31",730737
"Seminar in DU by Shradha didi @ApnaCollegeOfficial","https://www.youtube.com/watch?v=eZvePsf0W_A","2023-01-28",1567657
"Must Watch : Surprise Honest Talk | Republic Day Special","https://www.youtube.com/watch?v=NGViboaAbSI","2023-01-26",187263
"IIT Delhi | College Review In Short🔥","https://www.youtube.com/watch?v=QXT475sMD3c","2023-01-24",834291
"How this student got Internship of Rs70K/month?","https://www.youtube.com/watch?v=DUgz47G4neM","2023-01-23",403076
"What do Software Engineers do?","https://www.youtube.com/watch?v=4ve0YjLHQTg","2023-01-22",415770
"Ranks for IITs, NITs & IIITs?","https://www.youtube.com/watch?v=F-l48mJs4LI","2023-01-20",340954
"3 Things I learnt from Microsoft","https://www.youtube.com/watch?v=a4bA8n5h_xg","2023-01-19",565685
"STAR Method of Answering in Interviews","https://www.youtube.com/watch?v=uhDLHn6uVUg","2023-01-17",270069
"3 Mistakes to avoid in Interviews | 2023","https://www.youtube.com/watch?v=s3jGpZXxzJ8","2023-01-14",853911
"Graph Data Structure | Tutorial for Graphs in Data Structures","https://www.youtube.com/watch?v=59fUtYYz7ZU","2023-01-13",265095
"How to Start Coding in 2023? Learn Programming for Beginners","https://www.youtube.com/watch?v=KZR_UUcOyrg","2023-01-12",1328512
"Why do you want to join us? Interview Question #7","https://www.youtube.com/watch?v=R2KltLS41oU","2023-01-10",269680
"Why should we hire you? Interview Question #6","https://www.youtube.com/watch?v=drFIDUbDmq0","2023-01-09",852088
