"Title","video_url","Published_date","Views"
"The Best Way to Learn Data Structures in Python","https://www.youtube.com/watch?v=c75hUwhFAag","2023-05-31",3060
"Become A Better Software Developer // ArjanLive Q&A","https://www.youtube.com/watch?v=2afqKRZyH-M","2023-05-31",0
"Data Science Workflow in Python Made Easy","https://www.youtube.com/watch?v=QHx_RjfcO_Y","2023-05-27",6192
"Representing Monetary Values in Python","https://www.youtube.com/watch?v=0kzjD6jvfnk","2023-05-26",10382
"Are Python’s Lambda Functions Flawed","https://www.youtube.com/watch?v=sNI9Je4CJwc","2023-05-24",7541
"Data Structures You Should Know as Data Engineer","https://www.youtube.com/watch?v=6DppEM0cSQs","2023-05-20",7636
"Python Wizardry: The Secret to Writing Great Classes","https://www.youtube.com/watch?v=lX9UQp2NwTk","2023-05-19",26929
"When to Start Optimizing Your Code | Tips & Tricks","https://www.youtube.com/watch?v=AGldA4MI7m4","2023-05-17",2976
"When to Start Optimizing Your Code | Tips & Tricks","https://www.youtube.com/watch?v=AGldA4MI7m4","2023-05-17",6239
"OOP vs  Functional Programming: Which to Choose","https://www.youtube.com/watch?v=lEVu7_v2pbk","2023-05-13",4138
"5 Tips for Writing Great Code Documentation","https://www.youtube.com/watch?v=L7Ry-Fiij-M","2023-05-12",10493
"Tips for Good Database Design and Concurrent Requests","https://www.youtube.com/watch?v=Vg-oPZAS1g0","2023-05-10",6303
"How to Switch From a QA to a Dev Role","https://www.youtube.com/watch?v=8IvhP7j-oK0","2023-05-06",3687
"How to Build an OpenAI Powered Tool Really Quickly","https://www.youtube.com/watch?v=mVX3Z46iYTQ","2023-05-05",62752
"Why Javascript Is Weird for Pythonistas","https://www.youtube.com/watch?v=bVUIDVrSjPk","2023-05-03",11164
"When NOT to Use OO Design in Python","https://www.youtube.com/watch?v=qD_5Q_2Pz9c","2023-04-29",10470
"Functions vs Classes: When to Use Which and Why?","https://www.youtube.com/watch?v=txRTzljmV0Q","2023-04-28",47419
"Are Dataclasses Better Than Dictionaries in Python","https://www.youtube.com/watch?v=G34e3TKuV2I","2023-04-26",10901
"Avoid Deep Class Inheritance Trees","https://www.youtube.com/watch?v=sZJqJ2pYkKM","2023-04-22",6991
