"Title","video_url","Published_date","Views"
"Build A Min Height Binary Search Tree From A Sorted Array | Coding Interview Question","https://www.youtube.com/watch?v=ky4GeXAZqb4","2023-04-27",1535
"3 Test Cases You Should Always Keep in Mind #shorts #datastructures","https://www.youtube.com/watch?v=CgDLLCZ5frg","2023-04-20",1954
"Coding Interview | Levels of a Binary Tree #shorts #datastructures #binarytree #codinginterview","https://www.youtube.com/watch?v=iw0pP4SJZ0Q","2023-01-17",1422
"Coding Concept You Should Know | Finding the Largest & Smallest Item #shorts #datastructures","https://www.youtube.com/watch?v=xPABRA-fxEE","2022-12-13",2204
"Explained | Flow Network #shorts #datastructures #codinginterview #dsa","https://www.youtube.com/watch?v=YyYCn4rqz40","2022-11-24",1202
"Coding Interview | QuickSort Overview #shorts #datastructures #codinginterview","https://www.youtube.com/watch?v=HbXdk_qp31s","2022-11-15",1416
"Coding Interview Concept | Asymptotic Behaviour #shorts #datastructures #codinginterview","https://www.youtube.com/watch?v=ha3ZnHlHsj4","2022-11-09",1130
"Explained | Priority Queue Functions #shorts #datastructures #codinginterview #dsa","https://www.youtube.com/watch?v=9jQtuTKimsA","2022-11-01",1871
"Terms to know | Summation Notation  #shorts #datastructures #codinginterview","https://www.youtube.com/watch?v=vNmnlaCcpOU","2022-10-25",2165
"Coding Interview | Terms to know | API & ADT  #shorts #datastructures #codinginterview","https://www.youtube.com/watch?v=p5rIYkBC5dM","2022-10-18",1984
"Coding Interview | Binary Tree Traversal #shorts #datastructures #binarytree #codinginterview","https://www.youtube.com/watch?v=gM7i4U_BvAc","2022-10-11",2193
"Important Coding Interview Concept | 3 Keys to Backtracking #shorts #datastructures","https://www.youtube.com/watch?v=ijr49COgf7s","2022-10-04",3063
"Introducing Asymptotic Measures","https://www.youtube.com/watch?v=J56ggSnbyKY","2021-03-26",27074
"AVL Trees & Rotations (Self-Balancing Binary Search Trees)","https://www.youtube.com/watch?v=vRwi_UcZGjU","2020-04-28",239334
"The New Back To Back SWE Platform (2020 Plans)","https://www.youtube.com/watch?v=vMgiXeWAbwE","2020-01-29",41458
"Network Flows: Max-Flow Min-Cut Theorem (& Ford-Fulkerson Algorithm)","https://www.youtube.com/watch?v=oHy3ddI9X3o","2019-10-28",244249
"Interval Scheduling Maximization (Proof w/ Exchange Argument)","https://www.youtube.com/watch?v=hVhOeaONg1Y","2019-10-12",49340
"Dijkstra's Algorithm vs Prim's Algorithm","https://www.youtube.com/watch?v=K_1urzWrzLs","2019-10-04",61671
"Professor Clyde Kruskal On Kruskal's Algorithm","https://www.youtube.com/watch?v=qOv8K-AJ7o0","2019-09-30",36575
"i'm starting a coding interview class","https://www.youtube.com/watch?v=qslsTQQi1Ms","2019-08-26",32724
"How I Got An Internship @ Twitter","https://www.youtube.com/watch?v=DUqwi-uUzWs","2019-06-30",24974
"Why Comparison Based Sorting Algorithms Are Ω(n*lg(n))","https://www.youtube.com/watch?v=WffUZk1pgXE","2019-05-20",53199
"Software Engineer On Negotiating Job Offers & Finding The Right Workplace (Samrat Jha - B2B Show 3)","https://www.youtube.com/watch?v=y2y_ni8WLy0","2019-05-06",8677
"Serialize & Deserialize A Binary Tree - Crafting Recursive Solutions To Interview Problems","https://www.youtube.com/watch?v=suj1ro8TIVY","2019-05-01",96536
"Gaurav Sen: Talking Daily Life At Uber & System Design Wisdom (The Back To Back Show - Show 1)","https://www.youtube.com/watch?v=j5pl7gnJOVM","2019-04-27",12075
"Find the k'th Largest or Smallest Element: From Sorting To Heaps To Partitioning","https://www.youtube.com/watch?v=hGK_5n81drs","2019-04-20",250355
"Counting Sort: An Exploration of Sorting Special Input In Linear Time","https://www.youtube.com/watch?v=1mh2vilbZMg","2019-04-13",44204
"Sort A K Sorted Array - Investigating Applications of Min/Max Heaps","https://www.youtube.com/watch?v=yQ84lk-EXTQ","2019-04-06",26067
"Lowest Common Ancestor Between 2 Binary Tree Nodes (A Recursive Approach)","https://www.youtube.com/watch?v=py3R23aAPCA","2019-04-02",79293
