"Title","video_url","Published_date","Views"
"Leetcode with Me (Weekly Contest #309)","https://www.youtube.com/watch?v=HowLyiETNLk","2022-09-09",1692
"Leetcode with Me (Weekly Contest #307)","https://www.youtube.com/watch?v=HKQXs98ELwA","2022-08-26",992
"The Difference Between Good Interviewees and Great Interviewees","https://www.youtube.com/watch?v=JLBvhQRO_bk","2022-07-05",792
"Should you be worried about hiring freezes?","https://www.youtube.com/watch?v=ycKAm4KTymE","2022-06-07",1627
"Coding Interview Prep Roadmap to Avoid Overwhelm","https://www.youtube.com/watch?v=K9EzhA6GitU","2022-05-31",2338
"Why you're struggling to stick to your goals","https://www.youtube.com/watch?v=WxuNk0A9hMo","2022-05-17",703
"Master coding interviews with the Inchworm Strategy","https://www.youtube.com/watch?v=cFuCYOgiTcI","2022-04-26",3538
"The 3 Levels of Binary Search","https://www.youtube.com/watch?v=nuN3-AkykfM","2022-04-20",4360
"Where to start your coding interview prep","https://www.youtube.com/watch?v=VJ5IhTZNDB8","2022-04-12",1232
"Why I hate this book - Interview Coach Reacts","https://www.youtube.com/watch?v=JB6XPJ9il60","2022-03-15",1767
"Wordle Coding Challenge - Can I Solve It?","https://www.youtube.com/watch?v=pAeB2c9yaxQ","2022-03-08",1080
"How to have a big impact as a software engineer","https://www.youtube.com/watch?v=J0j3MKQZdSU","2022-03-01",1857
"STOP Making These Interview Prep Mistakes","https://www.youtube.com/watch?v=mzf8ykuiWzA","2022-02-22",3477
"How to Solve Ordering Problems Using Topological Sort","https://www.youtube.com/watch?v=AOoZsQFdwm8","2022-02-15",3170
"Is prepping for coding interviews a waste of time?","https://www.youtube.com/watch?v=oiavtTHhyiQ","2022-02-08",2313
"Byte by Byte Channel Trailer","https://www.youtube.com/watch?v=sCqA4naYMAQ","2022-02-04",2537
"Are coding interviews getting harder?","https://www.youtube.com/watch?v=qoK59s6yMEg","2022-02-01",3612
"How to SYSTEMATICALLY optimize coding interview solutions (Greedy Algorithms and DP)","https://www.youtube.com/watch?v=SiJwkS_ZSms","2022-01-25",2057
"Interview Coach Reacts - Print Folder Structure (Google Interview)","https://www.youtube.com/watch?v=eD3a2tFLBVA","2022-01-18",2444
"Secret graph problems that interviewers love to ask","https://www.youtube.com/watch?v=AEvBeK261JI","2022-01-11",5719
"Binary Search in a Rotated Array","https://www.youtube.com/watch?v=lAKIhrcLRdo","2022-01-04",2041
"Solve subarray problems FASTER (using Sliding Windows)","https://www.youtube.com/watch?v=GcW4mgmgSbw","2021-12-21",60019
"Are you making the RIGHT decisions in your career?","https://www.youtube.com/watch?v=N5kPbFdZq_4","2021-01-13",3212
"Software engineers, stop focusing on the WRONG things!","https://www.youtube.com/watch?v=TbjkobJdcCo","2021-01-08",3609
"Coding Interviews: How to deal with rejection","https://www.youtube.com/watch?v=ciVM0ux-BXY","2021-01-05",2515
