"Title","video_url","Published_date","Views"
"Microsoft .NET Developers - What's New and Coming Soon?","https://www.youtube.com/watch?v=pAEej_Seauo","2023-05-26",894
"Learning To Code Over 50","https://www.youtube.com/watch?v=1PB6NmSqhmE","2023-05-19",1028
"The Correct Developer Mindset & Attitude","https://www.youtube.com/watch?v=k-p6n3rlx4o","2023-05-19",858
"Is 2023 Still A Good Time To Be A Developer?","https://www.youtube.com/watch?v=SZkzRTkQzGc","2023-05-12",1615
"Web Developer Portfolio Reviews - LIVE","https://www.youtube.com/watch?v=k-LNttKylYk","2023-04-28",1109
"ChatGPT For Developers - Tips to Increase Your Productivity using AI","https://www.youtube.com/watch?v=FaitatWW8ZU","2023-04-24",1224
"Replacing Coders With AI - LIVE Coding With Only AI Tools","https://www.youtube.com/watch?v=kzYKYfMJydc","2023-04-14",1316
"AI, Devs Jobs, and The End Of All Humanity?","https://www.youtube.com/watch?v=d03bkRbJAn4","2023-04-06",1237
"How Long Does It Really Take To Learn To Code? (The Truth)","https://www.youtube.com/watch?v=DuHg21u7qJo","2023-03-13",1845
"How To Leverage Your Previous Job To Launch A Software Career","https://www.youtube.com/watch?v=KajaOPAtDY4","2023-03-02",875
"Exciting New Technologies Coming Soon + Dev Q&A","https://www.youtube.com/watch?v=Z2qxJufmjG0","2023-02-23",1329
"Is Now A Good Time To Become A Software Developer? #shorts","https://www.youtube.com/watch?v=GOvlrgxz2Ac","2023-02-11",1757
"The Best Way To Learn To Code And Get A Job In 2023","https://www.youtube.com/watch?v=OzW9tq8a0gw","2023-02-10",3019
"Can You Bet Your Development Career On Microsoft?","https://www.youtube.com/watch?v=VLsKlLRvIe4","2023-02-09",1647
"Quit Trying To Learn Every Coding Language - STAY FOCUSED!","https://www.youtube.com/watch?v=cOvuwo1LyPU","2023-02-02",1823
"ChatGPT Will Create MORE Developers Not Replace Them","https://www.youtube.com/watch?v=b2MJ3o5apyg","2023-01-27",2462
"BAD developer portfolio apps + Q&A","https://www.youtube.com/watch?v=MQVTVRin1QI","2023-01-26",2025
"Advice On How To Break Into A Software Job - Q&A","https://www.youtube.com/watch?v=LQydChEj1gI","2023-01-19",1166
"Guess the Best Job In America?","https://www.youtube.com/watch?v=vplrkaNo__c","2023-01-12",1377
"Creating Luck In Your Web Developer Job Search","https://www.youtube.com/watch?v=UZOzCWJNJHg","2023-01-11",1789
"Developer Trends to Watch in 2023","https://www.youtube.com/watch?v=Yx9QL0buBPo","2023-01-05",2922
"Why ChatGPT Won't Replace Developers","https://www.youtube.com/watch?v=tqN5NKHT7N0","2022-12-20",10350
"Web Developer Portfolio Reviews","https://www.youtube.com/watch?v=8aC1KborE10","2022-12-15",2984
"ChatGPT: The Future Of Software Development?","https://www.youtube.com/watch?v=ZZ1GwoP0fNo","2022-12-08",4533
"Why You Need These 3 People In Your Life","https://www.youtube.com/watch?v=OobpR-_dw5Y","2022-12-07",914
"Bootcamp Job Guarantees. Real or Fake? (Our Answer May Surprise You!)","https://www.youtube.com/watch?v=VgzEO-6YP-c","2022-12-01",1399
"Should You Become A Developer In 2023?","https://www.youtube.com/watch?v=zIOGJH67YIE","2022-11-30",9975
"Learn .NET (Course Sale) + Q&A","https://www.youtube.com/watch?v=L4DF0XLDXdQ","2022-11-22",6785
"Use Google Fonts Locally - How To Avoid Legal Trouble with GDPR","https://www.youtube.com/watch?v=ZhxKbcdj_wM","2022-11-18",1822
"What's new with .NET 7 + LIVE Q&A","https://www.youtube.com/watch?v=bLikOWCE-J8","2022-11-17",1732
