"Title","video_url","Published_date","Views"
"How to Use ChatGPT as a Powerful Tool for Programming","https://www.youtube.com/watch?v=jRAAaDll34Q","2023-05-21",43407
"Python Tutorial: Simulate the Powerball Lottery Using Python","https://www.youtube.com/watch?v=HZ8uXq5VG2w","2023-01-09",108568
"Python YouTube API Tutorial: Using OAuth to Access User Accounts","https://www.youtube.com/watch?v=vQQEaSnQ_bs","2020-09-10",129676
"Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos","https://www.youtube.com/watch?v=1KO_HZtHOWI","2020-07-31",42776
"Python YouTube API Tutorial: Calculating the Duration of a Playlist","https://www.youtube.com/watch?v=coZbOM6E47I","2020-06-10",51474
"Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API","https://www.youtube.com/watch?v=th5_9woFJmk","2020-05-29",178651
"Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation","https://www.youtube.com/watch?v=RO6JxDOVwLQ","2020-05-11",37113
"Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc","https://www.youtube.com/watch?v=N6hyN6BW6ao","2020-04-01",140417
"Live Stream - Chat, Q&A, Brews, and Coding","https://www.youtube.com/watch?v=0Q_8taHAuQQ","2020-03-23",72338
"Python Pandas Tutorial (Part 10): Working with Dates and Time Series Data","https://www.youtube.com/watch?v=UFuo7EHI8zc","2020-03-17",250591
"Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values","https://www.youtube.com/watch?v=KdmPHEnPJPs","2020-02-24",182198
"Python Pandas Tutorial (Part 8): Grouping and Aggregating - Analyzing and Exploring Your Data","https://www.youtube.com/watch?v=txMdrV1Ut64","2020-02-14",339712
"Python Pandas Tutorial (Part 7): Sorting Data","https://www.youtube.com/watch?v=T11QYVfZoD0","2020-02-06",140331
"Python Pandas Tutorial (Part 6): Add/Remove Rows and Columns From DataFrames","https://www.youtube.com/watch?v=HQ6XO9eT-fc","2020-02-01",222537
"Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames","https://www.youtube.com/watch?v=DCDe29sIKcE","2020-01-24",304940
"Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns","https://www.youtube.com/watch?v=Lw2rlcxScZY","2020-01-17",342317
"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes","https://www.youtube.com/watch?v=W9XjRYFkkyw","2020-01-13",301624
"Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns","https://www.youtube.com/watch?v=zmdjNSmRXF4","2020-01-10",479680
"Python Pandas Tutorial (Part 1): Getting Started with Data Analysis - Installation and Loading Data","https://www.youtube.com/watch?v=ZyhVh-qRZPA","2020-01-09",1005287
"Python Tutorial: Zip Files - Creating and Extracting Zip Archives","https://www.youtube.com/watch?v=z0gguhEmWiY","2019-11-19",108439
"Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey","https://www.youtube.com/watch?v=_P7X8tMplsw","2019-10-17",55066
"Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module","https://www.youtube.com/watch?v=fKl2JW_qrso","2019-09-20",679845
"Python Threading Tutorial: Run Code Concurrently Using the Threading Module","https://www.youtube.com/watch?v=IEEhzQoKtQU","2019-09-12",727962
"Python Quick Tip: The Difference Between == and is (Equality vs Identity)","https://www.youtube.com/watch?v=mO_dS3rXDIs","2019-08-06",105686
"Python Tutorial: Calling External Commands Using the Subprocess Module","https://www.youtube.com/watch?v=2Fp1N6dof0Y","2019-07-24",321695
"Matplotlib Tutorial (Part 10): Subplots","https://www.youtube.com/watch?v=XFZRVnP-MTU","2019-06-19",204159
"Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time","https://www.youtube.com/watch?v=Ercd-Ip5PfQ","2019-06-18",339609
"Matplotlib Tutorial (Part 8): Plotting Time Series Data","https://www.youtube.com/watch?v=_LWjaAiKaf8","2019-06-17",157427
"Matplotlib Tutorial (Part 7): Scatter Plots","https://www.youtube.com/watch?v=zZZ_RCwp49g","2019-06-16",146404
"Matplotlib Tutorial (Part 6): Histograms","https://www.youtube.com/watch?v=XDv6T4a0RNc","2019-06-15",153620
